"x","Sector","Sector.type","MC"
"AAL","Materials",8,1.122e+10
"ABF","Consumer Staples",2,2.353e+10
"ADM","Financials",5,5.69e+09
"ADN","Financials",5,4.17e+09
"AGK","Industrials",7,2.72e+09
"AMFW","Energy",4,2.11e+09
"ASHM","Financials",5,2.42e+09
"ATK","Industrials",7,1.46e+09
"AV","Financials",5,1.679e+10
"AZN","Health Care",6,6.398e+10
"BA","Industrials",7,1.676e+10
"BARC","Financials",5,2.217e+10
"BATS","Consumer Staples",2,9.053e+10
"BBY","Industrials",7,1.77e+09
"BDEV","Consumers Discretionary",3,4.51e+09
"BEZ","Financials",5,2.01e+09
"BFA","Materials",8,6.643e+10
"BGEO","Financials",5,1.03e+09
"BKG","Consumers Discretionary",3,3.43e+09
"BLT","Materials",8,5.604e+10
"BME","Consumer Staples",2,2.78e+09
"BNC","Financials",5,5.032e+10
"BNZL","Consumers Discretionary",3,7.91e+09
"BOK","Consumer Staples",2,3.1e+09
"BP","Energy",4,8.156e+10
"BRBY","Consumers Discretionary",3,6.01e+09
"BWY","Consumers Discretionary",3,2.64e+09
"BYG","Financials",5,1.14e+09
"CAPC","Financials",5,2.41e+09
"CBG","Financials",5,1.99e+09
"CCH","Consumer Staples",2,6.22e+09
"CEY","Materials",8,2.04e+09
"CNA","Utilities",10,1.225e+10
"CNE","Energy",4,1.16e+09
"COB","Industrials",7,2.2e+09
"CPG","Consumers Discretionary",3,2.472e+10
"CPI","Consumers Discretionary",3,6.76e+09
"DGE","Consumer Staples",2,5.469e+10
"DLG","Financials",5,5.04e+09
"DLN","Financials",5,3.02e+09
"DMGT","Communications",1,2.51e+09
"DNLM","Consumers Discretionary",3,1.79e+09
"DOM","Consumers Discretionary",3,1.84e+09
"DRX","Utilities",10,1.24e+09
"ECM","Technology",9,1.34e+09
"ELM","Materials",8,1.04e+09
"EMG","Financials",5,1.88e+09
"ESNT","Industrials",7,1.3e+09
"ESUR","Financials",5,1.1e+09
"ETO","Communications",1,1.06e+09
"EVR","Materials",8,2.13e+09
"EXPN","Technology",9,1.423e+10
"EZJ","Consumers Discretionary",3,4.35e+09
"FGP","Consumers Discretionary",3,1.27e+09
"FRES","Materials",8,1.429e+10
"GFS","Consumers Discretionary",3,3.54e+09
"GFTU","Consumers Discretionary",3,1.24e+09
"GKN","Consumers Discretionary",3,5.31e+09
"GLEN","Materials",8,2.681e+10
"GNC","Consumer Staples",2,1.4e+09
"GNK","Consumers Discretionary",3,2.52e+09
"GPOR","Financials",5,2.25e+09
"GSK","Health Care",6,8.111e+10
"HAS","Consumers Discretionary",3,1.81e+09
"HIK","Health Care",6,4.56e+09
"HL","Financials",5,6.3e+09
"HMSO","Financials",5,4.48e+09
"HOME","Consumers Discretionary",3,1.27e+09
"HSBA","Financials",5,9.69e+10
"HSV","Industrials",7,1.76e+09
"HSX","Financials",5,2.97e+09
"HWDN","Consumers Discretionary",3,2.83e+09
"IAG","Consumers Discretionary",3,7.46e+09
"IAP","Financials",5,3.06e+09
"ICP","Financials",5,1.66e+09
"IGG","Financials",5,3.45e+09
"IHG","Consumers Discretionary",3,7.67e+09
"IMI","Industrials",7,2.94e+09
"INCH","Consumers Discretionary",3,3.07e+09
"INDV","Health Care",6,2.31e+09
"INF","Communications",1,4.64e+09
"IPO","Financials",5,1.07e+09
"ISAT","Communications",1,3.72e+09
"ITRK","Consumers Discretionary",3,5.83e+09
"ITV","Communications",1,7.85e+09
