"X","V1","V2"
1,"AAL",1.122e+10
2,"ABF",2.353e+10
3,"ADM",5.69e+09
4,"ADN",4.17e+09
5,"AGK",2.72e+09
6,"AMFW",2.11e+09
7,"ANA",9.429e+11
8,"ARM",2.376e+10
9,"ASHM",2.42e+09
10,"ATK",1.46e+09
11,"AV",1.679e+10
12,"AVV",1.23e+09
13,"AZN",6.398e+10
14,"BA",1.676e+10
15,"BARC",2.217e+10
16,"BATS",9.053e+10
17,"BBY",1.77e+09
18,"BCA",1.49e+09
19,"BDEV",4.51e+09
20,"BEZ",2.01e+09
21,"BFA",6.643e+10
22,"BGEO",1.03e+09
23,"BKG",3.43e+09
24,"BKIR",5.82e+09
25,"BLT",5.604e+10
26,"BME",2.78e+09
27,"BNC",5.032e+10
28,"BNZL",7.91e+09
29,"BOE",8.394e+10
30,"BOK",3.1e+09
31,"BP",8.156e+10
32,"BRBY",6.01e+09
33,"BWO",1.25e+09
34,"BWY",2.64e+09
35,"BYG",1.14e+09
36,"CAPC",2.41e+09
37,"CBG",1.99e+09
38,"CCH",6.22e+09
39,"CEY",2.04e+09
40,"CNA",1.225e+10
41,"CNE",1.16e+09
42,"COB",2.2e+09
43,"CPG",2.472e+10
44,"CPI",6.76e+09
45,"DGE",5.469e+10
46,"DLG",5.04e+09
47,"DLN",3.02e+09
48,"DMGT",2.51e+09
49,"DNLM",1.79e+09
50,"DOM",1.84e+09
51,"DRX",1.24e+09
52,"ECM",1.34e+09
53,"ELM",1.04e+09
54,"EMG",1.88e+09
55,"ERM",1.33e+09
56,"ESNT",1.3e+09
57,"ESUR",1.1e+09
58,"ETO",1.06e+09
59,"EVR",2.13e+09
60,"EWG",1.172e+10
61,"EXPN",1.423e+10
62,"EZJ",4.35e+09
63,"FGP",1.27e+09
64,"FRES",1.429e+10
65,"GFS",3.54e+09
66,"GFTU",1.24e+09
67,"GKN",5.31e+09
68,"GLEN",2.681e+10
69,"GNC",1.4e+09
70,"GNK",2.52e+09
71,"GNS",1.14e+09
72,"GPOR",2.25e+09
73,"GSK",8.111e+10
74,"HAS",1.81e+09
75,"HIK",4.56e+09
76,"HL",6.3e+09
77,"HMSO",4.48e+09
78,"HOME",1.27e+09
79,"HON",8.822e+10
80,"HSBA",9.69e+10
81,"HSV",1.76e+09
82,"HSX",2.97e+09
83,"HWDN",2.83e+09
84,"IAG",7.46e+09
85,"IAP",3.06e+09
86,"IBM",1.5344e+11
87,"ICP",1.66e+09
88,"IGG",3.45e+09
89,"IHG",7.67e+09
90,"IMI",2.94e+09
91,"INCH",3.07e+09
92,"INDV",2.31e+09
93,"INF",4.64e+09
94,"IPO",1.07e+09
95,"ISAT",3.72e+09
96,"ITRK",5.83e+09
97,"ITV",7.85e+09
98,"JD",2.53e+09
99,"JDW",1.03e+09
100,"JE",3.98e+09
101,"JEL",1.294e+10
102,"JLT",2.17e+09
103,"JPM",2.3569e+11
104,"JUP",1.87e+09
105,"KGF",8.41e+09
106,"KGP",4.03e+09
107,"KIE",1.12e+09
108,"KNM",4.9228e+11
109,"KYGA",1.36e+10
110,"LAD",1.6e+09
111,"LAND",8.56e+09
112,"LGEN",1.22e+10
113,"LLOY",3.205e+10
114,"LRE",1.21e+09
115,"MAB",1.08e+09
116,"MCRO",4.64e+09
117,"MEL",2.78203e+12
118,"MERL",4.93e+09
119,"MGGT",3.57e+09
120,"MKS",5.47e+09
121,"MLC",1.34e+09
122,"MNDI",7.65e+09
123,"MRW",4.54e+09
124,"NG",4.048e+10
125,"NXT",7.96e+09
126,"OCDO",1.66e+09
127,"OML",9.69e+09
128,"PETS",1.24e+09
129,"PFC",2.95e+09
130,"PFG",4.14e+09
131,"PFZ",2.123e+11
132,"PHNX",1.86e+09
133,"PNN",3.68e+09
134,"POLY",5.02e+09
135,"PRU",3.551e+10
136,"PSON",7.06e+09
137,"PTEC",2.87e+09
138,"PZC",1.42e+09
139,"QQ",1.33e+09
140,"RB",5.235e+10
141,"RBS",2.196e+10
142,"RDSB",1.608e+11
143,"RDW",1.25e+09
144,"REL",2.989e+10
145,"RGU",2.88e+09
146,"RIGD",9.842355e+13
147,"RIO",4.4e+10
148,"RMG",5.15e+09
149,"ROR",1.81e+09
150,"RPC",1.64e+09
151,"RR",1.451e+10
152,"RRS",7.82e+09
153,"RSA",5.15e+09
154,"RSW",1.94e+09
155,"RTO",4e+09
156,"RYA",1.505e+10
157,"SAB",7.035e+10
158,"SAGA",2.39e+09
159,"SBRY",4.64e+09
160,"SDR",7.5e+09
161,"SDRC",5.58e+09
162,"SGE",7.92e+09
163,"SGP",1.29e+09
164,"SHB",2.66e+09
165,"SHP",3.462e+10
166,"SKY",1.452e+10
167,"SL",6.96e+09
168,"SMDS",3.94e+09
169,"SMIN",5.35e+09
170,"SMWH",1.77e+09
171,"SN",1.122e+10
172,"SPD",1.78e+09
173,"SPI",1.38e+09
174,"SPX",3.21e+09
175,"SRP",1.41e+09
176,"SSE",1.528e+10
177,"SSPG",1.57e+09
178,"STAN",2.05e+10
179,"STJ",4.96e+09
180,"SVS",1.03e+09
181,"SVT",5.68e+09
182,"SXS",2.33e+09
183,"TALK",2.07e+09
184,"TATE",3.43e+09
185,"TCG",1.01e+09
186,"TED",1.1e+09
187,"TLW",2.13e+09
188,"TPK",3.87e+09
189,"TSCO",1.294e+10
190,"TTA",1.0291e+11
