"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19"
1127.2,1182.125,1119.75,1025.485,1114.375,1019.43,921.73,809.25,715.21,646.805,617.415,452.855,312.64,248.3825,369.6125,526.45,613.745,632.68,633.61
3091.45,3023.1,3040.7,2892.25,2858.6,2975.75,3002.7,3194,3172.25,3220.15,3378.5,3471.1,3391,3068.95,3168.35,3366.45,3343.05,3046.25,2901.05
1391.85,1462.6,1504.3,1573.65,1529.25,1466.25,1421.3,1483.85,1530.8,1508.4,1600.8,1626.2,1638.1,1650.6,1726.55,1887.2,1930.6,1884.75,1928.2
425.305,448.86,464.4,478.375,452.68,432.45,405.69,369.93,319.2,315.07,346.145,335.575,292.37,243.635,233.52,271.485,283.03,276.66,272.585
1517.9,1646.85,1598.4,1582.8,1634.4,1551.7,1452.95,1260.6,1053.4,982.2,980.425,974.625,939.875,839.65,835.625,1011.525,1072.5,1081.1,1158.35
818.475,859.15,912.425,921.6,910.65,911.25,825.15,812.8,785.9,747.725,761.85,472.07,412.565,392.255,372.305,461.515,461.47,467.875,438.14
269.695,301.58,292.99,301.285,315.215,320.645,290.56,271.02,255.305,256,277.07,252,247.72,221.745,217.075,268.115,290.85,288.82,288.135
1311.05,1319.4,1325.3,1312.8,1358.05,1479.2,1528.9,1546.05,1477.6,1419.7,1377.05,1470.9,1600.2,1509.55,1304.5,1300.15,1376.1,1347.45,1318.1
502.82,538.825,552.7,550.375,530.7,520.075,507.84,523.65,483.545,457.75,474.43,498.615,506.55,476.485,433.285,467.47,443.27,429.83,433.135
4654.8,4542.575,4561.55,4735.125,4490.4,4335.85,4208.225,4311.275,4151.525,4241.85,4117.9,4361.65,4449.225,4375.225,4169.9,4014.925,4059.4,3917.2,3944.5
484.365,522.6,536.775,524.95,505.23,502.7,467.755,471.445,450.845,445.015,451.255,479.46,498.205,505.84,491.49,501.835,502.925,485.09,485.11
234.8675,253.2,256.7875,254.48,258.5275,267.1675,266.8875,281.705,260.7725,252.495,247.3925,227.1375,220.1625,196.0325,165.0625,164.12,158.07,168.285,175.84
3585.75,3679.925,3725.225,3639.975,3626.05,3530.9,3545.625,3700.075,3506.7,3560.925,3815.325,3827,3733.425,3669.625,3802.925,4015.1,4152.1,4180.025,4193.7
210.345,235.245,238.415,238.44,243.105,251.645,238.925,236.58,263.565,255.13,253.28,254.17,266.645,252.92,237.875,251.55,239.66,238.56,236.615
443.26,478.15,522.925,534.2,542.25,600.675,628.8,632.575,632.325,650.15,626.825,578.45,611.5,590.75,574.425,565.2,540.38,543.125,564.075
283.07,299.43,287.855,291.26,282.835,298.275,302.095,331.74,332.21,353.62,356.165,378.335,388.375,372.87,367.345,354.11,343.22,339.895,360.99
7203.45,8188.575,8919.85,9324.5,8828.55,8392.45,8122.225,8054.8,7158,6835.375,7329.775,7661.35,7074,6343.15,5903.025,6416.875,6649.5,6875.875,6903.4
2063.85,2107.55,1804.95,1875.8,1805.55,1884.15,1913.9,1990,1786,1834.55,2005,1878.6,1902.6,1754,1778.4,1955.75,2041.35,2317.1,2522.55
2379.95,2516.4,2636.35,2673.8,2681.25,3118.05,3337.8,3348.1,3375.9,3409.85,3249.15,3124.75,3603.3,3543.8,3301.35,3129.15,3076.1,3031.65,3192.95
2572.01,2871.719,2850.827,1785.254,1458.098,1354.225,1272.975,1181.15,1085.2,1051.73,1110.775,883.37,740.24,659.305,696.33,799.365,836.175,852.165,838.295
299.1625,314.5,305.35,307.475,313.95,335.4625,345.9725,350.975,328.265,322.52,329.65,320.02,289.19,269.48,283.075,277.885,270.305,278.655,289.52
482.4875,461.64375,473.525,503.5875,485.00625,471.7125,459.50625,451.9375,400.85625,362.51875,376.35,362.7,341.55,307.30625,278.29375,322.66875,315.525,327.2625,315.775
1837.15,1903.2,1867,1864.15,1866.25,1877.85,1783.9,1816.25,1762.75,1769.9,1836.25,1888.25,1864.6,1813.95,1856.15,1967.85,2045.85,2056.4,2024.1
158.365,153.625,159.625,151.095,148.3,174.93,168.89,175.465,173.05,179.885,184.09,181.66,177.785,163.96,163.06,165.38,168.155,167.355,176.64
410.05,446.03,439.845,460.2475,464.6675,446.385,430.705,397.1075,354.2775,340.9475,386.3925,381.4275,350.21,343.8225,342.3675,354.1175,353.4025,363.95,366.29
1683.2,1834,1860.55,1770.3,1760.1,1680.75,1598.3,1573.6,1403.65,1374.95,1350.7,1281,1191.05,1136,1203.9,1357.15,1302.35,1159,1082.65
1808.25,1897.3,1973.5,2006.4,2078.2,2341.3,2374.25,2386.3,2472.55,2528.2,2511.65,2475.45,2703.05,2703.1,2603.75,2471.9,2470.1,2515.15,2644.3
620.7,627.125,636.575,677.775,658.4,653.85,644.275,700.475,681.8,701.225,723.225,761.425,807.95,761.625,757.15,760.675,768.85,830.1,846.15
373.96335,387.3634,403.00345,407.47805,408.55815,414.40835,431.6931,458.08805,447.2137,431.635,432.12,430.475,436.79,388.05,349.81,324.475,331.725,339.57,340.7
1504.6,1556.6,1632.75,1565.8,1552.95,1601.75,1553.8,1472.25,1464.6,1505.7,1462.8,1462.4,1347.1,1292.1,1235.75,1312.95,1244.3,1222.15,1296.2
1115.35,1119.15,1158.05,1307.05,1401.9,1429.35,1373.9,1317.05,1340.95,1387,1530.25,1578.85,1486.8,1397.25,1367.5,1407.6,1446.95,1373,1378.2
