0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
1,-274.16,0.0011289,0.0018204,0.0044805,0.0099382,0.0019232,0.016117,0.00085643,-0.00026039,255.14,0.00041219,0.0032001,0.0073465,0.010963,0.0017487,0.0024957,0.0032064,0.0038127,0.00086409,0.0050042,0.00081699,0.0017499,0.0012788,0.0011535,0.013404,0.0022617,0.0010863,0.00067931,0.0064611,0.0047492,0.01046,0.005891,0.010282,0.0060491,0.011081,0.00034453,0.0099094,0.0020314,0.00611,1322.5,0.0038026,0.016425,0.033334,0.47032,0.0061437,0.0030852,0.0010336,0.0011905,0.0036891,0.14223,0.010804,0.0023234,0.0011313,0.094871,0.0017899,0.001809,0.00095064,0.0053278,0.029346,0.0035295,0.0031351,0.0030956,0.0032551,0.0016443,0.007059,0.0083497,0.0010211,0.0014725,0.0019923,0.0058351,0.0027493,0.0012771,0.001411,0.0011414,0.0085532,0.00096736,0.0044311,0.0039471,0.00087855,0.00023489,0.001776,0.25108,0.0012928,2.664,0.0045108,0.0039691
2,1.0683e-05,-7.8597,4.836e-06,4.0327e-06,8.7237e-06,1.0036e-05,1.1953e-05,6.3808e-06,5.6713e-06,1.369e-05,6.5519e-06,7.0558e-06,1.1237e-05,7.0879e-06,4.6282e-06,7.0517e-06,1.0176e-05,1.1015e-05,5.5353e-06,5.5794e-06,6.4404e-06,4.7509e-06,5.9799e-06,7.2197e-06,1.2895e-05,5.0086e-06,5.2498e-06,5.8609e-06,9.741e-06,7.7589e-06,1.1854e-05,9.8607e-06,1.3134e-05,9.7888e-06,1.2826e-05,6.6382e-06,1.29e-05,7.6416e-06,7.3335e-06,1.235e-05,9.505e-06,1.1257e-05,7.8191e-06,1.0961e-05,7.7114e-06,6.6339e-06,7.2873e-06,7.4648e-06,8.2206e-06,1.3741e-05,1.4213e-05,5.1202e-06,5.2536e-06,1.1627e-05,7.7449e-06,8.1892e-06,6.1681e-06,7.9062e-06,7.8232e-06,9.6019e-06,-1.6725e-06,6.8556e-06,8.2747e-06,8.8871e-06,1.0322e-05,9.2268e-06,7.1254e-06,7.6456e-06,6.5543e-06,1.3366e-05,6.7395e-06,6.2669e-06,4.8885e-06,5.5735e-06,1.1103e-05,6.126e-06,7.6045e-06,7.8622e-06,7.6628e-06,8.1469e-06,6.4334e-06,1.0218e-05,6.4364e-06,0.39258,5.4901e-06,1.1197e-05
3,1.3029e-06,3.3722e-07,-6.6613,7.7076e-07,1.263e-06,6.7894e-07,2.6758e-06,1.5939e-07,3.3542e-07,2.5142e-06,2.0264e-07,8.0091e-07,7.0077e-07,1.1103e-06,2.5726e-07,5.427e-07,6.2924e-07,9.8641e-07,2.9654e-07,4.4079e-07,5.5502e-07,2.8985e-07,2.4226e-07,1.8659e-07,1.5261e-06,3.1362e-07,3.0623e-07,2.3584e-07,7.2568e-07,4.9547e-07,1.1761e-06,1.1128e-06,1.0038e-06,8.8112e-07,1.1131e-06,3.1893e-07,1.2519e-06,2.1968e-07,8.5429e-07,1.8322e-06,6.5896e-07,1.0175e-06,1.7427e-06,2.6363e-06,7.6296e-07,7.1202e-07,3.2562e-07,3.8993e-07,6.4946e-07,2.1604e-06,1.813e-06,2.115e-07,3.1251e-07,2.3746e-06,5.2966e-07,4.9558e-07,1.4178e-07,5.8163e-07,1.2238e-06,9.6173e-07,2.5909e-08,9.6606e-07,2.5528e-07,3.9862e-07,1.2139e-06,1.1465e-06,5.1694e-07,4.023e-07,5.3982e-07,1.591e-06,5.5921e-07,3.6268e-07,3.6283e-07,1.6552e-07,1.1415e-06,3.2526e-07,6.1929e-07,9.4886e-07,3.5703e-07,2.7461e-07,3.5921e-07,1.2192e-06,6.5765e-07,8.8759e-06,7.313e-07,6.1965e-07
4,2.1972e-06,2.2612e-07,6.4101e-07,-6.3322,2.2827e-06,7.7747e-07,2.4306e-06,6.691e-08,2.2264e-07,2.6938e-06,2.2472e-07,1.1533e-06,1.2872e-06,1.6546e-06,4.1104e-07,8.6093e-07,8.7303e-07,1.4127e-06,1.9635e-07,1.019e-06,5.6369e-07,5.1371e-07,4.6646e-07,2.6654e-07,2.0595e-06,6.1468e-07,5.0927e-07,1.1361e-07,1.6128e-06,8.0515e-07,1.5624e-06,1.4153e-06,2.0078e-06,1.3126e-06,2.0629e-06,2.2309e-07,1.7348e-06,3.4558e-07,1.4335e-06,4.2219e-06,9.0664e-07,1.5928e-06,2.1936e-06,2.7296e-06,1.7703e-06,8.194e-07,2.8271e-07,3.0223e-07,1.0966e-06,2.1883e-06,2.132e-06,4.2304e-07,2.5268e-07,2.3092e-06,7.5034e-07,7.2422e-07,4.9918e-07,7.7735e-07,2.3026e-06,1.102e-06,6.1121e-07,7.1126e-07,5.444e-07,4.7439e-07,1.2367e-06,1.0827e-06,4.1062e-07,2.8749e-07,5.7508e-07,1.3121e-06,6.0419e-07,3.9543e-07,5.2975e-07,2.6564e-07,1.6508e-06,2.9313e-07,1.1068e-06,1.4924e-06,3.15e-07,2.3616e-07,2.9253e-07,2.8761e-06,6.1128e-07,0.30357,1.0807e-06,1.0704e-06
5,0.0015751,8.0819e-05,0.00014303,0.0003259,-9.863,0.00019493,0.00086268,4.79e-05,6.5549e-06,0.0022304,3.7322e-05,0.00030921,0.00035931,0.00078627,0.00011311,0.00021882,0.00019369,0.00029177,5.1018e-05,0.00038969,0.00012776,0.0001238,5.8214e-05,6.5428e-05,0.00073017,0.00013087,8.81e-05,4.2499e-05,0.00030795,0.0002898,0.00042802,0.00037774,0.0006133,0.00032937,0.00063601,1.7034e-05,0.00052303,0.00011144,0.0003602,49.24,0.00026761,0.00047712,0.00079957,0.0015623,0.00043544,0.00019248,6.9988e-05,0.00010953,0.00028675,0.0017551,0.00067098,0.0001532,7.5552e-05,0.0025726,0.00017931,0.00018447,6.0658e-05,0.00030154,0.002378,0.00025998,0.00034302,0.00029603,0.0001797,0.00012136,0.00051085,0.00054253,8.0967e-05,7.9376e-05,0.00015527,0.00033783,0.00020144,8.757e-05,8.7006e-05,7.5181e-05,0.0004073,6.3081e-05,0.00027517,0.00039338,6.8043e-05,3.4376e-05,0.0001068,0.0074531,9.939e-05,-0.091819,0.00031592,0.00028022
6,4.7062e-06,1.0267e-06,1.0083e-06,1.388e-06,4.5399e-06,-7.385,5.6582e-06,8.0271e-07,1.0918e-06,6.1117e-06,7.5185e-07,2.3071e-06,2.8056e-06,3.6852e-06,8.4499e-07,1.646e-06,1.6623e-06,2.5221e-06,6.657e-07,1.638e-06,1.1113e-06,9.2642e-07,9.8045e-07,9.6446e-07,4.4887e-06,8.6173e-07,1.0208e-06,8.8989e-07,2.3206e-06,1.7554e-06,3.6155e-06,2.9277e-06,3.3345e-06,2.3218e-06,4.0673e-06,6.45e-07,3.0948e-06,1.2102e-06,2.585e-06,7.2409e-06,1.9843e-06,3.0369e-06,3.8592e-06,5.5072e-06,2.6971e-06,1.7662e-06,9.4448e-07,1.0246e-06,1.8861e-06,4.3949e-06,5.7061e-06,1.2172e-06,7.4128e-07,4.4284e-06,1.9027e-06,1.9221e-06,1.1935e-06,1.6151e-06,4.7508e-06,2.3533e-06,1.0101e-06,1.3111e-06,1.48e-06,1.0409e-06,2.5676e-06,2.6389e-06,9.9627e-07,1.0583e-06,1.391e-06,3.3152e-06,1.4376e-06,6.9119e-07,9.7861e-07,6.8786e-07,3.5942e-06,8.6469e-07,1.7467e-06,1.8615e-06,1.0438e-06,1.035e-06,9.5353e-07,4.4703e-06,1.2887e-06,0.34813,2.1573e-06,2.055e-06
7,0.0020695,7.8816e-05,0.00020713,0.00028112,0.00096811,0.00051481,-22.004,0.00012545,0.0002277,17.276,-9.4462e-05,0.00060862,0.00052283,0.00091585,0.00017537,0.00031602,0.00043578,0.00062432,-1.009e-05,0.00041774,0.00024557,0.00013009,0.00014957,0.00015326,0.001678,0.00022886,0.00012543,0.00012239,0.00075338,0.00051067,0.00064223,0.0013963,0.00065216,0.00070243,0.0023233,5.6489e-05,0.0012879,9.9746e-05,0.00080409,11.218,0.00031278,0.0014288,45.948,0.0055528,0.00063687,0.00028198,2.4393e-05,0.00010794,0.00037404,0.0023261,53.052,8.8503e-05,3.7216e-05,0.004827,0.00024228,0.00023856,0.00021067,0.00044022,0.0010527,0.00062798,0.00030621,4.9432e-05,0.00028774,5.2588e-05,0.00044262,0.0005491,0.00013371,0.00023948,0.00024141,0.0011352,0.00044782,0.00015413,0.00014576,3.1092e-05,0.0020585,0.0001144,0.0004651,0.00043701,1.0426e-05,0.00011178,0.00010264,0.0029084,8.939e-05,0.90864,0.00044953,0.00040774
8,3.0129e-06,3.4074e-06,1.2301e-06,6.8648e-07,9.0267e-07,4.1762e-06,5.858e-06,-8.1786,3.6153e-06,6.2873e-06,3.9652e-06,3.8102e-06,2.402e-06,2.7822e-06,1.1419e-06,3.3529e-06,4.6297e-06,3.3792e-06,3.973e-06,-2.2758e-07,3.1074e-06,3.4775e-06,1.9761e-06,3.1249e-06,5.9901e-06,2.0552e-06,2.0897e-06,6.067e-06,9.0452e-07,1.5465e-06,4.5598e-06,6.252e-07,4.4311e-06,2.0264e-06,3.8393e-06,3.8443e-06,2.9929e-06,2.4838e-06,1.5526e-06,4.6926e-08,3.1877e-06,2.3133e-06,1.643e-06,1.5903e-06,2.7974e-07,2.3423e-06,2.5831e-06,3.4863e-06,2.4654e-06,3.3314e-06,4.5641e-06,1.7271e-06,2.6293e-06,-3.0353e-06,4.4537e-06,4.4889e-06,3.1605e-06,3.6793e-06,2.0482e-06,3.5155e-06,3.2152e-07,3.4644e-06,3.2648e-06,2.3537e-06,1.3895e-06,9.3883e-07,2.6446e-06,6.0041e-06,1.5282e-06,7.7584e-06,1.3857e-06,2.9137e-06,2.63e-06,2.6215e-06,-2.0285e-06,2.2905e-06,-5.8028e-08,1.0562e-06,2.6376e-06,3.4533e-06,2.5049e-06,7.0602e-07,4.0267e-06,4.3908e-05,2.9846e-06,3.3511e-06
9,0.0017796,0.001196,0.001021,0.0008295,0.0015742,0.0022365,0.0037858,0.0014286,-4.8938e+05,0.0016621,0.001302,0.0023157,0.00022874,0.0019179,0.0011578,0.0018335,0.0011873,0.0019644,0.0018557,0.0016751,0.0026583,0.0017737,0.0012682,0.0015108,0.0026419,0.00072956,0.0013482,0.0011246,0.00014814,0.00043325,0.0018685,0.0016659,0.00080881,0.0013865,0.0013383,0.0016863,0.001071,0.0011673,0.0010977,0.0018005,0.00089743,0.0010415,0.0014561,0.00083566,0.00087615,0.0015423,0.0013258,0.0018271,0.00045344,0.0010872,0.0041821,0.0013904,0.0017012,0.0010937,0.0018669,0.001712,0.0029446,0.00055748,0.0023714,0.0031964,0.0010835,0.0012849,0.0016693,0.0012806,0.0010932,0.0011415,0.0015214,0.0014025,0.0013975,0.0027062,0.0023681,0.00093135,0.0016141,0.0015092,0.0016487,0.0013297,0.00032568,0.0014962,0.0014243,0.001947,0.001245,0.00076172,0.00174,0.011282,0.0014318,0.001503
10,0.04288,0.0012682,0.0041244,0.0086124,0.052377,0.010766,114.22,0.00051874,0.0029563,-21.159,-0.0081482,0.015607,0.03555,0.025702,-0.0061145,0.014428,0.010322,0.016118,-0.00032692,0.015519,0.0024596,0.0066142,0.0034498,0.00083823,0.030465,0.0060243,-0.0001657,0.0065449,0.034478,0.015389,0.019416,0.0067781,0.020403,0.013323,0.17036,-0.0039242,0.039039,-0.0037221,0.013335,0.96703,0.0029955,0.14977,0.073946,0.24684,0.023153,0.0058925,-0.0084446,0.0040397,0.0082818,0.051102,0.015865,-0.0045101,0.00076794,18.23,0.0090859,0.0090093,-0.00075132,0.02538,0.12892,0.0027273,0.01517,-0.0029156,0.0031731,-0.0076824,0.016031,0.045192,0.006665,0.0022979,-0.01123,0.0039684,0.0065778,0.003276,-0.00041035,-0.0020498,0.02548,0.0011656,0.0066115,0.034972,-0.00087165,-0.000753,0.0027203,61.047,0.0041056,0.31146,0.0056176,0.0096726
