0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
1,-274.16,0.0011271,0.0018186,0.0044795,0.0099374,0.0019221,0.01611,0.0008552,-0.00026009,255.14,0.00041147,0.0031978,0.0073403,0.010959,0.001748,0.002494,0.0032037,0.0038112,0.00086269,0.0050029,0.00081705,0.0017481,0.0012775,0.0011523,0.013395,0.0022603,0.0010856,0.00067773,0.0064577,0.0047445,0.010453,0.0058883,0.010276,0.0060457,0.011074,0.00034403,0.0099043,0.002031,0.0061067,1322.5,0.0037982,0.016418,0.033325,0.47031,0.0061407,0.0030818,0.0010317,0.0011891,0.0036857,0.14223,0.0108,0.0023213,0.0011299,0.094861,0.0017887,0.0018075,0.0009501,0.0053242,0.029342,0.0035278,0.0031372,0.0030925,0.0032519,0.0016413,0.0070545,0.0083438,0.0010211,0.0014701,0.0019898,0.0058298,0.0027474,0.0012753,0.0014099,0.0011396,0.0085501,0.00096546,0.0044294,0.0039465,0.00087711,0.0002345,0.0017738,0.25108,0.0012903,2.664,0.0045091,0.0039662
2,1.0667e-05,-7.8597,4.8328e-06,4.0301e-06,8.7112e-06,1.0027e-05,1.1936e-05,6.3713e-06,5.6697e-06,1.366e-05,6.5461e-06,7.048e-06,1.1217e-05,7.0768e-06,4.6265e-06,7.0461e-06,1.017e-05,1.1006e-05,5.5308e-06,5.5682e-06,6.4367e-06,4.7451e-06,5.974e-06,7.2154e-06,1.2875e-05,5.003e-06,5.243e-06,5.8538e-06,9.7271e-06,7.7535e-06,1.1841e-05,9.8558e-06,1.3118e-05,9.7853e-06,1.2807e-05,6.6314e-06,1.2879e-05,7.6376e-06,7.3252e-06,1.2336e-05,9.498e-06,1.124e-05,7.8122e-06,1.094e-05,7.7042e-06,6.6291e-06,7.2818e-06,7.4562e-06,8.2128e-06,1.3717e-05,1.4196e-05,5.1165e-06,5.249e-06,1.1616e-05,7.7386e-06,8.1812e-06,6.1654e-06,7.8944e-06,7.8085e-06,9.596e-06,-1.6641e-06,6.8474e-06,8.2693e-06,8.8786e-06,1.031e-05,9.2164e-06,7.1188e-06,7.6385e-06,6.5482e-06,1.3344e-05,6.7323e-06,6.259e-06,4.8859e-06,5.5694e-06,1.1093e-05,6.1198e-06,7.6031e-06,7.8553e-06,7.6584e-06,8.1407e-06,6.4279e-06,1.0205e-05,6.4292e-06,0.39258,5.4863e-06,1.1189e-05
3,1.3015e-06,3.3698e-07,-6.6613,7.7013e-07,1.2617e-06,6.7835e-07,2.6723e-06,1.5932e-07,3.354e-07,2.5105e-06,2.0234e-07,8.0012e-07,7.0008e-07,1.1092e-06,2.5748e-07,5.4221e-07,6.2876e-07,9.8603e-07,2.9635e-07,4.4032e-07,5.5473e-07,2.8944e-07,2.4225e-07,1.8644e-07,1.5242e-06,3.1361e-07,3.0621e-07,2.3557e-07,7.2517e-07,4.953e-07,1.1744e-06,1.1122e-06,1.0027e-06,8.8089e-07,1.1122e-06,3.1858e-07,1.2503e-06,2.2e-07,8.5344e-07,1.8305e-06,6.5851e-07,1.0164e-06,1.7408e-06,2.6331e-06,7.6188e-07,7.1169e-07,3.2573e-07,3.8957e-07,6.4911e-07,2.1574e-06,1.8114e-06,2.115e-07,3.1201e-07,2.3704e-06,5.2914e-07,4.9497e-07,1.4187e-07,5.813e-07,1.2229e-06,9.6119e-07,2.6426e-08,9.6497e-07,2.5514e-07,3.9854e-07,1.2124e-06,1.1449e-06,5.1645e-07,4.0189e-07,5.3921e-07,1.5889e-06,5.588e-07,3.6249e-07,3.6281e-07,1.6549e-07,1.1403e-06,3.2483e-07,6.1905e-07,9.4775e-07,3.5701e-07,2.7434e-07,3.5881e-07,1.2185e-06,6.5714e-07,8.8746e-06,7.3063e-07,6.1908e-07
4,2.1967e-06,2.2595e-07,6.4047e-07,-6.3322,2.2826e-06,7.7734e-07,2.4292e-06,6.7062e-08,2.2272e-07,2.692e-06,2.247e-07,1.153e-06,1.2864e-06,1.6546e-06,4.1083e-07,8.6074e-07,8.7265e-07,1.4123e-06,1.9596e-07,1.019e-06,5.6351e-07,5.1323e-07,4.6627e-07,2.6627e-07,2.0585e-06,6.1442e-07,5.0917e-07,1.1381e-07,1.6118e-06,8.0488e-07,1.5615e-06,1.4148e-06,2.0069e-06,1.3122e-06,2.062e-06,2.2292e-07,1.7341e-06,3.4576e-07,1.4332e-06,4.2214e-06,9.061e-07,1.5919e-06,2.1927e-06,2.7282e-06,1.7692e-06,8.189e-07,2.8244e-07,3.0194e-07,1.0956e-06,2.1879e-06,2.1318e-06,4.2317e-07,2.5234e-07,2.309e-06,7.5023e-07,7.2409e-07,4.9877e-07,7.7734e-07,2.3027e-06,1.1016e-06,6.1241e-07,7.1086e-07,5.4413e-07,4.7387e-07,1.2364e-06,1.0825e-06,4.1044e-07,2.8728e-07,5.7463e-07,1.3112e-06,6.0405e-07,3.95e-07,5.292e-07,2.6512e-07,1.6502e-06,2.9255e-07,1.1067e-06,1.4917e-06,3.1467e-07,2.3608e-07,2.922e-07,2.8758e-06,6.1084e-07,0.30357,1.0807e-06,1.0699e-06
5,0.0015749,8.0695e-05,0.00014289,0.00032593,-9.863,0.00019485,0.00086233,4.7827e-05,6.5262e-06,0.0022299,3.7197e-05,0.0003091,0.00035898,0.00078612,0.00011319,0.00021873,0.00019365,0.00029168,5.0919e-05,0.00038963,0.00012781,0.00012369,5.8203e-05,6.5393e-05,0.00072971,0.00013089,8.8089e-05,4.2444e-05,0.00030785,0.0002896,0.00042783,0.00037765,0.00061309,0.00032925,0.00063573,1.6985e-05,0.00052279,0.00011146,0.00036022,49.24,0.00026744,0.00047683,0.00079914,0.0015616,0.00043531,0.00019234,6.9904e-05,0.00010939,0.00028657,0.0017546,0.00067081,0.00015315,7.5455e-05,0.0025721,0.00017928,0.0001844,6.0656e-05,0.00030145,0.0023779,0.00025995,0.00034315,0.00029579,0.00017958,0.00012118,0.00051059,0.00054223,8.0981e-05,7.9305e-05,0.00015518,0.00033756,0.00020136,8.7444e-05,8.702e-05,7.5082e-05,0.0004072,6.2922e-05,0.00027505,0.00039324,6.7942e-05,3.4338e-05,0.0001067,0.0074531,9.9299e-05,-0.091818,0.00031588,0.00028014
6,4.7022e-06,1.0258e-06,1.0074e-06,1.3878e-06,4.5366e-06,-7.385,5.6533e-06,8.0181e-07,1.0906e-06,6.1057e-06,7.5123e-07,2.3051e-06,2.8027e-06,3.6823e-06,8.4464e-07,1.6449e-06,1.6612e-06,2.5207e-06,6.6511e-07,1.6363e-06,1.1108e-06,9.2558e-07,9.7958e-07,9.6355e-07,4.4846e-06,8.6173e-07,1.0199e-06,8.8911e-07,2.319e-06,1.7538e-06,3.6123e-06,2.9257e-06,3.3318e-06,2.3204e-06,4.0639e-06,6.4434e-07,3.0921e-06,1.2095e-06,2.583e-06,7.2375e-06,1.9824e-06,3.0341e-06,3.856e-06,5.5005e-06,2.6949e-06,1.7645e-06,9.4365e-07,1.0235e-06,1.8847e-06,4.3908e-06,5.7017e-06,1.2165e-06,7.4061e-07,4.4246e-06,1.9013e-06,1.9207e-06,1.193e-06,1.614e-06,4.7475e-06,2.3514e-06,1.0105e-06,1.3099e-06,1.4788e-06,1.0397e-06,2.5656e-06,2.6368e-06,9.9569e-07,1.0577e-06,1.3899e-06,3.3118e-06,1.4365e-06,6.9066e-07,9.7776e-07,6.8718e-07,3.5906e-06,8.6326e-07,1.7459e-06,1.8602e-06,1.043e-06,1.0343e-06,9.5252e-07,4.4678e-06,1.2874e-06,0.34813,2.156e-06,2.0534e-06
7,0.002069,7.8756e-05,0.00020703,0.00028119,0.00096815,0.00051442,-22.004,0.00012533,0.0002275,17.276,-9.4182e-05,0.00060827,0.00052268,0.00091561,0.00017528,0.00031587,0.00043563,0.00062416,-9.8992e-06,0.00041753,0.00024546,0.00013,0.00014945,0.00015317,0.0016774,0.00022873,0.0001254,0.0001223,0.00075306,0.00051013,0.00064193,0.0013957,0.00065221,0.0007022,0.0023224,5.6516e-05,0.0012873,9.9964e-05,0.00080357,11.218,0.00031258,0.0014283,45.948,0.0055522,0.00063651,0.00028173,2.4349e-05,0.00010789,0.00037378,0.0023258,53.052,8.8746e-05,3.7256e-05,0.0048265,0.00024225,0.00023847,0.00021069,0.0004399,0.0010527,0.00062765,0.00030631,4.9781e-05,0.00028757,5.2661e-05,0.00044252,0.00054893,0.00013376,0.00023927,0.00024132,0.0011347,0.00044759,0.00015388,0.00014564,3.1184e-05,0.002058,0.0001143,0.00046492,0.00043693,1.0515e-05,0.00011181,0.00010259,0.0029081,8.954e-05,0.90864,0.00044949,0.00040761
8,3.0085e-06,3.4024e-06,1.2297e-06,6.8809e-07,9.0205e-07,4.1716e-06,5.8518e-06,-8.1786,3.6132e-06,6.2776e-06,3.9621e-06,3.8075e-06,2.3997e-06,2.7807e-06,1.143e-06,3.3512e-06,4.6298e-06,3.3758e-06,3.9702e-06,-2.3441e-07,3.1055e-06,3.4771e-06,1.9756e-06,3.1221e-06,5.9815e-06,2.0537e-06,2.0897e-06,6.0624e-06,9.0942e-07,1.5448e-06,4.5568e-06,6.2603e-07,4.4247e-06,2.0269e-06,3.8339e-06,3.84e-06,2.992e-06,2.483e-06,1.5521e-06,4.6831e-08,3.1838e-06,2.313e-06,1.6473e-06,1.5813e-06,2.8118e-07,2.3414e-06,2.5809e-06,3.4826e-06,2.4631e-06,3.324e-06,4.5592e-06,1.7234e-06,2.6293e-06,-3.0262e-06,4.4506e-06,4.4855e-06,3.158e-06,3.6768e-06,2.0452e-06,3.515e-06,3.2143e-07,3.4591e-06,3.2621e-06,2.3507e-06,1.3902e-06,9.4078e-07,2.6415e-06,5.9982e-06,1.529e-06,7.7524e-06,1.3841e-06,2.9104e-06,2.6299e-06,2.6193e-06,-2.0334e-06,2.2875e-06,-5.3613e-08,1.058e-06,2.6357e-06,3.4501e-06,2.5016e-06,7.0348e-07,4.0239e-06,4.3904e-05,2.9831e-06,3.3455e-06
9,0.0017772,0.0011957,0.0010209,0.00082981,0.0015717,0.0022342,0.0037824,0.0014278,-4.8938e+05,0.0016607,0.0013008,0.0023126,0.00022926,0.001916,0.0011579,0.0018312,0.0011861,0.0019636,0.0018541,0.0016723,0.002657,0.0017722,0.0012668,0.0015089,0.0026395,0.00072954,0.0013471,0.0011241,0.00014874,0.00043203,0.0018663,0.0016653,0.00080653,0.0013855,0.0013356,0.001685,0.0010705,0.0011658,0.0010969,0.0017968,0.0008969,0.0010408,0.001456,0.00083489,0.00087476,0.0015405,0.0013242,0.0018253,0.00045365,0.0010866,0.0041785,0.0013896,0.0016993,0.0010918,0.0018647,0.0017097,0.0029433,0.00055691,0.0023671,0.0031927,0.0010831,0.0012856,0.0016674,0.0012798,0.0010918,0.0011403,0.0015201,0.0014025,0.0013964,0.0027031,0.0023668,0.00092998,0.001612,0.0015077,0.001646,0.0013274,0.00032644,0.001494,0.0014228,0.001945,0.0012431,0.0007592,0.0017385,0.01128,0.0014305,0.0015016
10,0.042877,0.0012621,0.0041276,0.0086173,0.052374,0.010766,114.22,0.00051961,0.0029523,-21.158,-0.0081362,0.0156,0.035544,0.025701,-0.006081,0.014403,0.010317,0.016124,-0.0003316,0.01552,0.0024649,0.0066,0.0034443,0.00083975,0.030462,0.0060321,-0.00015674,0.0065247,0.034465,0.015384,0.019424,0.0068272,0.020387,0.013335,0.17031,-0.0039195,0.039019,-0.0036899,0.013346,0.96701,0.0030101,0.14973,0.073939,0.24686,0.023164,0.0059046,-0.008428,0.0040322,0.0082985,0.051083,0.015881,-0.0044905,0.00076317,18.23,0.0090721,0.0089932,-0.00074306,0.025368,0.12889,0.0027617,0.015172,-0.002895,0.0031793,-0.0076636,0.016028,0.045173,0.0066615,0.0023029,-0.011176,0.0039769,0.0065855,0.0032729,-0.00039607,-0.0020428,0.025493,0.0011601,0.0066414,0.03493,-0.00086896,-0.00075046,0.0027114,61.047,0.0040985,0.31155,0.0056444,0.0096756
