Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,1188.00,1190.00,1180.00,1181.00,259600,1082.015
2010-12-30,1181.00,1191.00,1175.00,1182.00,352900,1082.931
2010-12-29,1186.00,1190.00,1179.00,1182.00,613600,1082.931
2010-12-27,1180.00,1180.00,1180.00,1180.00,000,1081.099
2010-12-24,1166.00,1187.00,1166.00,1180.00,394700,1081.099
2010-12-23,1159.00,1175.00,1159.00,1166.00,602900,1068.272
2010-12-22,1146.00,1160.00,1141.00,1160.00,671700,1062.775
2010-12-21,1130.00,1151.00,1129.00,1149.00,755200,1052.697
2010-12-20,1137.00,1137.00,1124.00,1128.00,983500,1033.457
2010-12-17,1145.00,1148.00,1130.00,1133.00,1118400,1038.038
2010-12-16,1139.00,1139.00,1139.00,1139.00,853700,1043.535
2010-12-15,1105.00,1127.00,1103.00,1125.00,1223100,1030.708
2010-12-14,1105.00,1109.00,1096.00,1108.00,519600,1015.133
2010-12-13,1096.00,1108.00,1092.00,1104.00,499700,1011.468
2010-12-10,1109.00,1127.00,1088.00,1091.00,2145000,999.558
2010-12-09,1112.00,1117.00,1102.00,1105.00,600500,1012.385
2010-12-08,1120.00,1130.00,1098.00,1106.00,732100,1013.301
2010-12-07,1115.00,1147.00,1113.00,1136.00,981300,1024.295
2010-12-06,1097.00,1115.00,1096.00,1110.00,648700,1000.852
2010-12-03,1103.00,1108.00,1094.00,1094.00,536200,986.425
2010-12-02,1076.00,1104.00,1074.00,1101.00,992900,992.737
2010-12-01,1064.00,1080.00,1054.00,1078.00,1115300,971.998
2010-11-30,1066.00,1070.00,1060.00,1061.00,743400,956.67
2010-11-29,1088.00,1088.00,1063.00,1067.00,638800,962.08
2010-11-26,1080.00,1086.00,1071.00,1083.00,411200,976.507
2010-11-25,1077.00,1085.00,1074.00,1083.00,853900,976.507
2010-11-24,1063.00,1081.00,1058.00,1080.00,812500,973.802
2010-11-23,1072.00,1075.00,1057.00,1057.00,615900,953.063
2010-11-22,1092.00,1092.00,1073.00,1075.00,455800,969.293
2010-11-19,1080.00,1087.00,1071.00,1084.00,694600,977.408
2010-11-18,1075.00,1082.00,1068.00,1080.00,1207000,973.802
2010-11-17,1066.00,1077.00,1065.00,1069.00,1362900,963.883
2010-11-16,1094.00,1094.00,1072.00,1072.00,910300,966.588
2010-11-15,1083.00,1099.00,1079.00,1094.00,535400,986.425
2010-11-12,1093.00,1097.00,1082.00,1087.00,845100,980.113
2010-11-11,1094.00,1108.00,1085.00,1099.00,1927300,990.933
2010-11-10,1107.00,1112.00,1093.00,1100.00,2646200,991.835
2010-11-09,1060.00,1113.00,1058.00,1107.00,2890700,998.147
2010-11-08,1072.00,1084.00,1072.00,1073.00,1039900,967.49
2010-11-05,1060.00,1075.00,1060.00,1071.00,1185800,965.687
2010-11-04,1060.00,1065.00,1057.00,1061.00,953600,956.67
2010-11-03,1059.00,1066.00,1041.00,1049.00,1179000,945.85
2010-11-02,1049.00,1063.00,1049.00,1061.00,810700,956.67
2010-11-01,1050.00,1057.00,1043.00,1048.00,513100,944.948
2010-10-29,1045.00,1052.00,1041.00,1047.00,965200,944.047
2010-10-28,1046.00,1056.00,1043.00,1049.00,955300,945.85
2010-10-27,1048.00,1058.00,1045.00,1045.00,683800,942.243
2010-10-26,1059.00,1064.00,1049.00,1054.00,1306900,950.358
2010-10-25,1063.00,1068.00,1058.00,1060.00,671300,955.768
2010-10-22,1056.00,1063.00,1047.00,1061.00,776000,956.67
2010-10-21,1035.00,1067.00,1033.00,1060.00,1597300,955.768
2010-10-20,1042.00,1047.00,1028.00,1035.00,724500,933.227
2010-10-19,1050.00,1050.00,1038.00,1047.00,700700,944.047
2010-10-18,1038.00,1051.00,1038.00,1047.00,353300,944.047
2010-10-15,1056.00,1056.00,1040.00,1042.00,618300,939.538
2010-10-14,1056.00,1059.00,1048.00,1052.00,550400,948.555
2010-10-13,1055.00,1068.00,1049.00,1053.00,965100,949.457
2010-10-12,1040.00,1051.00,1029.00,1048.00,543200,944.948
2010-10-11,1041.00,1048.00,1034.00,1042.00,1800500,939.538
2010-10-08,1051.00,1058.00,1021.00,1044.00,887500,941.342
2010-10-07,1057.00,1062.00,1048.00,1055.00,869100,951.26
2010-10-06,1050.00,1059.00,1048.00,1054.00,1324100,950.358
2010-10-05,1040.00,1057.00,1038.00,1048.00,1406700,944.948
2010-10-04,1029.00,1038.00,1018.00,1036.00,997400,934.128
2010-10-01,1053.00,1053.00,1027.00,1031.00,1606200,929.62
2010-09-30,1052.00,1062.00,1046.00,1049.00,1563800,945.85
2010-09-29,1060.00,1070.00,1058.00,1059.00,737500,954.867
2010-09-28,1060.00,1062.00,1051.00,1061.00,934600,956.67
2010-09-27,1068.00,1077.00,1060.00,1061.00,699500,956.67
2010-09-24,1062.00,1076.00,1057.00,1071.00,625800,965.687
2010-09-23,1074.00,1074.00,1055.00,1067.00,783500,962.08
2010-09-22,1073.00,1079.00,1062.00,1068.00,522500,962.982
2010-09-21,1076.00,1087.00,1067.00,1073.00,1141800,967.49
2010-09-20,1058.00,1075.00,1056.00,1075.00,861100,969.293
2010-09-17,1056.00,1070.00,1048.00,1050.00,1623100,946.752
2010-09-16,1056.00,1064.00,1051.00,1052.00,1984100,948.555
2010-09-15,1069.00,1077.00,1057.00,1064.00,930500,959.375
2010-09-14,1076.00,1076.00,1058.00,1070.00,2954700,964.785
2010-09-13,1077.00,1079.00,1049.00,1072.00,3807900,966.588
2010-09-10,1071.00,1089.00,1071.00,1088.00,1106800,981.015
2010-09-09,1077.00,1090.00,1075.00,1087.00,1276500,980.113
2010-09-08,1070.00,1078.00,1063.00,1077.00,1388600,971.097
2010-09-07,1068.00,1073.00,1063.00,1070.00,1014600,964.785
2010-09-06,1070.00,1070.00,1065.00,1068.00,807100,962.982
2010-09-03,1068.00,1077.00,1061.00,1065.00,1205600,960.277
2010-09-02,1063.00,1074.00,1057.00,1072.00,2635100,966.588
2010-09-01,1061.00,1083.00,1061.00,1069.00,1615300,963.883
2010-08-31,1045.00,1059.00,1040.00,1058.00,986300,953.965
2010-08-30,1055.00,1055.00,1055.00,1055.00,000,951.26
2010-08-27,1047.00,1060.00,1040.00,1055.00,645400,951.26
2010-08-26,1051.00,1057.00,1046.00,1052.00,612100,948.555
2010-08-25,1053.00,1061.00,1039.00,1047.00,1444300,944.047
2010-08-24,1008.00,1073.00,1008.00,1051.00,2877600,947.653
2010-08-23,1015.00,1020.00,1006.00,1016.00,637000,916.095
2010-08-20,1019.00,1026.00,1009.00,1009.00,857800,909.783
2010-08-19,1036.00,1036.00,1020.00,1022.00,2034700,921.505
2010-08-18,1025.00,1034.00,1017.00,1030.00,1553200,928.718
2010-08-17,1030.00,1030.00,1023.00,1027.00,1217200,926.013
2010-08-16,1027.00,1027.00,1015.00,1025.00,809200,924.21
2010-08-13,1027.00,1035.00,1020.00,1023.00,927800,922.407
2010-08-12,1012.00,1031.00,1012.00,1027.00,911300,926.013
2010-08-11,1031.00,1040.00,1017.00,1017.00,1633500,916.997
2010-08-10,1038.00,1041.00,1032.00,1040.00,2556800,937.735
2010-08-09,1026.00,1038.00,1022.00,1037.00,936800,935.03
2010-08-06,1030.00,1036.00,997.50,1015.00,3980800,915.193
2010-08-05,1035.00,1041.00,1029.00,1030.00,1515000,928.718
2010-08-04,1035.00,1042.00,1029.00,1037.00,1079500,935.03
2010-08-03,1043.00,1043.00,1032.00,1041.00,1037100,938.637
2010-08-02,1035.00,1042.00,1031.00,1040.00,671200,937.735
2010-07-30,1027.00,1033.00,1022.00,1027.00,1055400,926.013
2010-07-29,1045.00,1046.00,1027.00,1028.00,1900300,926.915
2010-07-28,1096.00,1096.00,1040.00,1044.00,2188700,941.342
2010-07-27,1087.00,1092.00,1074.00,1091.00,1568200,983.72
2010-07-26,1077.00,1086.00,1064.00,1086.00,1078500,979.212
2010-07-23,1059.00,1078.00,1055.00,1074.00,1393200,968.392
2010-07-22,1040.00,1061.00,1028.00,1061.00,1417700,956.67
2010-07-21,1021.00,1043.00,1021.00,1041.00,1399000,938.637
2010-07-20,1035.00,1035.00,1012.00,1015.00,2959800,915.193
2010-07-19,1057.00,1058.00,1024.00,1031.00,3220700,929.62
2010-07-16,1054.00,1066.00,1054.00,1056.00,1610300,952.162
2010-07-15,1045.00,1058.00,1042.00,1056.00,1402000,952.162
2010-07-14,1042.00,1049.00,1033.00,1049.00,1560100,945.85
2010-07-13,1013.00,1035.00,1013.00,1035.00,1314400,933.227
2010-07-12,1005.00,1013.00,1002.00,1013.00,739700,913.39
2010-07-09,1003.00,1009.00,992.00,1007.00,1171500,907.98
2010-07-08,995.00,1005.00,985.00,995.00,1700600,897.16
2010-07-07,969.50,981.00,961.00,980.50,2097500,884.086
2010-07-06,951.50,971.00,949.00,970.50,3315500,875.069
2010-07-05,949.00,953.00,945.50,947.00,400800,853.88
2010-07-02,951.00,955.50,939.50,949.00,1926900,855.683
2010-07-01,963.50,970.00,948.50,950.50,1335900,857.036
2010-06-30,973.50,976.00,960.50,974.50,1960500,878.676
2010-06-29,980.50,983.50,970.50,973.00,806700,877.323
2010-06-28,990.00,992.00,983.50,986.50,1017100,889.496
2010-06-25,994.50,999.00,983.50,986.00,1051000,889.045
2010-06-24,1009.00,1009.00,991.00,991.00,1051300,893.553
2010-06-23,1002.00,1012.00,1002.00,1003.00,1114500,904.373
2010-06-22,1004.00,1014.00,1002.00,1014.00,1080900,914.292
2010-06-21,1011.00,1015.00,1003.00,1007.00,666900,907.98
2010-06-18,1011.00,1018.00,998.00,999.00,1616900,900.767
2010-06-17,1011.00,1014.00,1001.00,1010.00,906700,910.685
2010-06-16,1021.00,1022.00,1009.00,1014.00,815700,914.292
2010-06-15,997.00,1018.00,997.00,1014.00,1056500,914.292
2010-06-14,1003.00,1004.00,995.00,1002.00,717800,903.472
2010-06-11,997.00,997.00,984.00,994.50,862500,896.709
2010-06-10,984.50,992.50,980.50,992.50,1056900,894.906
2010-06-09,967.50,986.00,961.50,986.00,956500,889.045
2010-06-08,965.50,971.00,958.50,963.50,884800,868.757
2010-06-07,962.00,973.50,958.00,966.50,1021200,871.462
2010-06-04,976.00,986.50,969.00,976.00,2858700,880.028
2010-06-03,981.00,982.50,970.50,978.00,1846900,881.831
2010-06-02,953.00,965.50,949.00,965.50,1274300,870.561
2010-06-01,958.50,966.00,949.50,963.00,1320200,861.454
2010-05-31,957.00,957.00,957.00,957.00,000,856.086
2010-05-28,960.50,961.00,953.00,957.00,1248000,856.086
2010-05-27,932.00,950.50,927.50,950.50,1388900,850.272
2010-05-26,926.00,939.50,921.50,927.00,1383900,829.25
2010-05-25,922.00,929.00,915.50,920.50,2155600,823.435
2010-05-24,939.00,942.50,931.00,940.50,1048300,841.326
2010-05-21,938.50,943.00,920.50,932.00,2067000,833.723
2010-05-20,965.50,969.00,936.50,941.50,3301900,842.221
2010-05-19,964.00,972.50,959.50,961.00,1130800,859.665
2010-05-18,967.50,982.00,962.50,978.00,1481400,874.872
2010-05-17,954.50,970.00,951.50,965.00,1504300,863.243
2010-05-14,980.50,986.00,960.50,962.00,2014300,860.559
2010-05-13,985.00,993.50,980.00,988.50,1041400,884.265
2010-05-12,964.00,985.00,958.50,978.50,1383800,875.319
2010-05-11,960.50,969.50,955.50,965.50,1023400,863.69
2010-05-10,934.00,972.50,928.00,971.50,3256500,869.057
2010-05-07,954.00,973.50,909.00,918.00,4457300,821.199
2010-05-06,978.00,991.50,969.50,979.00,1187000,875.767
2010-05-05,1004.00,1009.00,984.00,985.00,3602500,881.134
2010-05-04,982.00,982.00,982.00,982.00,1048000,878.45
