Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,1528.00,1529.00,1515.00,1515.00,143200,1246.581
2010-12-30,1530.00,1538.00,1520.00,1522.00,183300,1252.341
2010-12-29,1548.00,1548.00,1510.00,1525.00,509600,1254.809
2010-12-27,1545.00,1545.00,1545.00,1545.00,000,1271.266
2010-12-24,1541.00,1545.00,1528.00,1545.00,12300,1271.266
2010-12-23,1551.00,1555.00,1530.00,1540.00,177700,1267.152
2010-12-22,1555.00,1559.00,1544.00,1547.00,256100,1272.911
2010-12-21,1579.00,1587.00,1551.00,1553.00,414500,1277.848
2010-12-20,1553.00,1562.00,1545.00,1561.00,653100,1284.431
2010-12-17,1559.00,1561.00,1536.00,1551.00,847200,1276.203
2010-12-16,1550.00,1550.00,1550.00,1550.00,588400,1275.38
2010-12-15,1534.00,1555.00,1532.00,1551.00,365200,1276.203
2010-12-14,1553.00,1553.00,1526.00,1535.00,639500,1263.037
2010-12-13,1559.00,1571.00,1553.00,1556.00,358300,1280.317
2010-12-10,1567.00,1574.00,1537.00,1556.00,381500,1280.317
2010-12-09,1584.00,1600.00,1555.00,1563.00,600400,1286.077
2010-12-08,1604.00,1620.00,1563.00,1575.00,694800,1295.95
2010-12-07,1614.00,1617.00,1606.00,1615.00,340600,1328.863
2010-12-06,1613.00,1613.00,1598.00,1610.00,249300,1324.749
2010-12-03,1595.00,1616.00,1579.00,1606.00,474600,1321.458
2010-12-02,1572.00,1597.00,1560.00,1589.00,397700,1307.47
2010-12-01,1544.00,1578.00,1533.00,1561.00,526600,1284.431
2010-11-30,1547.00,1561.00,1528.00,1528.00,586000,1257.278
2010-11-29,1584.00,1595.00,1541.00,1541.00,514100,1267.974
2010-11-26,1561.00,1584.00,1546.00,1576.00,474800,1296.773
2010-11-25,1538.00,1575.00,1530.00,1569.00,655800,1291.013
2010-11-24,1512.00,1538.00,1494.00,1531.00,466900,1259.746
2010-11-23,1516.00,1526.00,1502.00,1509.00,362200,1241.644
2010-11-22,1567.00,1568.00,1518.00,1520.00,352100,1250.695
2010-11-19,1578.00,1581.00,1534.00,1554.00,544700,1278.671
2010-11-18,1583.00,1591.00,1569.00,1573.00,332200,1294.305
2010-11-17,1570.00,1573.00,1552.00,1570.00,551700,1291.836
2010-11-16,1580.00,1580.00,1562.00,1565.00,486700,1287.722
2010-11-15,1565.00,1585.00,1548.00,1582.00,599100,1301.71
2010-11-12,1593.00,1598.00,1558.00,1562.00,585100,1285.254
2010-11-11,1644.00,1644.00,1600.00,1603.00,448700,1318.99
2010-11-10,1677.00,1687.00,1627.00,1633.00,440500,1343.674
2010-11-09,1678.00,1697.00,1671.00,1671.00,385800,1374.942
2010-11-08,1692.00,1700.00,1680.00,1680.00,194500,1382.347
2010-11-05,1683.00,1700.00,1677.00,1693.00,295100,1393.044
2010-11-04,1696.00,1696.00,1666.00,1680.00,687200,1382.347
2010-11-03,1642.00,1721.00,1642.00,1670.00,1592900,1374.119
2010-11-02,1603.00,1645.00,1603.00,1627.00,422300,1338.737
2010-11-01,1636.00,1644.00,1608.00,1611.00,334800,1325.572
2010-10-29,1645.00,1652.00,1630.00,1630.00,470200,1341.206
2010-10-28,1622.00,1641.00,1614.00,1635.00,257600,1345.32
2010-10-27,1619.00,1619.00,1600.00,1611.00,293300,1325.572
2010-10-26,1615.00,1633.00,1610.00,1617.00,319600,1330.509
2010-10-25,1621.00,1629.00,1608.00,1614.00,244400,1328.041
2010-10-22,1620.00,1621.00,1602.00,1609.00,186400,1323.927
2010-10-21,1610.00,1627.00,1605.00,1620.00,437900,1332.978
2010-10-20,1616.00,1621.00,1606.00,1612.00,237300,1326.395
2010-10-19,1621.00,1622.00,1606.00,1613.00,411300,1327.218
2010-10-18,1614.00,1625.00,1610.00,1618.00,304700,1331.332
2010-10-15,1634.00,1635.00,1609.00,1616.00,428700,1329.686
2010-10-14,1635.00,1649.00,1623.00,1626.00,325400,1337.915
2010-10-13,1619.00,1641.00,1617.00,1634.00,298100,1344.497
2010-10-12,1615.00,1627.00,1604.00,1608.00,683400,1323.104
2010-10-11,1624.00,1627.00,1613.00,1624.00,300400,1336.269
2010-10-08,1616.00,1616.00,1593.00,1607.00,414800,1322.281
2010-10-07,1599.00,1607.00,1583.00,1599.00,889600,1315.698
2010-10-06,1639.00,1650.00,1576.00,1590.00,1364800,1308.293
2010-10-05,1683.00,1683.00,1648.00,1664.00,479800,1356.757
2010-10-04,1684.00,1684.00,1660.00,1671.00,316900,1362.465
2010-10-01,1676.00,1695.00,1669.00,1682.00,577200,1371.434
2010-09-30,1664.00,1691.00,1654.00,1666.00,540700,1358.388
2010-09-29,1635.00,1665.00,1624.00,1657.00,645900,1351.05
2010-09-28,1623.00,1627.00,1602.00,1625.00,399000,1324.958
2010-09-27,1640.00,1640.00,1617.00,1623.00,443600,1323.328
2010-09-24,1640.00,1640.00,1622.00,1632.00,671900,1330.666
2010-09-23,1655.00,1655.00,1628.00,1643.00,484600,1339.635
2010-09-22,1655.00,1659.00,1636.00,1650.00,664100,1345.342
2010-09-21,1674.00,1676.00,1664.00,1670.00,311100,1361.649
2010-09-20,1677.00,1683.00,1658.00,1674.00,468800,1364.911
2010-09-17,1662.00,1686.00,1655.00,1668.00,996800,1360.019
2010-09-16,1650.00,1657.00,1637.00,1654.00,420600,1348.604
2010-09-15,1636.00,1648.00,1627.00,1647.00,424700,1342.896
2010-09-14,1636.00,1646.00,1630.00,1636.00,434500,1333.927
2010-09-13,1641.00,1653.00,1628.00,1636.00,1000500,1333.927
2010-09-10,1608.00,1642.00,1595.00,1635.00,612200,1333.112
2010-09-09,1628.00,1634.00,1600.00,1605.00,648600,1308.651
2010-09-08,1564.00,1628.00,1556.00,1620.00,669400,1320.881
2010-09-07,1571.00,1573.00,1557.00,1571.00,384700,1280.929
2010-09-06,1565.00,1574.00,1556.00,1572.00,681400,1281.744
2010-09-03,1555.00,1564.00,1544.00,1560.00,690200,1271.96
2010-09-02,1580.00,1586.00,1546.00,1549.00,747500,1262.991
2010-09-01,1531.00,1570.00,1530.00,1562.00,1140600,1273.591
2010-08-31,1503.00,1528.00,1503.00,1522.00,876500,1240.976
2010-08-30,1519.00,1519.00,1519.00,1519.00,000,1238.53
2010-08-27,1523.00,1523.00,1496.00,1519.00,1052300,1238.53
2010-08-26,1531.00,1542.00,1507.00,1524.00,870400,1242.607
2010-08-25,1495.00,1556.00,1471.00,1512.00,821400,1232.823
2010-08-24,1480.00,1490.00,1447.00,1473.00,572900,1201.024
2010-08-23,1471.00,1489.00,1462.00,1477.00,317200,1204.285
2010-08-20,1483.00,1488.00,1456.00,1462.00,366200,1192.055
2010-08-19,1485.00,1507.00,1472.00,1479.00,588000,1205.916
2010-08-18,1492.00,1498.00,1475.00,1481.00,311700,1207.547
2010-08-17,1468.00,1489.00,1455.00,1489.00,395200,1214.069
2010-08-16,1459.00,1469.00,1452.00,1466.00,245800,1195.316
2010-08-13,1480.00,1480.00,1454.00,1459.00,311700,1189.609
2010-08-12,1466.00,1479.00,1461.00,1467.00,264400,1196.132
2010-08-11,1494.00,1494.00,1458.00,1464.00,713100,1193.685
2010-08-10,1501.00,1513.00,1489.00,1495.00,380400,1218.962
2010-08-09,1501.00,1509.00,1498.00,1506.00,209200,1227.931
2010-08-06,1507.00,1510.00,1481.00,1487.00,642500,1212.439
2010-08-05,1515.00,1515.00,1493.00,1498.00,564000,1221.408
2010-08-04,1519.00,1520.00,1501.00,1509.00,772300,1230.377
2010-08-03,1517.00,1518.00,1500.00,1518.00,506100,1237.715
2010-08-02,1462.00,1513.00,1460.00,1513.00,685800,1233.638
2010-07-30,1494.00,1494.00,1446.00,1448.00,622900,1180.64
2010-07-29,1481.00,1489.00,1463.00,1463.00,476600,1192.87
2010-07-28,1507.00,1513.00,1465.00,1473.00,552900,1201.024
2010-07-27,1517.00,1519.00,1496.00,1499.00,731000,1222.223
2010-07-26,1510.00,1513.00,1491.00,1506.00,424900,1227.931
2010-07-23,1492.00,1513.00,1490.00,1498.00,635800,1221.408
2010-07-22,1456.00,1488.00,1451.00,1488.00,520900,1213.254
2010-07-21,1431.00,1462.00,1428.00,1455.00,724900,1186.347
2010-07-20,1421.00,1425.00,1407.00,1425.00,579800,1161.886
2010-07-19,1410.00,1423.00,1400.00,1409.00,387600,1148.841
2010-07-16,1433.00,1434.00,1404.00,1410.00,1475700,1149.656
2010-07-15,1432.00,1448.00,1411.00,1426.00,535100,1162.702
2010-07-14,1474.00,1477.00,1412.00,1432.00,1920800,1167.594
2010-07-13,1464.00,1477.00,1455.00,1477.00,541500,1204.285
2010-07-12,1468.00,1469.00,1433.00,1460.00,766200,1190.424
2010-07-09,1474.00,1479.00,1452.00,1474.00,438500,1201.839
2010-07-08,1460.00,1483.00,1458.00,1468.00,601100,1196.947
2010-07-07,1406.00,1445.00,1393.00,1445.00,381300,1178.194
2010-07-06,1409.00,1424.00,1400.00,1418.00,361800,1156.179
2010-07-05,1398.00,1408.00,1392.00,1398.00,400100,1139.872
2010-07-02,1401.00,1408.00,1390.00,1400.00,754000,1141.503
2010-07-01,1396.00,1401.00,1380.00,1390.00,1570200,1133.349
2010-06-30,1391.00,1411.00,1382.00,1409.00,1029500,1148.841
2010-06-29,1406.00,1410.00,1384.00,1391.00,698400,1134.164
2010-06-28,1412.00,1416.00,1399.00,1413.00,420400,1152.102
2010-06-25,1411.00,1415.00,1396.00,1402.00,889300,1143.133
2010-06-24,1419.00,1419.00,1395.00,1405.00,455600,1145.579
2010-06-23,1414.00,1419.00,1397.00,1405.00,348700,1145.579
2010-06-22,1418.00,1421.00,1403.00,1417.00,432800,1155.364
2010-06-21,1432.00,1441.00,1419.00,1422.00,338800,1159.44
2010-06-18,1406.00,1425.00,1397.00,1418.00,800700,1156.179
2010-06-17,1411.00,1421.00,1394.00,1400.00,616400,1141.503
2010-06-16,1409.00,1419.00,1397.00,1415.00,508200,1153.733
2010-06-15,1373.00,1404.00,1372.00,1395.00,418900,1137.426
2010-06-14,1385.00,1386.00,1367.00,1375.00,524100,1121.119
2010-06-11,1377.00,1387.00,1360.00,1372.00,458100,1118.672
2010-06-10,1348.00,1371.00,1339.00,1366.00,609900,1113.78
2010-06-09,1332.00,1357.00,1329.00,1352.00,556000,1102.365
2010-06-08,1329.00,1331.00,1311.00,1324.00,565400,1079.535
2010-06-07,1294.00,1332.00,1294.00,1323.00,505400,1078.72
2010-06-04,1321.00,1327.00,1296.00,1315.00,714300,1072.197
2010-06-03,1321.00,1330.00,1313.00,1319.00,1118500,1075.458
2010-06-02,1312.00,1312.00,1290.00,1307.00,380900,1065.674
2010-06-01,1306.00,1322.00,1290.00,1315.00,639200,1072.197
2010-05-31,1290.00,1290.00,1290.00,1290.00,000,1051.813
2010-05-28,1289.00,1306.00,1285.00,1290.00,537200,1051.813
2010-05-27,1251.00,1285.00,1246.00,1284.00,463000,1046.921
2010-05-26,1269.00,1274.00,1237.00,1238.00,1160000,1009.414
2010-05-25,1248.00,1272.00,1242.00,1242.00,624200,1012.676
2010-05-24,1268.00,1270.00,1256.00,1267.00,449600,1033.06
2010-05-21,1258.00,1267.00,1243.00,1261.00,1238200,1028.168
2010-05-20,1278.00,1278.00,1240.00,1256.00,623800,1024.091
2010-05-19,1275.00,1280.00,1258.00,1265.00,745200,1031.429
2010-05-18,1307.00,1309.00,1282.00,1287.00,429700,1049.367
2010-05-17,1288.00,1307.00,1280.00,1293.00,387100,1054.259
2010-05-14,1310.00,1318.00,1285.00,1287.00,464800,1049.367
2010-05-13,1320.00,1331.00,1310.00,1317.00,375100,1073.828
2010-05-12,1292.00,1321.00,1287.00,1315.00,495700,1072.197
2010-05-11,1288.00,1299.00,1274.00,1288.00,318800,1050.182
2010-05-10,1277.00,1311.00,1266.00,1310.00,726800,1068.12
2010-05-07,1263.00,1274.00,1226.00,1242.00,718400,1012.676
2010-05-06,1276.00,1286.00,1266.00,1275.00,696500,1039.583
2010-05-05,1318.00,1318.00,1279.00,1282.00,536700,1045.29
2010-05-04,1332.00,1332.00,1332.00,1332.00,625000,1086.058
2010-05-03,1315.00,1315.00,1315.00,1315.00,000,1072.197
2010-04-30,1327.00,1331.00,1311.00,1315.00,452900,1072.197
2010-04-29,1309.00,1335.00,1308.00,1322.00,384400,1077.905
2010-04-28,1318.00,1318.00,1284.00,1302.00,1171300,1061.597
2010-04-27,1357.00,1357.00,1315.00,1315.00,850900,1072.197
2010-04-26,1377.00,1377.00,1350.00,1350.00,534600,1100.735
2010-04-23,1346.00,1367.00,1344.00,1355.00,936500,1104.811
2010-04-22,1328.00,1344.00,1319.00,1337.00,679700,1090.135
2010-04-21,1331.00,1333.00,1315.00,1325.00,672500,1080.351
2010-04-20,1323.00,1328.00,1313.00,1322.00,291700,1077.905
2010-04-19,1308.00,1320.00,1301.00,1312.00,498700,1069.751
2010-04-16,1326.00,1334.00,1311.00,1313.00,608700,1070.566
2010-04-15,1341.00,1361.00,1325.00,1328.00,505400,1082.797
2010-04-14,1350.00,1350.00,1336.00,1340.00,299000,1092.581
2010-04-13,1344.00,1347.00,1336.00,1340.00,475500,1092.581
2010-04-12,1348.00,1356.00,1342.00,1342.00,255900,1094.212
2010-04-09,1338.00,1345.00,1331.00,1343.00,404000,1095.027
2010-04-08,1339.00,1339.00,1318.00,1334.00,416200,1087.689
2010-04-07,1355.00,1358.00,1340.00,1345.00,889500,1096.658
2010-04-06,1332.00,1403.00,1332.00,1367.00,1347700,1114.596
2010-04-05,1332.00,1332.00,1332.00,1332.00,000,1086.058
2010-04-02,1332.00,1332.00,1332.00,1332.00,000,1086.058
2010-04-01,1326.00,1351.00,1323.00,1332.00,518200,1086.058
2010-03-31,1316.00,1325.00,1314.00,1320.00,929600,1076.274
2010-03-30,1327.00,1329.00,1313.00,1316.00,266700,1073.012
2010-03-29,1320.00,1331.00,1315.00,1325.00,487300,1080.351
2010-03-26,1310.00,1319.00,1307.00,1315.00,222100,1072.197
2010-03-25,1322.00,1326.00,1308.00,1311.00,503900,1068.936
2010-03-24,1330.00,1330.00,1306.00,1325.00,472100,1080.351
2010-03-23,1289.00,1336.00,1289.00,1327.00,976100,1081.981
2010-03-22,1279.00,1290.00,1268.00,1285.00,269900,1047.736
2010-03-19,1265.00,1285.00,1265.00,1280.00,704500,1043.659
2010-03-18,1251.00,1262.00,1248.00,1262.00,386000,1028.983
2010-03-17,1239.00,1257.00,1239.00,1253.00,562300,1021.645
2010-03-16,1254.00,1255.00,1240.00,1240.00,1102400,1011.045
2010-03-15,1241.00,1253.00,1239.00,1251.00,415000,1020.014
2010-03-12,1247.00,1250.00,1233.00,1238.00,300700,1009.414
2010-03-11,1238.00,1250.00,1238.00,1243.00,255600,1013.491
2010-03-10,1232.00,1248.00,1228.00,1240.00,442900,1011.045
2010-03-09,1252.00,1263.00,1238.00,1259.00,651000,1002.239
2010-03-08,1242.00,1252.00,1238.00,1247.00,378000,992.686
2010-03-05,1315.00,1315.00,1315.00,1315.00,428200,1046.819
2010-03-04,1226.00,1232.00,1204.00,1210.00,753700,963.232
2010-03-03,1217.00,1242.00,1195.00,1242.00,1112900,988.706
2010-03-02,1271.00,1271.00,1205.00,1223.00,1055100,973.581
2010-03-01,1250.00,1284.00,1245.00,1265.00,859500,1007.016
2010-02-26,1220.00,1242.00,1215.00,1240.00,449000,987.114
2010-02-25,1207.00,1219.00,1207.00,1213.00,580600,965.62
2010-02-24,1203.00,1219.00,1195.00,1210.00,655900,963.232
2010-02-23,1206.00,1210.00,1197.00,1199.00,384400,954.476
2010-02-22,1210.00,1214.00,1202.00,1204.00,533200,958.456
2010-02-19,1192.00,1214.00,1192.00,1212.00,611700,964.824
2010-02-18,1202.00,1207.00,1193.00,1199.00,363000,954.476
2010-02-17,1204.00,1210.00,1180.00,1200.00,376500,955.272
2010-02-16,1179.00,1199.00,1175.00,1196.00,370400,952.087
2010-02-15,1167.00,1178.00,1165.00,1170.00,230500,931.39
2010-02-12,1168.00,1173.00,1154.00,1163.00,681200,925.817
2010-02-11,1147.00,1165.00,1142.00,1162.00,485600,925.021
2010-02-10,1144.00,1145.00,1136.00,1143.00,396400,909.896
2010-02-09,1119.00,1145.00,1119.00,1138.00,454300,905.916
2010-02-08,1129.00,1136.00,1117.00,1125.00,346000,895.567
2010-02-05,1130.00,1137.00,1110.00,1129.00,568800,898.751
2010-02-04,1332.00,1332.00,1332.00,1332.00,527800,1060.352
2010-02-03,1144.00,1153.00,1134.00,1140.00,598400,907.508
2010-02-02,1132.00,1150.00,1132.00,1147.00,457200,913.081
2010-02-01,1129.00,1138.00,1127.00,1134.00,314000,902.732
2010-01-29,1129.00,1150.00,1128.00,1133.00,638700,901.936
