Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,1160.00,1163.00,1149.00,1150.00,238300,893.49
2010-12-30,1156.00,1163.00,1148.00,1155.00,226300,897.375
2010-12-29,1160.00,1162.00,1153.00,1162.00,351700,902.814
2010-12-27,1159.00,1159.00,1159.00,1159.00,000,900.483
2010-12-24,1153.00,1161.00,1152.00,1159.00,120100,900.483
2010-12-23,1160.00,1165.00,1147.00,1153.00,554200,895.821
2010-12-22,1167.00,1169.00,1158.00,1159.00,374500,900.483
2010-12-21,1164.00,1170.00,1158.00,1168.00,751500,907.475
2010-12-20,1159.00,1164.00,1154.00,1159.00,696900,900.483
2010-12-17,1138.00,1163.00,1134.00,1155.00,1973600,897.375
2010-12-16,1131.00,1131.00,1131.00,1131.00,619800,878.728
2010-12-15,1138.00,1144.00,1132.00,1136.00,809500,882.613
2010-12-14,1140.00,1150.00,1135.00,1141.00,859500,886.498
2010-12-13,1114.00,1139.00,1113.00,1138.00,493800,884.167
2010-12-10,1114.00,1122.00,1108.00,1115.00,675800,866.297
2010-12-09,1150.00,1155.00,1115.00,1116.00,1063300,867.074
2010-12-08,1150.00,1169.00,1145.00,1146.00,1022700,890.383
2010-12-07,1143.00,1157.00,1138.00,1155.00,1314400,897.375
2010-12-06,1123.00,1142.00,1117.00,1139.00,828900,884.944
2010-12-03,1141.00,1143.00,1114.00,1122.00,1178200,871.736
2010-12-02,1138.00,1144.00,1128.00,1139.00,1146000,884.944
2010-12-01,1091.00,1133.00,1089.00,1129.00,1034700,877.174
2010-11-30,1108.00,1118.00,1081.00,1081.00,1322000,839.881
2010-11-29,1127.00,1133.00,1108.00,1108.00,592700,860.859
2010-11-26,1127.00,1132.00,1116.00,1125.00,1000100,874.067
2010-11-25,1143.00,1145.00,1123.00,1128.00,832700,876.398
2010-11-24,1124.00,1138.00,1121.00,1138.00,1091100,884.167
2010-11-23,1125.00,1145.00,1121.00,1131.00,1101400,873.057
2010-11-22,1161.00,1166.00,1127.00,1130.00,1542200,872.285
2010-11-19,1158.00,1159.00,1140.00,1152.00,1156700,889.267
