Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,1645.00,1646.00,1612.00,1612.00,450800,1419.47
2010-12-30,1633.00,1644.00,1615.00,1624.00,679400,1430.036
2010-12-29,1617.00,1634.00,1609.00,1634.00,757900,1438.842
2010-12-27,1605.00,1605.00,1605.00,1605.00,000,1413.306
2010-12-24,1605.00,1605.00,1587.00,1605.00,84700,1413.306
2010-12-23,1615.00,1615.00,1591.00,1606.00,720300,1414.186
2010-12-22,1608.00,1614.00,1582.00,1605.00,1508100,1413.306
2010-12-21,1566.00,1600.00,1560.00,1594.00,1454800,1403.619
2010-12-20,1530.00,1557.00,1527.00,1547.00,874300,1362.233
2010-12-17,1546.00,1556.00,1524.00,1530.00,2310000,1347.263
2010-12-16,1528.00,1528.00,1528.00,1528.00,2102000,1345.502
2010-12-15,1540.00,1562.00,1522.00,1560.00,1323100,1373.68
2010-12-14,1562.00,1562.00,1536.00,1553.00,1195300,1367.516
2010-12-13,1515.00,1551.00,1506.00,1543.00,1854700,1358.711
2010-12-10,1520.00,1520.00,1482.00,1497.00,3013200,1318.205
2010-12-09,1535.00,1555.00,1497.00,1510.00,1845800,1329.652
2010-12-08,1508.00,1556.00,1503.00,1510.00,4052000,1329.652
2010-12-07,1470.00,1553.00,1467.00,1528.00,4585400,1345.502
2010-12-06,1447.00,1465.00,1441.00,1457.00,2230100,1282.982
2010-12-03,1412.00,1443.00,1405.00,1436.00,1927800,1264.49
2010-12-02,1388.00,1413.00,1364.00,1413.00,3368400,1244.237
2010-12-01,1340.00,1361.00,1335.00,1361.00,2079400,1198.448
2010-11-30,1304.00,1320.00,1281.00,1315.00,3633700,1157.942
2010-11-29,1336.00,1354.00,1299.00,1299.00,2539000,1143.853
2010-11-26,1359.00,1367.00,1312.00,1325.00,2175900,1166.748
2010-11-25,1377.00,1387.00,1356.00,1377.00,1689300,1212.537
2010-11-24,1327.00,1373.00,1319.00,1373.00,2598200,1209.015
2010-11-23,1352.00,1364.00,1315.00,1317.00,3468500,1159.703
2010-11-22,1398.00,1400.00,1367.00,1375.00,1896200,1210.776
2010-11-19,1403.00,1403.00,1357.00,1377.00,2401300,1212.537
2010-11-18,1395.00,1404.00,1380.00,1395.00,3272900,1228.387
2010-11-17,1349.00,1393.00,1337.00,1365.00,3417100,1201.97
2010-11-16,1410.00,1415.00,1355.00,1359.00,4668200,1196.687
2010-11-15,1426.00,1449.00,1402.00,1438.00,2229100,1266.251
2010-11-12,1424.00,1457.00,1406.00,1432.00,3385200,1260.968
2010-11-11,1465.00,1482.00,1451.00,1472.00,3136900,1296.191
2010-11-10,1447.00,1452.00,1397.00,1405.00,3337700,1237.193
2010-11-09,1426.00,1470.00,1425.00,1461.00,1477300,1286.504
2010-11-08,1429.00,1439.00,1413.00,1428.00,1459400,1257.446
2010-11-05,1399.00,1440.00,1387.00,1431.00,2217300,1260.087
2010-11-04,1353.00,1402.00,1352.00,1396.00,2851900,1229.268
2010-11-03,1390.00,1393.00,1315.00,1323.00,3597300,1164.986
2010-11-02,1336.00,1388.00,1335.00,1384.00,2215500,1218.701
2010-11-01,1322.00,1348.00,1318.00,1341.00,2356600,1180.837
2010-10-29,1327.00,1331.00,1291.00,1322.00,2072300,1164.106
2010-10-28,1317.00,1332.00,1304.00,1326.00,2533000,1167.628
2010-10-27,1288.00,1302.00,1268.00,1299.00,8547200,1143.853
2010-10-26,1317.00,1328.00,1278.00,1301.00,1722500,1145.614
2010-10-25,1285.00,1329.00,1285.00,1321.00,2417600,1163.225
2010-10-22,1265.00,1278.00,1252.00,1269.00,1629500,1117.436
2010-10-21,1255.00,1295.00,1250.00,1280.00,2036500,1127.122
2010-10-20,1245.00,1266.00,1234.00,1264.00,3230500,1113.033
2010-10-19,1296.00,1305.00,1238.00,1244.00,2410000,1095.422
2010-10-18,1282.00,1294.00,1257.00,1288.00,1723000,1134.167
2010-10-15,1321.00,1322.00,1290.00,1307.00,1701000,1150.897
2010-10-14,1310.00,1328.00,1296.00,1313.00,1422900,1156.181
2010-10-13,1264.00,1304.00,1264.00,1301.00,2124400,1145.614
2010-10-12,1253.00,1256.00,1232.00,1249.00,2086900,1099.825
2010-10-11,1277.00,1283.00,1262.00,1268.00,2436700,1116.555
2010-10-08,1251.00,1273.00,1228.00,1272.00,2768400,1120.078
2010-10-07,1287.00,1293.00,1240.00,1249.00,4393100,1099.825
2010-10-06,1277.00,1344.00,1274.00,1313.00,4191500,1156.181
2010-10-05,1212.00,1276.00,1206.00,1269.00,4960700,1117.436
2010-10-04,1251.00,1258.00,1223.00,1224.00,1909200,1077.811
2010-10-01,1243.00,1252.00,1230.00,1248.00,3035400,1098.944
2010-09-30,1225.00,1258.00,1215.00,1236.00,3087900,1088.377
2010-09-29,1232.00,1238.00,1212.00,1236.00,2803500,1088.377
2010-09-28,1186.00,1220.00,1168.00,1220.00,2979900,1074.288
2010-09-27,1189.00,1200.00,1181.00,1195.00,2048900,1052.274
2010-09-24,1182.00,1200.00,1166.00,1181.00,4194500,1039.946
2010-09-23,1209.00,1222.00,1178.00,1211.00,2490000,1066.363
2010-09-22,1187.00,1220.00,1175.00,1214.00,2121600,1069.005
2010-09-21,1185.00,1199.00,1174.00,1177.00,1770100,1036.424
2010-09-20,1165.00,1189.00,1159.00,1189.00,2201100,1046.991
2010-09-17,1174.00,1188.00,1165.00,1165.00,4292000,1025.857
2010-09-16,1153.00,1157.00,1139.00,1155.00,1365800,1017.052
2010-09-15,1153.00,1160.00,1132.00,1152.00,1997400,1014.41
2010-09-14,1150.00,1157.00,1136.00,1151.00,1645600,1011.494
2010-09-13,1140.00,1159.00,1135.00,1155.00,2717100,1015.009
2010-09-10,1120.00,1128.00,1110.00,1120.00,1088900,984.251
2010-09-09,1099.00,1130.00,1093.00,1120.00,2067500,984.251
2010-09-08,1069.00,1114.00,1063.00,1109.00,1806800,974.585
2010-09-07,1085.00,1086.00,1065.00,1076.00,2145500,945.584
2010-09-06,1100.00,1103.00,1089.00,1092.00,1530600,959.645
2010-09-03,1075.00,1105.00,1071.00,1092.00,1972600,959.645
2010-09-02,1084.00,1103.00,1075.00,1082.00,3856000,950.857
2010-09-01,1043.00,1095.00,1040.00,1094.00,2655600,961.403
2010-08-31,1014.00,1035.00,998.50,1032.00,3325900,906.917
2010-08-30,1024.00,1024.00,1024.00,1024.00,000,899.887
2010-08-27,1006.00,1028.00,992.00,1024.00,2235000,899.887
2010-08-26,982.50,1018.00,982.50,1012.00,3573600,889.342
2010-08-25,1012.00,1021.00,965.00,977.50,3772200,859.023
2010-08-24,1010.00,1016.00,971.50,1012.00,4043700,889.342
2010-08-23,1002.00,1039.00,1002.00,1027.00,1588400,902.523
2010-08-20,1027.00,1030.00,1005.00,1011.00,1380000,888.463
2010-08-19,1040.00,1055.00,1019.00,1023.00,3350300,899.008
2010-08-18,1042.00,1048.00,1034.00,1035.00,1396900,909.554
2010-08-17,1012.00,1047.00,1008.00,1047.00,2400500,920.099
2010-08-16,995.00,1011.00,990.50,1003.00,1708000,881.432
2010-08-13,1011.00,1019.00,981.00,990.50,2219600,870.447
