Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,3.744,3.745,3.725,3.725,102000,3.39977
2010-12-30,3.754,3.774,3.722,3.732,693300,3.40616
2010-12-29,3.75,3.764,3.75,3.758,313600,3.42989
2010-12-28,4.457,4.457,4.457,4.457,000,4.06786
2010-12-27,3.756,3.756,3.756,3.756,000,3.42807
2010-12-24,3.781,3.781,3.737,3.756,168300,3.42807
2010-12-23,3.758,3.779,3.734,3.77,639200,3.44084
2010-12-22,3.735,3.765,3.726,3.742,448200,3.41529
2010-12-21,3.73,3.757,3.73,3.75,638400,3.42259
2010-12-20,3.701,3.752,3.701,3.74,1160600,3.41346
2010-12-17,3.71,3.727,3.695,3.72,1225200,3.39521
2010-12-16,3.695,3.745,3.695,3.712,724200,3.38791
2010-12-15,3.70,3.72,3.695,3.712,590700,3.38791
2010-12-14,3.70,3.733,3.70,3.733,589200,3.40708
2010-12-13,3.702,3.732,3.696,3.72,211800,3.39521
2010-12-10,3.677,3.693,3.661,3.693,1167000,3.37057
2010-12-09,3.636,3.693,3.636,3.671,455400,3.35049
2010-12-08,3.675,3.6787,3.6245,3.643,998900,3.32493
2010-12-07,3.64,3.708,3.618,3.665,3828500,3.34501
2010-12-06,3.613,3.626,3.594,3.626,445700,3.30942
2010-12-03,3.625,3.625,3.595,3.595,479400,3.28112
2010-12-02,3.561,3.638,3.561,3.638,833200,3.32037
2010-12-01,3.495,3.572,3.495,3.569,290500,3.25739
2010-11-30,3.525,3.546,3.476,3.49,1033600,3.18529
2010-11-29,3.541,3.622,3.521,3.521,902900,3.21358
2010-11-26,3.526,3.547,3.492,3.547,696500,3.23731
2010-11-25,3.492,3.536,3.492,3.536,471000,3.22728
2010-11-24,3.455,3.514,3.455,3.514,519000,3.2072
2010-11-23,3.50,3.50,3.452,3.452,733600,3.15061
2010-11-22,3.547,3.563,3.50,3.505,431900,3.19898
2010-11-19,3.561,3.561,3.507,3.533,523300,3.22454
2010-11-18,3.485,3.555,3.485,3.555,740400,3.24462
2010-11-17,3.505,3.515,3.467,3.474,484800,3.17069
2010-11-16,3.599,3.599,3.508,3.509,662700,3.20263
2010-11-15,3.58,3.61,3.561,3.61,301000,3.29481
2010-11-12,3.599,3.599,3.52,3.586,514000,3.27291
2010-11-11,3.58,3.63,3.565,3.613,1319700,3.29755
2010-11-10,3.546,3.569,3.537,3.558,543300,3.24735
