Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,393.80,398.40,393.00,393.00,2303600,284.711
2010-12-30,396.70,399.30,392.30,392.80,2158000,284.566
2010-12-29,399.00,400.60,395.50,396.00,3155000,286.884
2010-12-27,399.00,399.00,399.00,399.00,000,289.057
2010-12-24,398.90,399.60,392.10,399.00,938200,289.057
2010-12-23,395.90,397.90,394.60,396.80,4158500,287.463
2010-12-22,394.30,397.10,391.00,395.30,3809700,286.377
2010-12-21,393.30,395.80,391.60,395.00,3341400,286.159
2010-12-20,385.30,393.80,384.70,390.00,4209900,282.537
2010-12-17,393.50,393.80,382.20,385.90,9369700,279.567
2010-12-16,390.60,390.60,390.60,390.60,5229900,282.972
2010-12-15,395.00,395.00,388.60,389.60,7629900,282.247
2010-12-14,391.40,394.70,388.90,394.40,8811600,285.725
2010-12-13,394.00,396.70,393.00,395.10,516300,286.232
2010-12-10,395.60,398.00,390.00,391.60,5723400,283.696
2010-12-09,392.50,399.60,390.70,394.70,10084600,285.942
2010-12-08,381.00,392.10,380.00,389.00,9429200,281.813
2010-12-07,379.10,387.70,378.50,382.80,11344000,277.321
2010-12-06,381.00,384.90,376.00,380.40,7826900,275.582
2010-12-03,386.00,386.20,375.20,379.50,11071400,274.93
2010-12-02,375.80,385.50,370.40,385.30,15221800,279.132
2010-12-01,364.00,372.40,358.60,369.20,14858700,267.469
2010-11-30,360.10,364.60,354.60,354.60,18143700,256.891
2010-11-29,373.00,378.80,359.00,359.00,15108400,260.079
2010-11-26,376.90,378.10,361.20,369.70,16413100,267.831
2010-11-25,379.50,381.80,374.90,379.30,8645400,274.785
2010-11-24,381.30,384.80,372.00,378.00,19430800,273.844
2010-11-23,393.80,396.70,383.30,383.30,10709600,277.683
2010-11-22,403.60,406.60,389.60,392.80,8197100,284.566
2010-11-19,402.20,403.50,395.10,399.00,7350700,289.057
2010-11-18,401.70,403.50,398.20,400.90,6470000,290.434
2010-11-17,394.80,399.90,393.20,397.00,6282100,287.608
2010-11-16,403.00,403.00,394.90,395.90,9234100,286.811
2010-11-15,399.60,404.80,396.70,403.80,7448300,292.535
2010-11-12,399.00,405.50,394.10,401.70,11483100,291.013
2010-11-11,419.20,420.30,400.40,403.10,17676500,292.028
2010-11-10,422.90,425.50,414.40,416.50,12507100,301.735
2010-11-09,419.10,425.70,417.60,423.10,8074100,306.517
2010-11-08,419.90,421.70,415.70,418.80,7969100,303.401
2010-11-05,416.40,420.00,412.70,418.40,13036200,303.112
2010-11-04,408.40,414.90,406.30,414.10,11978800,299.996
2010-11-03,405.50,407.00,398.60,402.50,11199200,291.593
2010-11-02,398.20,406.90,397.50,402.30,12118800,291.448
2010-11-01,404.70,411.10,396.30,397.60,10267900,288.043
2010-10-29,395.40,402.20,395.00,398.10,13052400,288.405
2010-10-28,389.60,396.00,388.20,392.70,7829600,284.493
2010-10-27,398.00,398.00,387.60,387.60,9341800,280.798
2010-10-26,394.70,401.00,394.00,399.60,8439400,289.492
2010-10-25,405.40,407.50,400.70,400.80,5378800,290.361
2010-10-22,401.60,403.10,397.90,402.40,3984800,291.52
2010-10-21,396.30,407.20,396.30,403.30,9948500,292.172
2010-10-20,396.10,400.70,396.10,400.70,7463100,290.289
2010-10-19,398.40,402.20,396.70,398.90,13196000,288.985
2010-10-18,394.30,400.20,394.30,397.70,8836700,288.115
2010-10-15,400.00,400.00,392.60,395.80,10561400,286.739
2010-10-14,404.50,404.50,397.60,398.60,10176700,288.767
2010-10-13,398.50,400.00,397.40,399.00,13804800,289.057
2010-10-12,398.00,398.00,393.30,395.00,5724900,286.159
2010-10-11,403.00,403.40,398.40,399.50,3721100,289.419
2010-10-08,400.00,402.40,394.70,400.50,7254800,290.144
2010-10-07,402.20,406.30,398.20,401.90,5681200,291.158
2010-10-06,397.60,403.70,396.90,402.10,7373400,291.303
2010-10-05,392.50,397.30,389.60,396.30,8858400,287.101
2010-10-04,400.30,401.80,392.10,392.90,10857400,284.638
2010-10-01,403.00,404.40,392.30,394.50,12619300,285.797
2010-09-30,402.10,409.00,398.90,398.90,10707600,288.985
2010-09-29,400.90,402.70,392.40,402.00,10277300,291.231
2010-09-28,396.70,400.00,391.00,396.20,8712200,287.029
2010-09-27,402.90,406.60,396.90,398.70,6135600,288.84
2010-09-24,398.50,403.80,391.80,400.90,10223000,290.434
2010-09-23,399.70,401.60,391.20,398.90,8290800,288.985
2010-09-22,409.20,411.40,397.00,397.00,13308300,287.608
2010-09-21,424.90,425.20,416.60,417.00,9123700,295.215
2010-09-20,415.50,424.10,413.30,423.50,6654100,299.817
2010-09-17,421.80,424.90,411.90,412.10,12474000,291.746
2010-09-16,416.70,420.30,412.60,416.00,7462200,294.507
2010-09-15,418.80,425.40,415.10,417.70,12327400,295.711
2010-09-14,414.30,419.60,411.50,417.60,7572200,295.64
2010-09-13,416.10,427.20,412.80,413.30,10156900,292.596
2010-09-10,392.80,411.20,392.80,409.30,13472100,289.764
2010-09-09,390.90,399.00,386.70,396.50,9666900,280.702
2010-09-08,389.70,393.10,385.40,391.00,8115100,276.808
2010-09-07,397.80,398.60,388.80,390.60,4871000,276.525
2010-09-06,395.70,401.90,395.30,398.60,5419700,282.189
2010-09-03,398.00,400.30,390.00,395.60,8537100,280.065
2010-09-02,388.50,397.00,386.60,395.20,9392400,279.782
2010-09-01,381.40,390.00,376.70,388.30,10804100,274.897
2010-08-31,375.90,380.90,371.90,379.00,14094700,268.313
2010-08-30,381.50,381.50,381.50,381.50,000,270.083
2010-08-27,376.50,384.00,374.80,381.50,11391700,270.083
