Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,2962.00,2981.00,2922.00,2922.00,1021200,2149.307
2010-12-30,2969.50,2986.50,2966.00,2966.00,1182200,2181.672
2010-12-29,2988.00,2999.50,2967.00,2975.00,1934200,2188.292
2010-12-27,2988.00,2988.00,2988.00,2988.00,000,2197.854
2010-12-24,2957.00,2988.00,2957.00,2988.00,408600,2197.854
2010-12-23,2954.50,2986.50,2954.00,2974.00,1310200,2187.557
2010-12-22,2949.00,2966.50,2945.00,2955.00,2069700,2173.581
2010-12-21,2928.50,2955.00,2928.50,2953.50,2536100,2172.478
2010-12-20,2958.50,2975.00,2937.50,2937.50,4170200,2160.709
2010-12-17,3010.00,3033.50,2941.00,2941.00,16277700,2163.283
2010-12-16,3153.00,3153.00,3153.00,3153.00,3602100,2319.222
2010-12-15,3110.50,3159.50,3101.00,3149.00,3755300,2316.28
2010-12-14,3064.50,3107.00,3063.50,3107.00,3154300,2285.386
2010-12-13,3018.50,3058.00,3012.00,3051.50,2160700,2244.562
2010-12-10,3017.50,3031.50,3002.00,3010.50,1703800,2214.404
2010-12-09,3054.00,3056.00,3014.00,3017.00,1646000,2219.186
2010-12-08,3021.50,3044.50,3020.00,3043.50,1837600,2238.678
2010-12-07,3009.00,3053.50,3001.00,3027.50,2897800,2226.909
2010-12-06,3058.00,3061.50,3017.50,3034.00,1732600,2231.69
2010-12-03,3061.50,3073.50,3032.50,3046.50,1929000,2240.885
2010-12-02,3036.50,3064.00,3006.50,3064.00,2743800,2253.757
2010-12-01,3011.00,3048.00,3004.00,3035.00,2723200,2232.426
2010-11-30,3024.00,3053.00,2994.00,2995.50,4007100,2203.371
2010-11-29,3088.50,3096.00,3023.00,3023.00,2674300,2223.599
2010-11-26,3032.50,3082.00,3021.50,3073.00,1945800,2260.377
2010-11-25,3046.00,3055.00,3024.00,3048.50,1417600,2242.356
2010-11-24,3014.50,3049.50,3000.50,3044.50,2209400,2239.414
2010-11-23,3035.00,3049.00,3010.00,3010.00,2154900,2214.037
2010-11-22,3075.00,3096.00,3048.50,3055.00,1617100,2247.137
2010-11-19,3071.50,3071.50,3040.50,3058.00,2273100,2249.344
2010-11-18,3041.50,3064.50,3029.00,3062.50,2609800,2252.654
2010-11-17,3031.50,3066.00,3015.50,3037.50,2796700,2234.265
2010-11-16,3010.00,3057.50,3010.00,3028.00,3273000,2227.277
2010-11-15,3029.50,3032.50,2996.00,3016.00,2343500,2218.45
2010-11-12,3010.50,3048.50,2864.00,3036.50,3063400,2233.529
2010-11-11,3064.00,3072.00,3033.50,3033.50,2398500,2231.322
2010-11-10,3086.00,3092.50,3058.50,3064.50,2661700,2254.125
2010-11-09,3078.00,3107.50,3067.50,3093.00,2554300,2275.088
2010-11-08,3089.50,3096.00,3075.00,3077.00,1849800,2263.319
2010-11-05,3071.00,3102.50,3068.50,3091.50,4081900,2273.985
2010-11-04,3130.00,3131.00,3059.00,3071.00,4130800,2258.906
2010-11-03,3145.00,3148.50,3102.50,3112.00,2593000,2289.064
2010-11-02,3113.00,3155.00,3108.00,3144.00,2147300,2312.602
2010-11-01,3150.00,3167.00,3105.00,3112.00,2530200,2289.064
2010-10-29,3140.50,3147.50,3122.50,3129.50,3711400,2301.936
2010-10-28,3226.00,3226.00,3098.50,3139.50,5041200,2309.292
2010-10-27,3274.50,3288.00,3226.00,3245.50,3080400,2387.261
2010-10-26,3289.00,3311.50,3256.50,3263.00,1942800,2400.133
2010-10-25,3327.50,3329.00,3296.50,3300.00,2030200,2427.349
2010-10-22,3307.00,3311.00,3271.00,3304.00,2422100,2430.291
2010-10-21,3322.50,3350.00,3298.50,3302.50,2919400,2429.188
2010-10-20,3299.00,3335.50,3291.00,3334.00,1632000,2452.358
2010-10-19,3343.50,3345.50,3306.50,3312.50,2548000,2436.544
2010-10-18,3320.50,3364.00,3309.00,3359.00,1737800,2470.747
2010-10-15,3349.50,3349.50,3297.50,3322.50,2779100,2443.899
2010-10-14,3333.50,3342.00,3316.50,3337.50,2040200,2454.933
2010-10-13,3338.00,3362.50,3334.00,3340.00,2220000,2456.772
2010-10-12,3290.00,3330.50,3253.50,3320.50,2400400,2442.428
2010-10-11,3281.00,3301.00,3276.00,3294.50,1325500,2423.304
2010-10-08,3280.00,3294.00,3246.00,3273.50,1377800,2407.857
2010-10-07,3249.00,3279.00,3241.50,3279.00,2709300,2411.902
2010-10-06,3261.00,3270.50,3224.50,3236.00,2180700,2380.273
2010-10-05,3216.50,3256.50,3198.00,3242.50,2376100,2385.054
2010-10-04,3226.00,3229.00,3195.50,3212.00,1409200,2362.62
2010-10-01,3232.50,3252.00,3211.00,3222.00,2440100,2369.975
2010-09-30,3236.00,3283.50,3229.00,3233.50,3010200,2378.434
2010-09-29,3288.00,3303.00,3234.50,3237.50,3111800,2381.377
2010-09-28,3271.50,3300.00,3239.00,3300.00,2730200,2427.349
2010-09-27,3316.00,3324.00,3276.00,3280.00,2560400,2412.638
2010-09-24,3293.50,3339.00,3293.50,3334.00,2357300,2452.358
2010-09-23,3366.50,3371.50,3275.50,3311.50,3022600,2435.808
2010-09-22,3357.50,3360.50,3321.00,3349.00,1876800,2463.392
2010-09-21,3326.50,3367.50,3326.50,3348.50,1936800,2463.024
2010-09-20,3329.00,3347.00,3322.50,3345.00,1885700,2460.449
2010-09-17,3355.50,3389.00,3326.50,3326.50,3952800,2446.842
2010-09-16,3354.00,3379.50,3343.00,3352.00,1893200,2465.598
2010-09-15,3340.00,3368.50,3332.50,3348.00,3339600,2462.656
2010-09-14,3366.50,3389.50,3363.00,3385.00,2053000,2489.872
2010-09-13,3380.00,3388.00,3365.50,3369.50,1603700,2478.471
2010-09-10,3330.00,3381.50,3330.00,3379.50,2083400,2485.826
2010-09-09,3328.00,3350.00,3313.50,3335.00,1822100,2453.094
2010-09-08,3326.00,3350.00,3312.00,3333.50,1721000,2451.99
2010-09-07,3345.00,3345.00,3326.00,3339.50,1608800,2456.404
2010-09-06,3300.50,3353.00,3298.00,3340.00,1417300,2456.772
2010-09-03,3285.50,3328.00,3282.50,3310.50,1598300,2435.073
2010-09-02,3277.50,3290.00,3263.00,3280.00,1938700,2412.638
2010-09-01,3238.50,3293.50,3229.00,3285.00,2320200,2416.316
2010-08-31,3201.50,3235.00,3184.50,3228.00,4233100,2374.389
2010-08-30,3241.00,3241.00,3241.00,3241.00,000,2383.951
2010-08-27,3211.50,3247.00,3208.00,3241.00,2492900,2383.951
2010-08-26,3233.50,3241.50,3200.00,3216.50,2133400,2365.93
2010-08-25,3215.00,3242.50,3202.50,3230.00,3402400,2375.86
2010-08-24,3276.00,3285.00,3217.00,3233.50,2687200,2378.434
2010-08-23,3261.00,3300.00,3243.50,3295.00,2019700,2423.671
2010-08-20,3249.00,3261.50,3237.50,3247.50,2748300,2388.732
2010-08-19,3293.00,3296.00,3240.00,3250.50,2321400,2390.939
2010-08-18,3306.00,3324.00,3282.00,3282.00,2713100,2414.109
2010-08-17,3302.50,3329.50,3301.00,3317.50,1733100,2440.221
2010-08-16,3284.50,3309.00,3273.50,3306.50,1956600,2432.13
2010-08-13,3297.00,3310.50,3270.50,3295.00,2675900,2423.671
2010-08-12,3266.00,3303.00,3258.00,3295.50,2536500,2424.039
2010-08-11,3340.00,3340.00,3273.50,3273.50,2754600,2407.857
2010-08-10,3297.50,3356.50,3294.50,3348.00,3075200,2462.656
2010-08-09,3275.00,3307.00,3258.50,3305.00,1765500,2431.027
2010-08-06,3281.50,3293.50,3241.50,3255.00,1876200,2394.249
2010-08-05,3247.50,3270.50,3241.00,3269.00,2621000,2404.547
2010-08-04,3248.00,3255.00,3230.50,3237.50,3636100,2381.377
2010-08-03,3242.50,3282.00,3235.00,3282.00,2584600,2381.082
2010-08-02,3248.50,3263.00,3216.00,3259.00,2807700,2364.396
2010-07-30,3200.00,3265.50,3200.00,3238.00,3707700,2349.16
2010-07-29,3350.00,3376.00,3289.00,3289.00,6485200,2386.161
2010-07-28,3194.00,3229.00,3173.00,3202.50,3302300,2323.405
2010-07-27,3225.00,3238.00,3187.00,3189.00,4936800,2313.611
2010-07-26,3147.50,3150.00,3090.00,3126.00,3408800,2267.905
2010-07-23,3207.50,3216.00,3138.50,3146.50,4310000,2282.777
2010-07-22,3183.50,3237.00,3158.50,3223.00,2818700,2338.278
2010-07-21,3216.00,3227.00,3180.50,3185.50,2965000,2311.072
2010-07-20,3216.00,3233.50,3193.00,3202.00,2478400,2323.043
2010-07-19,3187.00,3237.00,3180.50,3216.50,1843700,2333.562
2010-07-16,3255.00,3259.50,3203.00,3206.50,3643700,2326.307
2010-07-15,3252.00,3277.50,3233.50,3240.00,3468200,2350.611
2010-07-14,3261.00,3274.00,3240.50,3271.00,3172100,2373.102
2010-07-13,3231.50,3275.00,3227.50,3270.00,2557100,2372.376
2010-07-12,3221.50,3250.00,3220.00,3236.50,1926500,2348.072
2010-07-09,3191.50,3232.00,3173.00,3222.00,3586300,2337.553
2010-07-08,3140.00,3184.00,3132.00,3184.00,3318900,2309.984
2010-07-07,3127.00,3139.50,3108.00,3119.00,4226900,2262.826
2010-07-06,3060.00,3143.00,3034.00,3143.00,3200900,2280.238
2010-07-05,3081.00,3090.00,3049.00,3051.50,1515200,2213.855
2010-07-02,3099.50,3110.00,3060.50,3088.50,3634300,2240.699
2010-07-01,3130.50,3183.50,3082.50,3093.00,5788700,2243.963
2010-06-30,3215.00,3262.00,3155.00,3169.00,15730400,2299.101
2010-06-29,2969.50,2976.00,2933.00,2947.00,3283500,2138.041
2010-06-28,2976.50,2993.50,2944.50,2961.50,2794200,2148.56
2010-06-25,3001.00,3016.00,2955.50,2966.00,2211900,2151.825
2010-06-24,3011.50,3014.50,2958.50,2997.00,3612900,2174.316
2010-06-23,3028.50,3036.50,2984.00,2996.50,2468400,2173.953
2010-06-22,3020.00,3064.50,3020.00,3048.00,2907000,2211.316
2010-06-21,3100.00,3100.00,3029.00,3044.00,2615200,2208.414
2010-06-18,3077.50,3086.00,3039.50,3068.00,8907800,2225.826
2010-06-17,3081.00,3097.00,3064.50,3082.00,2811500,2235.983
2010-06-16,3095.00,3095.00,3045.00,3083.00,3456700,2236.708
2010-06-15,3036.50,3095.50,3036.50,3079.00,4068800,2233.806
2010-06-14,3078.50,3090.00,3045.50,3057.00,3082900,2217.845
2010-06-11,3004.50,3056.00,2989.00,3056.00,5432600,2217.12
2010-06-10,2931.50,2991.00,2929.00,2989.00,3389300,2168.512
2010-06-09,2928.50,2945.50,2913.00,2945.50,2082800,2136.952
2010-06-08,2935.00,2936.00,2900.00,2921.50,3845300,2119.541
2010-06-07,2916.00,2945.50,2892.00,2924.50,3252200,2121.717
2010-06-04,2970.50,2985.50,2936.50,2950.00,4275000,2140.217
