Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,332.20,332.70,329.70,330.00,1849800,244.048
2010-12-30,335.40,335.40,330.60,330.70,3737000,244.565
2010-12-29,337.40,338.00,333.80,336.00,6449900,248.485
2010-12-27,336.30,336.30,336.30,336.30,000,248.707
2010-12-24,334.90,336.30,331.70,336.30,1540700,248.707
2010-12-23,333.10,335.50,331.10,334.90,3594800,247.671
2010-12-22,334.50,336.20,331.90,332.80,10254300,246.118
2010-12-21,329.00,336.10,326.70,335.10,12573000,247.819
2010-12-20,324.70,327.80,323.50,327.50,5821000,242.199
2010-12-17,330.80,332.00,324.00,325.00,10552000,240.35
2010-12-16,330.40,330.40,330.40,330.40,6498500,244.343
2010-12-15,336.70,337.10,331.70,333.50,7890700,246.636
2010-12-14,331.10,338.00,327.90,337.50,9640900,249.594
2010-12-13,331.90,332.50,327.60,330.50,5341600,244.417
2010-12-10,324.80,332.70,319.20,330.40,12810700,244.343
2010-12-09,325.60,326.80,320.10,324.70,9628900,240.128
2010-12-08,323.20,325.60,317.957,325.10,8834100,240.424
2010-12-07,323.20,325.90,321.00,325.00,14834800,240.35
2010-12-06,328.80,329.90,323.90,325.50,8811000,240.72
2010-12-03,329.10,329.60,325.10,326.20,8391300,241.237
2010-12-02,329.50,331.60,325.90,330.80,9598800,244.639
2010-12-01,332.00,332.00,319.70,327.10,11123500,241.903
2010-11-30,335.70,337.10,330.30,330.30,14184500,244.269
2010-11-29,342.10,342.10,333.40,333.90,5285900,246.932
2010-11-26,333.10,341.20,333.10,340.10,6829600,251.517
2010-11-25,333.90,336.00,333.10,335.10,6389800,247.819
2010-11-24,338.40,339.90,333.00,333.80,9006200,246.858
2010-11-23,345.00,348.10,338.80,338.80,8649400,250.556
2010-11-22,352.50,352.60,345.00,345.90,4084900,255.806
2010-11-19,353.80,353.80,346.50,349.70,6430500,258.617
2010-11-18,348.70,354.30,345.90,352.70,6425600,260.835
2010-11-17,343.60,348.00,340.10,347.80,5580200,257.211
2010-11-16,352.40,352.40,345.20,345.20,7934200,255.289
2010-11-15,350.00,354.50,344.30,352.50,7891000,260.687
2010-11-12,351.00,355.70,349.20,350.50,8240600,259.208
2010-11-11,359.20,359.20,353.30,354.50,8191500,262.166
2010-11-10,349.00,365.00,346.70,359.40,11539500,265.79
2010-11-09,341.00,349.40,341.00,348.50,9230400,257.729
2010-11-08,343.10,347.00,341.50,342.00,7285300,252.922
2010-11-05,342.00,346.00,337.90,341.90,12721000,252.848
2010-11-04,345.60,346.50,339.10,342.60,10075200,253.366
2010-11-03,350.50,353.20,342.60,343.10,10331800,253.736
2010-11-02,353.00,357.40,350.80,353.50,5090700,261.427
2010-11-01,348.40,354.20,345.80,353.10,6651200,261.131
2010-10-29,348.40,348.70,340.70,344.70,8575700,254.919
2010-10-28,344.40,348.40,344.40,348.40,7777300,257.655
2010-10-27,346.00,346.70,342.60,343.40,8619400,253.957
2010-10-26,353.60,353.90,345.70,347.80,9520200,257.211
2010-10-25,359.90,360.70,354.20,354.20,9313400,261.944
2010-10-22,358.40,361.80,355.70,358.40,6462500,265.051
2010-10-21,348.40,360.70,344.60,357.20,12361900,264.163
2010-10-20,354.00,355.00,346.80,349.90,16759700,258.764
2010-10-19,370.00,370.00,358.60,363.90,15572900,263.941
2010-10-18,363.90,370.00,363.90,369.90,5133500,268.293
2010-10-15,369.00,372.90,363.40,365.80,15771500,265.319
2010-10-14,365.00,370.30,363.50,366.50,11796400,265.827
2010-10-13,357.00,366.20,355.90,365.00,10425200,264.739
2010-10-12,353.20,355.50,350.50,355.00,8835300,257.486
2010-10-11,352.30,356.30,351.20,355.80,9179200,258.066
2010-10-08,353.00,355.40,349.80,351.90,8928500,255.237
2010-10-07,356.90,357.10,349.00,350.10,7817000,253.932
2010-10-06,352.20,355.40,351.00,355.40,5437900,257.776
2010-10-05,343.50,351.40,341.90,350.80,7201500,254.44
2010-10-04,343.80,348.70,341.40,342.50,7977200,248.42
2010-10-01,343.90,344.40,339.50,343.10,6660800,248.855
2010-09-30,341.60,347.90,339.80,342.30,8376400,248.274
2010-09-29,341.50,342.30,336.20,341.50,6551800,247.694
2010-09-28,345.50,345.70,335.60,338.30,10625400,245.373
2010-09-27,347.70,347.80,345.00,346.40,5286100,251.248
2010-09-24,336.90,348.20,335.20,347.50,8557300,252.046
2010-09-23,334.10,337.40,330.20,337.10,7183000,244.503
2010-09-22,336.00,337.40,331.00,332.80,12207000,241.384
2010-09-21,334.80,337.30,332.20,334.40,8524200,242.544
2010-09-20,330.90,334.50,330.20,333.80,9285800,242.109
2010-09-17,331.50,335.90,329.20,329.20,15846300,238.773
2010-09-16,341.40,341.40,329.50,329.80,10854900,239.208
2010-09-15,336.00,342.00,333.90,340.80,14268200,247.186
2010-09-14,336.90,336.90,330.00,334.40,11748600,242.544
2010-09-13,323.90,334.50,323.20,333.10,12055300,241.602
2010-09-10,319.50,324.40,315.00,322.90,10159300,234.203
2010-09-09,321.60,323.30,317.00,319.10,15272800,231.447
2010-09-08,323.40,331.60,321.50,323.30,17681700,234.493
2010-09-07,323.10,324.40,317.80,323.20,9319500,234.421
2010-09-06,323.30,323.90,317.90,322.50,6067800,233.913
2010-09-03,315.00,325.10,314.40,321.60,18308900,233.26
2010-09-02,303.00,315.00,301.40,313.30,17567300,227.24
2010-09-01,296.90,303.50,294.50,302.00,11323600,219.044
2010-08-31,291.20,295.50,288.10,294.70,14793500,213.75
2010-08-30,296.50,296.50,296.50,296.50,000,215.055
2010-08-27,297.90,299.70,294.20,296.50,9064100,215.055
2010-08-26,300.50,302.10,298.70,300.10,9173400,217.666
2010-08-25,297.10,300.00,296.00,299.10,8130800,216.941
2010-08-24,300.80,301.20,295.80,298.30,8826100,216.361
2010-08-23,303.20,304.00,299.30,302.20,6475500,219.189
2010-08-20,304.30,304.30,296.10,302.30,13342400,219.262
