Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,1316.00,1319.50,1294.50,1296.00,2302400,1204.071
2010-12-30,1329.50,1337.50,1312.50,1320.00,1419400,1226.368
2010-12-29,1327.50,1336.00,1320.00,1331.50,2192100,1237.052
2010-12-27,1337.50,1337.50,1337.50,1337.50,000,1242.627
2010-12-24,1319.50,1337.50,1319.50,1337.50,297100,1242.627
2010-12-23,1330.00,1332.00,1312.00,1321.50,1306600,1227.762
2010-12-22,1318.00,1331.00,1313.50,1323.00,2845000,1229.155
2010-12-21,1328.50,1336.00,1306.50,1317.00,3746200,1223.581
2010-12-20,1335.00,1345.50,1325.00,1331.50,3493500,1237.052
2010-12-17,1316.50,1325.50,1304.00,1324.50,7594200,1230.549
2010-12-16,1307.00,1307.00,1307.00,1307.00,4278700,1214.29
2010-12-15,1313.50,1323.50,1301.00,1301.00,4929700,1208.716
2010-12-14,1326.50,1326.50,1311.00,1318.00,4026900,1224.51
2010-12-13,1309.50,1317.50,1306.50,1313.50,4398300,1220.329
2010-12-10,1335.50,1342.50,1290.50,1303.00,6123200,1210.574
2010-12-09,1295.00,1336.50,1294.50,1333.50,9557700,1238.911
2010-12-08,1276.50,1296.50,1268.00,1288.00,6486400,1196.638
2010-12-07,1277.00,1289.00,1265.50,1277.50,6441800,1186.883
2010-12-06,1244.00,1277.00,1237.50,1267.00,8012900,1177.128
2010-12-03,1225.00,1243.00,1222.00,1234.50,6834300,1146.933
2010-12-02,1209.00,1233.00,1200.00,1228.50,9791600,1141.359
2010-12-01,1170.00,1198.00,1164.00,1191.00,6508300,1106.519
2010-11-30,1176.00,1192.00,1161.50,1161.50,8755700,1079.111
2010-11-29,1210.50,1215.50,1168.50,1168.50,6910500,1085.615
2010-11-26,1208.50,1214.50,1189.50,1207.00,4564200,1121.384
2010-11-25,1207.50,1216.50,1201.50,1215.00,3143800,1128.816
2010-11-24,1192.00,1211.50,1187.50,1206.50,5507600,1120.919
2010-11-23,1201.50,1212.00,1185.00,1185.00,4312300,1100.944
2010-11-22,1234.00,1238.50,1200.00,1209.50,4199500,1123.706
2010-11-19,1241.50,1241.50,1207.00,1222.00,4536200,1135.32
2010-11-18,1231.50,1246.00,1223.00,1232.00,3664300,1144.61
2010-11-17,1204.00,1221.00,1204.00,1219.00,4079800,1132.532
2010-11-16,1247.50,1251.00,1206.50,1208.50,6142300,1122.777
2010-11-15,1244.50,1258.00,1239.00,1256.50,4416500,1167.372
2010-11-12,1259.00,1272.00,1247.50,1254.00,5424600,1165.05
2010-11-11,1283.00,1285.50,1269.50,1277.50,4513300,1186.883
2010-11-10,1272.50,1287.00,1266.50,1277.00,6597200,1186.418
2010-11-09,1277.00,1287.00,1270.00,1282.00,5746200,1191.064
2010-11-08,1288.00,1290.50,1276.00,1278.50,4919000,1187.812
2010-11-05,1300.00,1302.50,1281.50,1292.50,5119600,1200.819
2010-11-04,1284.50,1301.50,1259.50,1296.00,9386100,1204.071
2010-11-03,1243.50,1262.00,1224.00,1261.50,10262100,1172.018
2010-11-02,1229.00,1254.50,1218.50,1252.00,10589900,1163.192
2010-11-01,1234.50,1234.50,1199.50,1210.50,3983900,1124.635
2010-10-29,1190.00,1220.00,1186.50,1215.50,6920900,1129.281
2010-10-28,1192.50,1208.00,1182.00,1190.50,3903100,1106.054
2010-10-27,1184.50,1193.50,1176.50,1181.00,4588700,1097.228
2010-10-26,1193.50,1198.00,1182.00,1193.00,3810400,1108.377
2010-10-25,1209.50,1214.50,1190.50,1196.00,4545000,1111.164
2010-10-22,1205.00,1214.50,1195.50,1203.00,5273400,1117.667
2010-10-21,1168.50,1202.50,1166.00,1193.50,7214100,1108.841
2010-10-20,1169.00,1176.50,1151.00,1176.50,6395500,1093.047
2010-10-19,1191.00,1196.00,1183.50,1186.50,5046700,1102.338
2010-10-18,1159.00,1200.00,1157.50,1194.50,6037500,1109.77
2010-10-15,1178.00,1181.50,1159.50,1167.50,6866600,1084.685
2010-10-14,1179.00,1186.00,1165.50,1174.00,6114700,1090.724
2010-10-13,1157.00,1188.00,1148.00,1171.50,8056300,1088.402
2010-10-12,1149.00,1152.50,1127.50,1144.00,4787800,1062.852
