Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,532.00,532.00,522.00,524.50,732400,403.635
2010-12-30,531.50,532.00,527.00,531.50,1097700,409.022
2010-12-29,538.00,539.00,531.50,532.00,1376600,409.407
2010-12-27,537.00,537.00,537.00,537.00,000,413.254
2010-12-24,536.50,537.00,527.50,537.00,181300,413.254
2010-12-23,530.50,540.00,526.50,533.00,3540400,410.176
2010-12-22,524.00,530.00,520.50,529.50,2246100,407.483
2010-12-21,527.00,528.50,520.50,522.50,2119800,402.096
2010-12-20,519.00,526.00,516.00,525.00,2452200,404.02
2010-12-17,514.00,522.50,510.00,516.00,5279300,397.094
2010-12-16,509.00,509.00,509.00,509.00,1957800,391.707
2010-12-15,511.50,514.00,509.00,509.50,2059900,392.091
2010-12-14,509.00,512.00,507.50,511.50,1921800,393.631
2010-12-13,512.00,512.50,507.00,510.50,65900,392.861
2010-12-10,512.00,513.50,505.50,508.00,2328100,390.937
2010-12-09,513.00,513.50,509.50,512.00,1889500,394.015
2010-12-08,509.50,511.00,507.00,510.00,1573000,392.476
2010-12-07,508.00,513.00,505.00,510.00,2190500,392.476
2010-12-06,506.50,508.00,503.00,507.00,1535000,390.168
2010-12-03,500.00,506.00,497.40,505.00,2112000,388.628
2010-12-02,494.00,501.50,492.50,501.50,3281800,385.935
2010-12-01,485.00,491.50,479.90,491.50,2767100,378.239
2010-11-30,483.10,485.10,477.90,481.00,3622800,370.159
2010-11-29,490.30,496.80,478.50,480.10,2661300,369.466
2010-11-26,491.00,491.80,484.70,490.10,2768100,377.162
2010-11-25,485.00,497.90,485.00,492.00,4481100,378.624
2010-11-24,484.20,484.20,476.00,478.20,3104500,368.004
2010-11-23,485.00,489.50,479.60,479.70,3296100,369.159
2010-11-22,504.00,504.00,485.60,487.20,3572400,374.93
2010-11-19,502.00,503.00,491.00,496.30,3807100,381.933
2010-11-18,493.90,498.40,489.60,495.40,6368500,381.241
2010-11-17,488.60,495.10,485.20,488.70,2709600,376.085
2010-11-16,502.50,505.50,487.20,489.70,3149800,376.854
2010-11-15,502.50,510.50,501.00,507.00,1805200,390.168
2010-11-12,504.50,508.00,495.30,503.00,3263600,387.089
2010-11-11,501.50,511.00,501.00,508.00,4593200,390.937
2010-11-10,509.50,510.50,499.90,501.00,3208200,385.55
2010-11-09,510.50,515.50,509.00,511.00,2596000,393.246
2010-11-08,519.00,521.50,511.50,513.00,1584000,394.785
2010-11-05,523.00,525.00,513.50,518.00,6159300,398.633
2010-11-04,520.00,525.00,517.50,520.00,5049700,400.172
2010-11-03,512.50,517.50,510.50,514.00,2341400,395.554
2010-11-02,507.50,511.50,504.50,511.00,2846200,393.246
2010-11-01,513.50,516.50,505.00,507.00,3083400,390.168
2010-10-29,510.00,511.00,504.50,509.50,2777300,392.091
2010-10-28,506.50,514.50,506.50,510.50,2274900,392.861
2010-10-27,507.00,510.50,503.00,505.00,3110700,388.628
2010-10-26,507.00,509.50,502.50,508.50,3359100,391.322
2010-10-25,510.00,514.50,506.50,509.00,2519700,391.707
2010-10-22,507.00,509.50,505.00,507.00,1558200,390.168
2010-10-21,506.50,511.50,504.00,506.50,3991100,389.783
2010-10-20,506.50,509.50,500.50,508.50,1804100,391.322
2010-10-19,501.50,507.50,501.00,504.50,1795000,388.244
2010-10-18,503.00,507.00,498.60,501.50,2836100,385.935
2010-10-15,506.50,511.50,503.00,504.50,5052100,388.244
2010-10-14,509.50,511.00,503.50,505.50,3472900,389.013
2010-10-13,494.90,503.50,491.00,502.50,2711300,386.705
2010-10-12,487.60,492.50,483.80,491.60,2936900,378.316
2010-10-11,492.70,493.40,489.20,489.50,1797800,376.70
2010-10-08,497.70,497.70,487.60,492.10,3330900,378.701
2010-10-07,491.60,500.00,488.00,495.90,5264100,381.625
2010-10-06,484.10,492.20,482.90,490.70,3690700,377.624
2010-10-05,477.50,488.90,474.40,487.80,5091300,370.39
2010-10-04,474.80,479.70,471.10,476.40,3698500,361.734
2010-10-01,469.40,478.10,467.10,473.70,17851100,359.684
2010-09-30,472.40,476.30,464.10,465.00,8487200,353.078
2010-09-29,471.20,475.20,467.40,471.90,1454500,358.317
2010-09-28,471.80,472.30,463.70,471.80,3383600,358.241
2010-09-27,472.00,474.90,470.20,472.20,1547200,358.545
2010-09-24,464.30,474.00,462.60,472.30,3595300,358.621
2010-09-23,466.40,466.60,459.30,464.50,3572600,352.698
2010-09-22,473.20,473.20,459.90,464.00,4040700,352.318
2010-09-21,476.20,478.10,471.30,471.30,3758800,357.861
2010-09-20,470.60,477.00,470.00,476.10,3009800,361.506
2010-09-17,480.00,481.90,468.80,468.80,6090500,355.963
2010-09-16,482.80,484.50,477.40,477.90,4254600,362.873
2010-09-15,488.40,488.90,482.90,483.30,3534700,366.973
2010-09-14,491.90,492.10,483.60,487.00,3343600,369.782
2010-09-13,486.30,493.00,483.70,492.00,2938900,373.579
2010-09-10,484.90,486.80,481.30,484.50,1788600,367.884
2010-09-09,482.10,492.20,481.70,483.50,4885700,367.125
2010-09-08,477.70,484.60,475.70,484.00,4470200,367.504
2010-09-07,479.90,479.90,471.50,474.80,2535100,360.519
2010-09-06,479.50,482.00,478.90,480.20,2205300,364.619
2010-09-03,469.00,480.00,466.60,477.20,3713100,362.341
2010-09-02,468.30,469.40,463.20,467.00,2765100,354.596
2010-09-01,458.60,470.00,456.90,469.90,3686200,356.798
2010-08-31,449.90,456.40,444.20,456.40,3183200,346.548
2010-08-30,454.60,454.60,454.60,454.60,000,345.181
2010-08-27,446.80,456.50,446.70,454.60,4144200,345.181
2010-08-26,450.70,453.40,443.00,447.50,2976600,339.79
2010-08-25,448.40,455.00,445.60,449.40,2731600,341.232
