Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,4887.08,4890.82,4758.38,4758.38,1525600,1774.989
2010-12-30,4871.22,4937.44,4870.30,4875.88,2377500,1818.82
2010-12-29,4832.98,4882.42,4832.06,4879.62,2345500,1820.215
2010-12-27,4868.42,4868.42,4868.42,4868.42,000,1816.037
2010-12-24,4826.46,4868.42,4810.60,4868.42,388200,1816.037
2010-12-23,4892.68,4905.74,4819.00,4826.46,5328500,1800.385
2010-12-22,4812.46,4867.50,4791.02,4860.96,3606600,1813.254
2010-12-21,4732.26,4819.92,4731.32,4819.92,4886400,1797.945
2010-12-20,4648.32,4703.34,4643.66,4685.62,2655100,1747.848
2010-12-17,4681.90,4735.06,4644.58,4663.24,9184900,1739.50
2010-12-16,4672.56,4672.56,4672.56,4672.56,7144400,1742.977
2010-12-15,4687.50,4733.20,4660.44,4708.94,5408000,1756.547
2010-12-14,4692.16,4700.54,4639.00,4700.54,4456700,1753.414
2010-12-13,4624.08,4708.00,4611.02,4708.00,6463200,1756.197
2010-12-10,4590.50,4628.74,4550.40,4603.56,5790400,1717.238
2010-12-09,4589.56,4625.94,4555.06,4605.42,6527000,1717.932
2010-12-08,4556.92,4640.86,4515.88,4528.94,8328500,1689.403
2010-12-07,4551.32,4724.80,4550.40,4627.80,10233200,1726.28
2010-12-06,4536.40,4576.50,4480.44,4550.40,5488000,1697.408
2010-12-03,4551.32,4596.10,4494.44,4520.54,6293700,1686.269
2010-12-02,4463.66,4583.96,4431.02,4569.98,6550200,1704.712
2010-12-01,4289.26,4424.48,4281.80,4407.70,7993700,1644.178
2010-11-30,4280.86,4294.84,4203.44,4262.20,9895900,1589.903
2010-11-29,4340.54,4385.32,4225.84,4225.84,7049100,1576.339
2010-11-26,4312.56,4352.68,4229.56,4318.16,5855500,1610.777
2010-11-25,4309.78,4399.30,4290.18,4389.04,3454000,1637.217
2010-11-24,4267.80,4320.96,4209.04,4306.04,8144900,1606.256
2010-11-23,4262.20,4297.64,4215.58,4230.50,7209200,1578.078
2010-11-22,4412.36,4416.10,4295.78,4326.56,5635600,1613.91
2010-11-19,4400.24,4411.42,4284.58,4350.80,9210300,1622.952
2010-11-18,4402.10,4431.02,4370.40,4411.42,9155900,1645.565
2010-11-17,4306.98,4370.40,4273.40,4356.40,8059400,1625.041
2010-11-16,4433.82,4447.80,4314.44,4323.76,11625300,1612.866
2010-11-15,4364.80,4507.50,4349.88,4487.90,10087100,1674.094
2010-11-12,4375.98,4463.66,4309.78,4406.76,9310900,1643.827
2010-11-11,4569.98,4663.24,4464.58,4500.96,8316000,1678.966
2010-11-10,4546.66,4549.46,4451.54,4495.36,8563300,1676.877
2010-11-09,4528.94,4642.72,4501.90,4605.42,8316800,1717.932
2010-11-08,4566.24,4568.12,4489.78,4533.60,4960000,1691.141
2010-11-05,4585.84,4599.82,4484.18,4569.98,10752800,1704.712
2010-11-04,4424.48,4536.40,4407.70,4532.68,18643000,1690.798
2010-11-03,4274.34,4274.34,4209.98,4252.88,10637800,1586.426
2010-11-02,4165.20,4262.20,4165.20,4247.28,6040800,1584.337
2010-11-01,4195.98,4206.24,4143.76,4168.94,6801700,1555.114
2010-10-29,4117.64,4154.96,4067.28,4128.84,7628000,1540.156
2010-10-28,4112.98,4157.74,4080.34,4142.82,8254100,1545.371
2010-10-27,4043.96,4073.82,4002.92,4035.58,6825700,1505.368
2010-10-26,4168.94,4184.80,4090.60,4097.12,8152200,1528.324
2010-10-25,4187.60,4231.42,4168.94,4201.58,5904200,1567.29
2010-10-22,4103.66,4125.10,4072.88,4101.80,6484800,1530.069
2010-10-21,4066.34,4193.18,4060.76,4126.04,8952000,1539.112
2010-10-20,3970.28,4101.80,3970.28,4089.66,6396400,1525.541
2010-10-19,4048.62,4123.24,3972.16,3989.88,10893500,1488.321
2010-10-18,4029.98,4081.28,4000.12,4076.60,4678700,1520.669
2010-10-15,4121.38,4152.16,4038.38,4102.72,7839700,1530.413
2010-10-14,4136.30,4177.34,4092.46,4131.64,10016800,1541.201
2010-10-13,4014.12,4140.96,4005.72,4133.50,9643700,1541.894
2010-10-12,3946.96,3988.00,3901.28,3968.42,5513700,1480.315
2010-10-11,4033.70,4064.48,3995.46,4008.52,4738200,1495.274
2010-10-08,3967.48,4048.62,3929.24,4029.98,9459400,1503.279
2010-10-07,3987.08,4062.62,3943.24,3959.10,10665300,1476.839
2010-10-06,3891.02,3991.74,3891.02,3987.08,10030700,1487.276
2010-10-05,3760.44,3874.22,3749.24,3869.56,8269400,1443.438
2010-10-04,3842.52,3861.16,3775.36,3780.02,7029100,1410.038
2010-10-01,3802.40,3858.36,3799.62,3838.78,7674100,1431.957
2010-09-30,3730.60,3855.58,3725.00,3777.22,12598500,1408.993
2010-09-29,3788.42,3817.34,3747.38,3771.64,6500000,1406.912
2010-09-28,3715.68,3793.08,3688.62,3786.56,7828700,1412.477
2010-09-27,3775.36,3795.88,3730.60,3749.24,4810900,1398.556
2010-09-24,3692.36,3780.02,3682.10,3748.32,7643400,1398.213
2010-09-23,3720.34,3759.50,3650.38,3730.60,7905100,1391.603
2010-09-22,3687.70,3767.90,3660.64,3730.60,9816400,1391.603
2010-09-21,3666.24,3711.94,3654.12,3654.12,5682500,1363.074
2010-09-20,3631.74,3697.96,3631.74,3693.30,5753800,1377.689
2010-09-17,3691.42,3713.80,3611.22,3618.68,14163700,1349.854
2010-09-16,3619.62,3677.44,3599.10,3662.52,6056500,1366.207
2010-09-15,3714.74,3717.54,3655.06,3661.58,8655100,1365.857
2010-09-14,3684.90,3714.74,3656.92,3695.16,6952600,1378.383
2010-09-13,3637.34,3679.30,3626.14,3674.64,5963700,1370.728
2010-09-10,3586.96,3595.36,3545.92,3584.16,5083100,1336.977
2010-09-09,3526.34,3621.48,3517.02,3592.56,8928100,1340.111
2010-09-08,3480.64,3540.34,3453.60,3525.42,7352200,1315.066
2010-09-07,3576.70,3588.84,3509.56,3530.08,10707400,1295.046
2010-09-06,3640.12,3657.84,3563.64,3581.38,5001900,1313.866
2010-09-03,3562.72,3642.00,3544.06,3611.22,9214800,1324.813
2010-09-02,3537.54,3583.24,3514.22,3545.92,9247700,1300.857
2010-09-01,3457.32,3560.86,3427.48,3549.66,11702200,1302.23
2010-08-31,3315.56,3419.10,3264.28,3416.30,9180400,1253.305
2010-08-30,3353.80,3353.80,3353.80,3353.80,000,1230.376
2010-08-27,3352.88,3375.26,3280.12,3353.80,9384800,1230.376
2010-08-26,3347.28,3381.78,3313.70,3362.20,9964700,1233.458
2010-08-25,3373.38,3408.84,3266.14,3295.98,9721100,1209.164
2010-08-24,3369.66,3400.44,3311.84,3363.14,8091200,1233.803
2010-08-23,3440.54,3472.26,3394.84,3413.50,6332900,1252.278
2010-08-20,3383.64,3435.88,3355.66,3396.70,11004800,1246.115
2010-08-19,3466.66,3505.82,3376.18,3376.18,14419900,1238.587
2010-08-18,3512.36,3564.58,3450.80,3450.80,22268300,1265.962
2010-08-17,3690.50,3732.46,3544.06,3573.90,28758100,1311.122
2010-08-16,3618.68,3677.44,3604.68,3660.64,5962200,1342.944
2010-08-13,3679.30,3716.60,3606.56,3624.28,9376500,1329.605
2010-08-12,3577.64,3627.08,3541.26,3618.68,6898500,1327.55
2010-08-11,3651.32,3661.58,3579.50,3590.70,9026900,1317.285
2010-08-10,3758.58,3766.96,3686.76,3714.74,6392400,1362.791
2010-08-09,3818.26,3874.22,3776.30,3802.40,4979000,1394.95
2010-08-06,3791.22,3878.88,3734.32,3771.64,10699600,1383.665
2010-08-05,3763.24,3818.26,3731.52,3777.22,8484700,1385.712
2010-08-04,3730.60,3764.16,3691.42,3747.38,7035300,1374.765
2010-08-03,3749.24,3778.16,3724.06,3766.96,6870800,1381.948
2010-08-02,3707.28,3798.68,3683.04,3794.94,9991600,1392.213
2010-07-30,3654.12,3681.16,3610.28,3640.12,9717900,1335.416
2010-07-29,3717.54,3764.16,3683.04,3688.62,9247100,1353.209
2010-07-28,3683.96,3752.98,3683.04,3714.74,11464100,1362.791
2010-07-27,3669.04,3757.64,3650.38,3671.84,12040800,1347.053
2010-07-26,3672.78,3702.62,3627.08,3671.84,10176400,1347.053
2010-07-23,3658.78,3722.20,3628.94,3664.38,8100900,1344.316
2010-07-22,3544.06,3685.82,3539.40,3664.38,9171900,1344.316
2010-07-21,3509.56,3616.82,3508.62,3578.58,10922400,1312.839
2010-07-20,3450.80,3500.22,3384.58,3491.84,11100700,1281.018
2010-07-19,3334.22,3437.74,3334.22,3388.32,6806900,1243.04
2010-07-16,3404.16,3503.96,3363.14,3378.98,12470800,1239.614
2010-07-15,3404.16,3468.52,3370.60,3403.24,11587800,1248.514
2010-07-14,3485.30,3507.70,3399.50,3443.34,4961300,1263.225
2010-07-13,3397.64,3485.30,3367.80,3462.00,6688000,1270.071
2010-07-12,3471.32,3481.58,3392.04,3404.16,5128500,1248.851
2010-07-09,3449.86,3487.18,3412.56,3455.46,6528500,1267.671
2010-07-08,3392.04,3447.08,3369.66,3392.98,7295500,1244.75
2010-07-07,3258.68,3338.88,3226.04,3337.02,7471900,1224.22
2010-07-06,3180.34,3316.50,3173.80,3314.64,8750000,1216.01
2010-07-05,3214.84,3222.30,3139.30,3142.10,4594600,1152.712
2010-07-02,3210.18,3261.48,3185.00,3213.90,12548900,1179.052
2010-07-01,3224.16,3260.54,3129.96,3160.74,13741300,1159.55
2010-06-30,3322.10,3352.88,3219.50,3272.66,16117700,1200.609
2010-06-29,3432.14,3434.94,3299.72,3305.30,11709200,1212.584
2010-06-28,3515.16,3540.34,3458.26,3509.56,6806500,1287.518
2010-06-25,3561.78,3591.62,3465.72,3482.52,7874600,1277.599
2010-06-24,3683.96,3711.94,3557.12,3581.38,8738700,1313.866
2010-06-23,3634.54,3749.24,3616.82,3639.20,12584300,1335.078
2010-06-22,3708.22,3744.58,3677.44,3708.22,7800600,1360.399
2010-06-21,3743.66,3803.34,3732.46,3789.36,10537900,1390.166
2010-06-18,3600.96,3644.80,3585.10,3618.68,15488700,1327.55
2010-06-17,3579.50,3635.46,3556.18,3582.30,8426100,1314.204
2010-06-16,3624.28,3633.60,3547.80,3600.02,7851100,1320.705
2010-06-15,3515.16,3598.16,3508.62,3579.50,7507300,1313.177
2010-06-14,3544.06,3600.96,3536.60,3583.24,7557700,1314.549
2010-06-11,3516.08,3558.06,3442.40,3489.98,12677700,1280.335
2010-06-10,3371.52,3533.80,3359.40,3498.36,14157100,1283.41
2010-06-09,3341.68,3394.84,3299.72,3390.18,10325800,1243.723
2010-06-08,3287.58,3313.70,3200.86,3297.84,13661600,1209.847
2010-06-07,3234.42,3287.58,3205.52,3236.30,11465200,1187.27
2010-06-04,3413.50,3443.34,3257.74,3303.44,17711400,1211.901
2010-06-03,3517.96,3553.40,3426.56,3431.22,10764900,1258.779
2010-06-02,3404.16,3470.38,3387.38,3462.00,9317200,1270.071
2010-06-01,3544.06,3544.06,3431.22,3496.50,13055300,1282.727
2010-05-31,3568.32,3568.32,3568.32,3568.32,000,1309.075
2010-05-28,3635.46,3671.84,3549.66,3568.32,12015600,1309.075
2010-05-27,3516.08,3625.20,3516.08,3615.88,13795100,1326.523
2010-05-26,3356.60,3530.08,3355.66,3464.80,16047500,1271.098
2010-05-25,3251.22,3322.10,3214.84,3289.46,14000800,1206.772
2010-05-24,3422.82,3445.20,3330.48,3382.72,10339000,1240.986
