Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,475.00,475.00,465.55,465.55,9444100,345.307
2010-12-30,471.85,474.90,468.05,471.20,11015100,349.498
2010-12-29,473.35,475.95,469.75,473.35,12585000,351.093
2010-12-27,474.55,474.55,474.55,474.55,000,351.983
2010-12-24,475.75,478.50,471.80,474.55,2045600,351.983
2010-12-23,472.90,477.30,472.50,476.65,16880400,353.541
2010-12-22,471.65,472.05,467.95,470.00,17503100,348.608
2010-12-21,470.00,472.95,470.00,472.45,19398900,350.425
2010-12-20,466.25,471.50,465.20,469.10,27599800,347.941
2010-12-17,468.80,470.60,464.20,467.15,52272500,346.494
2010-12-16,470.00,470.00,470.00,470.00,58391600,348.608
2010-12-15,469.55,479.00,467.30,476.55,46026100,353.466
2010-12-14,458.35,475.10,457.20,473.10,62475400,350.907
2010-12-13,453.35,462.50,452.00,458.35,23466700,339.967
2010-12-10,452.00,456.80,449.15,455.00,24701200,337.482
2010-12-09,456.15,458.30,452.05,455.40,21956500,337.779
2010-12-08,454.00,462.58,452.30,456.65,35534200,338.706
2010-12-07,452.00,461.00,452.00,455.00,43869300,337.482
2010-12-06,439.50,451.00,436.75,450.00,36016900,333.774
2010-12-03,443.45,444.00,435.20,435.20,34823500,322.796
2010-12-02,435.50,442.90,433.10,441.60,38756600,327.543
2010-12-01,427.35,433.55,426.15,429.85,29597500,318.828
2010-11-30,431.30,432.90,425.00,425.95,41282600,315.935
2010-11-29,438.00,442.90,428.25,428.25,35406600,317.641
2010-11-26,434.05,439.45,430.00,436.00,18157700,323.39
2010-11-25,436.50,438.60,433.00,437.40,13310200,324.428
2010-11-24,432.20,439.85,428.15,437.00,34456200,324.131
2010-11-23,430.00,435.45,428.35,428.75,29930500,318.012
2010-11-22,439.50,440.95,429.70,431.00,22630600,319.681
2010-11-19,440.25,441.00,431.55,435.85,23692200,323.278
2010-11-18,437.55,442.55,434.30,438.25,18193900,325.059
2010-11-17,434.05,436.60,432.70,435.60,24645300,323.093
2010-11-16,444.75,446.60,435.55,435.65,29280400,323.13
2010-11-15,444.00,452.85,442.00,448.70,23832100,332.81
2010-11-12,443.70,452.20,441.30,445.95,31960800,330.77
2010-11-11,449.10,452.80,445.00,449.80,31886400,333.625
2010-11-10,449.05,450.20,444.00,445.45,42858600,330.399
2010-11-09,445.25,459.20,443.05,454.45,54265200,337.074
2010-11-08,447.90,449.00,442.10,444.00,28103100,329.323
2010-11-05,447.95,451.35,441.75,446.35,41947300,331.066
2010-11-04,441.05,446.95,439.05,445.10,39724500,330.139
2010-11-03,434.95,444.25,433.65,439.30,49097500,325.837
2010-11-02,425.50,432.55,424.50,431.65,35408800,320.163
2010-11-01,426.05,428.30,420.70,424.00,21893600,314.489
2010-10-29,422.75,428.75,420.95,425.80,36890800,315.824
2010-10-28,423.35,428.10,420.55,423.00,26311500,313.747
2010-10-27,426.35,426.35,418.25,419.05,39769600,310.818
2010-10-26,428.05,431.40,422.10,426.35,24878700,316.232
2010-10-25,434.20,434.95,428.00,428.65,19924200,317.938
2010-10-22,430.05,434.60,427.25,428.70,25308800,317.975
2010-10-21,430.20,434.95,426.90,432.50,38257800,320.794
2010-10-20,435.40,435.85,428.45,435.40,24669500,322.945
2010-10-19,432.35,436.80,427.00,435.70,39034900,323.167
2010-10-18,425.95,433.90,423.15,432.15,27337900,320.534
2010-10-15,430.00,430.00,420.20,425.45,38004000,315.565
2010-10-14,436.70,437.30,428.50,429.70,27609800,318.717
2010-10-13,436.70,439.00,433.70,436.95,29230600,324.094
2010-10-12,432.00,432.00,425.05,429.15,20626000,318.309
2010-10-11,433.00,434.90,430.25,432.35,19645700,320.682
2010-10-08,436.00,436.70,431.35,435.85,16826500,323.278
2010-10-07,434.00,438.95,432.85,437.05,35636300,324.168
2010-10-06,432.20,439.10,429.40,435.55,30207500,323.056
2010-10-05,428.15,434.70,428.10,431.50,30166500,320.052
2010-10-04,441.05,442.00,430.10,430.10,28560100,319.014
2010-10-01,436.00,443.50,432.00,440.50,57641800,326.727
2010-09-30,422.25,436.15,419.80,427.80,77089600,317.308
2010-09-29,410.65,424.45,410.30,421.00,72050100,312.264
2010-09-28,405.00,406.00,397.00,405.15,41353600,300.508
2010-09-27,408.00,408.00,402.75,403.90,31686400,299.58
2010-09-24,403.85,410.00,400.75,404.90,39337400,300.322
2010-09-23,409.00,409.00,401.30,405.10,28312200,300.471
2010-09-22,413.50,415.00,405.80,406.25,33805800,301.324
2010-09-21,410.85,418.75,409.05,414.80,33817100,307.665
2010-09-20,407.65,411.95,407.00,411.35,29267900,305.106
2010-09-17,412.00,414.00,403.05,403.05,49089900,298.95
2010-09-16,408.00,413.15,405.95,408.45,29740300,302.955
2010-09-15,415.05,415.20,404.10,404.10,37259000,299.729
2010-09-14,416.80,418.70,414.25,415.20,23432800,307.962
2010-09-13,414.25,417.35,412.35,416.05,27401900,308.592
2010-09-10,412.00,414.40,408.55,411.65,30158100,305.329
2010-09-09,410.00,417.95,408.75,415.45,27029300,308.147
2010-09-08,404.00,416.65,404.00,412.15,42034900,305.70
2010-09-07,407.00,410.25,403.70,406.80,29854300,301.731
2010-09-06,405.00,409.75,404.00,406.50,23239600,301.509
2010-09-03,394.00,401.70,392.75,401.70,30554100,297.949
2010-09-02,391.00,394.45,385.55,392.60,35409400,291.199
2010-09-01,383.50,391.20,375.75,388.75,40378000,288.343
2010-08-31,377.00,381.15,372.00,380.60,60372800,282.298
2010-08-30,379.65,379.65,379.65,379.65,000,281.594
2010-08-27,379.60,382.60,374.20,379.65,35384100,281.594
2010-08-26,381.00,387.30,380.05,385.60,32836800,286.007
2010-08-25,375.05,378.45,365.50,375.15,51479400,278.256
2010-08-24,385.05,386.35,373.20,377.50,41315500,279.999
2010-08-23,382.00,394.90,382.00,390.60,28722400,289.716
2010-08-20,386.05,389.90,371.55,388.35,50435200,288.047
2010-08-19,399.60,402.00,386.40,386.70,43775200,286.823
2010-08-18,404.90,406.95,396.15,397.60,38057900,294.908
2010-08-17,406.25,409.90,403.65,408.00,36499200,302.622
2010-08-16,416.30,416.65,406.15,409.75,24275100,303.92
2010-08-13,414.80,417.85,401.80,416.40,39011500,308.852
2010-08-12,410.05,413.65,401.10,410.05,37516500,304.142
