Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,183.60,183.60,180.00,180.80,6092000,147.403
2010-12-30,184.60,185.90,182.80,183.50,5350800,149.604
2010-12-29,184.40,187.20,183.50,184.70,7970800,150.583
2010-12-27,186.00,186.00,186.00,186.00,000,149.468
2010-12-24,188.20,188.80,185.70,186.00,1205000,149.468
2010-12-23,188.60,188.60,184.90,187.80,5083500,150.915
2010-12-22,185.50,187.80,185.00,187.80,13189400,150.915
2010-12-21,188.10,189.10,184.90,185.80,12370100,149.308
2010-12-20,184.90,187.60,183.30,187.10,22229000,150.352
2010-12-17,181.00,183.30,180.40,182.40,29469300,146.575
2010-12-16,179.40,179.40,179.40,179.40,15610900,144.165
2010-12-15,182.70,183.30,180.80,181.80,20865600,146.093
2010-12-14,183.20,183.80,180.00,181.70,20769600,146.013
2010-12-13,182.40,183.60,181.60,183.60,1165400,147.54
2010-12-10,181.00,183.00,181.00,181.40,16702100,145.772
2010-12-09,179.70,181.70,178.80,180.80,16250300,145.29
2010-12-08,175.50,178.50,175.40,177.80,17803500,142.879
2010-12-07,177.40,181.40,177.10,178.00,24574500,143.04
2010-12-06,175.00,178.30,174.90,177.40,18379600,142.557
2010-12-03,174.60,176.30,171.10,175.10,20627800,140.709
2010-12-02,170.10,174.20,168.60,174.20,21562000,139.986
2010-12-01,170.60,170.90,169.40,169.50,23662000,136.209
2010-11-30,169.60,172.00,169.50,170.00,27330200,136.611
2010-11-29,174.60,174.60,168.90,169.00,24672900,135.807
2010-11-26,167.10,175.30,165.80,174.20,32667700,139.986
2010-11-25,165.30,168.00,164.70,166.90,11941800,134.12
2010-11-24,162.70,165.20,161.50,165.00,20829200,132.593
2010-11-23,162.90,165.00,161.60,161.90,20646300,130.102
2010-11-22,166.60,166.60,162.90,163.30,13826800,131.227
2010-11-19,165.10,166.00,162.90,165.00,25511600,132.593
2010-11-18,165.70,166.20,162.60,164.80,22028100,132.432
2010-11-17,164.00,165.30,162.60,165.10,18048500,132.673
2010-11-16,168.10,168.40,164.80,165.10,23368300,132.673
2010-11-15,167.90,170.10,166.60,169.30,17026800,136.048
2010-11-12,168.70,169.70,166.00,168.30,22811100,135.245
2010-11-11,163.90,169.80,163.30,169.10,43871100,135.888
2010-11-10,158.70,162.90,158.00,159.40,21215200,128.093
2010-11-09,158.10,160.00,157.60,159.20,15577200,127.932
2010-11-08,161.20,162.40,158.60,158.60,13776900,127.45
2010-11-05,161.40,164.00,160.10,161.80,14003300,130.021
2010-11-04,163.20,165.50,159.50,161.60,35754600,129.861
2010-11-03,156.60,159.10,156.40,157.70,17404900,126.727
2010-11-02,155.30,157.00,154.60,156.50,13410700,125.762
2010-11-01,154.40,156.80,154.20,155.70,16413900,125.119
2010-10-29,153.00,154.50,152.90,153.70,25275800,123.512
2010-10-28,154.60,154.60,152.50,153.60,35791000,123.432
2010-10-27,155.80,155.80,152.10,152.10,22764100,122.227
2010-10-26,156.30,156.60,154.10,156.50,17192000,125.762
2010-10-25,155.70,157.20,155.10,156.10,18536500,125.441
2010-10-22,155.60,155.80,153.50,154.70,13798700,124.316
2010-10-21,149.40,159.00,148.90,156.30,67657100,125.602
2010-10-20,147.10,150.50,147.10,150.20,16650600,120.70
2010-10-19,149.70,150.20,147.60,148.30,16885100,119.173
2010-10-18,146.90,150.30,146.90,149.60,21367000,120.218
2010-10-15,144.30,147.80,142.70,147.40,55935900,118.45
2010-10-14,144.30,145.50,142.40,143.20,26219300,115.075
2010-10-13,143.50,145.00,142.50,143.50,38698000,115.316
2010-10-12,146.00,146.40,142.70,142.90,39691100,114.833
2010-10-11,148.50,149.00,145.10,146.90,30433800,118.048
