Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,3007.00,3007.00,2970.00,2982.00,115300,2497.042
2010-12-30,2986.00,3022.00,2980.00,3002.00,234500,2513.79
2010-12-29,3016.00,3031.00,2993.00,2993.00,352300,2506.253
2010-12-27,3008.00,3008.00,3008.00,3008.00,000,2518.814
2010-12-24,2998.00,3035.00,2988.00,3008.00,48600,2518.814
2010-12-23,3049.00,3068.00,3029.00,3029.00,467600,2536.399
2010-12-22,2905.00,3061.00,2900.00,3059.00,874700,2561.52
2010-12-21,2803.00,2938.00,2788.00,2905.00,1100200,2432.565
2010-12-20,2799.00,2810.00,2767.00,2801.00,492900,2345.478
2010-12-17,2770.00,2771.00,2747.00,2764.00,857000,2314.495
2010-12-16,2759.00,2759.00,2759.00,2759.00,1197800,2310.308
2010-12-15,2719.00,2755.00,2711.00,2738.00,557300,2292.724
2010-12-14,2736.00,2738.00,2710.00,2724.00,397300,2281.00
2010-12-13,2765.00,2804.00,2740.00,2740.00,592800,2294.398
2010-12-10,2748.00,2761.00,2741.00,2757.00,504400,2308.634
2010-12-09,2728.00,2747.00,2706.00,2740.00,520400,2294.398
2010-12-08,2668.00,2710.00,2659.00,2710.00,865400,2269.277
2010-12-07,2696.00,2703.00,2673.00,2675.00,1232600,2239.969
2010-12-06,2712.00,2716.00,2679.00,2687.00,481500,2250.018
2010-12-03,2740.00,2750.00,2695.00,2699.00,531100,2260.066
2010-12-02,2682.00,2741.00,2681.00,2738.00,679100,2292.724
2010-12-01,2646.00,2683.00,2620.00,2674.00,661500,2239.132
2010-11-30,2580.00,2642.00,2578.00,2622.00,1097200,2195.588
2010-11-29,2636.00,2644.00,2569.00,2569.00,456500,2151.208
2010-11-26,2636.00,2643.00,2588.00,2628.00,532400,2200.613
2010-11-25,2623.00,2650.00,2623.00,2644.00,286100,2214.011
2010-11-24,2562.00,2630.00,2556.00,2625.00,580300,2198.101
2010-11-23,2599.00,2614.00,2558.00,2558.00,438100,2141.997
2010-11-22,2639.00,2654.00,2602.00,2605.00,443500,2181.353
2010-11-19,2632.00,2635.00,2601.00,2621.00,367100,2194.751
2010-11-18,2626.00,2648.00,2619.00,2632.00,560400,2203.962
2010-11-17,2617.00,2629.00,2578.00,2616.00,828500,2190.564
2010-11-16,2663.00,2665.00,2627.00,2631.00,707900,2194.751
2010-11-15,2672.00,2699.00,2659.00,2677.00,472100,2233.124
2010-11-12,2650.00,2716.00,2647.00,2685.00,465500,2239.797
2010-11-11,2723.00,2723.00,2684.00,2690.00,582800,2243.968
2010-11-10,2746.00,2749.00,2703.00,2709.00,383900,2259.818
2010-11-09,2738.00,2761.00,2731.00,2750.00,319800,2294.02
2010-11-08,2763.00,2785.00,2747.00,2751.00,292400,2294.854
2010-11-05,2762.00,2792.00,2754.00,2774.00,420200,2314.04
2010-11-04,2754.00,2776.00,2724.00,2767.00,573800,2308.201
2010-11-03,2749.00,2754.00,2726.00,2733.00,549000,2279.838
2010-11-02,2706.00,2742.00,2688.00,2742.00,644600,2287.346
2010-11-01,2717.00,2752.00,2697.00,2700.00,598900,2252.31
2010-10-29,2703.00,2729.00,2689.00,2690.00,895900,2243.968
2010-10-28,2719.00,2752.00,2689.00,2694.00,594600,2247.305
2010-10-27,2755.00,2778.00,2704.00,2704.00,1052700,2255.647
2010-10-26,2640.00,2775.00,2580.00,2768.00,2356700,2309.035
2010-10-25,2633.00,2669.00,2610.00,2654.00,743200,2213.937
2010-10-22,2595.00,2625.00,2588.00,2619.00,364800,2184.741
2010-10-21,2557.00,2618.00,2549.00,2607.00,1518600,2174.731
2010-10-20,2557.00,2574.00,2529.00,2568.00,642100,2142.197
2010-10-19,2599.00,2615.00,2575.00,2576.00,615100,2148.871
2010-10-18,2559.00,2600.00,2557.00,2590.00,409600,2160.549
2010-10-15,2602.00,2608.00,2533.00,2572.00,796000,2145.534
2010-10-14,2630.00,2631.00,2588.00,2597.00,607200,2166.389
2010-10-13,2626.00,2656.00,2611.00,2616.00,618700,2182.238
2010-10-12,2586.00,2613.00,2548.00,2605.00,559200,2173.062
2010-10-11,2607.00,2617.00,2584.00,2592.00,386300,2162.218
2010-10-08,2570.00,2602.00,2536.00,2600.00,775000,2168.891
2010-10-07,2571.00,2594.00,2555.00,2576.00,748300,2148.871
2010-10-06,2578.00,2600.00,2568.00,2583.00,550800,2154.71
2010-10-05,2495.00,2564.00,2495.00,2558.00,678100,2133.855
2010-10-04,2506.00,2521.00,2484.00,2497.00,863300,2082.97
2010-10-01,2516.00,2543.00,2491.00,2505.00,810300,2089.643
2010-09-30,2531.00,2564.00,2496.00,2502.00,1246600,2087.141
2010-09-29,2536.00,2590.00,2527.00,2541.00,1452600,2119.674
2010-09-28,2485.00,2498.00,2448.00,2497.00,871100,2082.97
2010-09-27,2509.00,2526.00,2483.00,2485.00,816100,2072.96
2010-09-24,2475.00,2519.00,2441.00,2511.00,706900,2094.648
2010-09-23,2511.00,2511.00,2444.00,2487.00,1195800,2074.628
2010-09-22,2515.00,2535.00,2461.00,2492.00,1196700,2078.799
2010-09-21,2478.00,2586.00,2433.00,2507.00,1577900,2091.312
2010-09-20,2369.00,2496.00,2369.00,2489.00,817900,2076.296
2010-09-17,2383.00,2397.00,2354.00,2371.00,669200,1977.862
2010-09-16,2373.00,2384.00,2337.00,2359.00,561200,1967.852
2010-09-15,2414.00,2414.00,2362.00,2366.00,819600,1973.691
2010-09-14,2395.00,2407.00,2378.00,2399.00,413600,2001.219
2010-09-13,2381.00,2400.00,2372.00,2396.00,446400,1998.717
2010-09-10,2356.00,2374.00,2340.00,2369.00,652400,1976.194
2010-09-09,2288.00,2368.00,2261.00,2359.00,1020100,1967.852
2010-09-08,2271.00,2299.00,2248.00,2277.00,746800,1899.448
2010-09-07,2288.00,2294.00,2250.00,2288.00,668000,1908.624
2010-09-06,2315.00,2315.00,2286.00,2291.00,334100,1911.127
2010-09-03,2276.00,2324.00,2245.00,2295.00,1218200,1914.464
2010-09-02,2193.00,2276.00,2193.00,2264.00,1250900,1888.604
2010-09-01,2132.00,2197.00,2110.00,2196.00,847100,1831.879
2010-08-31,2075.00,2117.00,2063.00,2117.00,967800,1765.978
2010-08-30,2116.00,2116.00,2116.00,2116.00,000,1765.144
2010-08-27,2058.00,2122.00,2058.00,2116.00,851800,1765.144
2010-08-26,2049.00,2078.00,2048.00,2069.00,659300,1725.937
2010-08-25,2066.00,2088.00,2029.00,2037.00,1250700,1699.243
2010-08-24,2096.00,2110.00,2048.00,2064.00,922000,1721.766
2010-08-23,2118.00,2141.00,2103.00,2120.00,407600,1768.481
2010-08-20,2150.00,2150.00,2108.00,2108.00,707400,1758.47
2010-08-19,2196.00,2219.00,2142.00,2145.00,1068000,1789.335
2010-08-18,2182.00,2189.00,2162.00,2176.00,826600,1815.195
2010-08-17,2144.00,2197.00,2140.00,2195.00,1011900,1822.703
2010-08-16,2161.00,2180.00,2122.00,2141.00,608300,1777.862
2010-08-13,2194.00,2203.00,2127.00,2150.00,1416500,1785.335
2010-08-12,2166.00,2188.00,2160.00,2180.00,1124800,1810.247
2010-08-11,2209.00,2226.00,2171.00,2175.00,1562800,1806.095
2010-08-10,2306.00,2306.00,2220.00,2226.00,1915900,1848.445
2010-08-09,2337.00,2341.00,2312.00,2317.00,947500,1924.01
2010-08-06,2348.00,2357.00,2300.00,2312.00,760900,1919.858
2010-08-05,2350.00,2357.00,2322.00,2333.00,914000,1937.296
2010-08-04,2318.00,2359.00,2303.00,2351.00,737400,1952.243
2010-08-03,2332.00,2340.00,2306.00,2329.00,586600,1933.975
2010-08-02,2311.00,2349.00,2311.00,2340.00,804600,1943.109
2010-07-30,2302.00,2336.00,2294.00,2300.00,1187700,1909.894
2010-07-29,2313.00,2344.00,2304.00,2306.00,874900,1914.876
2010-07-28,2344.00,2348.00,2302.00,2321.00,817400,1927.332
2010-07-27,2357.00,2360.00,2311.00,2331.00,1272100,1935.636
2010-07-26,2346.00,2359.00,2305.00,2357.00,986800,1957.226
2010-07-23,2301.00,2331.00,2280.00,2319.00,1215200,1925.671
2010-07-22,2196.00,2312.00,2188.00,2306.00,2072300,1914.876
2010-07-21,2167.00,2221.00,2166.00,2209.00,958000,1834.328
2010-07-20,2161.00,2162.00,2123.00,2150.00,864400,1785.335
2010-07-19,2184.00,2184.00,2132.00,2146.00,685000,1782.014
2010-07-16,2226.00,2257.00,2176.00,2177.00,738300,1807.756
2010-07-15,2250.00,2257.00,2205.00,2215.00,675800,1839.311
2010-07-14,2285.00,2296.00,2238.00,2254.00,871700,1871.696
2010-07-13,2209.00,2284.00,2199.00,2284.00,965000,1896.607
2010-07-12,2236.00,2242.00,2194.00,2212.00,619800,1836.819
2010-07-09,2206.00,2220.00,2180.00,2208.00,1143600,1833.498
2010-07-08,2201.00,2224.00,2189.00,2200.00,1401000,1826.855
2010-07-07,2161.00,2182.00,2144.00,2182.00,869500,1811.908
2010-07-06,2122.00,2194.00,2108.00,2185.00,852400,1814.399
2010-07-05,2147.00,2157.00,2115.00,2117.00,437800,1757.933
2010-07-02,2150.00,2180.00,2138.00,2143.00,1734100,1779.523
2010-07-01,2149.00,2164.00,2097.00,2110.00,1765800,1752.12
2010-06-30,2155.00,2197.00,2131.00,2183.00,1718600,1812.738
2010-06-29,2258.00,2268.00,2154.00,2154.00,1807000,1788.657
2010-06-28,2314.00,2334.00,2267.00,2287.00,1297100,1899.099
2010-06-25,2334.00,2347.00,2286.00,2302.00,1351600,1911.554
2010-06-24,2400.00,2414.00,2314.00,2324.00,2074300,1929.823
2010-06-23,2425.00,2429.00,2365.00,2377.00,1571500,1973.834
2010-06-22,2541.00,2548.00,2394.00,2424.00,2809300,2012.862
2010-06-21,2618.00,2620.00,2543.00,2552.00,862000,2119.152
2010-06-18,2612.00,2625.00,2580.00,2580.00,1759300,2142.402
2010-06-17,2657.00,2668.00,2575.00,2593.00,1915200,2153.197
2010-06-16,2686.00,2689.00,2648.00,2669.00,2527700,2216.307
2010-06-15,2631.00,2685.00,2626.00,2669.00,1862500,2216.307
2010-06-14,2623.00,2660.00,2617.00,2660.00,601100,2208.834
2010-06-11,2600.00,2605.00,2565.00,2588.00,790200,2149.046
2010-06-10,2541.00,2596.00,2540.00,2588.00,791800,2149.046
2010-06-09,2538.00,2562.00,2505.00,2562.00,873700,2127.455
2010-06-08,2576.00,2576.00,2488.00,2505.00,1164500,2080.123
2010-06-07,2554.00,2614.00,2554.00,2568.00,1033900,2132.438
2010-06-04,2689.00,2712.00,2603.00,2608.00,901500,2165.653
2010-06-03,2672.00,2702.00,2660.00,2689.00,720900,2232.915
2010-06-02,2590.00,2638.00,2578.00,2633.00,1090700,2186.413
2010-06-01,2605.00,2628.00,2562.00,2614.00,1039100,2170.636
2010-05-31,2628.00,2628.00,2628.00,2628.00,000,2182.261
2010-05-28,2621.00,2649.00,2621.00,2628.00,1035300,2182.261
2010-05-27,2568.00,2609.00,2556.00,2607.00,959700,2164.823
2010-05-26,2526.00,2584.00,2516.00,2557.00,1313300,2123.304
2010-05-25,2510.00,2525.00,2470.00,2503.00,1384700,2078.463
2010-05-24,2580.00,2600.00,2561.00,2569.00,840200,2133.268
2010-05-21,2564.00,2621.00,2529.00,2570.00,1698300,2134.099
2010-05-20,2661.00,2697.00,2552.00,2581.00,1450000,2143.233
