Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,334.10,335.40,331.60,331.60,3954600,247.14
2010-12-30,336.30,337.50,332.70,334.30,3650200,249.152
2010-12-29,343.90,343.90,334.50,336.00,4534700,250.419
2010-12-27,342.30,342.30,342.30,342.30,000,255.114
2010-12-24,340.80,342.30,337.20,342.30,803800,255.114
2010-12-23,338.30,339.00,336.80,338.80,2515900,252.506
2010-12-22,337.50,338.40,335.00,338.10,3969900,251.984
2010-12-21,336.80,340.00,334.70,337.00,6239300,251.164
2010-12-20,333.20,336.70,332.10,335.30,7131900,249.897
2010-12-17,334.10,336.60,330.60,330.60,17136600,246.394
2010-12-16,333.90,333.90,333.90,333.90,8712600,248.854
2010-12-15,328.60,331.50,327.00,330.30,12699500,246.171
2010-12-14,325.60,328.70,324.90,328.70,7540500,244.978
2010-12-13,325.90,327.30,323.50,326.00,6706900,242.966
2010-12-10,321.50,325.30,321.50,324.50,8422800,241.848
2010-12-09,321.10,323.00,320.00,320.70,9169300,239.016
2010-12-08,316.40,319.50,315.60,318.90,10220200,237.674
2010-12-07,318.10,318.10,314.40,316.90,11135000,236.184
2010-12-06,319.40,320.80,315.10,316.40,7849700,235.811
2010-12-03,318.50,319.30,314.60,318.00,9236600,237.004
2010-12-02,312.40,318.30,312.00,317.90,9891800,236.929
2010-12-01,310.00,313.90,307.50,312.90,12590500,233.203
2010-11-30,310.90,313.40,307.10,307.10,14667500,228.88
2010-11-29,318.10,319.30,311.00,311.00,12080500,231.787
2010-11-26,322.60,324.00,313.40,316.00,20989300,235.513
2010-11-25,322.90,326.80,321.30,324.30,6749900,241.699
2010-11-24,322.70,326.40,321.30,322.10,8733100,240.059
2010-11-23,329.30,329.80,321.40,321.40,10162400,239.538
2010-11-22,332.70,332.90,328.50,329.50,6443500,245.574
2010-11-19,332.00,332.00,325.80,329.90,10452300,245.873
2010-11-18,332.00,332.80,324.10,331.00,11607100,246.692
2010-11-17,332.20,334.00,325.00,332.20,15629700,247.587
2010-11-16,337.70,339.00,332.80,333.40,8830800,248.481
2010-11-15,338.50,340.50,335.10,337.70,6845500,251.686
2010-11-12,334.00,344.10,331.90,340.20,18568000,253.549
2010-11-11,336.10,338.90,332.40,336.00,7053400,250.419
2010-11-10,334.00,338.30,332.60,336.20,9693800,250.568
2010-11-09,333.50,337.20,332.00,334.30,9413200,249.152
2010-11-08,335.60,335.90,331.80,333.80,8134100,248.779
2010-11-05,330.60,336.90,330.00,335.70,23679900,250.195
2010-11-04,334.50,335.30,330.20,330.70,12182400,246.469
2010-11-03,329.80,333.50,327.50,331.30,11456100,246.916
2010-11-02,328.20,329.20,326.20,328.70,8585700,244.978
2010-11-01,334.40,334.40,327.40,328.00,9296900,244.457
2010-10-29,322.00,332.20,321.10,332.20,19951900,247.587
2010-10-28,319.00,323.90,319.00,321.80,6920600,239.836
2010-10-27,321.40,326.90,318.00,318.60,11019800,237.451
2010-10-26,325.10,325.40,320.00,321.60,12420400,239.687
2010-10-25,327.50,328.00,324.20,324.20,15084000,241.624
2010-10-22,330.00,330.00,324.50,325.50,8120800,242.593
2010-10-21,324.70,330.70,323.00,329.20,16133900,245.351
2010-10-20,324.80,325.40,322.00,324.00,6652500,241.475
