Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,165.69,167.62,164.59,165.45,561800,419.988
2010-12-30,164.39,166.79,164.39,166.52,515300,422.705
2010-12-29,166.44,166.87,162.62,165.02,541000,418.897
2010-12-27,165.06,165.06,165.06,165.06,000,418.998
2010-12-24,165.02,165.41,162.26,165.06,102300,418.998
2010-12-23,164.43,165.26,163.60,165.02,655500,418.897
2010-12-22,162.93,164.23,161.16,164.19,679000,416.79
2010-12-21,165.77,166.16,162.93,163.48,1262500,414.988
2010-12-20,165.45,166.87,164.75,165.57,898900,420.293
2010-12-17,164.75,165.02,162.85,164.98,2227900,418.795
2010-12-16,162.11,163.41,161.40,163.05,1507300,413.896
2010-12-15,163.01,163.09,159.66,161.59,1587700,410.19
2010-12-14,162.50,163.56,161.87,163.29,914000,414.505
2010-12-13,163.09,164.11,162.70,162.93,862600,413.592
2010-12-10,162.78,163.72,160.41,161.91,2197000,411.002
2010-12-09,164.11,165.93,162.58,163.48,2479900,414.988
2010-12-08,161.36,163.96,160.45,163.01,3632600,413.795
2010-12-07,161.51,163.56,160.88,162.30,2430900,411.992
2010-12-06,156.87,161.71,156.79,160.73,2769700,408.007
2010-12-03,154.82,157.18,154.50,156.71,1925000,397.802
2010-12-02,156.00,156.79,154.19,156.24,1850100,396.609
2010-12-01,153.40,155.96,152.93,154.94,2116800,393.309
2010-11-30,149.50,153.87,149.07,152.26,3385400,386.506
2010-11-29,156.43,156.71,148.75,148.75,2033500,377.596
2010-11-26,154.78,156.95,152.34,155.61,3053900,395.01
2010-11-25,151.71,155.21,150.76,155.09,2951200,393.69
2010-11-24,145.80,150.29,144.02,149.89,3873400,380.49
2010-11-23,144.54,146.15,143.47,144.93,2715800,367.899
2010-11-22,148.63,149.26,142.61,145.28,2951700,368.788
2010-11-19,148.12,149.26,145.60,146.98,2032100,373.103
2010-11-18,145.21,149.30,143.08,147.22,4493100,373.712
2010-11-17,145.32,145.44,142.17,144.18,3223300,365.995
2010-11-16,148.63,149.50,145.99,146.03,2545100,370.692
2010-11-15,147.77,150.96,147.73,149.30,1464600,378.992
2010-11-12,148.95,150.80,147.33,148.48,1785000,376.911
2010-11-11,150.25,150.92,148.63,150.01,1925400,380.795
2010-11-10,151.47,152.45,149.50,149.50,2731000,379.50
2010-11-09,151.67,153.01,150.45,152.18,3039600,386.303
2010-11-08,152.53,152.65,150.09,150.88,2128300,383.003
2010-11-05,152.81,153.44,151.43,151.86,1833800,385.491
2010-11-04,151.82,153.52,150.88,152.45,1918000,386.988
2010-11-03,152.93,152.93,149.54,150.09,3126800,380.998
2010-11-02,151.23,152.57,150.52,152.18,2634100,386.303
2010-11-01,153.95,153.95,151.43,151.75,1570700,385.212
2010-10-29,152.30,154.98,151.12,152.02,2674000,385.897
2010-10-28,150.76,152.89,148.67,152.53,2606700,387.192
2010-10-27,151.67,152.06,148.20,149.42,3542100,379.297
2010-10-26,155.65,156.39,148.20,150.68,8328000,382.495
2010-10-25,165.34,165.53,160.88,162.30,2268500,411.992
2010-10-22,163.96,167.19,162.50,164.51,1672100,417.602
2010-10-21,166.28,167.58,164.86,165.45,1995100,419.988
2010-10-20,168.49,169.20,166.24,167.23,1870300,424.507
2010-10-19,169.35,170.73,169.12,169.35,1697800,429.888
2010-10-18,167.62,170.58,167.62,169.95,1289100,431.412
2010-10-15,173.88,173.88,168.65,169.00,1281400,429.00
2010-10-14,174.28,174.59,172.35,173.49,1685300,440.398
2010-10-13,171.05,174.59,169.95,173.65,2012500,440.804
2010-10-12,173.33,173.57,169.00,169.12,1914500,429.305
2010-10-11,172.11,174.36,170.85,173.81,1723600,441.21
2010-10-08,171.09,171.68,168.41,170.18,2648000,431.995
2010-10-07,177.63,178.45,170.30,170.77,2055600,433.493
2010-10-06,176.37,179.56,175.15,178.18,1512600,452.303
2010-10-05,177.11,178.02,174.79,175.72,2338700,446.058
2010-10-04,180.11,180.54,174.16,177.00,2458600,449.308
2010-10-01,178.89,182.71,177.27,180.07,2324600,457.101
2010-09-30,180.38,182.98,178.34,178.69,1803900,453.598
2010-09-29,181.49,182.67,179.83,180.46,1588100,458.091
2010-09-28,182.98,182.98,178.93,181.25,2065800,460.096
2010-09-27,182.28,184.05,180.42,182.91,2124000,464.31
2010-09-24,175.85,181.76,175.85,181.17,2724100,459.893
2010-09-23,176.88,177.11,173.37,176.25,2618500,447.404
2010-09-22,173.33,177.15,170.69,175.30,3740200,444.992
2010-09-21,170.18,174.40,169.79,171.95,4520700,436.488
2010-09-20,169.20,170.02,166.52,168.13,1374100,426.792
2010-09-17,172.27,172.55,167.62,168.76,2334400,428.391
2010-09-16,171.84,172.55,169.67,170.65,1335500,433.188
2010-09-15,173.25,174.71,170.58,170.81,1409000,433.595
2010-09-14,173.85,175.38,172.90,173.45,1378000,440.296
