Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,204.60,205.60,203.00,203.50,750600,161.991
2010-12-30,205.40,206.10,203.80,203.80,873900,162.23
2010-12-29,207.00,209.00,205.20,205.40,1726700,163.504
2010-12-27,208.10,208.10,208.10,208.10,000,165.653
2010-12-24,208.50,209.00,207.20,208.10,144600,165.653
2010-12-23,206.70,209.00,206.10,208.50,2080800,165.971
2010-12-22,206.80,208.10,205.10,207.80,2103400,165.414
2010-12-21,204.50,209.20,204.50,206.60,3623900,164.459
2010-12-20,199.90,203.80,198.10,203.30,5256700,161.832
2010-12-17,205.30,207.00,198.60,198.70,46081800,158.17
2010-12-16,205.50,205.50,205.50,205.50,5340400,163.583
2010-12-15,205.60,206.30,203.70,206.00,5012700,163.981
2010-12-14,205.10,206.80,203.10,205.90,4100900,163.902
2010-12-13,210.30,210.80,204.80,205.90,68700,163.902
2010-12-10,204.70,210.50,203.90,209.50,9434800,166.767
2010-12-09,197.40,205.10,196.30,203.60,15374300,162.071
2010-12-08,195.70,197.10,194.40,196.40,5250200,156.34
2010-12-07,195.30,197.00,194.20,195.90,9751800,155.942
2010-12-06,196.90,198.90,194.00,194.50,5328800,154.827
2010-12-03,201.20,201.20,198.50,199.30,3899000,158.648
2010-12-02,194.60,202.10,191.90,200.60,5258900,159.683
2010-12-01,192.80,194.30,188.60,192.40,4893500,153.155
2010-11-30,194.20,196.20,192.30,192.30,5061000,153.076
2010-11-29,199.70,201.00,194.00,194.10,2386800,154.509
2010-11-26,197.10,199.40,195.70,198.70,3512300,158.17
2010-11-25,196.40,197.80,194.90,197.50,4536600,157.215
2010-11-24,196.80,198.40,193.50,196.30,5086900,156.26
2010-11-23,199.60,200.00,195.80,195.80,5559100,155.862
2010-11-22,207.20,207.20,199.80,199.90,3714200,159.126
2010-11-19,208.00,208.00,204.90,205.00,4291700,163.185
2010-11-18,204.30,207.90,203.10,207.90,2663600,165.494
2010-11-17,203.20,204.50,200.00,203.80,2976700,162.23
2010-11-16,206.70,206.70,204.00,204.50,4070100,162.787
2010-11-15,204.80,206.50,202.70,206.20,2547200,164.141
2010-11-12,206.70,208.50,204.30,205.40,2445600,163.504
2010-11-11,207.50,208.50,204.90,207.90,3912600,165.494
2010-11-10,208.30,209.70,206.10,207.20,4146600,164.937
2010-11-09,209.00,211.80,208.30,209.20,4476100,166.529
2010-11-08,204.70,209.50,202.50,209.40,6135500,166.688
2010-11-05,207.70,208.20,199.20,204.80,7955600,163.026
2010-11-04,212.60,213.60,206.90,208.00,9213600,165.573
2010-11-03,216.00,220.10,206.30,211.50,20057200,168.36
2010-11-02,234.30,236.20,232.90,233.80,2715000,186.111
2010-11-01,232.10,235.40,231.40,234.80,5412800,186.907
2010-10-29,232.40,234.10,230.80,231.60,7759700,184.36
2010-10-28,234.90,234.90,232.60,233.40,4451800,185.792
2010-10-27,238.20,238.30,231.70,233.80,5161700,186.111
2010-10-26,245.50,245.50,238.10,239.40,3627000,190.569
2010-10-25,246.00,247.40,244.10,245.50,1789800,195.424
2010-10-22,245.80,246.90,243.40,245.00,2368700,195.026
2010-10-21,241.50,246.00,240.90,245.60,9538200,195.504
2010-10-20,239.40,243.10,238.30,242.80,2686400,193.275
2010-10-19,238.00,240.70,236.00,238.90,3716000,190.171
2010-10-18,236.80,238.20,235.00,237.70,1790700,189.215
2010-10-15,243.40,247.30,237.60,238.00,4798000,189.454
2010-10-14,236.50,240.00,236.20,239.90,3347700,190.967
2010-10-13,231.40,235.60,230.00,235.40,3932300,187.385
2010-10-12,229.80,231.10,227.70,230.50,1939300,182.188
2010-10-11,231.60,231.60,228.40,231.00,2373000,182.583
2010-10-08,231.80,233.90,227.80,227.90,4782600,180.133
2010-10-07,234.40,235.10,231.70,233.10,2191900,184.243
