Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,1204.00,1204.00,1185.00,1185.00,1431300,1010.475
2010-12-30,1207.00,1208.00,1196.00,1200.00,1586100,1023.266
2010-12-29,1221.00,1224.00,1204.00,1211.00,1500400,1032.646
2010-12-27,1215.00,1215.00,1215.00,1215.00,000,1036.057
2010-12-24,1219.00,1219.00,1209.00,1215.00,319300,1036.057
2010-12-23,1210.00,1218.00,1205.00,1215.00,1647000,1036.057
2010-12-22,1204.00,1208.00,1196.00,1208.00,1877000,1030.088
2010-12-21,1198.00,1210.00,1190.00,1199.00,2379200,1022.413
2010-12-20,1193.00,1203.00,1184.00,1196.00,2930600,1019.855
2010-12-17,1188.00,1189.00,1180.00,1180.00,6392900,1006.212
2010-12-16,1182.00,1182.00,1182.00,1182.00,3592900,1007.917
2010-12-15,1163.00,1171.00,1161.00,1170.00,4506900,997.684
2010-12-14,1170.00,1173.00,1160.00,1170.00,3384500,997.684
2010-12-13,1178.00,1180.00,1170.00,1173.00,2766200,1000.243
2010-12-10,1169.00,1185.00,1165.00,1174.00,4615400,1001.095
2010-12-09,1165.00,1169.00,1151.00,1163.00,6008100,991.715
2010-12-08,1143.00,1163.00,1139.00,1158.00,5187300,987.452
2010-12-07,1147.00,1148.00,1129.00,1145.00,6021100,976.366
2010-12-06,1153.00,1156.00,1139.00,1142.00,3068800,973.808
2010-12-03,1152.00,1164.00,1145.00,1146.00,3235300,977.219
2010-12-02,1152.00,1159.00,1141.00,1153.00,6057400,983.188
2010-12-01,1150.00,1154.00,1139.00,1146.00,5425700,977.219
2010-11-30,1150.00,1155.00,1144.00,1144.00,4867100,975.514
2010-11-29,1184.00,1189.00,1150.00,1150.00,3346600,980.63
2010-11-26,1174.00,1182.00,1169.00,1179.00,1971200,1005.359
2010-11-25,1177.00,1183.00,1169.00,1180.00,2818800,1006.212
2010-11-24,1172.00,1178.00,1163.00,1175.00,4048800,1001.948
2010-11-23,1187.00,1187.00,1164.00,1164.00,3103000,992.568
2010-11-22,1195.00,1207.00,1179.00,1184.00,3047700,1009.623
2010-11-19,1192.00,1198.00,1179.00,1189.00,4133800,1013.886
2010-11-18,1173.00,1196.00,1171.00,1193.00,4490100,1017.297
2010-11-17,1159.00,1176.00,1157.00,1165.00,4080800,993.421
2010-11-16,1167.00,1167.00,1156.00,1159.00,2819900,988.305
2010-11-15,1148.00,1168.00,1148.00,1168.00,2978100,995.979
2010-11-12,1145.00,1157.00,1134.00,1153.00,2242300,983.188
2010-11-11,1152.00,1155.00,1145.00,1151.00,3337300,981.483
2010-11-10,1156.00,1160.00,1143.00,1150.00,5868100,980.63
2010-11-09,1156.00,1163.00,1151.00,1155.00,2756200,984.894
2010-11-08,1158.00,1167.00,1154.00,1158.00,2542300,987.452
2010-11-05,1171.00,1172.00,1157.00,1161.00,4064200,990.01
2010-11-04,1169.00,1181.00,1164.00,1169.00,3635700,996.832
2010-11-03,1170.00,1176.00,1157.00,1160.00,2753800,989.157
2010-11-02,1160.00,1176.00,1158.00,1166.00,2470900,994.274
2010-11-01,1156.00,1168.00,1149.00,1158.00,2939400,987.452
2010-10-29,1156.00,1163.00,1151.00,1152.00,3708900,982.335
2010-10-28,1160.00,1165.00,1153.00,1160.00,3023900,989.157
2010-10-27,1161.00,1172.00,1150.00,1154.00,4691900,984.041
2010-10-26,1179.00,1184.00,1167.00,1167.00,4347700,995.126
2010-10-25,1187.00,1202.00,1175.00,1186.00,3590000,1011.328
2010-10-22,1183.00,1190.00,1175.00,1180.00,3852500,1006.212
2010-10-21,1163.00,1240.00,1161.00,1187.00,15227400,1012.181
2010-10-20,1164.00,1164.00,1156.00,1160.00,3796200,989.157
2010-10-19,1136.00,1175.00,1133.00,1163.00,8633800,991.715
2010-10-18,1122.00,1137.00,1116.00,1135.00,2727600,967.839
2010-10-15,1134.00,1141.00,1116.00,1124.00,6248200,958.459
2010-10-14,1142.00,1144.00,1118.00,1135.00,9895100,967.839
2010-10-13,1128.00,1147.00,1128.00,1143.00,4174800,974.661
2010-10-12,1110.00,1131.00,1105.00,1124.00,4958900,958.459
2010-10-11,1111.00,1116.00,1106.00,1113.00,3123600,949.079
2010-10-08,1105.00,1110.00,1094.00,1107.00,2759800,943.963
2010-10-07,1107.00,1113.00,1099.00,1108.00,3651700,944.816
2010-10-06,1107.00,1114.00,1099.00,1102.00,4360400,939.699
2010-10-05,1095.00,1104.00,1084.00,1099.00,3553200,937.141
2010-10-04,1105.00,1108.00,1092.00,1092.00,3197200,931.172
2010-10-01,1097.00,1109.00,1091.00,1104.00,4440900,941.405
2010-09-30,1094.00,1108.00,1087.00,1096.00,8973200,934.583
2010-09-29,1099.00,1102.00,1088.00,1096.00,4366900,934.583
2010-09-28,1102.00,1103.00,1078.00,1095.00,4700200,933.73
2010-09-27,1104.00,1109.00,1097.00,1100.00,6039300,937.994
2010-09-24,1092.00,1101.00,1087.00,1098.00,6794100,936.288
2010-09-23,1102.00,1102.00,1083.00,1092.00,5665600,931.172
2010-09-22,1095.00,1100.00,1089.00,1092.00,7092300,931.172
2010-09-21,1097.00,1116.00,1091.00,1095.00,7433000,933.73
2010-09-20,1077.00,1092.00,1070.00,1092.00,3651000,931.172
2010-09-17,1085.00,1092.00,1070.00,1070.00,6912700,912.412
2010-09-16,1088.00,1090.00,1079.00,1079.00,3111700,920.087
2010-09-15,1088.00,1093.00,1080.00,1089.00,3267600,928.614
2010-09-14,1092.00,1095.00,1083.00,1087.00,3707900,926.909
2010-09-13,1099.00,1104.00,1089.00,1093.00,3457400,932.025
2010-09-10,1098.00,1102.00,1090.00,1098.00,2232200,936.288
2010-09-09,1085.00,1097.00,1079.00,1094.00,3040500,932.878
2010-09-08,1080.00,1089.00,1071.00,1085.00,3712800,925.203
2010-09-07,1104.00,1108.00,1098.00,1105.00,5013800,922.219
2010-09-06,1099.00,1104.00,1091.00,1104.00,2673300,921.384
2010-09-03,1096.00,1104.00,1090.00,1095.00,2962900,913.873
2010-09-02,1092.00,1096.00,1086.00,1092.00,7546800,911.369
2010-09-01,1065.00,1097.00,1061.00,1097.00,6858100,915.542
2010-08-31,1052.00,1063.00,1048.00,1059.00,6524800,883.828
2010-08-30,1062.00,1062.00,1062.00,1062.00,000,886.331
2010-08-27,1049.00,1063.00,1045.00,1062.00,5282200,886.331
2010-08-26,1063.00,1070.00,1041.00,1050.00,9813900,876.316
2010-08-25,1075.00,1083.00,1055.00,1066.00,6207400,889.67
2010-08-24,1076.00,1081.00,1061.00,1076.00,4345100,898.016
2010-08-23,1077.00,1085.00,1069.00,1082.00,3144400,903.023
2010-08-20,1080.00,1085.00,1074.00,1078.00,8000100,899.685
2010-08-19,1096.00,1099.00,1079.00,1082.00,4018900,903.023
2010-08-18,1097.00,1100.00,1083.00,1093.00,4101800,912.204
2010-08-17,1109.00,1117.00,1094.00,1105.00,3953100,922.219
2010-08-16,1113.00,1113.00,1100.00,1110.00,1736900,926.392
2010-08-13,1111.00,1116.00,1102.00,1108.00,2899100,924.722
2010-08-12,1098.00,1119.00,1097.00,1109.00,5451600,925.557
2010-08-11,1108.00,1111.00,1093.00,1096.00,4144800,914.707
2010-08-10,1107.00,1111.00,1092.00,1102.00,2840000,919.715
2010-08-09,1098.00,1106.00,1090.00,1105.00,2918700,922.219
2010-08-06,1107.00,1108.00,1073.00,1079.00,6894700,900.519
2010-08-05,1121.00,1125.00,1102.00,1103.00,3514800,920.549
2010-08-04,1113.00,1125.00,1110.00,1123.00,2406200,937.241
2010-08-03,1127.00,1127.00,1107.00,1118.00,3642000,933.068
2010-08-02,1108.00,1128.00,1107.00,1127.00,3418100,940.58
2010-07-30,1105.00,1117.00,1101.00,1107.00,5281700,923.888
2010-07-29,1111.00,1117.00,1104.00,1104.00,4294300,921.384
2010-07-28,1139.00,1139.00,1110.00,1112.00,6354000,928.061
2010-07-27,1144.00,1146.00,1132.00,1137.00,4242400,948.925
2010-07-26,1138.00,1146.00,1129.00,1143.00,3126500,953.933
2010-07-23,1124.00,1133.00,1114.00,1132.00,5716000,944.752
2010-07-22,1110.00,1127.00,1105.00,1127.00,2688000,940.58
2010-07-21,1108.00,1119.00,1104.00,1109.00,1963000,925.557
2010-07-20,1110.00,1112.00,1097.00,1100.00,4687600,918.046
2010-07-19,1114.00,1117.00,1106.00,1109.00,3115400,925.557
2010-07-16,1112.00,1129.00,1110.00,1114.00,5700100,929.73
2010-07-15,1117.00,1129.00,1106.00,1112.00,2710900,928.061
2010-07-14,1118.00,1121.00,1107.00,1118.00,2370600,933.068
2010-07-13,1101.00,1115.00,1101.00,1111.00,2434600,927.226
2010-07-12,1086.00,1103.00,1086.00,1099.00,2409900,917.211
2010-07-09,1087.00,1092.00,1074.00,1088.00,2559400,908.031
2010-07-08,1072.00,1085.00,1069.00,1085.00,4236400,905.527
2010-07-07,1045.00,1061.00,1033.00,1061.00,3155100,885.497
2010-07-06,1034.00,1055.00,1033.00,1048.00,3603100,874.647
