Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,803.00,807.50,791.50,798.00,554500,686.21
2010-12-30,806.00,808.00,795.00,802.50,863200,690.079
2010-12-29,815.00,820.00,804.00,807.00,1038200,693.949
2010-12-27,815.00,815.00,815.00,815.00,000,695.821
2010-12-24,813.00,815.00,810.50,815.00,131200,695.821
2010-12-23,817.00,819.00,809.00,819.00,1126800,699.236
2010-12-22,813.50,815.00,807.00,812.50,1731200,693.687
2010-12-21,816.00,818.00,810.50,813.00,1157800,694.114
2010-12-20,816.50,819.50,810.50,813.00,1305000,694.114
2010-12-17,812.00,821.00,807.00,813.50,2294000,694.541
2010-12-16,807.50,807.50,807.50,807.50,2539900,689.418
2010-12-15,789.50,816.50,787.50,812.50,3221600,693.687
2010-12-14,787.00,791.50,783.00,791.50,1026500,675.758
2010-12-13,776.50,787.00,776.50,785.00,1337400,670.208
2010-12-10,779.00,788.00,774.00,776.50,1589400,662.951
2010-12-09,787.50,787.50,774.00,775.00,1275400,661.671
2010-12-08,782.50,786.969,781.00,783.50,1263300,668.928
2010-12-07,788.50,793.00,782.00,786.00,1416700,671.062
2010-12-06,784.00,790.00,782.50,782.50,1362700,668.074
2010-12-03,789.50,801.50,784.50,785.00,1991300,670.208
2010-12-02,754.00,790.00,752.50,789.00,3242800,673.623
2010-12-01,739.00,752.00,733.50,751.50,2992800,641.607
2010-11-30,745.00,748.00,734.00,734.50,3573100,627.093
2010-11-29,754.50,755.00,743.50,744.00,2230100,635.204
2010-11-26,747.00,755.50,745.00,751.00,1139400,641.18
2010-11-25,746.00,752.50,742.00,751.00,1103800,641.18
2010-11-24,731.50,747.50,724.00,742.50,2129300,633.923
2010-11-23,734.00,736.00,724.50,725.50,2532000,619.409
2010-11-22,746.50,756.50,732.50,735.00,1482200,627.52
2010-11-19,748.00,748.00,735.50,742.50,2194200,633.923
2010-11-18,750.00,752.00,739.50,744.50,2567300,635.631
2010-11-17,710.50,758.00,706.00,748.00,4479700,638.619
