Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,421.60,422.60,415.20,417.20,515200,338.881
2010-12-30,424.70,425.10,417.40,419.90,909000,341.074
2010-12-29,422.30,425.50,420.10,424.80,1509800,345.054
2010-12-27,419.90,419.90,419.90,419.90,000,341.074
2010-12-24,422.60,425.00,417.70,419.90,202800,341.074
2010-12-23,422.60,425.60,422.50,422.50,1003500,343.186
2010-12-22,421.90,424.40,420.40,422.50,1268200,343.186
2010-12-21,422.80,424.60,420.50,422.30,796600,343.024
2010-12-20,419.00,422.20,418.90,421.50,1216300,342.374
2010-12-17,421.00,427.40,419.10,419.60,4284500,340.83
2010-12-16,416.90,416.90,416.90,416.90,2361300,338.637
2010-12-15,416.40,420.00,415.00,419.80,2689500,340.993
2010-12-14,411.30,415.00,410.10,414.50,1303200,336.688
2010-12-13,413.50,416.00,411.70,413.10,1870600,335.551
2010-12-10,413.00,414.90,410.00,410.50,1144700,333.439
2010-12-09,414.90,415.00,411.40,413.00,1831900,335.469
2010-12-08,413.90,415.00,410.20,411.20,1534500,334.007
2010-12-07,419.80,419.90,413.70,414.70,3147300,336.85
2010-12-06,421.50,421.50,415.80,418.10,1663400,339.612
2010-12-03,419.00,421.60,416.00,421.40,2663500,342.292
2010-12-02,404.60,419.20,404.60,418.30,2475600,339.774
2010-12-01,396.10,403.10,393.10,403.10,1846300,327.428
2010-11-30,395.90,398.00,391.90,393.20,2676100,319.386
2010-11-29,405.30,411.60,393.80,394.70,1972300,320.605
2010-11-26,404.90,407.10,399.00,406.90,2165200,330.514
2010-11-25,392.00,413.00,391.10,405.80,4021700,329.621
2010-11-24,393.00,393.00,386.70,387.40,1879300,314.675
2010-11-23,398.40,399.40,391.40,391.40,2197500,317.924
2010-11-22,406.40,407.10,397.50,399.50,2623000,324.504
2010-11-19,408.00,411.30,400.90,403.80,2076500,327.996
2010-11-18,411.30,414.30,407.30,411.10,2535400,333.926
2010-11-17,407.20,411.50,403.20,408.20,1564600,331.57
2010-11-16,418.30,420.00,408.50,408.50,1262100,331.814
2010-11-15,414.00,422.30,413.90,419.00,1673600,340.343
2010-11-12,417.40,419.90,412.60,416.10,1552400,337.987
2010-11-11,422.60,425.00,418.50,420.20,2783200,341.318
2010-11-10,424.20,427.70,420.10,421.20,1924200,342.13
2010-11-09,425.30,435.20,425.30,429.70,2262000,349.034
2010-11-08,435.80,437.70,426.00,426.90,2264300,346.76
2010-11-05,428.70,435.10,428.20,434.40,2135200,352.852
2010-11-04,421.90,431.80,421.70,429.90,1755900,349.197
2010-11-03,420.80,422.00,417.90,419.00,863300,340.343
2010-11-02,417.50,422.70,415.80,419.00,1039500,340.343
2010-11-01,419.70,422.60,414.70,416.90,1916800,338.637
2010-10-29,419.60,420.50,414.10,419.10,2612800,340.424
2010-10-28,418.40,424.90,417.20,419.90,2198100,341.074
2010-10-27,412.30,419.30,411.20,416.40,3126200,338.231
2010-10-26,415.20,416.80,411.70,413.50,1316900,335.876
2010-10-25,415.10,420.80,413.20,417.00,3430600,338.718
2010-10-22,414.30,416.30,412.60,412.60,1434200,335.144
2010-10-21,418.40,419.60,413.40,414.10,3776500,336.363
2010-10-20,416.90,418.90,410.90,418.10,1847400,339.612
2010-10-19,417.00,420.70,414.20,416.60,1646400,338.394
2010-10-18,418.50,418.50,413.80,415.30,1860400,337.338
2010-10-15,422.40,423.80,417.10,419.00,2520900,340.343
2010-10-14,423.00,424.80,418.50,420.70,2343000,341.724
2010-10-13,424.90,430.00,423.40,423.80,4649200,344.242
2010-10-12,414.20,416.00,409.10,415.20,1349900,337.256
2010-10-11,416.80,418.10,414.70,414.70,1063600,336.85
2010-10-08,419.00,419.00,412.90,417.40,5197100,339.043
2010-10-07,412.00,420.30,409.30,416.70,2045200,338.475
2010-10-06,402.00,412.00,402.00,412.00,1908100,334.657
2010-10-05,396.80,402.80,393.20,401.70,2443200,326.291
2010-10-04,398.20,401.10,393.40,398.00,1944900,323.285
2010-10-01,397.00,401.90,394.10,398.00,3963100,323.285
2010-09-30,394.30,399.50,390.80,394.30,3381700,320.28
2010-09-29,395.00,398.50,391.80,395.00,2653100,320.848
2010-09-28,403.20,403.80,391.90,395.00,5561000,320.848
2010-09-27,406.00,408.50,401.20,403.60,4425700,327.834
2010-09-24,390.30,408.00,390.20,406.20,3175400,329.946
2010-09-23,391.00,391.00,384.10,389.10,1605500,316.056
2010-09-22,398.30,398.30,387.20,387.20,3676700,314.513
2010-09-21,395.00,399.30,393.00,396.30,1502000,321.904
2010-09-20,386.20,395.30,384.80,395.30,1256700,321.092
2010-09-17,393.90,397.30,382.80,382.80,3474100,310.939
2010-09-16,389.80,391.30,383.40,389.90,1718700,316.706
2010-09-15,389.00,390.30,387.30,389.40,2291100,316.30
2010-09-14,388.00,389.20,386.20,388.60,1879900,315.65
2010-09-13,388.80,393.30,386.80,387.50,1792600,314.756
2010-09-10,386.10,388.40,385.70,388.20,1393600,315.325
2010-09-09,383.70,391.70,382.20,388.10,4214000,315.244
2010-09-08,377.50,382.90,374.80,382.60,2380000,310.776
2010-09-07,375.90,376.30,370.80,374.20,1760800,303.953
2010-09-06,375.00,377.80,374.80,375.30,739000,304.847
2010-09-03,368.60,376.50,368.00,373.70,1644600,303.547
2010-09-02,365.50,370.40,363.70,368.60,2490400,299.404
2010-09-01,361.60,368.90,357.80,367.90,2466200,298.836
2010-08-31,354.10,360.70,350.50,359.60,3946100,292.094
2010-08-30,358.90,358.90,358.90,358.90,000,291.525
