Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,661.00,661.70,651.10,651.10,8998100,463.181
2010-12-30,663.70,666.30,657.60,658.40,9881000,468.374
2010-12-29,665.50,670.40,663.10,663.10,10324800,471.718
2010-12-27,667.30,667.30,667.30,667.30,000,474.706
2010-12-24,664.90,667.30,664.30,667.30,1980600,474.706
2010-12-23,668.50,669.90,665.00,668.00,8826400,475.204
2010-12-22,663.50,671.10,661.40,669.40,11943300,476.20
2010-12-21,661.60,665.80,660.70,662.80,13279300,471.505
2010-12-20,655.40,659.40,653.10,656.80,12887400,467.236
2010-12-17,660.90,663.50,653.70,655.50,45231800,466.311
2010-12-16,662.10,662.10,662.10,662.10,19709900,471.007
2010-12-15,663.70,666.90,661.00,661.10,24566300,470.295
2010-12-14,663.60,673.70,663.20,671.70,27911400,477.836
2010-12-13,665.30,672.00,661.80,665.50,14946800,473.425
2010-12-10,665.10,666.80,660.40,663.10,15750400,471.718
2010-12-09,660.50,671.40,659.00,666.70,28674600,474.279
2010-12-08,659.70,662.40,656.90,658.90,27684600,468.73
2010-12-07,665.20,670.50,661.80,665.50,22742900,473.425
2010-12-06,666.70,669.10,660.00,666.70,19321600,474.279
2010-12-03,667.10,676.30,664.50,665.80,33448500,473.639
2010-12-02,659.10,669.50,652.50,667.50,28338200,474.848
2010-12-01,655.00,659.30,650.60,656.20,37771100,466.809
2010-11-30,651.40,658.50,646.80,648.30,44237600,461.189
2010-11-29,659.00,666.60,651.10,651.40,38427800,463.395
2010-11-26,653.80,655.30,642.10,651.10,24350300,463.181
2010-11-25,654.00,660.60,651.30,656.10,14410100,466.738
2010-11-24,650.60,655.00,645.90,652.20,29216700,463.964
2010-11-23,648.00,649.80,643.30,643.90,33039300,458.059
2010-11-22,665.30,665.30,648.50,653.80,21305900,465.102
2010-11-19,666.50,666.80,650.40,657.50,34135100,467.734
2010-11-18,665.40,673.10,663.80,666.50,19981700,474.137
2010-11-17,659.10,666.40,657.10,660.50,24766200,469.868
2010-11-16,673.50,674.90,665.00,665.00,34661500,467.379
2010-11-15,676.00,683.20,674.20,681.80,22060000,479.186
2010-11-12,678.50,687.20,673.30,679.80,30585100,477.78
2010-11-11,692.80,694.90,678.80,684.00,22575900,480.732
2010-11-10,693.60,695.00,685.10,689.60,24860600,484.668
2010-11-09,694.30,698.90,690.00,694.40,26523500,488.042
2010-11-08,689.60,691.50,684.60,689.10,26399900,484.317
2010-11-05,700.90,714.50,679.80,683.00,57404400,480.029
2010-11-04,683.00,699.40,680.10,695.10,50444300,488.534
2010-11-03,662.00,671.10,662.00,670.00,29359500,470.893
2010-11-02,651.90,665.00,651.10,657.90,22271000,462.388
2010-11-01,653.10,659.10,649.00,655.20,20664500,460.491
2010-10-29,654.70,656.00,649.10,649.10,22353600,456.204
2010-10-28,658.30,667.90,655.00,659.00,25660100,463.162
2010-10-27,657.90,664.40,654.10,656.90,19732000,461.686
2010-10-26,662.90,667.20,657.00,660.00,21617000,463.864
2010-10-25,671.00,673.10,667.00,668.40,18422500,469.768
2010-10-22,675.40,677.60,665.70,666.80,18562600,468.644
2010-10-21,658.80,676.00,657.70,670.40,29524800,471.174
2010-10-20,661.00,664.70,654.60,660.00,26659500,463.864
2010-10-19,660.80,669.50,658.20,660.50,26494900,464.216
2010-10-18,655.00,663.30,652.00,660.40,21998800,464.146
2010-10-15,666.00,669.40,648.00,653.30,38600700,459.155
2010-10-14,669.50,675.50,660.00,662.30,35939600,465.481
2010-10-13,661.00,673.50,656.80,671.10,29221700,471.666
2010-10-12,659.10,665.40,654.30,663.20,18162400,466.113
2010-10-11,659.90,663.70,657.90,661.90,9763900,465.20
2010-10-08,661.40,664.00,654.70,658.20,19120200,462.599
2010-10-07,664.20,666.70,659.50,661.60,18037400,464.989
2010-10-06,666.60,670.00,661.20,663.70,25450800,466.465
2010-10-05,656.30,667.50,654.70,665.50,28153000,467.73
2010-10-04,655.70,661.10,651.50,651.60,20436600,457.961
2010-10-01,651.90,657.50,646.80,653.60,26419000,459.366
2010-09-30,645.90,656.20,641.40,645.00,43368900,453.322
2010-09-29,660.90,662.00,644.90,649.00,38815800,456.133
2010-09-28,660.70,662.80,651.00,659.50,28561800,463.513
2010-09-27,665.80,666.70,659.60,660.90,19536800,464.497
2010-09-24,662.00,670.50,662.00,666.30,24899000,468.292
2010-09-23,670.60,671.00,652.40,664.00,24610900,466.676
2010-09-22,673.40,673.40,660.10,664.00,21697900,466.676
2010-09-21,677.80,683.40,671.00,671.00,28027700,471.595
2010-09-20,673.50,682.20,671.20,679.60,20463900,477.64
2010-09-17,676.30,681.20,668.00,672.70,54003900,472.79
2010-09-16,673.60,680.60,673.00,675.40,29217300,474.688
2010-09-15,674.40,681.90,673.80,676.60,26798900,475.531
2010-09-14,675.00,683.40,673.60,676.20,23692400,475.25
2010-09-13,672.00,682.80,668.00,677.90,24288500,476.445
2010-09-10,661.80,665.40,654.50,661.50,22707200,464.919
2010-09-09,655.00,666.00,652.00,661.60,25781100,464.989
2010-09-08,658.50,659.50,648.50,654.80,25033400,460.21
2010-09-07,661.50,665.50,659.00,662.40,21714400,465.551
2010-09-06,659.50,665.50,657.30,662.80,14529900,465.832
2010-09-03,651.50,662.10,649.30,654.40,21617700,459.929
2010-09-02,651.10,655.00,646.90,652.00,18209400,458.242
2010-09-01,642.40,653.00,636.40,652.00,31107200,458.242
2010-08-31,630.00,644.30,629.10,643.70,35875900,452.408
2010-08-30,637.00,637.00,637.00,637.00,000,447.699
2010-08-27,632.40,638.60,627.70,637.00,17465900,447.699
2010-08-26,635.70,637.70,627.70,632.90,17084500,444.818
2010-08-25,632.30,638.30,626.00,631.50,25512800,443.834
2010-08-24,638.60,639.20,623.60,629.90,29303000,442.709
2010-08-23,636.00,642.90,632.80,639.20,19226200,449.246
2010-08-20,640.00,642.00,626.70,634.20,25787900,445.732
2010-08-19,658.20,658.50,634.00,635.50,28873900,446.645
2010-08-18,660.90,660.90,652.80,652.80,18881900,458.804
2010-08-17,654.60,669.00,653.80,667.70,17536200,465.724
2010-08-16,657.10,659.30,648.00,654.50,16939200,456.517
2010-08-13,664.30,664.60,645.30,652.90,23874600,455.401
2010-08-12,651.80,665.00,650.00,661.30,27628700,461.26
2010-08-11,667.00,670.00,655.90,657.50,26104300,458.609
2010-08-10,668.00,671.90,663.80,670.00,17127300,467.328
2010-08-09,665.10,674.30,664.00,670.70,17710300,467.816
2010-08-06,669.50,675.00,658.80,661.40,21914900,461.33
2010-08-05,670.00,676.10,667.60,669.00,25098900,466.631
2010-08-04,669.70,673.80,658.20,672.00,36734300,468.723
2010-08-03,670.00,672.30,663.00,671.40,40632600,468.305
2010-08-02,656.30,684.00,655.00,680.00,63409800,474.303
2010-07-30,656.00,660.40,646.00,646.00,33693700,450.588
2010-07-29,663.20,670.90,656.10,656.30,21128300,457.772
2010-07-28,666.00,677.80,661.50,663.30,38302800,462.655
2010-07-27,647.70,668.70,646.00,666.30,55018400,464.747
2010-07-26,647.90,649.30,641.30,649.30,16066800,452.89
2010-07-23,648.80,650.60,639.00,646.20,22603300,450.728
2010-07-22,638.20,655.10,637.90,655.00,27803300,456.866
2010-07-21,633.90,643.20,631.60,638.00,26974300,445.008
2010-07-20,628.90,629.90,617.20,627.80,22260100,437.893
2010-07-19,620.90,632.40,616.40,623.10,18903700,434.615
2010-07-16,635.30,636.90,620.00,621.60,39291400,433.569
2010-07-15,633.80,645.60,629.50,637.50,38153900,444.659
2010-07-14,641.70,642.20,632.70,639.70,22445000,446.194
2010-07-13,634.00,648.10,632.20,644.40,27093700,449.472
2010-07-12,630.00,637.30,623.60,632.40,14964500,441.102
2010-07-09,625.20,635.20,622.10,627.10,25029400,437.405
2010-07-08,616.50,629.50,612.50,623.20,32403000,434.685
2010-07-07,607.00,616.10,595.20,614.70,35794900,428.756
2010-07-06,601.20,617.00,599.00,615.90,28499500,429.593
2010-07-05,603.60,606.70,595.50,596.20,17623200,415.852
2010-07-02,607.20,612.20,596.80,600.10,26166000,418.573
2010-07-01,608.00,612.70,597.70,599.10,30783100,417.875
2010-06-30,618.00,627.00,612.40,615.20,34533100,429.105
2010-06-29,627.80,629.40,612.40,615.50,33068600,429.314
2010-06-28,641.70,647.90,631.60,639.00,21607800,445.706
2010-06-25,640.90,651.70,640.50,641.80,23338700,447.659
2010-06-24,653.30,655.10,636.60,637.10,22581100,444.38
2010-06-23,653.90,660.70,648.70,651.80,24116400,454.634
2010-06-22,655.00,660.90,647.50,659.20,30755900,459.795
2010-06-21,659.90,662.80,655.50,659.30,23268400,459.865
2010-06-18,646.00,652.80,640.00,648.60,63911000,452.402
2010-06-17,645.40,659.20,644.40,648.90,24300200,452.611
2010-06-16,656.90,656.90,643.50,648.50,30884300,452.332
2010-06-15,643.70,654.00,640.60,650.40,26888000,453.657
2010-06-14,647.40,653.50,644.30,651.30,22551500,454.285
2010-06-11,644.00,651.80,633.50,646.80,38631100,451.146
2010-06-10,636.30,649.60,632.70,644.50,30811200,449.542
2010-06-09,639.10,642.00,631.00,641.60,35039700,447.519
2010-06-08,632.90,634.30,623.00,633.00,43287800,441.52
2010-06-07,623.00,636.90,623.00,629.40,39335400,439.009
2010-06-04,638.10,644.80,623.40,630.10,33183200,439.498
2010-06-03,637.00,644.90,634.80,639.40,26304200,445.985
2010-06-02,626.00,633.90,622.00,633.80,23121200,442.078
2010-06-01,622.20,635.50,622.20,635.50,50609400,443.264
2010-05-31,627.80,627.80,627.80,627.80,000,437.893
2010-05-28,638.50,640.00,627.00,627.80,35776600,437.893
2010-05-27,624.10,636.80,619.20,634.30,34648900,442.427
2010-05-26,627.60,630.00,617.40,617.80,46470200,430.918
