Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,273.70,273.80,270.00,272.50,1323600,253.09
2010-12-30,275.30,276.00,272.90,273.70,2164500,254.205
2010-12-29,276.00,276.30,271.50,274.40,3429300,254.855
2010-12-24,272.80,275.90,272.80,275.90,201100,256.248
2010-12-23,274.40,275.40,272.70,273.20,1829600,253.74
2010-12-22,267.40,274.10,267.40,273.60,11550800,254.112
2010-12-21,267.30,271.20,266.50,268.40,3001200,249.282
2010-12-20,264.00,268.70,262.30,265.20,5865800,246.31
2010-12-17,270.10,272.70,268.30,270.20,6747900,250.954
2010-12-16,273.70,273.70,269.10,270.00,6051900,250.768
2010-12-15,277.20,277.20,270.70,272.40,7920100,252.997
2010-12-14,279.70,280.90,275.60,278.00,5737700,258.198
2010-12-13,277.10,280.50,275.10,278.00,4519700,258.198
2010-12-10,275.10,275.80,272.70,274.30,4294500,254.762
2010-12-09,275.00,278.40,268.20,275.865,13362700,256.215
2010-12-08,269.90,273.60,269.00,272.00,8025800,252.626
2010-12-07,271.20,273.50,267.00,269.00,12262800,249.839
2010-12-06,270.50,273.90,267.90,272.50,3578100,253.09
2010-12-03,274.60,279.20,270.80,271.60,7599700,252.254
2010-12-02,263.80,276.90,263.80,276.90,10053400,257.177
2010-12-01,261.00,263.50,258.50,261.90,7297500,243.245
2010-11-30,262.40,264.80,255.10,255.60,13358900,237.394
2010-11-29,275.00,277.30,260.90,261.20,10535900,242.595
2010-11-26,274.40,275.70,268.60,271.90,3096500,252.533
2010-11-25,272.60,278.50,271.20,275.30,5654100,255.691
2010-11-24,264.50,275.40,261.50,273.40,7882500,253.926
2010-11-23,265.00,269.80,262.90,264.00,9674300,245.196
2010-11-22,272.10,274.60,265.70,265.70,7365500,246.774
2010-11-19,273.70,275.60,269.80,270.40,10531600,251.14
2010-11-18,268.00,274.00,267.00,272.90,9624200,253.462
2010-11-17,260.20,263.70,258.20,261.40,6122000,242.781
2010-11-16,269.90,269.90,258.00,259.50,6538400,241.016
2010-11-15,264.10,271.30,261.40,270.40,6179400,251.14
2010-11-12,258.40,270.00,258.40,265.40,8296600,246.496
2010-11-11,271.40,272.20,262.10,264.20,13887700,245.381
2010-11-10,276.70,281.30,271.80,272.80,7064200,253.369
2010-11-09,278.50,280.50,276.60,278.30,3235600,258.477
2010-11-08,280.20,283.40,277.40,279.30,3374900,259.406
2010-11-05,285.10,287.70,280.20,281.60,3781200,261.542
2010-11-04,276.80,287.90,275.10,286.00,16946500,265.629
2010-11-03,274.40,278.90,271.60,274.10,9315200,254.576
2010-11-02,267.50,273.50,265.30,273.00,6510000,253.555
2010-11-01,270.40,276.50,267.60,268.10,6345600,249.004
2010-10-29,284.90,285.00,270.50,270.70,23463800,251.418
2010-10-28,282.10,282.10,276.90,280.70,7050100,260.706
2010-10-27,283.00,285.10,277.60,278.00,7951200,258.198
2010-10-26,283.70,284.40,276.80,279.90,4972000,259.963
2010-10-25,286.90,288.60,283.80,283.80,4407800,263.585
2010-10-22,278.10,285.80,278.10,283.40,3731300,263.214
2010-10-21,280.00,290.00,280.00,280.70,14852700,260.706
2010-10-20,278.60,280.90,275.20,278.10,8024800,258.291
