Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,528.50,535.00,527.00,535.00,421000,382.239
2010-12-30,533.50,536.00,528.00,528.50,297700,377.595
2010-12-29,539.50,540.00,532.00,534.00,407900,381.524
2010-12-27,537.00,537.00,537.00,537.00,000,383.668
2010-12-24,532.00,537.00,529.00,537.00,116300,383.668
2010-12-23,537.50,540.00,527.50,532.50,889100,380.452
2010-12-22,533.00,539.50,532.50,537.50,1732800,384.025
2010-12-21,541.50,545.00,536.00,536.00,1314300,382.953
2010-12-20,536.00,541.00,534.00,538.00,1079100,384.382
2010-12-17,543.50,546.50,534.00,537.00,1952600,383.668
2010-12-16,539.50,539.50,539.50,539.50,1098900,385.454
2010-12-15,530.00,539.00,529.00,538.00,1124900,384.382
2010-12-14,528.50,534.00,527.00,532.00,1007100,380.095
2010-12-13,526.00,531.00,524.50,531.00,24700,379.381
2010-12-10,524.50,528.50,523.00,524.00,1536800,374.379
2010-12-09,526.50,533.00,523.50,524.00,1237400,374.379
2010-12-08,515.00,522.033,515.00,522.00,2473000,372.951
2010-12-07,521.00,523.50,515.00,519.00,5599100,370.807
2010-12-06,519.50,528.00,517.50,528.00,1927400,377.237
2010-12-03,524.50,530.00,514.00,518.50,4321700,370.45
2010-12-02,500.00,528.50,500.00,526.00,2914200,375.808
2010-12-01,479.50,499.50,478.60,499.50,3198500,356.875
2010-11-30,473.60,481.80,471.40,475.00,3609300,339.371
2010-11-29,477.10,483.20,472.30,473.70,3201800,338.442
2010-11-26,466.40,477.90,464.40,475.90,2731600,340.014
2010-11-25,457.00,467.90,457.00,467.90,2793000,334.298
2010-11-24,452.60,461.70,443.90,458.40,3435400,327.511
2010-11-23,460.00,462.30,450.40,450.40,1420600,321.795
2010-11-22,475.90,479.60,460.90,462.30,1453100,330.297
2010-11-19,478.20,478.20,470.10,475.00,1426500,339.371
2010-11-18,474.40,477.10,468.40,476.60,2046800,340.514
2010-11-17,468.30,484.40,460.70,472.00,4692000,337.227
2010-11-16,475.60,475.60,465.00,465.90,1939200,332.869
2010-11-15,467.90,480.90,466.90,477.30,1075200,341.014
2010-11-12,471.20,475.20,462.10,469.60,3129000,335.513
2010-11-11,490.40,491.30,467.50,473.60,2671900,338.37
2010-11-10,488.20,501.50,486.00,494.00,3291500,352.946
2010-11-09,479.40,493.70,479.40,488.40,1257100,348.945
2010-11-08,485.40,489.30,480.90,481.60,1341800,344.086
2010-11-05,483.00,489.10,481.80,485.50,2205100,346.873
2010-11-04,467.80,483.20,465.40,481.30,2313900,343.872
2010-11-03,467.80,471.00,458.60,460.40,1683000,328.94
2010-11-02,461.10,468.80,460.50,465.40,1733500,332.512
2010-11-01,458.50,465.50,458.20,462.10,1309200,330.154
2010-10-29,451.30,460.40,451.30,456.20,2826700,325.939
2010-10-28,454.10,457.90,451.10,453.10,1435800,323.724
2010-10-27,457.80,461.80,452.60,453.00,2606500,323.652
2010-10-26,467.20,470.80,458.50,461.10,2394500,329.44
2010-10-25,469.00,476.30,467.50,469.60,1735300,335.513
2010-10-22,469.00,471.60,465.80,467.40,2168400,333.941
2010-10-21,470.90,475.00,468.30,471.00,2271400,336.513
2010-10-20,476.80,476.80,471.00,474.20,1470600,338.799
2010-10-19,483.80,483.80,475.50,476.10,1359400,340.157
2010-10-18,472.80,485.20,472.80,482.30,1216700,344.586
2010-10-15,479.90,479.90,472.50,476.60,2393700,340.514
2010-10-14,481.30,481.60,474.00,477.90,2521800,341.443
2010-10-13,462.00,480.20,461.90,478.90,3256900,342.157
2010-10-12,458.80,460.60,451.60,457.60,1250800,326.939
2010-10-11,459.00,465.40,457.00,461.60,1710500,329.797
2010-10-08,456.00,457.20,449.40,454.90,1496400,325.01
2010-10-07,452.30,463.00,452.10,456.60,5113900,326.225
2010-10-06,446.60,451.80,443.60,449.50,1349600,321.152
2010-10-05,433.80,446.00,432.40,444.30,1706400,317.437
2010-10-04,436.90,438.00,432.10,432.20,1084500,308.792
2010-10-01,435.50,439.90,431.10,436.40,2659100,311.792
2010-09-30,439.90,439.90,416.80,431.50,4748600,308.292
2010-09-29,434.90,442.10,432.60,437.80,2997600,312.793
2010-09-28,432.50,439.00,425.30,434.60,1940900,310.506
2010-09-27,433.50,438.60,430.70,432.70,1425400,309.149
2010-09-24,429.90,434.90,427.50,431.50,2408100,308.292
2010-09-23,434.00,434.00,424.00,430.20,1658500,307.363
2010-09-22,434.40,434.40,426.50,429.10,1374100,306.577
2010-09-21,437.60,441.50,432.30,432.30,1603100,308.863
2010-09-20,434.10,439.60,433.40,439.10,2286000,313.721
2010-09-17,442.00,442.80,431.60,432.70,3054500,309.149
2010-09-16,455.70,455.70,436.70,437.60,3952600,312.65
2010-09-15,456.90,457.60,448.80,454.70,2715300,324.867
2010-09-14,465.00,466.20,457.60,458.00,2430100,327.225
2010-09-13,455.80,471.30,455.70,465.20,4850300,332.369
2010-09-10,437.60,455.20,434.90,454.50,3749000,324.724
2010-09-09,430.90,438.40,427.50,437.60,1798200,312.65
2010-09-08,419.70,434.80,418.80,434.10,3322000,310.149
2010-09-07,432.00,432.00,418.50,419.40,4327100,299.646
2010-09-06,440.00,441.20,430.00,431.90,2090600,308.577
2010-09-03,433.10,440.20,429.20,438.60,2950200,313.364
2010-09-02,428.50,433.40,425.50,428.90,2670600,306.434
2010-09-01,412.50,427.40,410.70,425.50,2476500,304.005
2010-08-31,398.50,411.60,398.00,410.00,2609400,292.931
2010-08-30,405.70,405.70,405.70,405.70,000,289.858
2010-08-27,401.30,407.40,398.50,405.70,2143300,289.858
2010-08-26,398.70,403.50,397.90,401.50,1609700,286.858
2010-08-25,400.80,400.80,392.50,396.20,2379900,283.071
2010-08-24,399.10,405.60,397.95,400.10,2749700,285.857
2010-08-23,399.10,405.60,396.00,401.00,1561500,286.50
2010-08-20,398.10,403.60,396.80,398.60,3974800,284.786
2010-08-19,400.90,404.70,397.50,400.00,2292800,285.786
2010-08-18,403.20,404.80,399.10,400.70,2105100,286.286
2010-08-17,392.40,405.30,392.10,405.00,1529800,289.358
2010-08-16,391.80,392.30,385.10,392.00,1994600,280.07
