Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,1262.004,1262.004,1235.002,1242.999,132900,1558.407
2010-12-30,1262.004,1266.002,1249.999,1260.998,135000,1580.973
2010-12-29,1264.997,1270.999,1252.002,1263.999,292400,1584.736
2010-12-27,1264.997,1264.997,1264.997,1264.997,000,1585.987
2010-12-24,1260.00,1270.002,1255.004,1264.997,41000,1585.987
2010-12-23,1267.00,1270.999,1257.997,1263.002,232300,1583.485
2010-12-22,1255.004,1267.998,1249.999,1266.002,308600,1587.247
2010-12-21,1253.00,1260.00,1246.00,1255.004,485200,1573.457
2010-12-20,1250.997,1253.998,1239.00,1249.002,539300,1565.932
2010-12-17,1225.998,1242.002,1222.997,1234.004,1288700,1547.129
2010-12-16,1228.002,1228.002,1228.002,1228.002,673900,1539.604
2010-12-15,1231.002,1239.998,1222.997,1225.998,1249500,1537.092
2010-12-14,1235.002,1239.00,1220.004,1235.999,1871900,1549.631
2010-12-13,1220.004,1235.002,1211.00,1231.002,691500,1543.366
2010-12-10,1225.00,1228.002,1207.999,1217.002,386200,1525.814
2010-12-09,1221.999,1228.002,1213.004,1218.00,593900,1527.065
2010-12-08,1224.002,1231.002,1213.004,1214.999,598200,1523.302
2010-12-07,1228.999,1236.997,1220.004,1229.997,915000,1542.106
2010-12-06,1215.997,1232.00,1213.004,1224.002,855900,1534.59
2010-12-03,1211.00,1227.004,1190.998,1211.998,849100,1519.54
2010-12-02,1159.997,1211.998,1157.004,1208.997,1405500,1515.777
2010-12-01,1151.001,1164.004,1144.999,1155.00,1608400,1448.079
2010-11-30,1137.999,1151.001,1133.002,1140.002,772800,1429.275
2010-11-29,1166.997,1175.002,1133.002,1133.002,1428000,1420.499
2010-11-26,1161.002,1165.999,1136.004,1162.998,737300,1458.106
2010-11-25,1151.001,1166.997,1151.001,1166.997,1100800,1463.12
2010-11-24,1116.001,1144.001,1113.998,1141.998,2312700,1431.777
2010-11-23,1134.998,1148.00,1110.997,1116.001,980800,1399.184
2010-11-22,1155.998,1164.004,1137.999,1137.999,780300,1426.764
2010-11-19,1141.00,1148.998,1134.00,1141.00,968400,1430.526
2010-11-18,1105.002,1145.997,1105.002,1138.997,1505400,1428.015
2010-11-17,1081.999,1103.997,1073.003,1102.001,992500,1381.631
2010-11-16,1102.999,1102.999,1080.003,1081.001,614400,1355.303
2010-11-15,1094.003,1115.004,1089.997,1102.999,990600,1382.882
2010-11-12,1081.001,1109.999,1074.999,1099.00,930200,1377.869
2010-11-11,1101.003,1109.999,1088.999,1101.003,1685700,1380.38
2010-11-10,1144.999,1144.999,1098.002,1099.998,1633300,1379.12
2010-11-09,1179.999,1179.999,1120.00,1140.002,2823400,1429.275
2010-11-08,1210.002,1218.00,1199.004,1201.997,850400,1507.001
2010-11-05,1221.999,1231.002,1208.997,1211.00,868000,1518.289
2010-11-04,1214.999,1225.998,1208.997,1221.999,1075900,1532.078
2010-11-03,1207.999,1214.999,1201.997,1206.004,745900,1512.024
2010-11-02,1200.999,1210.002,1190.998,1206.004,978600,1512.024
2010-11-01,1215.997,1217.002,1204.998,1206.004,720100,1512.024
2010-10-29,1203.002,1214.999,1203.002,1207.001,861900,1513.275
2010-10-28,1206.004,1217.002,1197.998,1206.004,735600,1512.024
2010-10-27,1197.00,1214.999,1197.00,1206.004,659900,1512.024
2010-10-26,1221.999,1222.997,1201.997,1207.001,744300,1513.275
2010-10-25,1214.999,1238.002,1211.00,1225.00,1206000,1535.841
2010-10-22,1213.004,1227.004,1204.00,1213.004,913600,1520.80
2010-10-21,1165.999,1229.997,1165.999,1214.999,2296900,1523.302
2010-10-20,1176.00,1176.00,1157.004,1172.001,367700,1469.394
2010-10-19,1193.001,1193.001,1172.001,1175.002,456600,1473.156
2010-10-18,1169.998,1192.004,1169.00,1189.002,463700,1490.709
2010-10-15,1166.997,1175.002,1159.997,1172.001,586000,1469.394
2010-10-14,1168.002,1169.00,1145.997,1161.002,549800,1455.604
2010-10-13,1158.999,1185.004,1155.998,1162.998,1174800,1458.106
2010-10-12,1154.002,1158.999,1141.998,1158.001,461700,1451.841
2010-10-11,1158.999,1165.999,1150.004,1158.999,318400,1453.092
2010-10-08,1148.998,1157.004,1134.998,1154.002,607700,1446.827
2010-10-07,1166.997,1172.999,1150.004,1155.00,1100600,1448.079
2010-10-06,1151.001,1178.004,1148.998,1172.001,1368300,1469.394
2010-10-05,1130.001,1148.00,1115.004,1145.997,779700,1436.791
2010-10-04,1130.001,1134.998,1119.002,1127.00,516600,1412.974
2010-10-01,1144.001,1151.001,1123.001,1127.998,1078700,1414.225
2010-09-30,1141.00,1155.00,1126.002,1136.004,1310200,1424.261
2010-09-29,1148.00,1169.998,1137.001,1150.004,1613600,1441.814
2010-09-28,1131.997,1143.004,1115.004,1141.998,1201300,1431.777
2010-09-27,1133.002,1141.998,1127.00,1133.002,1205700,1420.499
2010-09-24,1109.001,1136.004,1101.003,1134.00,495300,1421.75
2010-09-23,1124.997,1129.004,1094.003,1113.998,574100,1396.672
2010-09-22,1141.00,1143.004,1116.001,1119.002,685000,1402.946
2010-09-21,1133.002,1145.997,1127.00,1141.998,668900,1431.777
2010-09-20,1120.998,1133.002,1115.004,1133.002,651600,1420.499
2010-09-17,1120.00,1129.004,1113.998,1122.004,1952500,1406.709
2010-09-16,1119.002,1120.998,1099.998,1106.998,706600,1387.896
2010-09-15,1116.999,1127.00,1106.998,1117.997,1001700,1401.686
2010-09-14,1127.00,1127.00,1108.003,1115.004,803100,1397.933
2010-09-13,1109.999,1120.998,1102.001,1116.001,567300,1399.184
2010-09-10,1092.998,1113.998,1092.998,1103.997,1053600,1384.134
2010-09-09,1077.002,1099.998,1077.002,1099.00,1015000,1377.869
2010-09-08,1060.001,1085.00,1057.998,1081.999,1206800,1356.554
2010-09-07,1067.001,1070.002,1050.998,1064.998,820900,1335.239
2010-09-06,1071.998,1078.998,1063.002,1073.003,553900,1345.275
2010-09-03,1050.00,1070.002,1042.002,1061.997,1927800,1331.476
2010-09-02,1040.997,1050.00,1025.001,1046.001,1860600,1311.421
2010-09-01,1000.002,1045.003,997.999,1043.00,4079200,1307.659
2010-08-31,1004.001,1004.999,962.001,982.003,3874700,1231.184
