Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,1983.00,1993.00,1962.00,1968.00,594900,1477.519
2010-12-30,2002.00,2017.00,1987.00,1989.00,585300,1493.285
2010-12-29,2032.00,2047.00,2003.00,2003.00,901900,1503.796
2010-12-27,2028.00,2028.00,2028.00,2028.00,000,1522.565
2010-12-24,2016.00,2028.00,2006.00,2028.00,158200,1522.565
2010-12-23,2007.00,2011.00,1999.00,2007.00,784800,1506.799
2010-12-22,1982.00,2012.00,1982.00,2001.00,2404700,1502.295
2010-12-21,1963.00,1990.00,1959.00,1982.00,1656200,1488.03
2010-12-20,1948.00,1957.00,1936.00,1955.00,2131800,1467.759
2010-12-17,1924.00,1946.00,1922.00,1941.00,3225000,1457.248
2010-12-16,1923.00,1923.00,1923.00,1923.00,2185900,1443.734
2010-12-15,1898.00,1918.00,1898.00,1905.00,2012400,1430.221
2010-12-14,1899.00,1913.00,1880.00,1913.00,2031800,1436.227
2010-12-13,1892.00,1909.00,1892.00,1895.00,1754100,1422.713
2010-12-10,1892.00,1917.00,1887.00,1898.00,1673600,1424.965
2010-12-09,1925.00,1929.00,1895.00,1895.00,2080300,1422.713
2010-12-08,1896.00,1927.00,1896.00,1920.00,1967800,1441.482
2010-12-07,1885.00,1915.00,1885.00,1905.00,2659900,1430.221
2010-12-06,1900.00,1910.00,1889.00,1900.00,1836000,1426.467
2010-12-03,1874.00,1901.00,1872.00,1893.00,2702200,1421.211
2010-12-02,1889.00,1893.00,1847.00,1874.00,4752600,1406.947
2010-12-01,1901.00,1911.00,1881.00,1881.00,2701800,1412.202
2010-11-30,1900.00,1921.00,1872.00,1886.00,4389100,1415.956
2010-11-29,1962.00,1962.00,1895.00,1895.00,2545700,1422.713
2010-11-26,1930.00,1963.00,1923.00,1955.00,1660900,1467.759
2010-11-25,1931.00,1946.00,1912.00,1933.00,2559000,1451.242
2010-11-24,1950.00,1959.00,1933.00,1937.00,2748700,1454.245
2010-11-23,1994.00,1995.00,1951.00,1951.00,2334400,1464.756
2010-11-22,2015.00,2015.00,1991.00,2001.00,1719200,1502.295
2010-11-19,1995.00,2018.00,1988.00,2013.00,2518800,1511.304
2010-11-18,1985.00,2003.00,1977.00,1990.00,2019300,1494.036
2010-11-17,1982.00,1997.00,1966.00,1971.00,2232300,1479.771
2010-11-16,1999.00,2005.00,1987.00,1988.00,1244300,1492.535
2010-11-15,1991.00,2005.00,1990.00,1999.00,1369100,1500.793
2010-11-12,1990.00,2014.00,1987.00,2000.00,1824400,1501.544
2010-11-11,2005.00,2013.00,1996.00,2000.00,1172800,1501.544
2010-11-10,2021.00,2053.00,2002.00,2007.00,2891600,1506.799
2010-11-09,2050.00,2061.00,2027.00,2030.00,2009600,1524.067
2010-11-08,2069.00,2078.00,2051.00,2054.00,1426600,1542.086
2010-11-05,2039.00,2069.00,2029.00,2069.00,2014100,1553.347
2010-11-04,2063.00,2068.00,2038.00,2040.00,2211800,1531.575
2010-11-03,2040.00,2057.00,2033.00,2050.00,2805600,1539.082
2010-11-02,2014.00,2067.00,1980.00,2035.00,4254700,1527.821
2010-11-01,1998.00,2014.00,1989.00,1997.00,4012000,1499.292
2010-10-29,2008.00,2016.00,1993.00,1999.00,3865500,1500.793
2010-10-28,1988.00,2020.00,1985.00,2017.00,2712800,1514.307
2010-10-27,1980.00,2003.00,1968.00,1983.00,3148100,1488.781
2010-10-26,1996.00,2000.00,1974.00,1989.00,2155500,1493.285
2010-10-25,2001.00,2004.00,1986.00,1994.00,2750300,1497.039
2010-10-22,1989.00,2004.00,1985.00,1998.00,3096800,1500.042
2010-10-21,1950.00,2005.00,1949.00,1995.00,8893800,1497.79
2010-10-20,1926.00,1964.00,1919.00,1956.00,2343100,1468.51
2010-10-19,1924.00,1939.00,1919.00,1934.00,1212300,1451.993
2010-10-18,1909.00,1941.00,1894.00,1934.00,1670500,1451.993
2010-10-15,1911.00,1917.00,1900.00,1905.00,2801700,1430.221
2010-10-14,1939.00,1945.00,1906.00,1910.00,4340800,1433.974
2010-10-13,1920.00,1951.00,1917.00,1948.00,1786200,1462.504
2010-10-12,1906.00,1922.00,1889.00,1918.00,1423500,1439.981
2010-10-11,1897.00,1907.00,1891.00,1905.00,1384800,1430.221
2010-10-08,1897.00,1904.00,1880.00,1894.00,1622200,1421.962
2010-10-07,1910.00,1913.00,1892.00,1905.00,2276300,1430.221
2010-10-06,1910.00,1917.00,1902.00,1910.00,1335800,1433.974
2010-10-05,1903.00,1914.00,1894.00,1903.00,1658500,1428.719
2010-10-04,1909.00,1911.00,1893.00,1899.00,1245200,1425.716
2010-10-01,1891.00,1912.00,1879.00,1911.00,3312400,1434.725
2010-09-30,1871.00,1909.00,1865.00,1897.00,3366600,1424.214
2010-09-29,1915.00,1924.00,1874.00,1882.00,3576300,1412.953
2010-09-28,1922.00,1922.00,1886.00,1905.00,2491300,1430.221
2010-09-27,1943.00,1960.00,1923.00,1923.00,1702900,1443.734
2010-09-24,1939.00,1966.00,1937.00,1940.00,4356700,1456.498
2010-09-23,1930.00,1945.00,1918.00,1943.00,2276000,1458.75
2010-09-22,1920.00,1935.00,1907.00,1925.00,4011200,1445.236
2010-09-21,1915.00,1927.00,1889.00,1893.00,3570000,1421.211
2010-09-20,1925.00,1933.00,1907.00,1918.00,2328600,1439.981
2010-09-17,1934.00,1956.00,1912.00,1914.00,2768400,1436.977
2010-09-16,1930.00,1940.00,1922.00,1927.00,1558200,1446.738
2010-09-15,1930.00,1932.00,1912.00,1925.00,1437200,1445.236
2010-09-14,1934.00,1938.00,1909.00,1923.00,1710600,1443.734
2010-09-13,1953.00,1955.00,1931.00,1935.00,1648500,1452.744
2010-09-10,1908.00,1950.00,1906.00,1945.00,3908500,1460.251
2010-09-09,1876.00,1906.00,1872.00,1906.00,2108800,1430.971
2010-09-08,1863.00,1886.00,1857.00,1878.00,1664400,1409.95
2010-09-07,1853.00,1867.00,1847.00,1865.00,1023400,1400.19
2010-09-06,1862.00,1867.00,1853.00,1858.00,714600,1394.934
2010-09-03,1842.00,1862.00,1840.00,1856.00,2072300,1393.433
2010-09-02,1829.00,1846.00,1823.00,1836.00,1847000,1378.417
2010-09-01,1805.00,1830.00,1799.00,1830.00,2702800,1373.913
2010-08-31,1806.00,1820.00,1795.00,1800.00,3243000,1351.389
2010-08-30,1829.00,1829.00,1829.00,1829.00,000,1373.162
2010-08-27,1815.00,1834.00,1807.00,1829.00,1799200,1373.162
2010-08-26,1827.00,1831.00,1807.00,1814.00,2462200,1361.90
2010-08-25,1827.00,1836.00,1813.00,1819.00,2128900,1365.654
2010-08-24,1824.00,1853.00,1817.00,1835.00,2144200,1377.667
2010-08-23,1825.00,1838.00,1811.00,1834.00,1779000,1376.916
2010-08-20,1835.00,1841.00,1818.00,1822.00,1392300,1367.906
2010-08-19,1872.00,1879.00,1828.00,1837.00,2189500,1379.168
2010-08-18,1874.00,1881.00,1861.00,1865.00,984200,1400.19
2010-08-17,1874.00,1887.00,1864.00,1879.00,1499500,1410.70
2010-08-16,1860.00,1870.00,1847.00,1865.00,1495900,1400.19
2010-08-13,1830.00,1861.00,1830.00,1850.00,5363500,1388.928
2010-08-12,1809.00,1831.00,1803.00,1825.00,3004600,1370.159
2010-08-11,1805.00,1817.00,1795.00,1806.00,2667700,1355.894
2010-08-10,1822.00,1837.00,1802.00,1805.00,5529900,1355.143
2010-08-09,1804.00,1830.00,1804.00,1822.00,1783000,1367.906
2010-08-06,1816.00,1825.00,1789.00,1797.00,2843700,1349.137
