Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,383.388,383.388,377.95,378.493,545700,235.215
2010-12-30,384.385,387.466,377.043,381.756,922600,237.243
2010-12-29,383.388,384.203,376.771,380.215,2142000,236.285
2010-12-27,380.669,380.669,380.669,380.669,000,236.567
2010-12-24,376.227,380.669,376.227,380.669,146600,236.567
2010-12-23,379.128,379.762,377.587,378.403,983400,235.159
2010-12-22,377.043,379.762,376.137,378.856,1110500,235.44
2010-12-21,380.669,381.575,377.134,377.678,1445900,234.708
2010-12-20,379.309,380.669,376.046,380.578,1834500,236.511
2010-12-17,378.403,379.762,375.321,378.493,6928100,235.215
2010-12-16,379.49,379.49,379.49,379.49,3991400,235.834
2010-12-15,368.886,380.669,367.98,376.681,13911200,234.089
2010-12-14,356.288,359.188,355.834,359.188,6128800,223.218
2010-12-13,356.469,360.366,353.387,356.65,3312600,221.641
2010-12-10,354.384,354.384,351.212,353.478,1430600,219.669
2010-12-09,351.847,354.656,349.943,354.294,2481700,220.176
2010-12-08,353.478,356.65,344.052,350.034,9211600,217.529
2010-12-07,372.239,372.239,367.617,369.792,2358000,229.808
2010-12-06,369.792,372.965,364.989,372.965,6352400,231.779
2010-12-03,369.974,371.696,363.901,370.155,3824100,230.033
2010-12-02,367.073,370.064,361.363,370.064,2461200,229.977
2010-12-01,358.916,363.81,353.297,363.085,5416800,225.64
2010-11-30,362.541,366.711,354.837,354.837,7710000,220.514
2010-11-29,366.439,368.433,357.738,362.632,6110800,225.358
2010-11-26,342.602,364.354,338.161,363.448,9571700,225.865
2010-11-25,333.538,351.665,330.819,345.321,15876700,214.60
2010-11-24,317.224,319.49,305.804,305.804,5796000,190.042
2010-11-23,326.559,329.822,322.209,322.209,1432600,200.237
2010-11-22,333.719,338.161,327.919,328.009,2145300,203.842
2010-11-19,338.161,340.426,330.819,331.454,1278200,205.982
2010-11-18,344.686,344.777,336.529,337.164,1242800,209.531
2010-11-17,337.707,343.871,337.707,342.33,2178900,212.741
2010-11-16,349.037,349.49,337.707,337.707,1207200,209.868
2010-11-15,345.321,349.218,342.874,348.493,771300,216.571
2010-11-12,345.774,349.671,344.052,347.043,905900,215.67
2010-11-11,349.399,351.756,347.859,348.856,1422800,216.797
2010-11-10,353.478,356.288,348.946,349.49,1334200,217.191
2010-11-09,350.306,355.472,349.943,353.931,1111900,219.951
2010-11-08,357.919,357.919,349.49,352.028,905200,218.768
2010-11-05,352.572,354.294,349.127,354.203,1139400,220.12
2010-11-04,349.127,356.65,349.127,351.847,1931400,218.656
2010-11-03,346.046,347.043,341.333,346.59,2210100,215.389
2010-11-02,342.602,345.955,342.602,344.596,1400300,214.15
2010-11-01,350.668,351.575,343.78,344.324,752900,213.981
2010-10-29,349.853,350.306,347.224,348.402,2239700,216.515
2010-10-28,346.136,352.481,344.868,349.309,1191000,217.078
2010-10-27,345.774,348.04,342.33,344.958,1301600,214.375
2010-10-26,349.218,351.484,346.318,347.043,928700,215.67
2010-10-25,349.037,353.206,349.037,350.306,852000,217.698
2010-10-22,355.291,356.831,349.037,349.399,1107200,217.134
2010-10-21,350.487,355.381,350.487,353.659,1523600,219.782
2010-10-20,349.218,353.206,346.59,352.572,1564100,219.106
2010-10-19,351.031,353.478,348.221,348.221,1359700,216.402
2010-10-18,349.581,351.121,347.587,349.49,1555400,217.191
2010-10-15,355.472,355.925,349.309,351.756,1813900,218.599
2010-10-14,353.206,357.013,351.031,353.387,1357700,219.613
2010-10-13,351.393,356.106,349.762,355.381,1348000,220.852
2010-10-12,347.677,349.762,344.596,348.946,1222700,216.853
2010-10-11,344.958,351.665,344.958,350.215,1333200,217.641
2010-10-08,354.203,354.203,345.139,350.578,1822100,217.867
2010-10-07,353.478,360.729,351.665,353.84,2030700,219.894
2010-10-06,345.593,352.753,345.411,352.753,1578700,219.219
2010-10-05,340.245,350.306,338.07,348.04,2202100,213.183
2010-10-04,341.967,345.23,340.517,341.152,1400500,208.964
2010-10-01,334.898,347.405,334.626,341.605,2565800,209.241
2010-09-30,336.348,342.42,332.088,333.266,2836900,204.133
2010-09-29,340.064,343.417,334.626,337.345,1421800,206.632
2010-09-28,335.532,339.158,331.635,338.07,1574200,207.076
2010-09-27,335.623,337.164,332.813,335.351,1164800,205.41
2010-09-24,327.738,334.716,327.738,334.082,1484100,204.633
2010-09-23,332.179,334.445,325.29,330.547,1023700,202.468
2010-09-22,333.901,336.529,329.097,332.451,2254400,203.634
