Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,668.00,677.50,667.00,673.50,367800,461.144
2010-12-30,674.50,679.00,667.00,667.00,307300,456.694
2010-12-29,685.50,689.00,674.00,675.00,263300,462.171
2010-12-27,685.50,685.50,685.50,685.50,000,469.36
2010-12-24,683.00,685.50,678.00,685.50,49300,469.36
2010-12-23,679.00,685.00,678.00,682.50,462400,467.306
2010-12-22,685.50,685.50,678.00,678.00,408800,464.225
2010-12-21,692.00,694.00,683.00,685.50,304500,469.36
2010-12-20,688.50,695.00,682.00,686.50,468900,470.045
2010-12-17,681.00,688.00,674.00,685.00,917000,469.018
2010-12-16,679.00,679.00,679.00,679.00,1156400,464.91
2010-12-15,675.50,683.50,670.50,673.50,1034300,461.144
2010-12-14,679.00,684.00,674.50,676.50,818000,463.198
2010-12-13,682.00,684.50,679.00,681.50,86500,466.622
2010-12-10,676.00,681.50,675.00,680.50,962300,465.937
2010-12-09,679.00,680.50,666.50,675.00,1240800,462.171
2010-12-08,674.00,676.00,669.50,675.50,978400,462.513
2010-12-07,665.00,676.50,663.50,674.00,1380300,461.486
2010-12-06,653.50,667.50,653.00,666.00,954900,456.009
2010-12-03,645.50,656.00,639.00,653.00,1029300,447.108
2010-12-02,656.00,656.00,638.50,644.50,1666700,441.288
2010-12-01,651.50,653.00,642.00,650.00,926200,445.054
2010-11-30,656.50,656.50,645.50,648.00,1541700,443.684
2010-11-29,677.00,677.50,651.50,653.00,1166000,447.108
2010-11-26,665.00,676.50,660.00,676.50,1371900,463.198
2010-11-25,670.00,672.50,663.50,672.00,1858700,460.117
2010-11-24,670.50,683.50,663.50,671.00,2012900,459.432
2010-11-23,678.50,682.00,669.50,670.00,1259900,458.748
2010-11-22,694.50,694.50,680.50,681.50,896900,466.622
2010-11-19,696.50,700.00,683.00,691.00,1250500,473.126
2010-11-18,675.50,688.50,669.00,688.00,1088500,471.072
2010-11-17,674.00,675.00,667.50,673.50,1587700,461.144
2010-11-16,675.50,682.00,671.50,672.50,1849600,460.459
2010-11-15,672.50,677.00,664.50,672.00,1704900,460.117
2010-11-12,683.50,688.00,665.50,676.00,2174800,462.856
2010-11-11,711.50,711.50,679.50,686.50,2508800,470.045
2010-11-10,706.00,712.50,700.50,705.00,1918100,482.712
2010-11-09,695.50,709.00,695.50,705.00,2204700,482.712
2010-11-08,674.50,705.50,664.00,695.00,3482800,475.865
2010-11-05,660.50,676.50,658.00,675.00,2294000,462.171
2010-11-04,668.00,669.50,657.50,660.00,1411200,451.901
2010-11-03,660.00,667.50,651.00,656.50,1329900,449.504
2010-11-02,650.00,655.50,650.00,652.00,609700,446.423
2010-11-01,658.50,660.00,650.00,650.00,958800,445.054
2010-10-29,654.50,654.50,649.50,652.00,1353200,446.423
2010-10-28,640.00,660.50,640.00,654.50,3047200,448.135
2010-10-27,633.00,643.00,633.00,637.50,2421400,436.495
2010-10-26,630.00,635.50,622.00,633.50,2198400,433.756
2010-10-25,627.00,634.00,625.50,629.50,1400300,431.017
2010-10-22,617.50,626.50,617.50,626.00,1551600,428.621
2010-10-21,608.00,621.00,608.00,618.50,2759800,423.486
2010-10-20,605.50,612.50,605.50,611.00,1939200,418.35
2010-10-19,618.50,619.50,603.50,606.50,3057600,415.269
2010-10-18,620.00,624.50,616.50,616.50,1136400,422.116
2010-10-15,639.00,639.00,614.50,620.00,2051500,424.513
2010-10-14,640.00,640.00,632.50,634.50,1148400,434.441
2010-10-13,637.00,640.50,635.50,636.00,2039600,435.468
2010-10-12,637.50,642.00,632.50,634.50,1495400,434.441
2010-10-11,643.50,650.50,638.00,644.00,2475100,440.945
2010-10-08,637.00,639.00,628.50,630.50,2688700,431.702
2010-10-07,645.00,647.50,636.50,636.50,2784500,435.81
2010-10-06,637.50,647.00,633.50,644.00,5056900,440.945
2010-10-05,642.00,643.00,610.00,629.00,17520600,430.675
2010-10-04,667.50,677.50,637.50,655.00,3082500,448.477
2010-10-01,667.00,674.00,661.50,668.50,1062000,457.721
2010-09-30,668.00,676.00,661.00,663.50,2682800,454.297
2010-09-29,677.50,677.50,664.00,669.00,753600,458.063
2010-09-28,689.50,692.50,677.50,680.50,706600,459.166
2010-09-27,705.50,708.00,688.50,688.50,665200,464.564
2010-09-24,694.50,704.50,694.50,703.00,636400,474.348
2010-09-23,701.50,706.00,682.00,695.50,845800,469.287
2010-09-22,718.00,718.00,699.50,699.50,612600,471.986
