Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,263.30,268.20,263.30,263.40,1520600,221.192
2010-12-30,265.90,268.70,264.10,264.60,3164200,222.20
2010-12-29,267.60,268.50,264.10,265.80,4061300,223.208
2010-12-27,267.00,267.00,267.00,267.00,000,224.215
2010-12-24,264.60,268.00,264.30,267.00,1010100,224.215
2010-12-23,258.70,264.20,258.70,263.70,4928600,221.444
2010-12-22,258.50,260.30,257.50,258.10,2814600,216.742
2010-12-21,258.60,260.30,256.50,258.30,5422100,216.91
2010-12-20,256.20,258.20,253.40,257.00,4551300,215.818
2010-12-17,256.20,257.30,254.90,255.40,8264700,214.474
2010-12-16,254.50,254.50,254.50,254.50,5959800,213.718
2010-12-15,253.30,254.60,253.10,253.10,5219400,212.543
2010-12-14,252.90,254.00,252.30,253.60,3561800,212.963
2010-12-13,254.30,255.60,252.30,253.40,4214200,212.795
2010-12-10,254.10,256.00,253.40,253.70,5280700,213.047
2010-12-09,256.90,257.20,252.80,253.70,5444000,213.047
2010-12-08,257.40,259.30,255.70,255.80,5804400,214.81
2010-12-07,257.40,261.10,254.30,259.00,6656500,217.497
2010-12-06,255.30,257.30,253.40,254.10,5920000,213.383
2010-12-03,255.30,260.50,253.00,254.90,7201900,214.054
2010-12-02,240.00,255.10,238.00,254.90,18507600,214.054
2010-12-01,235.90,238.80,233.60,237.80,12174900,199.694
2010-11-30,236.40,238.50,235.00,235.00,8477700,197.343
2010-11-29,245.20,245.40,236.80,237.50,14371800,199.443
2010-11-26,247.00,247.00,242.30,244.60,6969200,205.405
2010-11-25,243.50,251.30,243.50,249.50,7456800,209.52
2010-11-24,249.30,249.30,243.80,244.20,9273500,205.069
2010-11-23,247.60,254.50,246.00,248.30,9680000,208.512
2010-11-22,245.80,249.80,245.80,249.20,4259300,209.268
2010-11-19,247.70,247.80,242.90,244.70,5542300,205.489
2010-11-18,241.20,248.60,239.70,246.80,6291800,207.252
2010-11-17,235.90,241.50,234.80,239.70,5489200,201.29
2010-11-16,241.90,241.90,236.40,236.70,5648000,198.771
2010-11-15,238.00,243.10,237.10,242.60,5300700,203.725
2010-11-12,234.40,240.30,232.40,238.70,5259400,200.45
2010-11-11,239.90,242.80,236.00,236.30,5053600,198.435
2010-11-10,237.00,239.80,235.30,238.10,7439400,199.946
2010-11-09,238.20,240.00,236.70,237.40,4688000,199.359
2010-11-08,241.60,242.90,238.40,239.30,2681200,200.954
2010-11-05,241.40,242.20,237.40,240.70,7291200,202.13
2010-11-04,239.70,240.40,238.60,240.20,6066700,201.71
2010-11-03,240.00,240.00,235.70,236.90,3590800,198.939
2010-11-02,235.00,239.40,235.00,238.90,3881700,200.618
2010-11-01,240.70,240.70,235.60,235.70,3471100,197.931
2010-10-29,237.70,239.60,236.50,237.80,8975700,199.694
2010-10-28,238.00,241.80,237.90,238.90,5502700,200.618
2010-10-27,243.50,244.10,237.10,237.10,10143500,199.107
2010-10-26,246.90,247.30,244.00,245.50,5066200,206.161
