Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,66.67,67.12,65.70,65.70,32045600,63.05
2010-12-30,67.80,68.38,66.98,66.98,44588200,64.278
2010-12-29,68.88,69.20,67.16,67.64,47059000,64.912
2010-12-27,68.82,68.82,68.82,68.82,000,66.044
2010-12-24,68.38,68.85,67.83,68.82,5866400,66.044
2010-12-23,69.00,69.26,68.10,68.52,54594600,65.756
2010-12-22,68.23,69.42,68.23,68.95,107789200,66.169
2010-12-21,67.61,68.49,67.27,68.49,99470100,65.727
2010-12-20,66.29,67.06,65.25,66.87,88994900,64.173
2010-12-17,69.49,69.49,64.69,66.50,294196600,63.818
2010-12-16,68.96,68.96,68.96,68.96,83037300,66.178
2010-12-15,69.00,69.21,68.19,68.51,103593300,65.747
2010-12-14,68.75,69.41,67.94,69.34,98194600,66.543
2010-12-13,68.74,69.45,67.97,68.82,85120200,66.044
2010-12-10,68.32,69.30,68.00,68.40,102071900,65.641
2010-12-09,68.37,69.68,68.00,68.28,162302900,65.526
2010-12-08,66.10,68.25,65.99,67.65,177879000,64.921
2010-12-07,66.11,67.68,65.28,66.70,153799800,64.01
2010-12-06,67.05,67.40,65.55,66.10,145051300,63.434
2010-12-03,66.35,66.86,65.44,66.37,130125100,63.693
2010-12-02,64.95,66.78,64.32,66.56,216656000,63.875
2010-12-01,61.25,64.17,60.85,64.05,217089600,61.467
2010-11-30,60.68,61.80,60.02,60.41,247548700,57.973
2010-11-29,62.84,63.69,60.40,60.54,226341400,58.098
2010-11-26,64.35,64.47,61.48,61.85,202802500,59.355
2010-11-25,64.63,65.46,64.08,64.70,83090600,62.09
2010-11-24,63.63,64.64,63.04,64.38,144744900,61.783
2010-11-23,63.65,64.30,61.73,63.35,249514400,60.795
2010-11-22,67.95,68.10,63.75,63.93,208985700,61.351
2010-11-19,67.97,67.98,65.93,66.72,117725800,64.029
2010-11-18,67.01,68.43,66.43,67.79,127759900,65.056
2010-11-17,66.40,67.06,65.62,66.40,154031000,63.722
2010-11-16,69.67,69.67,66.38,66.60,193012400,63.914
2010-11-15,69.38,70.20,68.77,69.87,74009800,67.052
2010-11-12,67.29,70.37,66.35,69.57,227142900,66.764
2010-11-11,68.41,68.94,66.63,68.59,221226400,65.823
2010-11-10,68.72,69.30,67.16,67.59,116095900,64.864
2010-11-09,68.00,69.34,67.65,68.48,135670700,65.718
2010-11-08,70.11,71.28,68.27,68.63,126043400,65.862
2010-11-05,70.51,72.64,69.30,69.81,180451800,66.994
2010-11-04,70.34,71.36,69.86,70.25,175661400,67.416
2010-11-03,68.19,70.08,67.95,69.20,175244800,66.409
2010-11-02,69.00,70.09,66.69,67.39,249825800,64.672
2010-11-01,69.40,70.83,69.01,69.60,123099700,66.793
2010-10-29,67.80,69.55,67.56,68.94,152860700,66.159
2010-10-28,69.75,69.89,67.83,67.90,118682300,65.161
2010-10-27,67.64,69.33,67.08,69.12,120143600,66.332
2010-10-26,67.96,69.24,67.29,67.99,173673400,65.248
2010-10-25,71.50,71.85,67.94,68.00,279805200,65.257
2010-10-22,70.01,72.23,70.01,71.85,102125800,68.952
2010-10-21,69.93,71.65,69.73,70.36,129503300,67.522
2010-10-20,69.67,71.36,69.67,70.30,130753100,67.464
2010-10-19,71.85,73.12,70.38,70.50,145067700,67.656
2010-10-18,69.56,72.41,69.56,72.20,101981300,69.288
2010-10-15,70.71,72.43,69.00,70.18,169113800,67.349
2010-10-14,73.04,73.41,70.11,70.47,220461800,67.628
2010-10-13,73.00,73.80,71.68,72.60,132373400,69.672
2010-10-12,73.11,73.56,72.25,72.65,98922500,69.72
2010-10-11,73.77,74.25,73.34,73.80,57553600,70.823
2010-10-08,73.50,74.00,72.84,73.40,120483500,70.439
2010-10-07,76.66,76.80,73.53,73.90,221181700,70.919
2010-10-06,76.40,76.85,75.82,76.39,91055700,73.309
2010-10-05,73.36,75.98,72.84,75.67,116042800,72.618
2010-10-04,73.42,74.14,72.70,73.33,113340900,70.372
2010-10-01,74.30,75.37,73.16,73.50,123944300,70.535
2010-09-30,74.00,76.20,73.69,74.12,148096000,71.13
2010-09-29,75.59,76.21,74.05,74.30,104813800,71.303
2010-09-28,75.45,76.65,74.36,75.25,135249200,72.215
2010-09-27,77.02,77.81,75.62,75.84,121089600,72.781
2010-09-24,74.38,76.79,74.03,76.65,109922200,73.558
2010-09-23,76.15,76.29,73.63,75.09,155307100,72.061
2010-09-22,76.80,77.28,74.80,75.85,127187600,72.791
2010-09-21,77.50,79.15,76.90,76.90,124985800,73.798
2010-09-20,75.37,77.65,75.26,77.41,127236200,74.288
2010-09-17,76.81,77.51,75.15,75.34,176290400,72.301
2010-09-16,77.40,78.12,76.23,76.32,103146300,73.242
2010-09-15,77.08,77.51,76.67,77.34,142945900,74.22
2010-09-14,77.60,78.62,76.60,77.14,154356000,74.029
2010-09-13,76.87,78.30,76.67,77.61,254248500,74.48
2010-09-10,74.47,76.47,74.30,75.62,204409100,72.57
2010-09-09,73.25,75.00,72.92,74.67,199102700,71.658
2010-09-08,72.05,72.83,71.30,72.32,128793200,69.403
2010-09-07,72.70,72.84,71.00,72.51,110234400,69.585
2010-09-06,73.08,74.00,72.59,72.88,67516700,69.94
2010-09-03,72.11,73.24,71.85,72.72,115304200,69.787
2010-09-02,71.40,72.69,71.20,72.12,151799900,69.211
2010-09-01,69.99,71.48,68.91,71.48,184362100,68.597
2010-08-31,67.75,69.78,66.75,69.49,210306300,66.687
2010-08-30,68.63,68.63,68.63,68.63,000,65.862
2010-08-27,67.81,68.90,66.69,68.63,98553200,65.862
2010-08-26,66.63,68.41,66.63,67.88,98513200,65.142
2010-08-25,67.18,67.93,65.69,66.00,152916300,63.338
2010-08-24,69.05,69.32,66.29,67.41,139972600,64.691
2010-08-23,69.67,70.43,69.08,69.64,75336300,66.831
2010-08-20,70.01,70.67,68.94,69.29,116947800,66.495
2010-08-19,71.01,72.40,69.92,70.09,139789100,67.263
2010-08-18,70.22,71.48,69.88,70.63,106635600,67.781
2010-08-17,70.01,70.71,69.32,70.69,112411300,67.839
2010-08-16,70.59,71.19,68.80,69.41,96707600,66.61
2010-08-13,71.98,72.33,69.38,70.24,174757400,67.407
2010-08-12,70.00,71.51,68.43,70.69,246647900,67.839
2010-08-11,74.80,74.85,70.00,70.03,264378800,67.205
2010-08-10,74.00,75.22,73.43,75.12,158223100,72.09
2010-08-09,75.10,75.45,73.95,74.98,113606300,71.956
2010-08-06,76.87,77.45,73.28,73.72,249825900,70.746
2010-08-05,75.39,77.61,74.82,76.03,262498700,72.963
2010-08-04,74.70,75.50,72.49,74.49,413217200,71.485
2010-08-03,71.88,72.80,71.08,71.92,174299000,69.019
2010-08-02,70.20,73.00,69.14,72.44,244262100,69.518
2010-07-30,68.21,69.99,68.21,69.26,150262700,66.466
2010-07-29,69.53,70.50,68.80,68.91,130016800,66.13
2010-07-28,72.15,73.36,68.53,69.35,382242100,66.553
2010-07-27,68.00,71.84,66.81,71.80,628008600,68.904
2010-07-26,64.35,66.00,64.31,66.00,163513200,63.338
2010-07-23,63.54,63.71,62.11,63.52,138299600,60.958
2010-07-22,60.53,63.58,60.15,63.58,150657700,61.015
2010-07-21,61.01,61.54,60.73,61.01,134416400,58.549
2010-07-20,59.60,60.04,58.44,59.84,109678500,57.426
2010-07-19,58.87,60.50,58.22,59.27,117913400,56.879
2010-07-16,61.70,62.17,59.38,59.61,179324500,57.206
2010-07-15,64.24,64.24,61.37,61.90,147925500,59.403
2010-07-14,64.00,64.40,62.13,63.00,163326400,60.459
2010-07-13,62.09,64.00,61.98,63.89,153007600,61.313
2010-07-12,61.40,62.56,61.09,62.26,109746300,59.749
2010-07-09,61.10,62.49,60.10,61.71,151875400,59.221
2010-07-08,60.99,61.98,59.55,60.70,290543900,58.252
2010-07-07,55.78,58.31,54.52,58.19,226776500,55.843
2010-07-06,55.38,56.96,55.00,56.96,150531800,54.662
2010-07-05,55.31,55.50,53.42,54.77,83823500,52.561
2010-07-02,52.97,55.17,52.76,54.70,194926500,52.494
2010-07-01,52.99,54.18,51.76,52.21,242681400,50.104
2010-06-30,54.58,56.35,53.07,53.70,214684200,51.534
2010-06-29,55.00,56.13,53.67,53.81,205004300,51.64
2010-06-28,55.10,55.69,53.60,55.41,193420300,53.175
2010-06-25,56.35,56.85,54.12,54.20,353683400,52.014
2010-06-24,58.90,59.81,56.15,56.31,221991600,54.039
2010-06-23,58.28,61.85,58.00,58.70,266058200,56.332
2010-06-22,55.92,59.20,55.49,59.00,273842400,56.62
2010-06-21,57.50,57.84,54.69,56.66,156253600,54.375
2010-06-18,57.48,58.00,56.20,56.32,187690200,54.048
2010-06-17,55.65,58.48,55.55,57.19,256622400,54.883
2010-06-16,56.39,56.45,55.26,55.63,122868300,53.386
2010-06-15,54.20,56.02,53.84,55.45,127832300,53.213
2010-06-14,53.99,56.08,53.11,54.90,190404800,52.686
2010-06-11,56.27,56.45,54.05,54.33,180835600,52.139
2010-06-10,52.95,56.00,52.34,55.91,183577400,53.655
2010-06-09,52.48,53.47,51.56,53.47,168025700,51.313
2010-06-08,54.54,54.67,51.00,51.76,207250000,49.672
2010-06-07,53.93,55.54,52.88,53.96,132151800,51.783
2010-06-04,57.76,58.09,54.12,55.44,196288500,53.204
2010-06-03,57.43,58.07,56.75,57.30,333212300,54.989
