Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,776.987,779.29,769.157,771.921,167300,679.088
2010-12-30,777.447,787.119,772.381,776.066,207700,682.734
2010-12-29,775.145,791.725,773.763,778.369,366200,684.76
2010-12-27,773.763,773.763,773.763,773.763,000,680.708
2010-12-24,780.671,780.671,772.381,773.763,32300,680.708
2010-12-23,781.593,787.119,779.29,784.356,199700,690.027
2010-12-22,773.302,785.277,769.157,785.277,293700,690.837
2010-12-21,780.671,780.671,770.078,773.763,321500,680.708
2010-12-20,759.946,789.883,759.946,772.381,844300,679.492
2010-12-17,735.535,758.103,727.705,758.103,1245800,666.932
2010-12-16,729.087,749.352,726.324,729.087,845600,641.405
2010-12-15,741.062,743.365,735.075,742.904,1037500,653.56
2010-12-14,744.286,746.589,739.22,743.365,463700,653.966
2010-12-13,746.128,750.274,737.838,741.983,527300,652.75
2010-12-10,747.05,753.037,741.523,743.365,422000,653.966
2010-12-09,730.93,750.734,730.93,748.431,666400,658.423
2010-12-08,730.008,734.614,724.481,729.548,413200,641.811
2010-12-07,725.863,746.128,724.592,736.456,525600,647.888
2010-12-06,727.245,729.548,715.27,724.481,482600,637.353
2010-12-03,731.39,736.917,713.888,727.245,451800,639.785
2010-12-02,714.809,735.075,702.835,735.075,753900,646.673
2010-12-01,699.15,711.585,695.465,706.519,575600,621.551
2010-11-30,714.349,717.112,698.689,698.689,1297900,606.061
2010-11-29,716.652,724.481,707.44,715.731,735500,620.844
2010-11-26,731.39,731.39,715.27,716.652,553700,621.642
2010-11-25,713.888,736.917,712.507,732.772,702700,635.625
2010-11-24,695.465,718.494,690.399,709.283,795200,615.25
2010-11-23,694.084,699.611,689.017,693.163,395500,601.267
2010-11-22,700.071,706.98,685.793,695.465,584500,603.264
2010-11-19,689.017,697.377,673.818,697.308,758700,604.863
2010-11-18,673.358,690.86,665.068,688.557,1009800,597.272
2010-11-17,675.20,678.885,659.08,660.462,1055800,572.902
2010-11-16,679.806,688.096,672.897,675.661,457500,586.086
2010-11-15,674.279,683.371,672.897,682.109,449300,591.679
2010-11-12,665.989,682.109,661.383,677.042,555400,587.284
2010-11-11,678.885,682.569,671.516,677.042,772000,587.284
2010-11-10,687.175,696.847,676.582,678.885,524500,588.882
2010-11-09,691.32,698.229,689.478,691.32,700100,599.669
2010-11-08,690.399,693.623,685.333,689.478,304600,598.071
2010-11-05,691.32,695.673,679.345,691.32,473700,599.669
2010-11-04,691.781,696.506,686.714,690.86,943900,599.27
2010-11-03,681.648,685.333,668.292,684.872,1238700,594.076
2010-11-02,678.885,687.636,678.885,684.872,874800,594.076
2010-11-01,683.03,690.399,670.594,683.951,691000,593.277
2010-10-29,657.238,682.569,654.474,676.121,728300,586.485
2010-10-28,668.752,670.594,653.093,661.844,695700,574.101
2010-10-27,672.897,676.582,667.831,667.831,548000,579.294
2010-10-26,678.424,680.727,669.673,677.503,699200,587.684
2010-10-25,655.856,714.349,655.856,681.648,1907900,591.279
2010-10-22,638.354,649.869,636.973,649.408,1018200,563.313
2010-10-21,630.525,643.881,629.143,642.039,752700,556.921
2010-10-20,628.682,634.209,625.458,631.906,335000,548.132
2010-10-19,645.263,648.026,630.985,631.446,428400,547.733
2010-10-18,630.525,647.105,630.064,643.421,474500,558.12
2010-10-15,643.881,643.881,627.761,635.13,1307100,550.928
2010-10-14,647.566,657.698,643.421,644.802,747000,559.318
2010-10-13,629.143,649.869,629.143,648.487,932500,562.514
2010-10-12,628.682,631.446,618.089,627.301,597100,544.137
2010-10-11,624.998,630.985,624.998,627.761,248500,544.536
2010-10-08,626.84,629.603,623.616,625.458,330800,542.538
2010-10-07,627.301,632.827,622.695,630.064,746300,546.534
2010-10-06,626.379,634.209,620.853,625.919,1092100,542.938
2010-10-05,613.944,628.682,613.483,624.537,865800,541.739
2010-10-04,631.906,631.906,620.853,621.774,601800,539.343
2010-10-01,632.827,637.433,627.301,630.525,491200,546.934
2010-09-30,635.13,637.433,626.84,627.301,576000,544.137
2010-09-29,637.894,649.408,630.525,638.815,1201400,554.125
2010-09-28,647.566,656.317,637.433,643.881,748100,558.519
2010-09-27,648.947,657.698,643.513,650.79,570000,564.512
2010-09-24,630.985,649.408,630.064,647.105,508800,561.316
2010-09-23,638.815,638.815,627.761,634.67,388400,550.529
2010-09-22,637.894,637.894,627.301,632.367,407700,548.531
2010-09-21,629.603,644.802,629.603,639.736,882300,554.924
2010-09-20,628.682,638.354,623.616,638.354,299800,553.725
2010-09-17,636.051,638.354,619.01,622.695,1132800,540.142
