Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,378.20,378.20,368.30,369.00,1677000,289.159
2010-12-30,375.40,377.70,371.60,373.20,2695500,292.45
2010-12-29,376.00,381.20,372.70,375.80,3464200,294.487
2010-12-27,376.00,376.00,376.00,376.00,000,294.644
2010-12-24,376.20,377.30,373.00,376.00,784200,294.644
2010-12-23,374.20,376.00,373.60,374.40,3101200,293.39
2010-12-22,370.30,374.10,370.00,373.00,3630800,292.293
2010-12-21,373.50,375.80,370.00,370.00,5226600,289.942
2010-12-20,375.30,375.80,367.90,372.90,6466600,292.215
2010-12-17,384.00,384.00,374.10,375.40,8402900,294.174
2010-12-16,382.00,382.00,382.00,382.00,11377000,299.346
2010-12-15,374.20,376.10,370.70,375.30,5675500,294.095
2010-12-14,379.50,379.60,374.90,376.20,4537800,294.801
2010-12-13,379.80,381.10,377.20,379.80,394100,297.622
2010-12-10,379.00,384.50,377.40,378.00,4870400,296.211
2010-12-09,387.00,388.00,375.00,377.60,8531900,295.898
2010-12-08,387.20,388.35,384.30,385.20,4369500,301.853
2010-12-07,385.30,392.20,385.30,388.00,6784500,304.047
2010-12-06,385.30,386.20,382.00,384.70,5891700,301.462
2010-12-03,386.30,389.20,383.40,385.00,4914700,301.697
2010-12-02,380.00,389.40,380.00,386.00,8752700,302.48
2010-12-01,377.20,384.70,372.20,384.70,10479400,301.462
2010-11-30,377.40,382.80,372.60,372.60,8226000,291.98
2010-11-29,387.00,390.80,377.40,377.40,7289000,295.741
2010-11-26,383.50,387.20,381.00,385.50,6500200,302.088
2010-11-25,379.00,386.30,378.10,384.10,9530600,300.991
2010-11-24,371.20,376.90,368.40,375.00,7467700,293.86
2010-11-23,375.00,380.50,371.40,371.40,7405800,291.039
2010-11-22,384.50,386.10,376.60,377.60,5945100,295.898
2010-11-19,390.40,391.00,377.10,380.60,8515500,298.249
2010-11-18,387.40,391.90,385.00,390.20,6755300,305.771
2010-11-17,390.40,392.00,382.70,384.20,7072400,301.07
2010-11-16,401.80,403.00,394.10,396.00,5393200,304.918
2010-11-15,391.70,405.20,390.80,403.90,5033800,311.001
2010-11-12,388.50,396.60,385.10,393.20,6162500,302.762
2010-11-11,396.50,397.00,390.00,391.20,7549300,301.222
2010-11-10,405.10,405.70,393.00,395.60,12665800,304.61
2010-11-09,407.00,417.30,400.00,406.00,17276300,312.618
2010-11-08,410.00,415.60,407.00,413.20,5857600,318.162
2010-11-05,412.40,414.50,405.10,408.30,7631700,314.389
2010-11-04,421.90,423.80,409.60,412.80,9682800,317.854
2010-11-03,426.10,430.30,416.50,419.50,6440800,323.013
2010-11-02,418.40,429.00,418.40,427.50,6102000,329.173
2010-11-01,428.90,429.00,418.20,420.00,5803300,323.398
2010-10-29,427.00,431.40,425.20,427.40,4700500,329.096
2010-10-28,422.10,429.10,421.20,426.80,3152300,328.634
2010-10-27,425.90,427.20,420.60,421.30,4748300,324.399
2010-10-26,426.00,428.50,423.30,426.30,4690300,328.249
2010-10-25,428.00,430.70,425.60,426.30,6067300,328.249
2010-10-22,417.00,428.00,417.00,426.20,7217500,328.172
2010-10-21,409.50,421.40,407.90,418.30,9808500,322.089
2010-10-20,410.70,411.00,405.50,409.40,6869400,315.236
2010-10-19,413.80,414.20,408.30,410.00,3244600,315.698
2010-10-18,411.40,415.10,407.90,413.70,2839300,318.547
2010-10-15,413.60,413.70,407.50,412.50,5276400,317.623
2010-10-14,419.10,419.10,411.10,411.60,5213700,316.93
2010-10-13,411.30,418.90,408.70,418.90,6685300,322.551
2010-10-12,405.20,409.60,401.10,409.40,5628300,315.236
2010-10-11,410.90,413.00,404.30,405.70,7959300,312.387
2010-10-08,411.00,415.00,403.20,411.00,11482700,316.468
2010-10-07,389.10,413.60,384.90,410.00,27947000,315.698
2010-10-06,395.00,395.00,387.40,390.80,9805700,300.914
2010-10-05,388.80,393.40,387.60,392.50,4511100,302.223
2010-10-04,390.60,392.70,387.30,390.20,4727400,300.452
2010-10-01,391.30,394.60,388.40,391.60,7394900,301.53
2010-09-30,383.00,392.80,380.30,388.10,10498000,298.835
2010-09-29,383.00,384.00,379.00,383.90,3994500,295.601
2010-09-28,378.70,385.70,373.50,384.30,6493100,295.909
2010-09-27,379.70,383.20,378.00,378.80,3094600,291.674
2010-09-24,373.90,381.90,370.90,380.50,3115400,292.983
2010-09-23,378.70,378.90,370.10,374.50,4089800,288.363
2010-09-22,382.70,382.80,372.10,376.80,5447100,290.134
2010-09-21,382.70,384.60,379.80,381.30,3630700,293.599
2010-09-20,376.00,382.90,374.10,382.30,5986500,294.369
2010-09-17,379.00,383.50,374.50,374.50,5475400,288.363
2010-09-16,378.30,384.00,372.70,376.10,8613500,289.595
2010-09-15,365.60,380.70,365.40,379.60,9643700,292.29
2010-09-14,363.70,368.50,361.80,367.00,5522800,282.588
2010-09-13,361.80,366.60,358.30,364.70,2739700,280.817
2010-09-10,363.20,364.80,359.10,360.40,2847500,277.506
2010-09-09,356.00,364.60,352.10,363.60,6214300,279.97
2010-09-08,354.50,360.80,352.20,359.90,6100100,277.121
2010-09-07,358.50,358.50,351.30,354.10,4679100,272.655
2010-09-06,359.50,360.20,357.60,359.70,1958600,276.967
2010-09-03,356.00,359.80,353.40,357.80,3407500,275.504
2010-09-02,352.70,355.00,351.00,354.90,3379500,273.271
2010-09-01,348.30,354.10,344.60,353.80,5115000,272.424
2010-08-31,341.00,346.10,340.10,346.10,5703600,266.495
2010-08-30,346.50,346.50,346.50,346.50,000,266.803
2010-08-27,338.90,347.40,338.20,346.50,3509600,266.803
2010-08-26,337.10,342.70,336.60,340.60,4514000,262.26
2010-08-25,338.40,338.50,332.00,334.20,3429800,257.332
2010-08-24,336.70,339.50,333.40,338.00,6899300,260.258
2010-08-23,334.40,340.20,332.70,336.60,3520300,259.18
2010-08-20,335.60,338.50,332.00,332.70,3542600,256.177
2010-08-19,341.70,345.00,336.10,337.20,4385400,259.642
2010-08-18,339.90,344.10,336.60,341.20,4260000,262.722
2010-08-17,333.00,339.20,333.00,338.80,3726400,260.874
2010-08-16,332.80,334.20,329.90,332.60,2960000,256.10
2010-08-13,332.80,334.80,327.30,331.40,5481200,255.176
2010-08-12,329.70,335.70,328.40,331.10,6473000,254.945
2010-08-11,340.40,341.40,328.00,330.00,8229600,254.098
2010-08-10,347.50,347.80,340.50,342.10,3846500,263.415
2010-08-09,346.00,349.80,345.50,347.80,3356800,267.804
2010-08-06,346.60,351.70,341.80,343.50,6060800,264.493
2010-08-05,350.00,351.80,346.20,347.30,3301800,267.419
2010-08-04,357.00,357.00,347.50,350.20,8388300,269.652
2010-08-03,358.20,360.60,354.10,360.60,5218500,277.66
2010-08-02,346.80,359.20,345.40,359.20,6428900,276.582
2010-07-30,349.50,352.20,344.40,344.40,4394600,265.186
2010-07-29,352.60,355.60,350.90,351.20,2929100,270.422
2010-07-28,352.70,354.00,351.20,352.40,4687700,271.346
2010-07-27,356.90,356.90,348.60,349.60,4188100,269.19
2010-07-26,355.90,356.40,351.80,354.20,2738100,272.732
2010-07-23,353.90,357.80,350.70,353.70,5172700,272.347
2010-07-22,343.20,354.20,340.90,353.50,4336400,272.193
2010-07-21,343.00,348.60,341.20,345.10,4139400,265.725
2010-07-20,344.60,345.70,337.70,339.00,4866900,261.028
2010-07-19,347.00,348.80,342.70,342.90,3335500,264.031
2010-07-16,351.20,354.80,347.50,347.50,10075100,267.573
2010-07-15,349.40,351.40,345.40,347.40,5092500,267.496
