Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,565.00,567.50,552.00,553.00,2558200,406.342
2010-12-30,568.00,570.50,562.50,564.50,2150100,414.792
2010-12-29,568.50,573.50,565.50,567.50,2392200,416.997
2010-12-27,566.50,566.50,566.50,566.50,000,416.262
2010-12-24,570.00,570.00,565.50,566.50,617500,416.262
2010-12-23,577.00,577.50,569.50,569.50,3361400,418.466
2010-12-22,590.00,590.00,565.00,573.50,9600700,421.405
2010-12-21,568.50,571.50,558.00,564.00,7610100,414.425
2010-12-20,560.00,563.50,555.00,563.00,9411700,413.69
2010-12-17,557.00,557.00,551.00,552.00,11387900,405.607
2010-12-16,554.00,554.00,554.00,554.00,7313200,407.077
2010-12-15,553.50,558.00,553.00,556.00,4602100,408.546
2010-12-14,554.50,555.50,551.50,554.00,8301900,407.077
2010-12-13,549.00,554.50,547.00,554.00,4143600,407.077
2010-12-10,549.00,550.00,543.50,547.50,6149100,402.301
2010-12-09,550.00,552.00,544.50,548.50,12639400,403.035
2010-12-08,547.50,549.00,538.125,544.00,8559700,399.729
2010-12-07,553.50,554.50,545.50,547.50,9007900,402.301
2010-12-06,558.00,558.00,550.50,552.50,7636800,405.975
2010-12-03,559.50,559.50,547.50,554.00,14831400,407.077
2010-12-02,552.50,560.00,545.00,559.00,12373200,410.751
2010-12-01,562.00,564.00,550.00,552.50,11887900,405.975
2010-11-30,570.00,575.50,566.00,568.00,10347800,406.832
2010-11-29,581.00,583.00,567.00,567.00,7080800,406.116
2010-11-26,576.00,580.50,570.50,576.00,5764500,412.562
2010-11-25,579.50,580.50,573.00,577.50,5238000,413.636
2010-11-24,576.00,583.00,574.00,580.00,7176600,415.427
2010-11-23,581.50,586.00,574.00,574.00,5533100,411.129
2010-11-22,582.00,583.50,577.00,581.00,4601700,416.143
2010-11-19,589.50,589.50,574.00,578.50,9932800,414.353
2010-11-18,588.00,589.00,567.00,587.50,8028200,420.799
2010-11-17,580.00,587.50,577.50,584.50,4874700,418.65
2010-11-16,588.00,589.50,581.50,582.00,3953600,416.859
2010-11-15,585.50,590.50,579.50,590.00,5742100,422.589
2010-11-12,579.00,591.50,575.00,587.50,5699200,420.799
2010-11-11,586.50,587.00,578.50,581.00,3507400,416.143
2010-11-10,574.50,587.00,574.50,583.00,8807400,417.576
2010-11-09,581.50,586.50,573.50,575.50,9078400,412.204
2010-11-08,588.50,591.00,579.00,584.00,6755600,418.292
2010-11-05,595.00,600.50,588.00,590.50,8965400,422.948
2010-11-04,592.50,597.00,590.00,596.00,4364400,426.887
2010-11-03,595.50,596.00,585.50,589.00,5922600,421.873
2010-11-02,588.00,595.00,587.50,594.00,4681300,425.454
2010-11-01,593.50,594.00,584.00,590.00,7009100,422.589
2010-10-29,585.50,593.50,581.50,590.00,6577400,422.589
2010-10-28,581.00,588.50,580.50,583.50,4045000,417.934
2010-10-27,584.00,594.00,576.00,577.50,8242200,413.636
2010-10-26,584.00,587.00,581.50,586.50,4135700,420.083
2010-10-25,588.50,589.50,583.00,584.00,4004100,418.292
2010-10-22,593.50,594.50,584.00,585.50,8912600,419.366
2010-10-21,585.00,597.00,581.00,594.00,10516900,425.454
2010-10-20,579.50,582.50,572.00,582.00,6629700,416.859
2010-10-19,571.00,579.50,567.50,579.50,7469200,415.069
2010-10-18,571.50,574.00,565.50,572.00,11308000,409.697
2010-10-15,577.50,577.50,566.00,569.50,7231100,407.906
2010-10-14,578.00,580.50,574.00,574.50,9156400,411.488
2010-10-13,574.00,580.00,572.00,578.00,9977300,413.994
2010-10-12,569.50,572.50,564.50,572.50,8070800,410.055
2010-10-11,567.00,571.00,565.50,570.00,5079300,408.264
2010-10-08,568.00,568.50,561.50,564.00,4488100,403.967
2010-10-07,563.00,572.50,561.00,567.50,10554300,406.474
2010-10-06,562.00,566.50,560.00,562.50,10004400,402.892
2010-10-05,556.50,563.50,555.00,560.50,7826100,401.46
2010-10-04,542.00,555.00,538.00,553.50,6351100,396.446
2010-10-01,539.50,544.50,536.50,541.00,7856600,387.493
2010-09-30,543.50,549.00,536.50,540.00,9945500,386.777
2010-09-29,550.00,551.50,541.50,544.00,5991200,389.642
