Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,2003.00,2010.00,1975.00,1975.00,161300,1686.098
2010-12-30,2007.00,2016.00,1994.00,1994.00,247400,1702.318
2010-12-29,2050.00,2069.00,2000.00,2006.00,352200,1712.563
2010-12-27,2047.00,2047.00,2047.00,2047.00,000,1747.566
2010-12-24,2007.00,2047.00,2005.00,2047.00,47700,1747.566
2010-12-23,1981.00,2009.00,1971.00,2007.00,769100,1713.417
2010-12-22,1968.00,1999.00,1968.00,1971.00,461100,1682.683
2010-12-21,1972.00,1985.00,1954.00,1964.00,740400,1676.707
2010-12-20,1984.00,1984.00,1940.00,1968.00,1149200,1680.122
2010-12-17,2035.00,2037.00,1982.00,1985.00,1275700,1694.635
2010-12-16,2022.00,2022.00,2022.00,2022.00,855000,1726.223
2010-12-15,2016.00,2016.00,1998.00,2007.00,670500,1713.417
2010-12-14,2023.00,2031.00,2012.00,2017.00,770400,1721.954
2010-12-13,2039.00,2047.00,1999.00,2023.00,854700,1727.076
2010-12-10,2026.00,2036.00,2017.00,2030.00,494700,1733.052
2010-12-09,2075.00,2075.00,1994.00,2011.00,1097100,1716.832
2010-12-08,2069.00,2076.00,2056.00,2060.00,566700,1758.664
2010-12-07,2072.00,2097.00,2069.00,2071.00,789400,1768.055
2010-12-06,2071.00,2080.00,2058.00,2062.00,533000,1760.371
2010-12-03,2070.00,2090.00,2056.00,2065.00,890900,1762.933
2010-12-02,2026.00,2072.00,2015.00,2069.00,878600,1766.347
2010-12-01,2021.00,2032.00,2006.00,2016.00,1359800,1721.10
2010-11-30,2014.00,2030.00,2004.00,2010.00,1174600,1715.978
2010-11-29,2082.00,2089.00,2006.00,2015.00,1129000,1720.247
2010-11-26,2086.00,2087.00,2061.00,2076.00,501600,1772.323
2010-11-25,2080.00,2110.00,2067.00,2097.00,782700,1790.252
2010-11-24,2040.00,2092.00,2021.00,2078.00,1326400,1774.031
2010-11-23,2052.00,2084.00,2046.00,2055.00,1069100,1733.052
2010-11-22,2089.00,2099.00,2055.00,2063.00,582900,1739.799
2010-11-19,2088.00,2095.00,2055.00,2071.00,914500,1746.546
2010-11-18,2084.00,2099.00,2070.00,2083.00,1099600,1756.666
2010-11-17,2101.00,2122.00,2075.00,2078.00,858900,1752.449
