Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,669.00,673.00,662.00,668.00,1257600,560.224
2010-12-30,682.00,682.00,667.50,668.00,2397800,560.224
2010-12-29,686.50,686.50,677.00,681.00,1690700,571.127
2010-12-27,680.00,680.00,680.00,680.00,000,570.288
2010-12-24,677.00,680.00,673.50,680.00,252800,570.288
2010-12-23,673.50,679.50,671.50,679.00,2469900,569.45
2010-12-22,672.50,677.00,667.50,674.50,3165100,565.676
2010-12-21,675.00,679.50,671.50,675.00,2537800,566.095
2010-12-20,670.00,677.50,667.00,671.50,3326400,563.16
2010-12-17,673.00,677.50,667.00,670.50,8826100,562.321
2010-12-16,669.00,669.00,669.00,669.00,6282100,561.063
2010-12-15,660.00,667.00,656.50,664.00,5270200,556.87
2010-12-14,653.00,660.50,651.50,660.50,6053900,553.934
2010-12-13,655.00,662.50,653.00,655.00,4646600,549.322
2010-12-10,660.00,666.50,650.00,659.00,8932700,552.676
2010-12-09,641.00,657.50,638.50,654.00,11140800,548.483
2010-12-08,610.00,639.00,609.00,634.50,9643700,532.129
2010-12-07,609.50,617.00,606.00,612.00,7785100,513.259
2010-12-06,603.50,610.00,596.50,608.50,7534700,510.324
2010-12-03,607.00,608.50,592.50,600.50,6312300,503.615
2010-12-02,608.00,612.00,596.50,605.50,11665600,507.808
2010-12-01,578.50,602.50,575.50,599.00,10774400,502.357
2010-11-30,569.00,576.00,559.00,568.00,9615900,476.358
2010-11-29,581.50,595.00,567.50,568.50,7510700,476.778
2010-11-26,587.00,591.00,568.50,577.00,8054200,483.906
2010-11-25,595.00,595.50,582.50,588.00,5080800,493.132
2010-11-24,592.50,597.00,581.00,589.50,7134600,494.39
2010-11-23,594.50,602.50,589.50,590.50,7747800,495.228
2010-11-22,619.00,619.50,599.00,600.50,4976500,503.615
2010-11-19,619.50,619.50,603.50,614.50,6148400,515.356
2010-11-18,616.00,621.50,614.00,618.00,3667300,518.291
2010-11-17,602.50,616.00,602.00,612.50,5230600,513.679
2010-11-16,619.00,622.50,606.00,608.00,6491700,509.905
2010-11-15,621.50,625.00,614.50,623.00,3988600,522.485
2010-11-12,615.50,631.00,611.00,624.50,5183600,523.743
2010-11-11,627.50,628.00,618.00,623.00,5688400,522.485
2010-11-10,634.00,642.50,622.00,623.00,11636500,522.485
2010-11-09,640.00,645.50,627.00,630.50,7922400,528.775
2010-11-08,647.00,652.50,641.50,642.50,3196100,538.838
2010-11-05,647.00,654.50,640.50,648.00,5892200,543.451
2010-11-04,627.00,649.00,625.00,647.00,10690200,542.612
2010-11-03,625.00,629.50,618.00,619.00,6347800,519.13
2010-11-02,623.50,630.00,622.00,623.00,4809800,522.485
2010-11-01,632.50,636.00,622.00,627.00,3707400,525.839
2010-10-29,639.00,650.00,627.00,630.50,12894300,528.775
2010-10-28,617.50,635.00,616.00,630.50,7638000,528.775
2010-10-27,615.50,625.00,612.00,613.50,5529300,514.517
2010-10-26,626.00,631.00,610.50,621.50,9302500,521.227
2010-10-25,643.50,650.50,631.50,632.00,4359300,530.033
2010-10-22,654.50,662.00,640.00,641.00,8486200,537.58
2010-10-21,628.00,654.50,628.00,653.00,13919200,547.644
2010-10-20,628.50,636.00,627.50,630.00,4708400,528.355
2010-10-19,621.50,645.00,621.50,634.00,8588300,531.71
2010-10-18,609.00,626.50,609.00,623.50,12215300,522.904
2010-10-15,619.00,619.50,608.00,612.50,9056600,513.679
