Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,1019.00,1022.00,1008.00,1008.00,461700,786.993
2010-12-30,1023.00,1028.00,1013.00,1015.00,560000,792.458
2010-12-29,1036.00,1039.00,1025.00,1025.00,535900,800.266
2010-12-27,1034.00,1034.00,1034.00,1034.00,000,807.292
2010-12-24,1028.00,1036.00,1026.00,1034.00,108600,807.292
2010-12-23,1028.00,1043.00,1026.00,1027.00,1517900,801.827
2010-12-22,1023.00,1032.00,1020.00,1026.00,887500,801.046
2010-12-21,1021.00,1029.00,1017.00,1021.00,1016500,797.143
2010-12-20,1024.00,1030.00,1011.00,1016.00,1875400,793.239
2010-12-17,1030.00,1037.00,1016.00,1017.00,1957600,794.02
2010-12-16,1024.00,1024.00,1024.00,1024.00,2233300,799.485
2010-12-15,1006.00,1012.00,1001.00,1005.00,1708800,784.651
2010-12-14,1016.00,1017.00,998.00,998.00,3078600,779.186
2010-12-13,1012.00,1020.00,1012.00,1016.00,18200,793.239
2010-12-10,1019.00,1020.00,1005.00,1011.00,2003500,789.335
2010-12-09,1018.00,1028.00,1011.00,1014.00,1750200,791.677
2010-12-08,999.00,1012.00,991.50,1010.00,2050800,788.554
2010-12-07,982.50,1007.00,982.50,1002.00,2256700,782.308
2010-12-06,994.50,997.00,978.50,978.50,1971600,763.961
2010-12-03,979.50,1000.00,979.50,994.50,2321800,776.453
2010-12-02,962.00,982.00,958.50,982.00,2478100,766.694
2010-12-01,930.00,961.00,926.00,960.50,3528800,749.907
2010-11-30,935.00,943.50,924.50,926.00,2654000,722.972
2010-11-29,955.50,958.50,931.50,931.50,1553400,727.266
2010-11-26,951.50,953.50,945.50,953.00,1897300,744.052
2010-11-25,946.50,955.00,941.00,954.50,1712700,745.223
2010-11-24,934.00,949.00,925.00,945.50,2876800,738.196
2010-11-23,935.00,943.00,933.50,933.50,2180800,728.827
2010-11-22,936.50,948.00,935.50,939.00,2074700,733.121
2010-11-19,938.50,940.00,928.50,930.50,1895300,726.485
2010-11-18,940.00,949.00,936.50,937.50,1665400,731.95
2010-11-17,930.00,936.50,923.50,936.00,1967200,730.779
2010-11-16,949.00,949.00,921.00,930.00,2928900,726.095
2010-11-15,944.00,951.50,939.50,949.00,1370000,740.929
2010-11-12,952.50,956.50,945.00,948.00,2894500,740.148
2010-11-11,969.00,969.00,953.50,957.00,1595600,747.175
2010-11-10,967.50,971.50,955.50,962.50,1440500,751.469
2010-11-09,973.00,977.00,965.50,972.50,1712500,759.276
2010-11-08,976.00,976.50,970.00,972.50,1141400,759.276
2010-11-05,972.00,976.00,962.00,972.00,1156600,758.886
2010-11-04,980.50,981.50,970.00,973.50,1353200,760.057
2010-11-03,977.50,979.00,969.00,972.00,1970800,758.886
2010-11-02,955.00,973.50,953.00,971.00,2376500,758.105
2010-11-01,963.00,963.00,952.00,958.00,1599100,747.956
2010-10-29,954.50,958.50,949.50,954.50,2674900,745.223
2010-10-28,957.50,959.50,951.50,954.50,1690100,745.223
2010-10-27,963.00,967.50,949.50,950.50,2209400,742.10
2010-10-26,945.50,970.00,945.00,966.00,3593000,754.202
2010-10-25,989.50,990.00,945.00,947.50,5082500,739.758
2010-10-22,984.00,987.50,974.00,976.00,2153900,762.009
2010-10-21,974.50,989.00,967.50,986.00,3987800,769.817
2010-10-20,981.50,981.50,973.00,975.00,1600200,761.228
2010-10-19,988.50,992.00,980.00,981.00,2232500,765.913
2010-10-18,992.50,995.00,984.50,986.50,1520300,770.207
2010-10-15,998.00,1001.00,989.50,993.00,8831700,775.282
2010-10-14,1009.00,1012.00,986.50,991.00,5734200,773.72
2010-10-13,1011.00,1016.00,1007.00,1009.00,2291000,787.774
2010-10-12,999.00,1007.00,991.50,1005.00,1282500,784.651
2010-10-11,1002.00,1002.00,993.50,1000.00,876700,780.747
2010-10-08,992.50,997.50,986.50,995.00,1184500,776.843
2010-10-07,1008.00,1008.00,985.00,991.50,3767100,774.111
2010-10-06,988.50,1004.00,984.00,1004.00,2040100,783.87
2010-10-05,971.50,983.00,966.00,982.00,1880900,766.694
2010-10-04,982.00,982.00,967.50,967.50,1273900,755.373
2010-10-01,990.00,995.00,975.50,979.50,3035200,764.742
2010-09-30,988.00,998.00,982.50,985.50,2834100,769.426
