Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,39.76,39.80,39.07,39.07,1652100,390.70
2010-12-30,39.78,40.34,39.50,39.60,2028600,396.00
2010-12-29,40.45,40.61,39.70,39.77,3851400,397.70
2010-12-27,40.68,40.68,40.68,40.68,000,406.80
2010-12-24,40.46,40.68,40.13,40.68,811300,406.80
2010-12-23,40.80,41.23,40.40,40.60,3741600,406.00
2010-12-22,40.07,41.29,40.07,40.69,8738400,406.90
2010-12-21,38.88,40.49,38.66,40.18,8373200,401.80
2010-12-20,38.02,38.91,38.00,38.46,7414900,384.60
2010-12-17,40.26,40.89,37.63,37.82,23341500,378.20
2010-12-16,40.70,40.93,40.12,40.12,5786400,401.20
2010-12-15,41.07,41.50,40.76,40.76,8758300,407.60
2010-12-14,41.83,42.20,41.34,41.34,6545000,413.40
2010-12-13,41.82,42.35,41.65,41.82,7521700,418.20
2010-12-10,42.52,43.00,41.69,41.69,7911200,416.90
2010-12-09,41.34,42.95,41.32,42.31,16631400,423.10
2010-12-08,40.75,41.68,40.22,40.98,6121400,409.80
2010-12-07,40.95,42.13,40.53,41.35,8936500,413.50
2010-12-06,41.67,41.88,40.53,41.12,7468800,411.20
2010-12-03,41.84,42.42,41.14,41.46,9880700,414.60
2010-12-02,40.45,41.85,39.77,41.55,12864400,415.50
2010-12-01,38.06,40.29,38.04,40.00,13055500,400.00
2010-11-30,38.53,38.95,37.43,37.59,18404400,375.90
2010-11-29,39.39,40.42,38.48,38.52,13360000,385.20
2010-11-26,40.66,40.77,38.69,38.69,13806500,386.90
2010-11-25,40.69,41.19,40.02,40.86,7011900,408.60
2010-11-24,40.33,41.16,39.83,40.56,9733900,405.60
2010-11-23,39.99,40.51,38.75,40.05,18891900,400.50
2010-11-22,42.55,42.60,39.76,39.84,11347500,398.40
2010-11-19,42.19,42.32,41.33,41.77,7462300,417.70
2010-11-18,42.31,42.67,41.50,42.01,9543500,420.10
2010-11-17,40.76,42.40,40.55,41.73,9506300,417.30
2010-11-16,42.01,42.24,40.80,40.86,9372500,408.60
2010-11-15,41.85,42.50,41.29,42.32,8233300,423.20
2010-11-12,40.52,42.57,40.36,41.91,13998600,419.10
2010-11-11,42.73,42.99,39.82,41.02,26179200,410.20
2010-11-10,43.75,44.48,41.89,42.16,15416300,421.60
2010-11-09,43.43,44.32,43.06,43.75,8432600,437.50
2010-11-08,45.37,45.40,43.23,43.64,12793700,436.40
2010-11-05,48.00,49.00,44.80,45.00,21745000,450.00
2010-11-04,45.99,47.34,45.32,47.14,9766100,471.40
2010-11-03,45.82,45.83,44.67,45.17,5599900,451.70
2010-11-02,45.25,45.81,44.95,45.43,4818800,454.30
2010-11-01,45.11,46.10,44.90,45.58,6660400,455.80
2010-10-29,44.42,45.43,44.33,44.61,4757400,446.10
2010-10-28,45.11,45.70,44.53,44.55,5993300,445.50
2010-10-27,44.47,45.85,43.89,44.96,5768100,449.60
2010-10-26,45.18,45.80,44.78,44.78,6144600,447.80
2010-10-25,46.42,46.80,45.30,45.40,4531700,454.00
2010-10-22,45.38,46.81,45.33,46.18,7265200,461.80
2010-10-21,45.77,46.47,45.53,45.56,7172800,455.60
2010-10-20,46.85,47.31,45.80,46.00,6499400,460.00
2010-10-19,46.17,47.57,46.05,46.95,5518600,469.50
2010-10-18,46.18,46.75,45.79,46.31,5222000,463.10
2010-10-15,45.46,46.59,45.34,46.40,8331000,464.00
2010-10-14,47.62,47.82,45.18,45.30,11727700,453.00
2010-10-13,47.61,48.20,46.88,47.53,5125100,475.30
2010-10-12,47.27,47.86,46.57,47.60,5069400,476.00
2010-10-11,47.77,48.06,47.33,47.50,2549300,475.00
2010-10-08,47.62,48.08,46.95,47.61,7032300,476.10
2010-10-07,49.25,49.62,47.59,47.82,8885600,478.20
2010-10-06,49.33,50.00,49.07,49.49,6469500,494.90
2010-10-05,47.50,49.10,47.30,49.08,6556300,490.80
2010-10-04,47.62,48.35,47.05,47.56,3709500,475.60
2010-10-01,47.11,48.13,47.05,47.67,5328800,476.70
2010-09-30,47.37,48.77,47.15,47.61,7725100,476.10
2010-09-29,48.44,48.78,46.85,47.89,6966900,478.90
2010-09-28,48.69,48.75,47.40,48.05,7359000,480.50
2010-09-27,49.48,49.85,48.57,48.81,4397500,488.10
2010-09-24,47.48,49.40,47.20,49.29,6751700,492.90
2010-09-23,47.76,48.49,46.78,47.96,7303600,479.60
2010-09-22,48.97,48.97,47.41,47.50,10479100,475.00
2010-09-21,49.06,50.20,48.58,48.58,6939200,485.80
2010-09-20,47.62,49.10,47.61,49.02,4546900,490.20
2010-09-17,49.66,49.66,47.50,47.84,12140200,478.40
2010-09-16,49.29,49.50,48.40,48.44,5884600,484.40
2010-09-15,50.10,50.60,49.21,49.66,5983400,496.60
2010-09-14,49.92,50.65,49.56,50.15,7400000,501.50
2010-09-13,49.65,50.35,49.00,50.10,13219500,501.00
2010-09-10,48.20,49.14,48.18,48.53,9503500,485.30
2010-09-09,45.71,48.20,45.71,48.15,14717800,481.50
2010-09-08,45.70,46.04,44.86,45.83,11801900,458.30
2010-09-07,46.99,47.05,45.72,46.11,6294100,461.10
2010-09-06,46.85,47.09,46.48,46.95,5246400,469.50
