Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,3515.71,3515.71,3445.34,3445.34,388400,2857.703
2010-12-30,3535.26,3556.76,3495.19,3495.19,359300,2899.051
2010-12-29,3594.88,3594.88,3526.47,3542.10,464500,2937.96
2010-12-27,3560.67,3560.67,3560.67,3560.67,000,2953.362
2010-12-24,3576.31,3582.18,3540.15,3560.67,115000,2953.362
2010-12-23,3515.71,3566.54,3512.78,3565.56,554600,2957.419
2010-12-22,3518.65,3519.62,3503.01,3518.65,861900,2918.509
2010-12-21,3517.67,3529.40,3488.35,3515.71,733900,2916.071
2010-12-20,3497.14,3522.55,3492.26,3517.67,576000,2917.697
2010-12-17,3519.62,3532.33,3471.73,3496.17,2014300,2899.864
2010-12-16,3518.65,3518.65,3518.65,3518.65,1084200,2918.509
2010-12-15,3503.98,3532.33,3500.07,3526.47,922400,2924.996
2010-12-14,3495.19,3517.67,3467.82,3517.67,917200,2917.697
2010-12-13,3446.32,3531.35,3441.43,3492.26,1532700,2896.621
2010-12-10,3412.11,3439.48,3394.51,3429.70,1575400,2844.731
2010-12-09,3399.40,3423.84,3381.81,3402.33,1005900,2822.029
2010-12-08,3391.58,3405.27,3370.08,3390.61,1030200,2812.308
2010-12-07,3390.61,3436.54,3373.99,3405.27,938400,2824.468
2010-12-06,3386.70,3393.54,3368.13,3379.85,618100,2803.383
2010-12-03,3370.08,3388.65,3356.40,3375.95,1084900,2800.148
2010-12-02,3331.96,3374.97,3304.59,3368.13,1209800,2793.662
2010-12-01,3339.78,3354.44,3282.11,3330.98,1902100,2762.848
2010-11-30,3334.89,3367.15,3323.17,3323.17,1582000,2756.37
2010-11-29,3449.25,3450.23,3345.65,3345.65,964100,2775.016
2010-11-26,3418.95,3432.63,3369.10,3421.88,707300,2838.244
2010-11-25,3417.00,3427.75,3391.58,3424.81,839200,2840.675
2010-11-24,3431.66,3458.05,3415.04,3417.00,1001300,2834.197
2010-11-23,3485.41,3495.19,3419.93,3419.93,1342500,2836.627
2010-11-22,3539.17,3563.61,3489.32,3503.01,1038700,2905.537
2010-11-19,3465.87,3508.87,3445.34,3508.87,1253700,2910.398
2010-11-18,3417.00,3461.96,3399.40,3460.98,898100,2870.676
2010-11-17,3396.47,3399.40,3372.03,3392.56,886400,2813.925
2010-11-16,3453.16,3455.11,3389.63,3396.47,1162300,2817.168
2010-11-15,3441.43,3456.09,3414.06,3447.29,691400,2859.321
2010-11-12,3455.11,3456.09,3416.02,3443.39,1186200,2856.086
2010-11-11,3503.01,3503.01,3464.89,3478.57,636300,2885.266
2010-11-10,3479.55,3536.24,3479.55,3494.21,1327600,2898.238
2010-11-09,3480.53,3504.96,3475.64,3478.57,850500,2885.266
2010-11-08,3502.03,3546.01,3491.28,3498.12,1247500,2901.481
2010-11-05,3559.70,3559.70,3505.94,3516.69,1291400,2916.884
2010-11-04,3533.31,3578.27,3530.37,3548.95,1136800,2943.641
2010-11-03,3497.14,3529.40,3483.46,3503.01,1095500,2905.537
