Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,538.00,542.50,538.00,541.50,832200,447.086
2010-12-30,534.00,538.50,533.50,538.50,1158700,444.609
2010-12-29,541.50,541.50,535.00,535.50,952700,442.132
2010-12-27,538.00,538.00,538.00,538.00,000,444.197
2010-12-24,535.50,538.00,533.50,538.00,117200,444.197
2010-12-23,531.50,536.00,531.00,535.50,1166700,442.132
2010-12-22,531.50,532.00,528.00,530.50,1617100,438.004
2010-12-21,530.50,532.50,526.50,532.50,2571300,439.656
2010-12-20,530.00,530.50,524.00,528.00,2519900,435.94
2010-12-17,534.50,535.00,516.50,528.00,5531700,435.94
2010-12-16,532.00,532.00,532.00,532.00,4481000,439.243
2010-12-15,529.00,533.00,525.50,531.00,3299200,438.417
2010-12-14,523.50,529.50,523.50,529.50,3563200,437.179
2010-12-13,521.00,524.50,518.00,524.50,2791400,433.05
2010-12-10,521.50,524.00,517.00,519.00,3018600,428.509
2010-12-09,517.00,521.50,516.00,521.00,5847200,430.161
2010-12-08,517.00,521.04,512.969,515.00,4122100,425.207
2010-12-07,517.50,521.00,515.00,519.50,4624500,428.922
2010-12-06,526.00,526.00,515.50,516.00,3127700,426.032
2010-12-03,519.00,526.50,518.50,524.50,2821900,433.05
2010-12-02,517.50,520.00,514.50,520.00,4168400,429.335
2010-12-01,511.00,515.50,508.00,515.50,6166400,425.62
2010-11-30,516.50,520.00,509.00,509.00,5488700,420.253
2010-11-29,528.00,530.50,516.00,516.00,2377100,426.032
2010-11-26,523.00,527.50,522.00,525.50,2753100,433.876
2010-11-25,529.50,530.50,524.00,526.00,3923800,434.289
2010-11-24,530.50,535.00,527.00,530.00,4580800,437.591
2010-11-23,532.50,538.00,530.00,530.00,4853200,437.591
2010-11-22,539.50,541.50,534.50,535.50,3221900,442.132
2010-11-19,531.00,540.00,528.00,535.50,5837500,442.132
2010-11-18,536.50,542.50,524.00,529.00,9060500,436.766
2010-11-17,530.00,536.50,525.00,536.00,4843800,442.545
