Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,5315.00,5330.00,5270.00,5275.00,66000,5044.304
2010-12-30,5425.00,5435.00,5310.00,5315.00,151700,5082.555
2010-12-29,5455.00,5575.00,5385.00,5445.00,207800,5206.87
2010-12-27,5265.00,5265.00,5265.00,5265.00,000,5034.742
2010-12-24,5320.00,5320.00,5085.00,5265.00,187300,5034.742
2010-12-23,5530.00,5530.00,5435.00,5500.00,120700,5259.464
2010-12-22,5510.00,5540.00,5480.00,5500.00,170400,5259.464
2010-12-21,5630.00,5660.00,5470.00,5490.00,310900,5249.902
2010-12-20,5595.00,5645.00,5565.00,5600.00,133600,5355.091
2010-12-17,5655.00,5655.00,5510.00,5615.00,452800,5369.435
2010-12-16,5610.00,5610.00,5610.00,5610.00,280000,5364.654
2010-12-15,5710.00,5730.00,5655.00,5655.00,207200,5407.685
2010-12-14,5755.00,5805.00,5695.00,5770.00,288300,5517.656
2010-12-13,5680.00,5780.00,5645.00,5755.00,197800,5503.312
2010-12-10,5640.00,5670.00,5545.00,5605.00,201900,5359.872
2010-12-09,5710.00,5740.00,5585.00,5615.00,355800,5369.435
2010-12-08,5800.00,5865.00,5660.00,5700.00,483900,5450.717
2010-12-07,5945.00,6045.00,5870.00,5905.00,459400,5646.752
2010-12-06,5955.00,5960.00,5745.00,5885.00,609300,5627.627
2010-12-03,6050.00,6115.00,6015.00,6030.00,423200,5766.285
2010-12-02,6050.00,6090.00,6005.00,6070.00,391200,5804.536
2010-12-01,6030.00,6090.00,6020.00,6035.00,260900,5771.067
2010-11-30,6025.00,6080.00,5975.00,5995.00,435500,5732.816
2010-11-29,6090.00,6130.00,6035.00,6040.00,292400,5775.848
2010-11-26,6065.00,6090.00,5965.00,6070.00,196500,5804.536
2010-11-25,6030.00,6125.00,6005.00,6085.00,126200,5818.88
2010-11-24,6095.00,6115.00,6030.00,6050.00,196300,5785.411
2010-11-23,6070.00,6135.00,6015.00,6070.00,352400,5804.536
2010-11-22,6090.00,6100.00,5955.00,6005.00,183200,5742.379
2010-11-19,6060.00,6090.00,5935.00,6025.00,278600,5761.504
2010-11-18,6000.00,6050.00,5990.00,6045.00,238600,5780.629
