Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,2290.50,2301.00,2256.50,2256.50,685300,1960.91
2010-12-30,2306.50,2323.00,2283.50,2284.00,776300,1984.807
2010-12-29,2301.00,2328.00,2295.50,2306.00,783300,2003.925
2010-12-27,2295.00,2295.00,2295.00,2295.00,000,1994.366
2010-12-24,2285.00,2298.50,2285.00,2295.00,191900,1994.366
2010-12-23,2291.00,2300.00,2281.00,2281.00,1187600,1982.20
2010-12-22,2289.00,2298.00,2265.00,2291.00,770700,1990.89
2010-12-21,2259.00,2282.50,2247.50,2279.00,752800,1980.462
2010-12-20,2252.50,2265.50,2228.50,2251.00,1132700,1956.13
2010-12-17,2234.00,2255.50,2225.50,2243.50,2385400,1949.613
2010-12-16,2225.00,2225.00,2225.00,2225.00,1455200,1933.536
2010-12-15,2188.00,2214.50,2184.50,2204.00,1466500,1915.287
2010-12-14,2169.50,2195.00,2166.50,2195.00,1069100,1907.466
2010-12-13,2165.00,2184.50,2165.00,2179.50,1097400,1893.996
2010-12-10,2154.50,2163.50,2147.00,2155.50,940900,1873.14
2010-12-09,2157.00,2161.50,2143.00,2153.50,1072600,1871.402
2010-12-08,2133.50,2146.50,2122.00,2144.50,1157300,1863.581
2010-12-07,2150.00,2165.00,2135.00,2144.50,1348700,1863.581
2010-12-06,2153.00,2161.00,2130.50,2145.00,1415400,1864.016
2010-12-03,2135.00,2148.00,2115.00,2137.50,1992900,1857.498
2010-12-02,2095.00,2131.50,2078.50,2125.50,1543700,1847.07
2010-12-01,2034.00,2088.50,2025.00,2083.00,2608200,1810.137
2010-11-30,2045.50,2066.00,2034.00,2034.00,2222200,1755.729
2010-11-29,2124.00,2140.00,2049.00,2049.00,1702500,1768.677
2010-11-26,2100.00,2116.50,2074.00,2113.50,1111400,1824.353
2010-11-25,2103.50,2123.00,2100.00,2115.00,1488300,1825.648
2010-11-24,2070.00,2108.50,2069.00,2107.00,1385000,1818.742
2010-11-23,2102.00,2108.00,2060.00,2060.00,1978800,1778.172
2010-11-22,2115.00,2135.50,2108.00,2113.00,1377700,1823.921
2010-11-19,2159.50,2159.50,2096.00,2114.50,2614600,1825.216
2010-11-18,2107.00,2165.50,2098.50,2157.00,3176600,1861.902
2010-11-17,2010.50,2068.00,2010.50,2052.00,1981900,1771.267
2010-11-16,2027.00,2031.50,2010.00,2014.50,1876400,1738.897
2010-11-15,2015.00,2031.50,1988.00,2030.00,1158400,1752.276
2010-11-12,2005.50,2026.50,1992.50,2022.00,1622000,1745.371
2010-11-11,2047.00,2047.00,2013.00,2017.50,1072100,1741.487
2010-11-10,2027.00,2058.50,2016.50,2037.00,2167900,1758.319
2010-11-09,2010.00,2038.50,2009.00,2023.00,1847400,1746.234
2010-11-08,2025.00,2039.00,2016.50,2024.00,1318900,1747.097
2010-11-05,2043.00,2048.00,2022.50,2031.00,1664300,1753.14
2010-11-04,2032.50,2067.00,2031.00,2044.50,1778700,1764.793
2010-11-03,2049.50,2049.50,2023.00,2028.00,1366800,1750.55
2010-11-02,2028.50,2064.00,2028.50,2045.00,1381700,1765.224
2010-11-01,2033.50,2046.00,2016.50,2034.00,1368200,1755.729
2010-10-29,1999.50,2039.00,1997.50,2023.50,2063800,1746.666
2010-10-28,2004.00,2013.00,1992.00,2006.50,1490600,1731.991
2010-10-27,1992.00,2009.50,1974.50,1986.00,2418700,1714.296
2010-10-26,2040.50,2046.00,2004.50,2008.00,2015400,1733.286
2010-10-25,2061.50,2075.50,2043.00,2043.00,2415600,1763.498
2010-10-22,2070.00,2078.00,2040.00,2055.00,2239600,1773.856
2010-10-21,2050.50,2100.00,2050.50,2077.00,2387400,1792.846
2010-10-20,2065.00,2086.00,2052.00,2058.00,2560600,1776.446
2010-10-19,2075.50,2103.00,2060.50,2075.50,2218600,1791.552
2010-10-18,2040.50,2080.50,2037.00,2069.00,1649000,1785.941
2010-10-15,2089.00,2091.50,2049.00,2059.50,1992300,1777.741
2010-10-14,2076.50,2089.50,2069.00,2084.00,2031300,1798.889
2010-10-13,2057.00,2086.50,2041.00,2081.50,1802300,1796.731
2010-10-12,2014.00,2049.50,2003.00,2040.00,2033600,1760.908
2010-10-11,2029.00,2029.00,2013.00,2020.50,1143100,1744.076
2010-10-08,1994.00,2015.50,1980.50,2014.50,2186100,1738.897
2010-10-07,1980.50,2018.00,1980.50,2001.00,1826500,1727.244
2010-10-06,2021.00,2033.50,1987.50,1992.00,2986300,1719.475
2010-10-05,1997.00,2031.00,1986.50,2020.50,1603300,1744.076
2010-10-04,2007.00,2020.00,1995.00,1995.00,1134000,1722.065
2010-10-01,2043.00,2045.50,2004.50,2010.00,2183800,1735.013
2010-09-30,2022.00,2075.50,2010.00,2035.50,2498000,1757.024
2010-09-29,2020.50,2038.00,2004.00,2026.00,2101200,1748.824
2010-09-28,2013.50,2013.50,1974.00,2012.50,2895200,1737.171
2010-09-27,2033.50,2036.50,2009.00,2013.00,840000,1737.602
2010-09-24,1981.50,2032.50,1972.50,2027.00,1527800,1749.687
2010-09-23,2015.50,2015.50,1973.50,1991.00,1526900,1718.612
2010-09-22,2017.50,2020.00,1990.50,2001.00,2063700,1727.244
2010-09-21,2008.00,2027.50,2007.50,2007.50,1185200,1732.855
2010-09-20,1985.00,2018.00,1983.00,2014.50,1284600,1738.897
2010-09-17,2020.00,2036.50,1974.50,1974.50,2768300,1704.369
2010-09-16,2019.00,2019.00,1997.00,2001.50,1496600,1727.675
2010-09-15,1968.00,2020.50,1967.50,2011.50,3066400,1736.307
2010-09-14,1962.50,1981.50,1962.50,1968.50,2024900,1699.19
2010-09-13,1973.50,1989.50,1966.50,1972.50,1252200,1702.643
2010-09-10,1952.00,1974.00,1943.50,1968.00,1198500,1698.759
2010-09-09,1916.50,1966.50,1916.50,1955.00,1979700,1687.537
2010-09-08,1918.50,1932.50,1892.50,1926.50,1771800,1662.936
2010-09-07,1942.50,1942.50,1918.50,1925.50,1601400,1662.073
2010-09-06,1948.50,1954.00,1937.50,1945.50,1093900,1679.337
2010-09-03,1915.00,1959.50,1915.00,1944.00,2124400,1678.042
2010-09-02,1922.00,1947.50,1911.00,1915.50,1985000,1653.441
2010-09-01,1860.50,1934.50,1858.50,1927.00,2862100,1663.368
2010-08-31,1810.00,1857.00,1810.00,1857.00,2375700,1602.944
2010-08-30,1841.00,1841.00,1841.00,1841.00,000,1589.133
2010-08-27,1848.00,1857.50,1814.00,1841.00,2636900,1589.133
2010-08-26,1866.00,1866.00,1833.50,1850.00,1908900,1596.902
2010-08-25,1873.00,1873.00,1837.50,1847.00,2110400,1594.313
2010-08-24,1867.00,1886.00,1854.00,1870.00,2302100,1614.166
2010-08-23,1821.00,1895.00,1821.00,1881.50,2730700,1624.093
2010-08-20,1858.50,1873.00,1851.00,1851.00,1748000,1597.765
2010-08-19,1903.00,1908.50,1856.50,1860.50,1489700,1605.966
2010-08-18,1905.50,1911.50,1887.00,1893.50,1438400,1634.451
2010-08-17,1902.00,1916.50,1897.00,1915.00,1412400,1653.01
2010-08-16,1904.00,1907.00,1878.50,1893.00,1081300,1634.019
2010-08-13,1914.50,1915.00,1890.50,1897.00,1676000,1637.472
2010-08-12,1863.00,1911.00,1863.00,1898.00,2830100,1638.335
2010-08-11,1892.00,1898.50,1865.00,1865.50,1883000,1610.282
2010-08-10,1901.50,1908.50,1878.00,1898.00,1299100,1638.335
2010-08-09,1886.00,1905.00,1878.50,1905.00,984700,1644.378
2010-08-06,1921.50,1922.00,1855.00,1864.00,4030400,1608.987
2010-08-05,1960.00,1967.00,1907.50,1910.00,2938200,1648.694
2010-08-04,1944.50,1966.00,1925.50,1961.50,1697400,1693.148
2010-08-03,1981.00,1982.50,1955.00,1970.00,2665500,1671.584
2010-08-02,1936.50,1982.00,1931.50,1977.00,1949100,1677.523
2010-07-30,1913.00,1944.50,1903.00,1934.00,3502000,1641.037
2010-07-29,1912.00,1938.00,1912.00,1926.50,2127400,1634.673
2010-07-28,1953.00,1957.00,1907.50,1911.00,1962000,1621.521
2010-07-27,1966.00,1970.00,1939.00,1944.00,2060800,1649.522
2010-07-26,1973.50,1977.00,1957.00,1967.50,2151000,1669.462
2010-07-23,1952.50,1966.00,1941.50,1963.50,2310100,1666.068
2010-07-22,1900.00,1960.50,1889.00,1957.00,3552800,1660.553
2010-07-21,1889.00,1911.50,1881.00,1902.00,4366600,1613.884
2010-07-20,1913.00,1915.50,1857.50,1878.00,3759600,1593.52
2010-07-19,1925.50,1932.50,1900.00,1914.50,1572600,1624.491
2010-07-16,1928.00,1960.50,1918.00,1921.50,2486000,1630.43
2010-07-15,1953.00,1960.00,1918.00,1925.50,1951600,1633.824
2010-07-14,1966.00,1974.00,1932.00,1950.00,1711600,1654.613
2010-07-13,1951.50,1969.00,1946.00,1959.00,1647200,1662.25
2010-07-12,1926.00,1948.00,1917.50,1944.50,1764400,1649.946
2010-07-09,1955.00,1955.00,1919.00,1923.00,3184000,1631.703
2010-07-08,1910.00,1948.00,1904.50,1946.50,2053400,1651.643
2010-07-07,1865.00,1894.00,1851.50,1893.00,1805900,1606.248
2010-07-06,1831.50,1875.00,1831.00,1875.00,1727300,1590.974
2010-07-05,1833.50,1849.50,1827.50,1827.50,1314900,1550.67
2010-07-02,1836.00,1846.50,1810.00,1831.50,2820900,1554.064
2010-07-01,1864.50,1870.50,1821.50,1827.00,2982200,1550.245
2010-06-30,1906.00,1914.00,1878.50,1889.00,4638200,1602.853
2010-06-29,1959.50,1964.00,1910.00,1910.50,2764300,1621.097
2010-06-28,1967.00,1981.00,1959.00,1972.00,2474200,1673.281
2010-06-25,1969.50,1982.00,1958.00,1961.50,1718200,1664.371
2010-06-24,1989.00,1989.00,1948.00,1960.00,2188100,1663.098
2010-06-23,2002.50,2008.00,1966.50,1970.00,2046600,1671.584
2010-06-22,1996.00,2015.50,1996.00,2012.00,1543100,1707.221
2010-06-21,2021.00,2030.00,2014.00,2020.50,1695900,1714.434
2010-06-18,2009.00,2026.00,1997.00,1999.00,2981900,1696.191
2010-06-17,1998.00,2020.00,1995.00,2009.00,1585600,1704.676
2010-06-16,1996.00,2003.00,1972.00,2001.00,1252000,1697.888
2010-06-15,1961.00,1998.00,1961.00,1980.00,1908800,1680.069
2010-06-14,1941.00,1984.00,1940.00,1982.00,1539100,1681.766
2010-06-11,1963.00,1963.00,1917.00,1930.00,2260300,1637.643
2010-06-10,1906.00,1965.00,1906.00,1955.00,2445600,1658.856
2010-06-09,1891.00,1929.00,1880.00,1927.00,1424200,1635.097
2010-06-08,1890.00,1900.00,1865.00,1883.00,1851800,1597.762
2010-06-07,1882.00,1908.00,1880.00,1890.00,1943100,1603.702
2010-06-04,1950.00,1967.00,1905.00,1915.00,3229500,1624.915
2010-06-03,1974.00,1988.00,1941.00,1945.00,2651900,1650.371
2010-06-02,1935.00,1953.00,1928.00,1949.00,2417600,1653.765
