Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,381.90,385.10,376.30,376.30,972900,284.35
2010-12-30,381.70,385.40,380.10,380.10,1331900,287.221
2010-12-29,384.80,386.60,382.10,383.30,2597300,289.639
2010-12-27,382.80,382.80,382.80,382.80,000,289.261
2010-12-24,381.50,382.80,377.40,382.80,745900,289.261
2010-12-23,378.80,381.70,378.40,381.70,1406000,288.43
2010-12-22,376.50,378.20,374.70,377.00,1572900,284.879
2010-12-21,374.50,376.10,373.40,376.10,1903000,284.199
2010-12-20,374.30,375.30,371.10,373.20,2368600,282.007
2010-12-17,378.00,380.80,372.10,372.10,5188100,281.176
2010-12-16,378.30,378.30,378.30,378.30,2655800,285.861
2010-12-15,377.70,378.20,372.30,376.20,3145700,284.274
2010-12-14,377.40,378.80,375.30,377.30,3406300,285.105
2010-12-13,376.40,380.20,374.90,376.00,503100,284.123
2010-12-10,375.40,377.30,372.30,374.60,2507500,283.065
2010-12-09,375.30,375.30,370.10,373.80,3656700,282.461
2010-12-08,371.20,376.70,370.80,372.30,5573300,281.327
2010-12-07,359.30,377.20,358.00,372.80,11170700,281.705
2010-12-06,363.60,363.60,357.10,357.50,2463700,270.144
2010-12-03,363.00,364.40,357.60,362.00,4323000,273.544
2010-12-02,357.20,363.80,354.90,363.80,7051200,274.904
2010-12-01,358.20,359.10,351.60,355.70,5265700,268.783
2010-11-30,360.30,361.80,355.00,355.70,4153700,268.783
2010-11-29,367.10,368.20,360.00,360.00,2905600,272.033
2010-11-26,364.50,368.10,362.50,367.10,2227800,277.398
2010-11-25,358.80,366.60,356.70,365.30,4745500,276.038
2010-11-24,358.10,359.40,355.40,358.10,2894900,270.597
2010-11-23,361.20,361.80,356.40,356.40,3667900,269.312
2010-11-22,369.40,369.40,360.70,361.80,3325600,273.393
2010-11-19,373.50,373.50,363.60,366.80,5589400,277.171
2010-11-18,370.70,372.60,369.10,372.60,3284700,281.554
2010-11-17,370.40,370.80,365.90,367.70,3068200,277.851
2010-11-16,378.90,379.30,373.70,373.70,4191000,278.775
2010-11-15,373.30,381.20,373.30,379.00,4488000,282.728
2010-11-12,369.10,376.10,367.60,375.00,3690300,279.745
2010-11-11,372.60,374.10,370.50,370.80,5092700,276.611
2010-11-10,377.60,377.60,368.10,373.20,10387900,278.402
2010-11-09,380.00,385.40,376.60,377.20,8035400,281.386
2010-11-08,385.70,385.90,380.30,381.20,2781600,284.37
2010-11-05,383.90,384.90,379.10,384.10,5602800,286.533
2010-11-04,386.10,386.80,382.00,382.80,3698000,285.563
2010-11-03,390.20,390.60,383.80,384.20,3208700,286.608
2010-11-02,388.30,392.80,388.30,390.20,2843800,291.084
2010-11-01,390.30,391.90,387.50,389.20,2850800,290.338
2010-10-29,387.70,393.60,386.40,389.30,4499500,290.412
2010-10-28,385.00,392.20,382.30,387.40,4779800,288.995
2010-10-27,384.40,386.40,382.60,383.10,4287500,285.787
2010-10-26,388.50,389.90,384.60,386.40,2866000,288.249
2010-10-25,387.00,394.90,387.00,387.90,5496000,289.368
2010-10-22,385.30,385.90,381.80,384.50,2471200,286.831
2010-10-21,387.00,387.30,383.20,384.80,6022000,287.055
2010-10-20,382.70,387.80,381.00,386.80,3377400,288.547
2010-10-19,386.60,388.50,382.90,383.10,3762300,285.787
2010-10-18,383.80,386.20,381.90,385.80,4609000,287.801
2010-10-15,387.30,388.60,382.40,384.10,4593000,286.533
2010-10-14,390.10,390.80,384.90,385.30,4952100,287.428
2010-10-13,392.00,392.00,387.10,388.10,4050200,289.517
2010-10-12,387.00,390.00,384.60,389.40,5092700,290.487
2010-10-11,385.50,390.20,384.40,389.90,3683400,290.86
2010-10-08,387.50,387.70,381.80,384.10,2389300,286.533
2010-10-07,389.00,389.00,383.90,387.40,4569600,288.995
2010-10-06,392.00,394.00,382.30,387.10,7944400,288.771
2010-10-05,391.30,393.50,386.40,389.60,4938000,290.636
2010-10-04,389.00,391.70,384.70,389.30,2897900,290.412
2010-10-01,393.00,394.20,387.40,389.00,3738100,290.188
2010-09-30,395.10,397.00,389.50,390.70,5822400,291.457
2010-09-29,394.50,395.20,390.10,395.00,2811000,294.664
2010-09-28,390.60,393.80,386.60,393.00,3024300,293.172
2010-09-27,395.30,395.50,389.60,390.30,2518100,291.158
2010-09-24,389.50,395.60,387.30,395.00,2439000,294.664
2010-09-23,393.00,393.00,385.30,389.70,2409600,290.711
2010-09-22,394.00,394.00,389.00,390.50,3522600,291.307
2010-09-21,394.40,394.40,390.80,391.80,5158600,292.277
2010-09-20,387.30,394.10,383.40,394.10,4598000,293.993
2010-09-17,383.00,390.10,382.00,385.40,8352300,287.503
2010-09-16,381.00,381.00,375.80,378.80,3143600,282.579
2010-09-15,380.30,381.00,375.70,380.50,4095800,283.847
2010-09-14,382.00,383.50,379.20,379.80,4191300,283.325
2010-09-13,380.10,383.30,377.40,382.40,2441000,285.265
2010-09-10,379.50,381.60,376.80,377.30,3935400,281.46
2010-09-09,376.10,380.00,373.30,379.50,3706900,283.101
2010-09-08,367.90,376.80,367.90,376.00,3110800,280.491
2010-09-07,372.30,372.30,368.80,369.70,2425400,275.791
2010-09-06,370.30,373.10,369.10,371.80,2240300,277.357
2010-09-03,372.00,372.00,366.70,368.60,3656600,274.97
2010-09-02,368.90,371.60,367.80,370.30,3174100,276.238
2010-09-01,366.00,371.60,364.60,369.80,4125500,275.865
2010-08-31,359.20,365.70,358.20,365.20,4443100,272.434
2010-08-30,363.00,363.00,363.00,363.00,000,270.793
2010-08-27,358.00,363.70,355.60,363.00,4374900,270.793
2010-08-26,362.30,362.40,357.10,358.60,4163600,267.51
2010-08-25,363.40,363.40,357.20,360.50,6274600,268.928
2010-08-24,363.80,364.70,360.10,363.10,5779900,270.867
2010-08-23,356.70,368.40,354.90,366.50,6104900,273.404
2010-08-20,356.10,358.50,354.50,355.80,3075300,265.422
2010-08-19,356.90,360.70,354.40,356.90,5717800,266.242
2010-08-18,355.70,357.00,352.50,355.20,2582400,264.974
2010-08-17,348.90,355.90,347.50,355.10,2997300,264.899
2010-08-16,348.30,348.80,344.80,348.00,2041200,259.603
2010-08-13,349.30,349.90,346.40,347.70,1848700,259.379
2010-08-12,349.50,352.20,347.20,348.50,2150300,259.976
2010-08-11,352.10,352.70,348.20,349.30,3133500,260.573
2010-08-10,353.60,354.60,350.10,353.00,2497300,263.333
2010-08-09,350.90,354.60,348.20,354.30,2646800,264.303
2010-08-06,352.40,352.50,346.10,347.00,3127900,258.857
2010-08-05,350.80,352.40,349.10,350.80,3016800,261.692
2010-08-04,351.00,352.50,347.80,351.20,3140100,261.99
2010-08-03,348.20,352.30,347.20,352.30,3531300,262.811
2010-08-02,345.30,350.80,343.60,348.80,3570300,260.20
2010-07-30,343.40,347.30,342.30,343.60,3712100,256.321
2010-07-29,346.40,348.10,343.30,345.20,2743900,257.514
2010-07-28,348.40,348.40,344.80,345.70,3573700,257.887
2010-07-27,347.90,350.00,344.90,346.50,3386200,258.484
2010-07-26,346.60,347.80,344.00,347.80,3848000,259.454
