Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,1476.00,1478.00,1458.00,1458.00,26900,1199.585
2010-12-30,1477.00,1485.00,1471.00,1472.00,30700,1211.103
2010-12-29,1779.00,1779.00,1779.00,1779.00,000,1463.691
2010-12-27,1779.00,1779.00,1779.00,1779.00,000,1463.691
2010-12-24,1779.00,1779.00,1779.00,1779.00,000,1463.691
2010-12-23,1779.00,1779.00,1779.00,1779.00,000,1463.691
2010-12-22,1779.00,1779.00,1779.00,1779.00,000,1463.691
2010-12-21,1779.00,1779.00,1779.00,1779.00,000,1463.691
2010-12-20,1779.00,1779.00,1779.00,1779.00,000,1463.691
2010-12-17,1779.00,1779.00,1779.00,1779.00,000,1463.691
2010-12-16,1779.00,1779.00,1779.00,1779.00,000,1463.691
2010-12-15,1779.00,1779.00,1779.00,1779.00,000,1463.691
2010-12-14,1779.00,1779.00,1779.00,1779.00,000,1463.691
2010-12-13,1779.00,1779.00,1779.00,1779.00,000,1463.691
2010-12-10,1779.00,1779.00,1779.00,1779.00,000,1463.691
2010-12-09,1777.00,1777.00,1777.00,1777.00,000,1462.045
2010-12-08,1768.00,1768.00,1768.00,1768.00,000,1454.64
2010-12-07,1757.00,1757.00,1757.00,1757.00,000,1445.59
2010-12-06,1748.00,1748.00,1748.00,1748.00,000,1438.185
2010-12-03,1745.00,1745.00,1745.00,1745.00,000,1435.717
2010-12-02,1712.00,1712.00,1712.00,1712.00,000,1408.566
2010-12-01,1658.00,1658.00,1658.00,1658.00,000,1364.137
2010-11-30,1596.00,1596.00,1596.00,1596.00,000,1313.126
2010-11-29,1630.00,1630.00,1630.00,1630.00,000,1341.099
2010-11-26,1676.00,1676.00,1676.00,1676.00,000,1378.946
2010-11-25,1668.00,1668.00,1668.00,1668.00,000,1372.364
2010-11-24,1636.00,1636.00,1636.00,1636.00,000,1346.036
2010-11-23,1578.00,1578.00,1578.00,1578.00,000,1298.316
2010-11-22,1589.00,1589.00,1589.00,1589.00,000,1307.366
2010-11-19,1601.00,1601.00,1601.00,1601.00,000,1317.239
2010-11-18,1602.00,1602.00,1602.00,1602.00,000,1318.062
2010-11-17,1578.00,1578.00,1578.00,1578.00,000,1298.316
2010-11-16,1577.00,1577.00,1577.00,1577.00,000,1297.493
2010-11-15,1619.00,1619.00,1619.00,1619.00,000,1332.049
2010-11-12,1617.00,1617.00,1617.00,1617.00,000,1330.403
2010-11-11,1630.00,1630.00,1630.00,1630.00,000,1341.099
2010-11-10,1633.00,1633.00,1633.00,1633.00,000,1343.568
2010-11-09,1667.00,1667.00,1667.00,1667.00,000,1371.541
2010-11-08,1580.00,1580.00,1580.00,1580.00,000,1299.961
2010-11-05,1602.00,1602.00,1602.00,1602.00,000,1318.062
2010-11-04,1595.00,1595.00,1595.00,1595.00,000,1312.303
2010-11-03,1569.00,1569.00,1569.00,1569.00,000,1290.911
2010-11-02,1572.00,1572.00,1572.00,1572.00,000,1293.379
2010-11-01,1577.00,1577.00,1577.00,1577.00,000,1297.493
2010-10-29,1579.00,1579.00,1579.00,1579.00,000,1299.139
2010-10-28,1595.00,1595.00,1595.00,1595.00,000,1312.303
2010-10-27,1525.00,1525.00,1525.00,1525.00,000,1254.71
2010-10-26,1507.00,1507.00,1507.00,1507.00,000,1239.90
2010-10-25,1518.00,1518.00,1518.00,1518.00,000,1248.95
2010-10-22,1512.00,1512.00,1512.00,1512.00,000,1244.014
2010-10-21,1521.00,1521.00,1521.00,1521.00,000,1251.418
2010-10-20,1493.00,1493.00,1493.00,1493.00,000,1228.381
2010-10-19,1482.00,1482.00,1482.00,1482.00,000,1219.331
2010-10-18,1491.00,1491.00,1491.00,1491.00,000,1226.736
2010-10-15,1480.00,1480.00,1480.00,1480.00,000,1217.685
2010-10-14,1480.00,1480.00,1480.00,1480.00,000,1217.685
2010-10-13,1487.00,1487.00,1487.00,1487.00,000,1223.445
2010-10-12,1479.00,1479.00,1479.00,1479.00,000,1216.863
2010-10-11,1488.00,1488.00,1488.00,1488.00,000,1224.267
2010-10-08,1456.00,1456.00,1456.00,1456.00,000,1197.939
2010-10-07,1462.00,1462.00,1462.00,1462.00,000,1202.876
2010-10-06,1450.00,1450.00,1450.00,1450.00,000,1193.002
2010-10-05,1443.00,1443.00,1443.00,1443.00,000,1187.243
2010-10-04,1445.00,1445.00,1445.00,1445.00,000,1188.889
2010-10-01,1446.00,1446.00,1446.00,1446.00,000,1189.711
2010-09-30,1438.00,1438.00,1438.00,1438.00,000,1183.129
2010-09-29,1437.00,1437.00,1437.00,1437.00,000,1182.307
2010-09-28,1446.00,1446.00,1446.00,1446.00,000,1189.711
2010-09-27,1436.00,1436.00,1436.00,1436.00,000,1181.484
2010-09-24,1440.00,1440.00,1440.00,1440.00,000,1184.775
2010-09-23,1396.00,1396.00,1396.00,1396.00,000,1148.573
2010-09-22,1373.00,1373.00,1373.00,1373.00,000,1129.65
2010-09-21,1391.00,1391.00,1391.00,1391.00,000,1144.46
2010-09-20,1404.00,1404.00,1404.00,1404.00,000,1155.156
2010-09-17,1403.00,1403.00,1403.00,1403.00,000,1154.333
2010-09-16,1415.00,1415.00,1415.00,1415.00,000,1164.206
2010-09-15,1428.00,1428.00,1428.00,1428.00,000,1174.902
2010-09-14,1426.00,1426.00,1426.00,1426.00,000,1173.256
2010-09-13,1438.00,1438.00,1438.00,1438.00,000,1183.129
2010-09-10,1421.00,1421.00,1421.00,1421.00,000,1169.142
2010-09-09,1401.00,1401.00,1401.00,1401.00,000,1152.687
2010-09-08,1385.00,1385.00,1385.00,1385.00,000,1139.523
2010-09-07,1381.00,1381.00,1381.00,1381.00,000,1136.232
2010-09-06,1395.00,1395.00,1395.00,1395.00,000,1147.751
2010-09-03,1391.00,1391.00,1391.00,1391.00,000,1144.46
2010-09-02,1400.00,1400.00,1400.00,1400.00,000,1151.864
2010-09-01,1384.00,1384.00,1384.00,1384.00,000,1138.70
2010-08-31,1373.00,1373.00,1373.00,1373.00,000,1129.65
2010-08-30,1372.00,1372.00,1372.00,1372.00,000,1128.827
2010-08-27,1372.00,1372.00,1372.00,1372.00,000,1128.827
2010-08-26,1355.00,1355.00,1355.00,1355.00,000,1114.84
2010-08-25,1330.00,1330.00,1330.00,1330.00,000,1094.271
2010-08-24,1368.00,1368.00,1368.00,1368.00,000,1125.536
2010-08-23,1395.00,1395.00,1395.00,1395.00,000,1147.751
2010-08-20,1376.00,1376.00,1376.00,1376.00,000,1132.118
2010-08-19,1376.00,1376.00,1376.00,1376.00,000,1132.118
2010-08-18,1397.00,1397.00,1397.00,1397.00,000,1149.396
2010-08-17,1423.00,1423.00,1423.00,1423.00,000,1170.788
2010-08-16,1371.00,1371.00,1371.00,1371.00,000,1128.004
2010-08-13,1367.00,1367.00,1367.00,1367.00,000,1124.713
2010-08-12,1330.00,1330.00,1330.00,1330.00,000,1094.271
2010-08-11,1345.00,1345.00,1345.00,1345.00,000,1106.613
2010-08-10,1402.00,1402.00,1402.00,1402.00,000,1144.46
2010-08-09,1429.00,1429.00,1429.00,1429.00,000,1166.50
2010-08-06,1371.00,1371.00,1371.00,1371.00,000,1119.154
2010-08-05,1385.00,1385.00,1385.00,1385.00,000,1130.582
2010-08-04,1338.00,1338.00,1338.00,1338.00,000,1092.216
2010-08-03,1331.00,1331.00,1331.00,1331.00,000,1086.502
2010-08-02,1334.00,1334.00,1334.00,1334.00,000,1088.951
2010-07-30,1288.00,1288.00,1288.00,1288.00,000,1051.401
2010-07-29,1286.00,1286.00,1286.00,1286.00,000,1049.768
2010-07-28,1277.00,1277.00,1277.00,1277.00,000,1042.422
2010-07-27,1275.00,1275.00,1275.00,1275.00,000,1040.789
2010-07-26,1246.00,1246.00,1246.00,1246.00,000,1017.116
2010-07-23,1243.00,1243.00,1243.00,1243.00,000,1014.667
