Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,1878.00,1879.00,1855.00,1855.00,70800,1592.673
2010-12-30,1870.00,1887.00,1865.00,1875.00,137500,1609.845
2010-12-29,1903.00,1903.00,1874.00,1878.00,190100,1612.42
2010-12-27,1900.00,1900.00,1900.00,1900.00,000,1631.309
2010-12-24,1875.00,1900.00,1874.00,1900.00,20700,1631.309
2010-12-23,1885.00,1895.00,1868.00,1874.00,273300,1608.986
2010-12-22,1827.00,1886.00,1813.00,1884.00,378500,1617.572
2010-12-21,1847.00,1849.00,1820.00,1828.00,217700,1569.491
2010-12-20,1778.00,1841.00,1773.00,1831.00,265200,1572.067
2010-12-17,1767.00,1783.00,1761.00,1783.00,497700,1530.855
2010-12-16,1766.00,1766.00,1766.00,1766.00,464200,1516.259
2010-12-15,1779.00,1790.00,1771.00,1782.00,338900,1529.996
2010-12-14,1785.00,1804.00,1785.00,1788.00,345600,1535.148
2010-12-13,1792.00,1805.00,1782.00,1791.00,18200,1537.724
2010-12-10,1776.00,1784.00,1767.00,1779.00,169100,1527.421
2010-12-09,1785.00,1812.00,1771.00,1777.00,323900,1525.703
2010-12-08,1754.00,1773.00,1747.00,1768.00,230400,1517.976
2010-12-07,1745.00,1760.00,1736.00,1757.00,312900,1508.532
2010-12-06,1745.00,1748.00,1721.00,1748.00,292300,1500.804
2010-12-03,1715.00,1750.00,1705.00,1745.00,583300,1498.229
2010-12-02,1656.00,1714.00,1656.00,1712.00,477000,1469.895
2010-12-01,1601.00,1658.00,1601.00,1658.00,527100,1423.532
2010-11-30,1635.00,1640.00,1596.00,1596.00,524900,1370.30
2010-11-29,1682.00,1688.00,1630.00,1630.00,504400,1399.492
2010-11-26,1659.00,1685.00,1658.00,1676.00,334600,1438.986
2010-11-25,1633.00,1670.00,1632.00,1668.00,243100,1432.118
2010-11-24,1579.00,1643.00,1577.00,1636.00,398000,1404.643
2010-11-23,1598.00,1609.00,1571.00,1578.00,355100,1354.845
2010-11-22,1613.00,1623.00,1578.00,1589.00,196900,1364.29
2010-11-19,1601.00,1605.00,1587.00,1601.00,251200,1374.593
2010-11-18,1593.00,1607.00,1583.00,1602.00,202900,1375.451
2010-11-17,1575.00,1588.00,1554.00,1578.00,424000,1354.845
2010-11-16,1617.00,1617.00,1571.00,1577.00,331700,1353.987
