Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,273.60,275.30,268.80,273.40,1005700,242.133
2010-12-30,274.60,274.90,273.10,273.50,1015700,242.221
2010-12-29,274.00,276.399,273.50,274.50,1164000,243.107
2010-12-27,274.00,274.00,274.00,274.00,000,242.664
2010-12-24,273.00,277.10,273.00,274.00,297200,242.664
2010-12-23,275.80,276.70,273.00,275.00,1311800,243.55
2010-12-22,274.00,276.399,272.50,275.70,1783500,244.17
2010-12-21,275.899,278.10,274.50,274.70,2159500,243.284
2010-12-20,277.00,277.00,273.10,275.00,2839500,243.55
2010-12-17,280.00,280.30,270.00,275.80,6701400,244.258
2010-12-16,279.40,279.40,279.40,279.40,2847600,247.446
2010-12-15,283.50,283.90,277.50,279.00,4092000,247.093
2010-12-14,282.00,284.70,282.00,283.20,1924700,250.812
2010-12-13,283.099,284.00,281.00,282.90,2109100,250.546
2010-12-10,284.00,284.00,280.40,281.90,3072300,249.66
2010-12-09,284.50,284.90,281.40,282.20,2218400,249.926
2010-12-08,286.00,286.00,280.80,281.40,3455000,249.218
2010-12-07,280.20,285.60,279.00,285.60,4419800,252.937
2010-12-06,280.50,280.50,275.80,279.30,2897300,247.358
2010-12-03,289.90,289.90,279.80,279.80,4569900,247.801
2010-12-02,273.10,291.10,271.40,289.00,8704900,255.949
2010-12-01,265.90,274.50,263.70,271.00,5631500,240.007
2010-11-30,258.80,261.10,255.10,257.30,5347500,227.874
2010-11-29,260.60,261.60,257.40,258.20,3025700,228.671
2010-11-26,257.00,260.30,254.70,259.80,1199900,230.088
2010-11-25,259.40,259.40,256.10,257.60,1516300,228.14
2010-11-24,253.00,263.60,252.299,258.90,3277800,229.291
2010-11-23,259.50,259.60,253.90,253.90,2594600,224.863
2010-11-22,263.50,264.20,259.30,259.999,2808300,230.265
2010-11-19,264.50,265.80,258.90,261.00,4791700,231.15
2010-11-18,264.40,269.80,264.099,269.20,2127500,238.413
2010-11-17,262.00,264.50,261.50,263.50,2178000,233.365
2010-11-16,265.30,265.30,262.50,263.00,2596700,232.922
2010-11-15,263.00,268.00,262.50,265.20,4565200,234.871
2010-11-12,262.50,265.00,259.00,264.00,2178100,233.807
2010-11-11,272.299,272.40,264.90,264.90,2497900,234.605
2010-11-10,271.00,272.80,269.40,272.299,2645800,241.158
2010-11-09,269.00,272.40,269.00,270.80,1371300,239.83
2010-11-08,267.30,270.70,267.30,269.80,2275900,238.945
2010-11-05,268.10,268.80,265.80,267.699,2319500,237.084
2010-11-04,268.699,270.40,265.40,267.60,3658600,236.996
2010-11-03,274.40,274.70,266.30,267.30,3225300,236.731
2010-11-02,268.80,276.60,268.30,275.30,2680100,243.815
2010-11-01,269.80,272.50,269.20,270.10,2687100,239.21
2010-10-29,269.70,273.20,269.20,269.40,3470000,238.59
2010-10-28,269.90,275.899,269.10,271.00,2112700,240.007
2010-10-27,271.00,272.70,269.00,269.40,4939300,238.59
2010-10-26,275.20,275.20,270.30,272.40,6644900,241.247
2010-10-25,276.30,276.30,273.80,274.80,2816300,243.372
2010-10-22,270.80,275.60,270.80,275.00,3608000,243.55
2010-10-21,269.80,272.70,269.50,272.00,3937700,240.893
2010-10-20,269.20,271.30,268.699,270.80,1226300,239.83
2010-10-19,271.10,274.90,270.20,271.30,2197300,240.273
2010-10-18,267.80,273.70,267.80,273.00,1577300,241.779
2010-10-15,277.40,277.40,268.80,270.30,3321400,239.388
2010-10-14,280.20,280.30,275.00,275.50,2390200,243.993
2010-10-13,273.90,277.20,272.90,276.30,1790100,244.701
2010-10-12,267.40,273.40,265.60,271.60,4219500,240.538
2010-10-11,270.30,270.80,268.10,269.70,2754500,238.855
2010-10-08,278.50,279.70,267.30,269.60,4793600,238.767
2010-10-07,280.40,282.70,279.00,282.50,3712100,250.192
2010-10-06,286.80,286.80,278.90,281.50,2590100,249.306
2010-10-05,282.50,285.10,279.70,285.10,2357000,252.494
2010-10-04,280.80,283.00,279.30,281.60,2731600,249.395
2010-10-01,277.40,281.50,274.80,281.30,3944400,249.129
2010-09-30,275.50,279.30,274.10,276.30,4755700,244.701
2010-09-29,281.40,283.90,273.50,276.10,6923100,244.524
2010-09-28,267.90,281.00,263.90,280.00,15726800,247.977
2010-09-27,259.999,268.30,257.90,266.30,6193800,235.845
2010-09-24,256.70,259.60,255.50,258.20,2303200,228.671
2010-09-23,254.80,256.70,251.30,256.70,2478500,227.342
2010-09-22,255.00,255.50,251.80,252.50,2044700,223.623
2010-09-21,259.50,260.60,255.80,255.80,1754700,226.545
2010-09-20,255.00,259.60,254.00,259.30,2737700,229.645
2010-09-17,257.00,262.20,255.20,255.20,4718000,226.014
