Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,1560.00,1573.00,1543.00,1543.00,382700,1504.933
2010-12-30,1542.00,1561.00,1541.00,1559.00,866100,1520.538
2010-12-29,1541.00,1558.00,1533.00,1542.00,679900,1503.957
2010-12-27,1533.00,1533.00,1533.00,1533.00,000,1495.179
2010-12-24,1542.00,1542.00,1522.00,1533.00,68800,1495.179
2010-12-23,1535.00,1536.00,1517.00,1527.00,527200,1489.327
2010-12-22,1510.00,1529.00,1507.00,1527.00,800900,1489.327
2010-12-21,1520.00,1531.00,1514.00,1517.00,572600,1479.574
2010-12-20,1537.00,1537.00,1512.00,1516.00,649400,1478.599
2010-12-17,1527.00,1540.00,1518.00,1530.00,2354300,1492.253
2010-12-16,1527.00,1527.00,1527.00,1527.00,1586600,1489.327
2010-12-15,1482.00,1513.00,1482.00,1513.00,1276200,1475.673
2010-12-14,1483.00,1492.00,1476.00,1488.00,1365300,1451.289
2010-12-13,1488.00,1492.00,1469.00,1487.00,1601800,1450.314
2010-12-10,1483.00,1494.00,1475.00,1481.00,983500,1444.462
2010-12-09,1492.00,1499.00,1481.00,1484.00,1867700,1447.388
2010-12-08,1497.00,1511.00,1483.00,1487.00,1778300,1450.314
2010-12-07,1491.00,1508.00,1480.00,1503.00,2416400,1465.919
2010-12-06,1504.00,1504.00,1477.00,1488.00,1014100,1451.289
2010-12-03,1516.00,1522.00,1491.00,1505.00,889400,1467.87
2010-12-02,1506.00,1516.00,1480.00,1514.00,1428400,1476.648
2010-12-01,1510.00,1516.00,1489.00,1497.00,3295900,1460.067
2010-11-30,1523.00,1545.00,1503.00,1503.00,1604400,1465.919
2010-11-29,1559.00,1565.00,1522.00,1522.00,1676000,1484.451
2010-11-26,1547.00,1574.00,1541.00,1567.00,739900,1528.34
2010-11-25,1550.00,1562.00,1544.00,1554.00,734800,1515.661
2010-11-24,1539.00,1560.00,1528.00,1549.00,990700,1510.785
2010-11-23,1527.00,1541.00,1517.00,1531.00,1047800,1493.229
2010-11-22,1549.00,1552.00,1525.00,1533.00,633700,1495.179
2010-11-19,1544.00,1547.00,1528.00,1541.00,1069800,1502.982
2010-11-18,1516.00,1545.00,1515.00,1543.00,1766200,1504.933
2010-11-17,1511.00,1518.00,1506.00,1513.00,836300,1475.673
2010-11-16,1518.00,1519.00,1506.00,1510.00,1091500,1472.747
2010-11-15,1510.00,1534.00,1510.00,1520.00,1193800,1482.50
2010-11-12,1499.00,1519.00,1494.00,1516.00,1255400,1478.599
2010-11-11,1494.00,1506.00,1491.00,1505.00,981600,1467.87
2010-11-10,1484.00,1502.00,1480.00,1496.00,1315300,1459.092
2010-11-09,1497.00,1498.00,1483.00,1486.00,1355000,1449.339
2010-11-08,1509.00,1514.00,1496.00,1497.00,1120800,1460.067
2010-11-05,1496.00,1526.00,1486.00,1508.00,1653400,1470.796
2010-11-04,1502.00,1505.00,1492.00,1496.00,1424500,1459.092
2010-11-03,1498.00,1498.00,1481.00,1491.00,1469900,1454.215
2010-11-02,1480.00,1518.00,1473.00,1491.00,2089200,1454.215
2010-11-01,1468.00,1492.00,1460.00,1480.00,2626400,1443.487
2010-10-29,1458.00,1507.00,1434.00,1471.00,3222200,1434.709
2010-10-28,1465.00,1471.00,1454.00,1459.00,2167200,1423.005
2010-10-27,1451.00,1464.00,1446.00,1458.00,1490000,1422.03
2010-10-26,1477.00,1477.00,1451.00,1454.00,1061200,1418.128
2010-10-25,1485.00,1490.00,1473.00,1478.00,1169800,1441.536
2010-10-22,1485.00,1491.00,1475.00,1482.00,1331700,1445.437
2010-10-21,1501.00,1514.00,1489.00,1489.00,2307800,1452.265
2010-10-20,1488.00,1513.00,1485.00,1513.00,1072000,1475.673
2010-10-19,1490.00,1495.00,1477.00,1493.00,1403900,1456.166
2010-10-18,1494.00,1508.00,1488.00,1501.00,1324500,1463.969
2010-10-15,1495.00,1505.00,1482.00,1500.00,3150600,1462.993
2010-10-14,1484.00,1486.00,1473.00,1484.00,1560100,1447.388
2010-10-13,1465.00,1487.00,1442.00,1482.00,2439500,1445.437
2010-10-12,1432.00,1453.00,1416.00,1448.00,1424900,1412.276
2010-10-11,1434.00,1446.00,1428.00,1437.00,795800,1401.548
2010-10-08,1422.00,1441.00,1412.00,1438.00,2531700,1402.523
2010-10-07,1426.00,1433.00,1412.00,1420.00,2088300,1384.967
2010-10-06,1433.00,1433.00,1414.00,1425.00,1780200,1389.844
2010-10-05,1407.00,1426.00,1396.00,1422.00,3671700,1386.918
2010-10-04,1421.00,1422.00,1393.00,1405.00,2342100,1370.337
2010-10-01,1425.00,1438.00,1411.00,1420.00,2537900,1384.967
2010-09-30,1440.00,1456.00,1434.00,1434.00,2089700,1398.622
2010-09-29,1473.00,1483.00,1453.00,1459.00,1423300,1423.005
2010-09-28,1455.00,1479.00,1446.00,1477.00,2434900,1440.561
2010-09-27,1473.00,1482.00,1455.00,1458.00,1392400,1422.03
2010-09-24,1457.00,1476.00,1452.00,1472.00,1357600,1435.684
2010-09-23,1477.00,1479.00,1446.00,1462.00,1546200,1425.931
2010-09-22,1496.00,1515.00,1471.00,1473.00,1474300,1436.66
2010-09-21,1493.00,1502.00,1484.00,1492.00,823100,1455.191
2010-09-20,1474.00,1492.00,1464.00,1492.00,1135300,1455.191
2010-09-17,1505.00,1515.00,1467.00,1468.00,2642200,1431.783
2010-09-16,1522.00,1532.00,1509.00,1513.00,1440500,1475.673
2010-09-15,1512.00,1522.00,1495.00,1521.00,1232800,1483.475
2010-09-14,1510.00,1514.00,1499.00,1508.00,693100,1470.796
2010-09-13,1505.00,1517.00,1496.00,1509.00,1094400,1471.771
2010-09-10,1475.00,1504.00,1468.00,1499.00,1160900,1462.018
2010-09-09,1446.00,1475.00,1445.00,1475.00,1250100,1438.61
2010-09-08,1447.00,1462.00,1439.00,1451.00,865100,1415.202
2010-09-07,1463.00,1465.00,1447.00,1451.00,474300,1414.102
2010-09-06,1455.00,1464.00,1446.00,1459.00,431100,1421.899
2010-09-03,1452.00,1458.00,1442.00,1451.00,1028400,1414.102
2010-09-02,1432.00,1447.00,1422.00,1447.00,1213400,1410.204
2010-09-01,1411.00,1437.00,1410.00,1437.00,1505100,1400.458
2010-08-31,1390.00,1407.00,1383.00,1406.00,1640700,1370.246
2010-08-30,1402.00,1402.00,1402.00,1402.00,000,1366.348
2010-08-27,1379.00,1404.00,1377.00,1402.00,1449000,1366.348
2010-08-26,1411.00,1425.00,1370.00,1376.00,1948100,1341.009
2010-08-25,1414.00,1414.00,1383.00,1387.00,2074900,1351.73
2010-08-24,1430.00,1432.00,1410.00,1418.00,1233800,1381.941
2010-08-23,1425.00,1434.00,1417.00,1433.00,893900,1396.56
2010-08-20,1436.00,1436.00,1416.00,1422.00,1441400,1385.84
2010-08-19,1465.00,1465.00,1429.00,1432.00,1716300,1395.585
2010-08-18,1483.00,1483.00,1456.00,1458.00,1156600,1420.924
2010-08-17,1477.00,1488.00,1470.00,1476.00,845400,1438.466
2010-08-16,1483.00,1483.00,1463.00,1478.00,758200,1440.415
