Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,736.50,738.50,735.50,736.00,780600,593.078
2010-12-30,740.00,745.00,735.50,736.00,1197100,593.078
2010-12-29,747.00,750.00,739.00,740.50,1243400,596.704
2010-12-27,746.50,746.50,746.50,746.50,000,601.539
2010-12-24,754.00,754.00,744.50,746.50,465000,601.539
2010-12-23,745.50,745.50,742.00,742.00,1540800,597.913
2010-12-22,735.00,745.00,735.00,743.00,7191900,598.719
2010-12-21,733.00,737.50,717.50,728.50,10228400,587.034
2010-12-20,727.00,735.00,727.00,733.50,2547300,591.063
2010-12-17,732.00,733.00,725.50,728.00,3930800,586.632
2010-12-16,731.00,731.00,731.00,731.00,2059000,589.049
2010-12-15,730.00,733.50,725.00,732.50,4079000,590.258
2010-12-14,733.00,734.50,732.00,732.00,3121300,589.855
2010-12-13,735.00,737.00,734.00,735.00,656300,592.272
2010-12-10,738.50,739.00,733.50,735.00,1334300,592.272
2010-12-09,732.00,736.50,730.50,736.00,1265200,593.078
2010-12-08,727.50,733.00,727.50,730.50,1391300,588.646
2010-12-07,729.50,734.00,726.50,731.00,2245900,589.049
2010-12-06,727.00,730.00,726.00,729.50,1344800,587.84
2010-12-03,728.50,729.50,725.00,727.00,1435700,585.826
2010-12-02,722.00,729.50,722.00,729.00,3449300,587.437
2010-12-01,723.00,723.00,720.00,721.00,3452200,580.991
2010-11-30,719.50,723.00,719.00,720.50,2805100,580.588
2010-11-29,723.50,725.00,718.00,719.00,2894200,579.379
2010-11-26,719.00,723.00,719.00,720.50,1606500,580.588
2010-11-25,719.50,721.50,715.00,721.00,842500,580.991
2010-11-24,720.00,724.00,718.50,721.00,2472400,580.991
2010-11-23,723.50,724.50,718.50,720.00,3978700,580.185
2010-11-22,730.00,730.00,723.50,724.00,1193000,583.408
2010-11-19,728.00,728.00,721.50,726.00,1056400,585.02
2010-11-18,725.50,728.50,725.50,726.00,1228000,585.02
2010-11-17,723.50,726.00,721.00,724.00,2705000,583.408
2010-11-16,729.50,730.50,724.00,724.00,2121000,583.408
2010-11-15,725.50,731.00,725.50,729.00,1819700,587.437
2010-11-12,722.50,731.00,716.50,728.00,4781100,586.632
2010-11-11,728.00,729.00,724.50,726.50,1736600,585.423
2010-11-10,728.00,730.00,725.50,727.00,3606100,585.826
2010-11-09,726.00,732.00,725.50,728.00,2929300,586.632
2010-11-08,720.50,737.00,719.50,728.00,7239600,586.632
2010-11-05,711.50,720.00,710.50,720.00,2892400,580.185
2010-11-04,705.00,712.00,701.00,711.50,6499400,573.336
2010-11-03,711.00,711.50,705.00,706.00,1957100,568.904
2010-11-02,708.50,711.50,707.50,710.00,2824500,572.127
2010-11-01,708.50,710.00,706.00,709.00,3519400,571.321
2010-10-29,705.00,707.00,705.00,706.50,3566700,569.307
2010-10-28,706.50,708.00,705.00,706.00,3394900,568.904
2010-10-27,704.50,707.50,704.00,706.00,2666500,568.904
2010-10-26,704.50,707.50,703.00,705.50,3044000,568.501
2010-10-25,702.00,709.00,699.50,705.00,3041000,568.098
2010-10-22,702.00,705.00,699.50,701.50,5473600,565.277
2010-10-21,693.50,699.50,693.00,697.50,5804600,562.054
