Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,215.50,217.20,214.60,216.00,999200,204.744
2010-12-30,215.60,217.80,215.10,216.10,1069700,204.838
2010-12-29,216.40,217.50,215.20,216.20,1146400,204.933
2010-12-27,216.00,216.00,216.00,216.00,000,204.744
2010-12-24,216.80,216.80,215.10,216.00,234500,204.744
2010-12-23,216.60,217.50,215.70,216.70,764900,205.407
2010-12-22,214.40,216.40,212.60,215.50,2588800,204.27
2010-12-21,211.30,215.10,211.30,214.90,3433800,203.701
2010-12-20,210.90,212.50,209.40,210.30,1260900,199.34
2010-12-17,212.00,213.30,207.70,210.00,4735500,199.057
2010-12-16,210.40,210.40,210.40,210.40,1743300,199.436
2010-12-15,210.60,211.80,209.60,209.70,2765500,198.772
2010-12-14,210.90,213.30,210.30,212.50,2247600,201.426
2010-12-13,212.80,212.90,210.20,212.10,278000,201.047
2010-12-10,213.40,214.30,211.80,212.90,2417400,201.805
2010-12-09,210.80,214.10,209.10,212.70,3962700,201.616
2010-12-08,205.30,210.20,205.20,210.20,4359300,199.246
2010-12-07,205.30,210.00,204.00,205.90,5269500,195.17
2010-12-06,206.50,208.00,203.10,204.20,2764500,193.559
2010-12-03,208.90,208.90,205.00,206.00,2171000,195.265
2010-12-02,203.60,208.70,203.10,208.20,4234900,197.35
2010-12-01,202.60,206.50,202.60,203.30,5743100,192.706
2010-11-30,208.70,209.90,201.20,201.20,7099500,190.715
2010-11-29,214.80,218.80,206.70,209.00,4351900,198.108
2010-11-26,216.00,216.00,208.70,213.90,1958100,202.753
2010-11-25,216.20,217.10,213.40,216.40,2082400,205.123
2010-11-24,212.60,215.80,209.90,215.30,2865400,204.08
2010-11-23,215.70,217.10,212.60,212.60,2683000,201.52
2010-11-22,224.70,224.80,215.50,216.00,2712500,204.744
2010-11-19,224.60,225.50,220.10,222.90,1984700,211.284
2010-11-18,223.60,226.40,223.20,223.80,2536400,212.137
2010-11-17,219.80,224.80,219.60,222.00,2846700,210.431
2010-11-16,222.70,222.70,218.80,220.10,4364400,208.63
2010-11-15,225.20,226.40,223.00,225.90,2017000,214.128
2010-11-12,224.20,228.70,222.20,225.80,1664500,214.033
2010-11-11,231.30,231.30,224.40,225.40,1655900,213.654
2010-11-10,231.60,233.40,228.70,229.40,3220200,217.445
2010-11-09,232.60,234.20,231.00,232.70,2301500,220.573
2010-11-08,234.00,236.40,231.50,232.40,1753600,220.289
2010-11-05,231.50,235.10,230.80,233.90,3339100,221.711
2010-11-04,228.80,232.40,228.80,231.80,3368900,219.72
2010-11-03,229.70,232.70,226.80,227.20,3887900,215.36
2010-11-02,225.50,230.70,225.50,229.00,2864300,217.066
2010-11-01,228.20,230.30,225.70,226.20,2678200,214.412
2010-10-29,226.60,228.50,225.10,227.00,3473600,215.17
2010-10-28,226.10,229.00,224.40,226.90,3384100,215.075
2010-10-27,224.80,225.90,223.50,223.80,3363100,212.137
2010-10-26,224.70,226.70,220.80,226.30,3683500,214.507
2010-10-25,230.70,231.50,226.60,227.00,3162300,215.17
2010-10-22,230.60,231.70,228.40,229.50,1524500,217.54
2010-10-21,227.30,232.10,226.40,231.80,3455500,219.72
2010-10-20,231.10,231.10,226.10,228.00,1549900,216.118
2010-10-19,232.90,235.10,229.60,230.60,3334800,218.582
2010-10-18,226.70,233.00,226.30,232.20,2645100,220.099
2010-10-15,234.30,234.90,226.60,227.00,3709400,215.17
2010-10-14,236.90,238.00,233.80,234.60,2786900,222.374
2010-10-13,231.60,236.50,231.40,236.10,2730600,223.796
2010-10-12,230.50,231.70,228.80,231.00,2287900,218.962
2010-10-11,230.50,233.10,229.00,232.20,2739400,220.099
2010-10-08,229.90,231.20,226.50,229.90,3001300,217.919
2010-10-07,232.40,232.60,229.60,231.10,2440100,219.057
2010-10-06,229.10,232.20,228.50,232.00,2608800,219.91
2010-10-05,226.90,229.10,224.40,228.30,3458800,216.402
2010-10-04,230.50,230.50,226.50,227.60,2603300,215.739
2010-10-01,233.10,233.70,228.90,229.70,3944400,217.729
2010-09-30,232.00,234.60,229.20,231.20,4031600,219.152
2010-09-29,233.00,234.30,229.00,232.40,4235800,220.289
