Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,677.00,687.00,676.50,676.50,1030800,599.369
2010-12-30,680.50,682.50,677.00,679.50,897000,602.027
2010-12-29,680.00,681.00,648.00,677.00,1556900,599.812
2010-12-27,686.00,686.00,686.00,686.00,000,607.786
2010-12-24,683.00,686.00,676.50,686.00,244800,607.786
2010-12-23,668.00,683.50,668.00,673.00,1498300,596.268
2010-12-22,661.00,668.00,657.00,667.00,1527100,590.952
2010-12-21,659.00,663.00,657.50,661.00,1351600,585.636
2010-12-20,659.00,659.00,651.50,656.50,1741800,581.649
2010-12-17,657.50,657.50,648.50,655.50,2305000,580.763
2010-12-16,657.50,657.50,657.50,657.50,2871600,582.535
2010-12-15,650.50,659.00,643.00,654.50,3539500,579.877
2010-12-14,647.00,651.00,640.00,651.00,2183300,576.777
2010-12-13,650.00,652.00,640.50,645.50,124300,571.904
2010-12-10,636.50,651.00,630.50,650.50,4240200,576.334
2010-12-09,662.00,662.50,634.50,636.00,4421300,563.487
2010-12-08,618.00,672.00,615.50,662.00,11726900,586.522
2010-12-07,598.00,609.00,593.00,607.00,2433900,537.793
2010-12-06,597.00,597.50,591.50,596.00,1031800,528.047
2010-12-03,596.00,600.00,590.50,597.00,2007100,528.933
2010-12-02,594.00,598.50,589.00,598.00,2023500,529.819
2010-12-01,582.50,599.00,579.00,593.50,3189000,525.832
2010-11-30,588.00,591.00,581.50,582.50,3156100,516.087
2010-11-29,600.00,600.00,586.50,586.50,3085300,519.63
2010-11-26,582.50,598.00,579.50,594.50,1363100,526.718
2010-11-25,590.50,590.50,581.50,585.50,875600,518.744
2010-11-24,581.00,589.50,578.50,588.00,2386900,520.959
2010-11-23,583.00,590.00,579.00,581.00,1365800,514.758
2010-11-22,591.50,592.00,582.50,585.50,1041200,518.744
2010-11-19,594.50,596.50,586.50,587.00,1923400,520.073
2010-11-18,588.50,593.50,586.00,592.00,3997200,524.503
2010-11-17,582.00,588.50,578.50,587.50,1972500,520.516
2010-11-16,589.00,589.00,579.00,581.00,1944100,514.758
2010-11-15,595.00,595.00,587.50,589.50,1924800,522.288
2010-11-12,586.50,594.00,583.00,594.00,2193000,526.275
2010-11-11,595.50,596.50,586.00,588.50,1742100,521.402
2010-11-10,595.00,598.00,589.50,596.50,2643100,528.49
2010-11-09,586.50,597.00,584.50,594.00,3600600,526.275
2010-11-08,585.00,599.50,585.00,587.00,3013300,520.073
2010-11-05,580.00,601.50,577.00,587.50,8820300,520.516
2010-11-04,555.00,559.50,549.50,558.50,2666300,494.823
2010-11-03,554.00,556.00,550.50,552.50,1865300,489.507
2010-11-02,551.50,553.50,547.00,550.50,2168800,487.735
2010-11-01,551.50,555.50,547.00,550.00,1616500,487.292
2010-10-29,558.50,558.50,548.50,549.00,3803400,486.406
2010-10-28,576.00,580.50,558.50,560.00,5047000,496.152
2010-10-27,572.00,577.50,570.00,573.50,2593800,508.113
2010-10-26,578.00,578.50,572.50,575.00,1845300,509.442
2010-10-25,569.50,581.50,566.50,578.00,2517900,512.10
2010-10-22,563.50,567.50,561.00,566.50,1777200,501.911
2010-10-21,567.00,572.50,563.00,566.00,3302600,501.468
2010-10-20,560.00,574.50,554.50,568.00,6327000,503.24
2010-10-19,553.50,558.50,549.00,550.50,2964900,487.735
2010-10-18,545.00,560.00,542.50,554.00,2347700,490.836
2010-10-15,553.50,555.00,542.50,542.50,4674500,480.647
2010-10-14,554.00,559.00,550.00,550.50,5346000,487.735
2010-10-13,564.00,565.00,554.00,555.00,4722300,491.722
2010-10-12,567.00,572.00,564.00,569.00,2128900,500.75
2010-10-11,570.00,575.00,568.00,572.50,2262900,503.83
2010-10-08,578.00,580.00,570.00,571.50,3611800,502.95
2010-10-07,579.00,587.00,575.00,578.50,2239700,509.111
2010-10-06,579.50,579.50,575.50,577.00,6358200,507.791
2010-10-05,577.50,580.50,574.50,577.00,3442400,507.791
2010-10-04,581.00,585.00,578.00,579.50,1507500,509.991
2010-10-01,580.50,588.50,578.50,583.00,2448000,513.071
2010-09-30,570.00,586.50,570.00,580.50,3938600,510.871
2010-09-29,565.00,573.50,564.50,573.50,3308100,504.71
2010-09-28,570.00,570.00,561.00,564.50,2162200,496.79
2010-09-27,575.00,578.50,568.50,569.50,1402400,501.19
2010-09-24,566.50,578.00,566.50,576.50,1963300,507.351
2010-09-23,568.00,568.50,559.00,566.50,1389500,498.55
2010-09-22,573.50,573.50,557.50,565.50,2125300,497.67
2010-09-21,572.50,575.50,567.00,570.00,2291100,501.63
2010-09-20,564.50,575.00,560.00,572.50,2466900,503.83
2010-09-17,565.00,567.50,559.50,559.50,2807000,492.39
2010-09-16,569.00,569.00,558.50,562.00,1841800,494.59
2010-09-15,565.50,567.50,560.00,566.00,1606200,498.11
2010-09-14,559.00,565.50,558.50,564.50,2243100,496.79
2010-09-13,555.00,560.50,551.00,560.50,3940200,493.27
2010-09-10,547.00,558.50,547.00,557.50,4024400,490.63
2010-09-09,535.00,549.00,535.00,549.00,3315700,483.149
2010-09-08,541.00,542.00,534.50,537.50,2869900,473.028
2010-09-07,548.50,548.50,540.00,542.00,4252500,476.989
2010-09-06,555.00,557.00,545.50,548.00,3404200,482.269
2010-09-03,546.50,556.50,545.00,556.00,8355000,489.309
2010-09-02,544.50,545.00,539.50,544.00,5377900,478.749
2010-09-01,544.00,548.00,540.00,544.00,4170200,478.749
2010-08-31,532.50,542.00,532.00,542.00,3303200,476.989
2010-08-30,540.50,540.50,540.50,540.50,000,475.669
2010-08-27,540.00,543.00,535.50,540.50,3728700,475.669
2010-08-26,547.00,548.00,535.00,540.50,3382100,475.669
2010-08-25,550.00,550.50,542.00,545.00,3749600,479.629
2010-08-24,569.50,572.00,551.50,552.00,2968200,485.789
2010-08-23,572.00,576.50,569.00,572.50,982200,503.83
2010-08-20,570.50,574.00,565.00,571.00,2613600,502.51
2010-08-19,580.00,582.00,572.00,573.00,3642300,504.27
2010-08-18,577.50,579.00,572.50,577.50,2408200,508.231
2010-08-17,574.00,578.00,569.50,577.50,2298600,508.231
2010-08-16,574.50,575.50,565.50,572.50,2152800,503.83
2010-08-13,573.50,577.00,566.50,570.00,2326900,501.63
2010-08-12,573.00,574.50,568.00,571.50,3895500,502.95
2010-08-11,574.50,580.50,568.50,573.00,5783200,504.27
2010-08-10,571.00,575.00,564.50,574.50,2195000,505.59
2010-08-09,571.00,573.50,567.00,570.50,2251500,502.07
2010-08-06,574.50,575.50,561.00,566.50,3995100,498.55
2010-08-05,560.00,584.00,560.00,570.50,8113900,502.07
2010-08-04,561.00,564.00,556.00,560.00,2810500,492.83
2010-08-03,553.50,561.50,550.50,561.50,2822900,494.15
2010-08-02,556.50,566.50,554.50,566.50,6585900,498.55
2010-07-30,551.00,558.50,548.50,554.50,4890200,487.989
2010-07-29,549.00,563.00,547.00,551.00,3578500,484.909
2010-07-28,554.50,557.00,545.50,547.50,3209400,481.829
2010-07-27,546.50,552.00,545.00,551.00,4883900,484.909
2010-07-26,559.00,559.00,544.50,546.00,4190900,480.509
2010-07-23,571.00,571.50,553.50,556.00,4434400,489.309
2010-07-22,558.00,570.00,552.00,570.00,6957200,501.63
2010-07-21,589.50,590.00,555.00,560.50,11552200,493.27
2010-07-20,603.00,603.00,583.00,587.00,4856400,516.591
2010-07-19,604.00,607.50,599.50,600.50,1721100,528.472
2010-07-16,616.50,616.50,604.50,605.00,3300800,532.432
2010-07-15,611.50,616.50,611.00,613.50,1805800,539.912
2010-07-14,613.50,616.00,608.50,614.50,1461900,540.793
2010-07-13,604.50,610.50,602.50,609.50,2061300,536.392
2010-07-12,606.50,610.00,600.50,604.00,2844600,531.552
2010-07-09,589.50,610.50,586.50,607.00,5711300,534.192
2010-07-08,581.50,585.50,571.00,584.00,4963700,513.951
2010-07-07,583.50,584.00,575.50,578.00,2010100,508.671
2010-07-06,580.50,587.00,578.50,587.00,3498500,516.591
2010-07-05,581.00,590.00,580.00,580.00,2177500,510.431
2010-07-02,619.00,619.00,579.50,581.50,7527400,511.751
2010-07-01,628.50,632.00,612.50,615.50,2705100,541.673
2010-06-30,640.00,641.50,631.50,635.50,2380600,559.274
2010-06-29,636.00,640.00,632.00,634.50,2557300,558.394
2010-06-28,641.50,643.50,635.50,638.00,1751000,561.474
2010-06-25,649.00,650.00,640.00,642.50,863800,565.434
2010-06-24,651.50,651.50,643.00,647.00,1515800,569.394
2010-06-23,656.00,659.50,644.00,646.50,2533400,568.954
2010-06-22,660.00,666.00,659.00,663.00,1784700,583.475
2010-06-21,671.50,675.00,661.00,663.00,1198900,583.475
2010-06-18,669.50,672.50,662.50,664.50,3189300,584.795
2010-06-17,664.00,670.50,664.00,667.50,1839100,587.435
