Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,1257.00,1259.00,1224.00,1225.00,647600,827.347
2010-12-30,1259.00,1263.00,1247.00,1258.00,940500,849.634
2010-12-29,1246.00,1254.00,1237.00,1252.00,941000,845.582
2010-12-27,1237.00,1237.00,1237.00,1237.00,000,835.451
2010-12-24,1236.00,1237.00,1220.00,1237.00,241900,835.451
2010-12-23,1240.00,1240.00,1229.00,1232.00,694600,832.074
2010-12-22,1207.00,1233.00,1200.00,1233.00,1735300,832.75
2010-12-21,1205.00,1236.00,1200.00,1203.00,2378200,812.488
2010-12-20,1203.00,1206.00,1193.00,1200.00,2919400,810.462
2010-12-17,1177.00,1192.00,1172.00,1185.00,3933200,800.331
2010-12-16,1173.00,1173.00,1173.00,1173.00,1882400,792.227
2010-12-15,1149.00,1180.00,1147.00,1166.00,2591300,787.499
2010-12-14,1140.00,1159.00,1139.00,1150.00,2878000,776.693
2010-12-13,1131.00,1142.00,1127.00,1136.00,46800,767.237
2010-12-10,1120.00,1130.39,1114.00,1125.00,1041900,759.808
2010-12-09,1119.00,1124.00,1113.00,1116.00,1475500,753.73
2010-12-08,1116.00,1123.00,1107.00,1111.00,2811400,750.353
2010-12-07,1123.00,1129.00,1116.00,1121.00,1199500,757.107
2010-12-06,1126.00,1137.00,1118.00,1120.00,1072400,756.431
2010-12-03,1112.00,1130.00,1111.00,1125.00,1682000,759.808
2010-12-02,1118.00,1120.00,1106.00,1114.00,1912800,752.379
2010-12-01,1130.00,1130.00,1109.00,1112.00,1776500,751.028
2010-11-30,1119.00,1128.00,1118.00,1120.00,2062500,756.431
2010-11-29,1149.00,1157.00,1121.00,1121.00,1733500,757.107
2010-11-26,1150.00,1158.00,1140.00,1148.00,1248200,775.342
2010-11-25,1152.00,1159.00,1148.00,1156.00,1146800,780.745
2010-11-24,1155.00,1160.00,1151.00,1156.00,1316300,780.745
2010-11-23,1167.00,1168.00,1155.00,1155.00,1732900,780.07
2010-11-22,1163.00,1178.00,1161.00,1167.00,1800400,788.174
2010-11-19,1161.00,1161.00,1148.00,1156.00,1103200,780.745
2010-11-18,1154.00,1157.00,1148.00,1156.00,1719100,780.745
2010-11-17,1143.00,1151.00,1143.00,1148.00,1405200,775.342
2010-11-16,1160.00,1166.00,1145.00,1147.00,1354100,774.667
2010-11-15,1155.00,1168.00,1147.00,1164.00,1302400,786.148
2010-11-12,1136.00,1175.00,1133.00,1161.00,2048500,784.122
2010-11-11,1143.00,1161.00,1143.00,1143.00,2161200,771.965
2010-11-10,1151.00,1189.00,1144.00,1160.00,6019000,783.447
2010-11-09,1118.00,1129.00,1115.00,1118.00,2327800,755.081
2010-11-08,1127.00,1133.00,1118.00,1122.00,2655200,757.782
2010-11-05,1138.00,1145.00,1132.00,1140.00,1728400,769.939
2010-11-04,1151.00,1157.00,1137.00,1140.00,2270100,769.939
2010-11-03,1164.00,1167.00,1137.00,1142.00,2260400,771.29
2010-11-02,1156.00,1167.00,1150.00,1162.00,1588000,784.798
2010-11-01,1161.00,1163.00,1142.00,1160.00,2431000,783.447
2010-10-29,1115.00,1159.00,1115.00,1153.00,3137900,778.719
2010-10-28,1109.00,1122.00,1109.00,1115.00,1284100,753.054
2010-10-27,1109.00,1117.00,1105.00,1109.00,1662600,749.002
2010-10-26,1118.00,1123.00,1105.00,1108.00,1434900,748.327
2010-10-25,1131.00,1134.00,1116.00,1117.00,1248400,754.405
2010-10-22,1125.00,1132.00,1121.00,1128.00,1529000,761.834
2010-10-21,1115.00,1136.00,1113.00,1129.00,1857000,762.51
2010-10-20,1123.00,1124.00,1103.00,1114.00,1891000,752.379
2010-10-19,1118.00,1126.00,1112.00,1125.00,1458200,759.808
2010-10-18,1108.00,1116.00,1104.00,1115.00,1378600,753.054
2010-10-15,1121.00,1124.00,1109.00,1112.00,1533800,751.028
2010-10-14,1122.00,1136.00,1114.00,1116.00,3222900,753.73
2010-10-13,1130.00,1135.00,1117.00,1119.00,2641100,755.756
2010-10-12,1131.00,1139.00,1121.00,1136.00,1048200,767.237
2010-10-11,1128.00,1141.00,1128.00,1137.00,1812400,767.913
2010-10-08,1125.00,1139.00,1119.00,1129.00,1575200,762.51
2010-10-07,1123.00,1131.00,1116.00,1128.00,2286600,761.834
2010-10-06,1131.00,1135.00,1115.00,1120.00,1855900,756.431
2010-10-05,1127.00,1137.00,1121.00,1130.00,1257300,763.185
2010-10-04,1119.00,1125.00,1108.00,1123.00,1200300,758.457
2010-10-01,1116.00,1133.00,1114.00,1120.00,1400300,756.431
2010-09-30,1116.00,1135.00,1115.00,1118.00,2317000,755.081
2010-09-29,1127.00,1139.00,1116.00,1118.00,1306300,755.081
2010-09-28,1124.00,1132.00,1114.00,1131.00,1231500,763.861
2010-09-27,1130.00,1135.00,1121.00,1125.00,901900,759.808
2010-09-24,1128.00,1134.00,1119.00,1125.00,1217900,759.808
2010-09-23,1143.00,1146.00,1122.00,1133.00,1530000,765.211
2010-09-22,1139.00,1148.00,1125.00,1132.00,1659100,764.536
2010-09-21,1150.00,1153.00,1126.00,1132.00,2467100,764.536
2010-09-20,1134.00,1151.00,1126.00,1151.00,1385900,777.368
2010-09-17,1158.00,1162.00,1128.00,1128.00,3375900,761.834
2010-09-16,1164.00,1165.00,1149.00,1152.00,1222600,778.044
2010-09-15,1181.00,1186.00,1150.00,1162.00,1687200,784.798
2010-09-14,1174.00,1183.00,1166.00,1179.00,2415800,796.279
2010-09-13,1175.00,1175.00,1159.00,1172.00,993000,791.551
2010-09-10,1173.00,1177.00,1164.00,1172.00,1119500,791.551
2010-09-09,1177.00,1183.00,1168.00,1177.00,1630500,794.928
2010-09-08,1156.00,1182.00,1156.00,1178.00,1016600,795.604
2010-09-07,1161.00,1169.00,1149.00,1161.00,1228300,784.122
2010-09-06,1162.00,1174.00,1159.00,1163.00,1002400,785.473
2010-09-03,1152.00,1167.00,1152.00,1158.00,1436700,782.096
2010-09-02,1155.00,1160.00,1145.00,1155.00,1596500,780.07
2010-09-01,1150.00,1161.00,1144.00,1161.00,1792100,784.122
2010-08-31,1127.00,1146.00,1124.00,1145.00,2900600,773.316
2010-08-30,1136.00,1136.00,1136.00,1136.00,000,767.237
2010-08-27,1130.00,1142.00,1114.00,1136.00,4830000,767.237
2010-08-26,1132.00,1132.00,1112.00,1119.00,2440100,755.756
2010-08-25,1130.00,1132.00,1120.00,1126.00,2390500,760.484
2010-08-24,1121.00,1128.00,1119.00,1127.00,3323000,761.159
2010-08-23,1120.00,1134.00,1116.00,1126.00,2175400,760.484
2010-08-20,1112.00,1119.00,1105.00,1118.00,2914700,755.081
2010-08-19,1119.00,1119.00,1107.00,1111.00,1617300,750.353
2010-08-18,1119.00,1122.00,1112.00,1115.00,1763400,753.054
2010-08-17,1122.00,1127.00,1116.00,1121.00,2093400,757.107
2010-08-16,1127.00,1129.00,1115.00,1121.00,1347700,757.107
2010-08-13,1140.00,1143.00,1116.00,1125.00,1983900,759.808
2010-08-12,1130.00,1138.00,1125.00,1136.00,1799300,767.237
2010-08-11,1136.00,1138.00,1125.00,1129.00,2095800,762.51
2010-08-10,1144.00,1148.00,1129.00,1140.00,1754400,769.939
2010-08-09,1132.00,1145.00,1125.00,1145.00,1733300,773.316
2010-08-06,1128.00,1133.00,1119.00,1123.00,2080600,758.457
2010-08-05,1133.00,1137.00,1125.00,1127.00,1287300,761.159
2010-08-04,1122.00,1137.00,1118.00,1133.00,1848100,765.211
2010-08-03,1126.00,1132.00,1114.00,1125.00,2313900,759.808
2010-08-02,1113.00,1129.00,1103.00,1129.00,1628800,762.51
2010-07-30,1115.00,1127.00,1102.00,1108.00,2292700,748.327
2010-07-29,1114.00,1125.00,1113.00,1117.00,1651300,754.405
2010-07-28,1137.00,1139.00,1113.00,1115.00,3516300,753.054
2010-07-27,1171.00,1184.00,1168.00,1178.00,1831100,762.51
2010-07-26,1164.00,1169.00,1151.00,1168.00,1827600,756.037
2010-07-23,1167.00,1169.00,1154.00,1159.00,3092400,750.211
2010-07-22,1166.00,1170.00,1153.00,1169.00,2402900,756.684
