Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,167.568,167.568,164.447,164.447,555800,136.552
2010-12-30,166.961,167.915,165.60,166.615,1206900,138.352
2010-12-29,163.667,167.395,161.50,167.221,1935100,138.855
2010-12-27,163.667,163.667,163.667,163.667,000,135.904
2010-12-24,162.02,163.667,162.02,163.667,278200,135.904
2010-12-23,161.673,163.321,161.153,163.321,1108300,135.617
2010-12-22,162.02,162.441,160.633,161.413,1755500,134.032
2010-12-21,160.026,163.06,158.639,161.847,2494600,134.393
2010-12-20,158.899,161.76,158.119,159.68,2656300,132.593
2010-12-17,159.073,160.633,157.772,159.333,4871900,132.305
2010-12-16,158.639,158.639,158.639,158.639,3586600,131.729
2010-12-15,158.813,158.899,156.646,156.906,3636600,130.29
2010-12-14,161.153,161.153,157.166,158.899,3917000,131.945
2010-12-13,161.413,162.80,160.026,160.373,3105400,133.169
2010-12-10,160.807,162.02,160.373,161.587,4226400,134.177
2010-12-09,159.94,162.107,158.639,160.46,2693100,133.241
2010-12-08,159.42,160.694,157.772,159.68,2265000,132.593
2010-12-07,154.565,160.546,154.565,159.766,6368100,132.665
2010-12-06,155.085,156.333,154.132,154.912,4069500,128.634
2010-12-03,156.819,157.426,153.525,155.519,9916200,129.138
2010-12-02,158.033,160.20,154.738,157.339,9540300,130.649
2010-12-01,166.355,166.355,150.497,154.305,10732200,128.13
2010-11-30,166.441,167.655,161.435,161.50,3326800,134.104
2010-11-29,169.649,170.602,163.494,166.441,2761900,138.207
2010-11-26,163.841,168.94,163.407,168.002,1984400,139.504
2010-11-25,164.708,167.655,164.708,165.141,1544200,137.128
2010-11-24,163.494,164.534,158.986,163.841,3084900,136.048
2010-11-23,164.361,169.909,162.54,162.54,3866200,134.968
2010-11-22,164.968,168.782,164.864,166.788,2438200,138.495
2010-11-19,163.407,164.014,162.974,163.494,2074800,135.76
2010-11-18,162.887,162.974,161.847,162.974,1354700,135.328
2010-11-17,159.94,161.587,157.426,161.24,1320200,133.889
2010-11-16,162.28,162.714,159.42,160.286,2625300,133.096
2010-11-15,160.46,162.714,160.46,162.627,2062100,135.04
2010-11-12,159.68,160.72,157.946,160.546,4203600,133.312
2010-11-11,162.454,163.234,160.373,161.327,5388900,133.961
2010-11-10,160.113,164.274,159.862,161.413,5595700,134.032
2010-11-09,158.986,160.46,158.726,159.94,3324100,132.809
2010-11-08,158.293,159.229,156.955,158.813,1248600,131.873
2010-11-05,155.172,158.899,154.912,157.946,3568100,131.153
2010-11-04,156.299,157.859,154.738,155.172,3035000,128.85
2010-11-03,156.385,157.859,154.392,155.519,5328400,129.138
2010-11-02,156.732,157.512,153.958,156.732,2735600,130.145
2010-11-01,158.986,158.986,156.212,157.512,1404700,130.793
2010-10-29,156.559,157.339,154.392,156.819,5551600,130.218
2010-10-28,158.033,158.466,155.692,156.212,2054200,129.713
2010-10-27,155.519,158.206,154.825,156.559,2229600,130.002
2010-10-26,155.259,157.339,155.172,156.906,3652900,130.29
2010-10-25,158.119,158.466,155.519,156.212,5249800,129.713
2010-10-22,156.819,158.466,154.825,156.472,8566100,129.929
2010-10-21,158.726,162.28,156.732,159.42,8218400,132.377
2010-10-20,158.119,160.546,158.119,159.506,2819300,132.449
2010-10-19,162.28,162.28,158.553,159.42,3631900,132.377
2010-10-18,162.974,162.974,160.98,162.28,2121600,134.752
2010-10-15,163.841,163.841,158.726,162.367,3919400,134.824
2010-10-14,165.141,166.528,162.454,162.80,3786900,135.184
2010-10-13,166.268,166.615,161.587,165.054,4674600,137.056
2010-10-12,164.187,167.135,161.413,164.794,5116800,136.84
2010-10-11,162.28,165.228,160.447,164.361,6779200,136.48
2010-10-08,160.373,163.667,159.333,160.98,7402400,133.673
2010-10-07,156.906,157.166,154.825,155.692,3137300,129.282
2010-10-06,155.779,156.732,155.172,156.125,3818500,129.641
2010-10-05,149.971,156.949,149.971,155.779,6099900,129.354
2010-10-04,150.577,151.271,149.039,149.971,3385700,124.531
2010-10-01,150.144,152.398,148.584,150.577,4502900,125.034
