Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,1285.00,1285.00,1261.00,1261.00,412900,1205.859
2010-12-30,1284.00,1289.00,1278.00,1283.00,539700,1226.897
2010-12-29,1275.00,1284.00,1271.00,1283.00,715800,1226.897
2010-12-27,1271.00,1271.00,1271.00,1271.00,000,1215.422
2010-12-24,1259.00,1271.00,1253.00,1271.00,81100,1215.422
2010-12-23,1277.00,1280.00,1259.00,1266.00,841900,1210.64
2010-12-22,1269.00,1279.00,1262.00,1279.00,765300,1223.072
2010-12-21,1252.00,1270.00,1252.00,1268.00,987300,1212.553
2010-12-20,1242.00,1252.00,1231.00,1251.00,1384700,1196.296
2010-12-17,1247.00,1247.00,1217.00,1235.00,3226800,1180.996
2010-12-16,1226.00,1226.00,1226.00,1226.00,1833800,1172.389
2010-12-15,1229.00,1238.00,1206.00,1215.00,1768500,1161.87
2010-12-14,1237.00,1238.00,1225.00,1236.00,1240400,1181.952
2010-12-13,1231.00,1245.00,1225.00,1239.00,33800,1184.821
2010-12-10,1226.00,1236.00,1220.00,1232.00,1317700,1178.127
2010-12-09,1219.00,1231.00,1209.00,1219.00,1607200,1165.695
2010-12-08,1213.00,1224.00,1207.15,1212.00,1437600,1159.002
2010-12-07,1198.00,1237.00,1196.00,1215.00,3762700,1161.87
2010-12-06,1184.00,1208.00,1182.00,1197.00,2330900,1144.657
2010-12-03,1166.00,1184.00,1163.00,1178.00,1808800,1126.488
2010-12-02,1156.00,1171.00,1143.00,1171.00,3690800,1119.794
2010-12-01,1155.00,1157.00,1141.00,1144.00,4177700,1093.975
2010-11-30,1150.00,1164.00,1136.00,1147.00,2903900,1096.844
2010-11-29,1183.00,1195.00,1151.00,1151.00,1805700,1100.669
2010-11-26,1188.00,1196.00,1168.00,1182.00,1285500,1130.313
2010-11-25,1195.00,1203.00,1186.00,1195.00,1037100,1142.745
2010-11-24,1171.00,1203.00,1164.00,1196.00,2706000,1143.701
2010-11-23,1191.00,1198.00,1168.00,1168.00,1704400,1116.926
2010-11-22,1217.00,1221.00,1197.00,1198.00,1713100,1145.614
2010-11-19,1218.00,1218.00,1183.00,1206.00,3644400,1153.264
2010-11-18,1208.00,1222.00,1199.00,1213.00,1554700,1159.958
2010-11-17,1193.00,1199.00,1186.00,1195.00,1564200,1142.745
2010-11-16,1250.00,1251.00,1195.00,1196.00,2481000,1143.701
2010-11-15,1238.00,1259.00,1231.00,1253.00,2241500,1198.209
2010-11-12,1247.00,1254.00,1231.00,1236.00,1557700,1181.952
2010-11-11,1248.00,1266.00,1230.00,1262.00,1857300,1206.815
2010-11-10,1218.00,1252.00,1217.00,1248.00,2716500,1193.427
2010-11-09,1219.00,1244.00,1216.00,1231.00,1742100,1177.171
2010-11-08,1240.00,1248.00,1222.00,1226.00,1397000,1172.389
2010-11-05,1251.00,1273.00,1234.00,1251.00,2058200,1196.296
2010-11-04,1226.00,1249.00,1224.00,1248.00,2266100,1193.427
2010-11-03,1227.00,1230.00,1206.00,1214.00,1335000,1160.914
2010-11-02,1170.00,1225.00,1168.00,1219.00,3797200,1165.695
2010-11-01,1190.00,1192.00,1162.00,1171.00,2729200,1119.794
2010-10-29,1210.00,1218.00,1185.00,1185.00,3030300,1133.182
2010-10-28,1211.00,1220.00,1205.00,1214.00,1322100,1160.914
2010-10-27,1205.00,1223.00,1190.00,1203.00,2799100,1150.395
2010-10-26,1228.00,1231.00,1200.00,1210.00,1510700,1157.089
2010-10-25,1242.00,1246.00,1226.00,1228.00,992600,1174.302
2010-10-22,1240.00,1245.00,1219.00,1236.00,2073200,1181.952
2010-10-21,1205.00,1235.00,1194.00,1227.00,7307900,1173.346
2010-10-20,1255.00,1260.00,1241.00,1253.00,2376700,1198.209
2010-10-19,1264.00,1285.00,1252.00,1264.00,2514100,1208.728
2010-10-18,1254.00,1267.00,1246.00,1264.00,1522400,1208.728
2010-10-15,1287.00,1287.00,1253.00,1255.00,1772400,1200.121
2010-10-14,1297.00,1302.00,1277.00,1282.00,1341800,1225.941
2010-10-13,1298.00,1306.00,1284.00,1290.00,1290500,1233.591
2010-10-12,1291.00,1295.00,1273.00,1285.00,1421800,1228.809
2010-10-11,1273.00,1303.00,1273.00,1300.00,1207100,1243.153
2010-10-08,1277.00,1281.00,1263.00,1276.00,1415100,1220.203
2010-10-07,1302.00,1302.00,1279.00,1282.00,1281800,1225.941
2010-10-06,1303.00,1315.00,1284.00,1297.00,2028900,1240.285
2010-10-05,1292.00,1304.00,1281.00,1301.00,1440600,1244.11
2010-10-04,1306.00,1308.00,1281.00,1296.00,1696300,1239.328
2010-10-01,1276.00,1320.00,1276.00,1308.00,3241700,1250.804
2010-09-30,1282.00,1301.00,1272.00,1274.00,3004700,1218.29
2010-09-29,1285.00,1294.00,1273.00,1283.00,1689000,1226.897
2010-09-28,1290.00,1293.00,1268.00,1283.00,1869700,1224.984
2010-09-27,1300.00,1317.00,1291.00,1295.00,1716400,1236.442
2010-09-24,1263.00,1305.00,1263.00,1299.00,2161900,1240.261
2010-09-23,1282.00,1285.00,1248.00,1265.00,1148900,1207.798
2010-09-22,1295.00,1298.00,1260.00,1277.00,3433400,1219.256
2010-09-21,1276.00,1302.00,1276.00,1293.00,1603600,1234.532
2010-09-20,1264.00,1280.00,1264.00,1279.00,1618900,1221.165
2010-09-17,1277.00,1289.00,1257.00,1261.00,2371200,1203.979
2010-09-16,1269.00,1277.00,1250.00,1269.00,1626400,1211.617
2010-09-15,1271.00,1275.00,1251.00,1265.00,2195500,1207.798
2010-09-14,1245.00,1275.00,1245.00,1270.00,3776400,1212.572
2010-09-13,1250.00,1256.00,1217.00,1241.00,3058100,1184.883
2010-09-10,1249.00,1253.00,1229.00,1234.00,2856700,1178.20
2010-09-09,1237.00,1277.00,1230.00,1263.00,2867400,1205.889
2010-09-08,1226.00,1249.00,1209.00,1240.00,2682300,1183.929
2010-09-07,1199.00,1235.00,1193.00,1228.00,6396100,1172.471
2010-09-06,1164.00,1190.00,1158.00,1182.00,4078700,1128.551
