Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,431.55,432.70,425.00,425.00,5216300,358.375
2010-12-30,435.45,438.05,429.40,429.55,4615900,362.212
2010-12-29,446.00,446.00,433.95,435.45,10084100,367.187
2010-12-27,439.00,439.00,439.00,439.00,000,370.18
2010-12-24,435.80,439.35,433.60,439.00,2105200,370.18
2010-12-23,432.80,434.95,431.65,433.60,3985300,365.627
2010-12-22,432.40,433.20,430.10,432.00,7399400,364.278
2010-12-21,430.50,433.00,429.85,431.25,8566000,363.645
2010-12-20,435.00,435.00,429.50,430.10,6790400,362.676
2010-12-17,431.95,435.55,429.45,433.40,20264300,365.458
2010-12-16,429.00,429.00,429.00,429.00,14720400,361.748
2010-12-15,428.75,430.50,424.80,426.90,15689600,359.977
2010-12-14,432.85,433.00,427.55,429.30,12485300,362.001
2010-12-13,427.20,433.70,427.00,432.00,12106300,364.278
2010-12-10,428.75,430.00,425.60,427.75,8747100,360.694
2010-12-09,427.80,427.80,423.25,426.35,10500800,359.513
2010-12-08,427.85,431.65,424.40,425.50,15159800,358.797
2010-12-07,426.00,430.75,423.20,430.00,21015700,362.591
2010-12-06,422.00,423.95,415.75,420.00,19740100,354.159
2010-12-03,427.75,429.65,425.45,426.90,10964200,359.977
2010-12-02,415.70,427.95,414.35,427.95,19482000,360.863
2010-12-01,416.00,416.65,411.60,414.20,21330900,349.268
2010-11-30,422.25,424.95,414.30,414.30,20450700,349.352
2010-11-29,430.90,431.35,421.60,421.60,12749300,355.508
2010-11-26,427.50,432.65,426.55,430.00,13587900,362.591
2010-11-25,421.20,429.75,420.25,429.30,10915500,362.001
2010-11-24,420.30,421.40,414.70,420.35,14486100,354.454
2010-11-23,420.80,422.45,418.25,418.25,15894400,352.683
2010-11-22,430.55,432.90,419.70,421.85,14253400,355.719
2010-11-19,429.80,429.80,421.75,426.65,16589100,359.766
2010-11-18,423.15,429.30,421.75,428.30,17219400,361.158
2010-11-17,421.20,422.30,417.90,419.80,9389100,353.99
2010-11-16,422.55,422.95,417.80,420.20,19131800,354.328
2010-11-15,418.00,424.40,416.50,422.60,15803300,356.351
2010-11-12,409.00,419.90,407.15,418.60,23938800,352.978
2010-11-11,413.50,413.75,410.00,411.50,22080800,346.991
2010-11-10,414.55,415.80,410.05,413.15,19476400,348.383
2010-11-09,414.65,417.85,411.70,413.30,20482900,348.509
2010-11-08,418.95,420.50,414.85,416.40,17711900,351.123
2010-11-05,422.00,423.65,417.05,419.65,25948400,353.864
2010-11-04,426.30,429.40,419.95,421.00,19557200,355.002
2010-11-03,432.00,432.85,423.00,424.10,19798900,357.616
2010-11-02,429.75,434.55,428.50,431.80,15386800,364.109
2010-11-01,429.25,431.35,426.60,428.50,8992700,361.326
2010-10-29,425.00,428.85,423.05,426.85,15723500,359.935
2010-10-28,424.35,429.00,422.35,423.95,11491100,357.49
2010-10-27,428.90,429.80,423.90,424.00,15683900,357.532
2010-10-26,429.40,432.65,427.55,428.95,10589500,361.706
2010-10-25,429.90,432.85,428.70,431.15,12352500,363.561
2010-10-22,431.25,431.25,426.50,428.45,18314500,361.284
2010-10-21,429.15,434.00,428.45,431.30,20610200,363.687
2010-10-20,430.05,434.00,429.00,432.65,10414200,364.826
2010-10-19,431.10,434.90,431.05,431.30,10675800,363.687
2010-10-18,433.50,436.15,431.25,432.95,10385400,365.079
2010-10-15,437.00,439.15,430.85,435.10,17964600,366.892
2010-10-14,434.95,437.30,433.50,434.25,13856900,366.175
2010-10-13,433.25,436.10,432.50,433.90,21215800,365.88
2010-10-12,440.75,441.85,434.30,437.10,12766200,364.893
2010-10-11,437.45,439.70,436.25,439.65,7927800,367.022
2010-10-08,437.50,440.20,434.35,436.40,16273300,364.309
2010-10-07,442.45,442.45,436.05,438.05,17700800,365.686
2010-10-06,436.90,441.55,433.15,440.65,23966800,367.857
2010-10-05,437.95,438.00,426.50,431.25,30353600,360.01
