Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,1974.00,1992.00,1963.00,1963.00,575500,1603.447
2010-12-30,1993.00,1998.00,1979.00,1986.00,1297500,1622.234
2010-12-29,2000.00,2009.00,1966.00,1995.00,1183800,1629.585
2010-12-27,1994.00,1994.00,1994.00,1994.00,000,1628.768
2010-12-24,1981.00,1997.00,1981.00,1994.00,195300,1628.768
2010-12-23,1982.00,1990.00,1974.00,1988.00,958500,1623.867
2010-12-22,1983.00,1983.00,1967.00,1982.00,1458800,1618.966
2010-12-21,1977.00,1982.00,1960.00,1982.00,1265700,1618.966
2010-12-20,1977.00,1989.00,1951.00,1969.00,1193200,1608.348
2010-12-17,1976.00,1982.00,1961.00,1972.00,3822000,1610.798
2010-12-16,1966.00,1966.00,1966.00,1966.00,2539800,1605.897
2010-12-15,1930.00,1961.00,1930.00,1954.00,2471700,1596.095
2010-12-14,1919.00,1947.00,1918.00,1943.00,1957300,1587.11
2010-12-13,1902.00,1932.00,1895.00,1919.00,2224400,1567.506
2010-12-10,1908.00,1911.00,1890.00,1894.00,1969600,1547.085
2010-12-09,1911.00,1912.00,1883.00,1907.00,1690900,1557.704
2010-12-08,1892.00,1917.75,1884.75,1898.00,2354000,1550.352
2010-12-07,1886.00,1936.00,1875.00,1906.00,4029700,1556.887
2010-12-06,1853.00,1862.00,1835.00,1853.00,1644000,1513.595
2010-12-03,1842.00,1867.00,1836.00,1855.00,3489500,1515.228
2010-12-02,1810.00,1852.00,1801.00,1851.00,2652600,1511.961
2010-12-01,1787.00,1811.00,1774.00,1806.00,3504100,1475.204
2010-11-30,1794.00,1813.00,1777.00,1777.00,3244600,1451.515
2010-11-29,1851.00,1853.00,1795.00,1795.00,2403100,1466.218
2010-11-26,1823.00,1847.00,1813.00,1837.00,1510400,1500.525
2010-11-25,1839.00,1849.00,1828.00,1843.00,1205100,1505.426
2010-11-24,1843.00,1851.00,1829.00,1841.00,1670600,1503.793
2010-11-23,1858.00,1867.00,1824.00,1826.00,1969800,1491.54
2010-11-22,1898.00,1901.00,1869.00,1874.00,1105100,1530.748
2010-11-19,1879.00,1889.00,1867.00,1884.00,1575300,1538.917
2010-11-18,1865.00,1885.00,1860.00,1877.00,2066400,1533.199
2010-11-17,1830.00,1855.00,1825.00,1848.00,1741900,1509.511
2010-11-16,1852.00,1855.00,1835.00,1835.00,1546600,1498.892
2010-11-15,1836.00,1864.00,1836.00,1853.00,1778100,1513.595
2010-11-12,1836.00,1854.00,1829.00,1845.00,2069300,1507.06
2010-11-11,1862.00,1864.00,1850.00,1852.00,1783500,1512.778
2010-11-10,1877.00,1882.00,1852.00,1860.00,2794100,1519.313
2010-11-09,1903.00,1903.00,1890.00,1897.00,1688000,1534.669
2010-11-08,1903.00,1907.00,1886.00,1901.00,1486100,1537.905
2010-11-05,1920.00,1944.00,1904.00,1913.00,2766600,1547.613
2010-11-04,1885.00,1929.00,1872.00,1924.00,6330000,1556.512
2010-11-03,1829.00,1832.00,1806.00,1810.00,2258900,1464.286
2010-11-02,1804.00,1828.00,1801.00,1822.00,2448400,1473.994
2010-11-01,1803.00,1816.00,1791.00,1804.00,2530800,1459.432
2010-10-29,1789.00,1812.00,1785.00,1799.00,3016700,1455.387
2010-10-28,1805.00,1821.00,1791.00,1796.00,2976900,1452.96
2010-10-27,1801.00,1809.00,1791.00,1796.00,3633200,1452.96
2010-10-26,1848.00,1858.00,1809.00,1812.00,2126800,1465.904
2010-10-25,1859.00,1882.00,1855.00,1856.00,2514300,1501.50
2010-10-22,1841.00,1848.00,1827.00,1840.00,3874500,1488.556
2010-10-21,1804.00,1866.00,1804.00,1846.00,6397900,1493.41
2010-10-20,1785.00,1808.00,1785.00,1800.00,2710100,1456.196
2010-10-19,1812.00,1813.00,1787.00,1791.00,3693900,1448.915
2010-10-18,1811.00,1822.00,1800.00,1814.00,2405000,1467.522
2010-10-15,1830.00,1833.00,1809.00,1818.00,2604300,1470.758
2010-10-14,1820.00,1835.00,1818.00,1825.00,4950400,1476.421
2010-10-13,1807.00,1836.00,1806.00,1814.00,3242700,1467.522
2010-10-12,1786.00,1803.00,1758.00,1798.00,2924100,1454.578
2010-10-11,1822.00,1827.00,1790.00,1794.00,2572300,1451.342
2010-10-08,1847.00,1853.00,1797.00,1814.00,3481300,1467.522
2010-10-07,1853.00,1859.00,1841.00,1845.00,1625200,1492.601
2010-10-06,1841.00,1861.00,1832.00,1845.00,2930500,1492.601
2010-10-05,1824.00,1846.00,1817.00,1834.00,3307900,1483.702
