Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,601.00,601.00,590.00,592.00,481600,450.024
2010-12-30,603.00,604.00,598.00,599.50,708100,455.725
2010-12-29,602.00,604.50,597.50,601.00,862500,456.865
2010-12-27,601.50,601.50,601.50,601.50,000,457.246
2010-12-24,604.50,604.50,597.00,601.50,107900,457.246
2010-12-23,598.50,606.50,596.50,603.50,1505300,458.766
2010-12-22,596.00,598.00,593.00,597.50,1816500,454.205
2010-12-21,589.50,593.50,585.50,592.00,2053000,450.024
2010-12-20,589.00,591.50,583.00,586.00,3197400,445.463
2010-12-17,595.00,596.50,583.00,581.97,4392800,442.399
2010-12-16,594.00,594.00,594.00,594.00,3517100,451.544
2010-12-15,588.50,592.00,574.50,590.00,3716200,448.504
2010-12-14,596.50,601.00,595.00,598.00,1751000,446.139
2010-12-13,597.00,598.00,589.50,597.50,230800,445.766
2010-12-10,589.50,595.50,588.00,594.00,1022900,443.154
2010-12-09,593.00,593.50,587.50,589.00,2090600,439.424
2010-12-08,588.50,592.50,585.50,589.00,2825300,439.424
2010-12-07,593.00,596.50,589.00,591.00,2119100,440.916
2010-12-06,593.00,594.00,585.00,590.00,2273000,440.17
2010-12-03,593.00,595.50,587.00,590.50,2273300,440.543
2010-12-02,590.00,596.00,584.00,594.50,1935900,443.527
2010-12-01,600.50,602.00,587.00,589.50,3046600,439.797
2010-11-30,596.00,600.00,592.50,596.50,2918800,445.019
2010-11-29,608.00,613.50,595.50,596.00,1862000,444.646
2010-11-26,606.50,611.00,601.50,608.00,2707400,453.599
2010-11-25,610.50,612.50,604.50,609.50,2224400,454.718
2010-11-24,626.00,626.50,606.50,610.00,2873300,455.091
2010-11-23,630.00,630.00,617.50,617.50,2326500,460.687
2010-11-22,633.00,633.00,623.50,627.00,2232200,467.774
2010-11-19,625.00,628.50,620.50,628.00,1997200,468.52
2010-11-18,624.50,626.50,617.50,626.00,1848400,467.028
2010-11-17,617.00,625.50,615.50,623.00,1755000,464.79
2010-11-16,624.50,626.00,616.50,619.50,2320900,462.179
2010-11-15,627.00,630.00,623.00,627.00,1595400,467.774
2010-11-12,621.00,632.50,618.50,628.50,1841100,468.893
2010-11-11,625.00,634.50,617.00,624.50,2414800,465.909
2010-11-10,617.50,628.50,613.00,622.00,2436500,464.044
2010-11-09,615.50,622.00,615.50,620.00,1522300,462.552
2010-11-08,625.50,629.00,616.50,618.00,1462800,461.06
2010-11-05,626.00,632.00,622.00,628.00,1622800,468.52
2010-11-04,616.00,624.00,613.50,624.00,2254100,465.536
2010-11-03,619.00,622.00,608.00,611.50,2419700,456.21
2010-11-02,610.00,621.00,608.00,618.00,1882300,461.06
2010-11-01,614.50,616.50,604.00,612.00,1882800,456.583
2010-10-29,603.50,618.00,603.50,611.00,3094300,455.837
2010-10-28,600.00,610.00,599.50,603.50,1123700,450.242
