Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,95.259,95.486,94.292,94.292,29020900,128.90
2010-12-30,95.856,96.311,94.548,94.975,35287300,129.833
2010-12-29,96.169,97.25,95.828,96.027,46565800,131.272
2010-12-27,97.875,97.875,97.875,97.875,000,133.799
2010-12-24,97.989,98.017,96.823,97.875,13887000,133.799
2010-12-23,96.937,98.074,96.709,98.074,39510600,134.07
2010-12-22,96.852,97.335,95.998,96.397,50918700,131.777
2010-12-21,97.306,97.591,96.51,96.681,53419500,132.166
2010-12-20,96.681,97.306,96.453,96.823,74229400,132.36
2010-12-17,96.624,96.823,95.884,96.709,177455800,132.204
2010-12-16,95.373,95.373,95.373,95.373,64499900,130.377
2010-12-15,96.482,96.681,95.401,96.169,80446000,131.466
2010-12-14,95.884,96.624,95.799,96.397,72130400,131.777
2010-12-13,94.349,96.169,93.951,95.856,74466400,131.038
2010-12-10,92.928,94.292,92.928,94.036,62461400,128.551
2010-12-09,93.781,94.264,93.013,93.183,70843800,127.384
2010-12-08,93.268,93.939,93.127,93.354,70478500,127.618
2010-12-07,93.212,94.747,93.155,93.922,103802200,128.395
2010-12-06,94.178,94.747,93.723,93.837,118494900,128.278
2010-12-03,93.866,94.69,93.183,93.297,67241400,127.54
2010-12-02,93.695,94.321,92.928,93.922,107201400,128.395
2010-12-01,91.562,94.236,91.136,93.582,168010100,127.929
2010-11-30,91.278,92.359,90.397,91.42,167140800,124.974
2010-11-29,94.093,94.435,90.596,90.596,118337900,123.847
2010-11-26,93.468,94.349,92.614,94.008,82064000,128.512
2010-11-25,93.354,94.747,92.984,93.951,56992900,128.434
2010-11-24,93.24,93.922,92.302,93.297,93571700,127.54
2010-11-23,93.667,94.918,92.671,92.671,94682700,126.684
2010-11-22,96.226,96.226,93.894,94.463,76783200,129.134
2010-11-19,95.771,95.771,94.662,95.401,72599000,130.416
2010-11-18,95.06,96.624,94.69,95.60,73916800,130.688
2010-11-17,95.259,95.259,94.52,94.946,74126000,129.794
