0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,-0.30704,0.00011019,-0.0058599,0.0009732,-0.099816,-0.039865,-0.0012023,-0.043467,0.0073607,-0.021143,0.093088,0.0064473,-0.045624,0.0082552,0.00085034,-0.0043471,0.01346,0.043135,0.58938,-0.32056,-0.00022422,-0.18537,-0.031279,-0.17882,-0.070981,-0.013695,0.15331,0.033643,-0.027469,-0.016673,0.0076825,-0.12327,-0.0089743,0.29583,0.011757,-0.034798,-0.022259,-0.00025696,0.0017516,-0.22317,0.010606,0.035025,-0.014151,-0.0019285,0.013357,-0.67866,0.028089,-6.4798e-06,0.066604,-1.8397e-05,0.019212,-0.016191,0.00682,0.011826,0.11916,-1.0652e-05,0.013057,0.021643,0.0064678,0.21148,0.097288,0.20138,0.002706,-0.26697,0.064893,0.028447,-0.032674,-0.014558,-0.031743,-0.028263,-0.005882,0.093497,0.038225,0.035207,-0.032134,0.014128,-0.014993,0.034392,0.00051034,0.020608,0.00093865,-0.068704,0.051416,-0.04618,-0.00040576,0.0076805,0.00038889,-0.026595,-0.0037583,-0.026854,0.063613,-0.0098174,0.0021162,0.00016816,0.17026,0.002234,0.036088,-0.090461,-0.0046795,-0.05902
2,0.00039729,-0.023954,-0.0068319,-0.0045096,0.0018129,-0.0023378,0.0015999,0.0033754,-0.0041476,-0.0056488,-0.0015492,0.012419,-0.016924,-0.00076833,0.0038427,-0.0072424,0.00036852,0.00036142,0.0085344,-4.6604e-05,-0.00060335,0.00029714,-0.011159,0.0044229,0.0010384,0.0014544,0.00095427,0.00081704,-0.00046982,-0.002615,-0.0093112,0.013679,0.0012399,-0.0016677,-0.00064805,-0.00054156,-0.02169,-0.024533,0.012924,0.0024445,-0.0005438,-0.0015565,0.0025221,0.018656,0.012088,-0.0086992,0.001215,0.00015395,-0.0047747,-0.0045213,0.0007433,-0.01933,-0.0031271,-0.010702,0.022911,-0.0036699,0.00070587,0.0023829,-8.159e-05,0.002145,0.0067821,0.00056029,0.011555,0.00097709,-1.2841e-05,-0.00063689,0.0041605,0.0012172,-0.0017745,-0.00051022,0.0033627,0.0033038,-8.0399e-05,-0.0025236,0.00059433,-0.0038522,0.00049765,-0.00071463,0.001067,0.0022986,-0.00025545,0.013623,0.0059513,0.040328,-0.0032552,0.0001638,0.0024115,0.0013891,0.013762,-0.0012563,-0.001352,-0.0020233,-0.017561,0.00066729,0.0045705,-0.00086277,4.0754e-05,-0.0025498,0.0010586,-0.0046971
3,-0.021225,0.12582,-0.17612,-0.018102,-0.0053055,-0.016683,0.016835,-0.0017732,-0.0026678,-0.020803,0.052589,0.0088772,0.03402,0.0074045,-0.0050225,-0.0058514,0.014796,0.0089231,-0.0028785,0.025995,0.019517,-0.012672,-0.017279,0.029961,-0.013887,0.0032307,0.013751,-0.0072165,-0.0034654,0.013991,0.029201,-0.0327,0.0051472,0.0027721,-0.0014406,8.2332e-05,-0.010573,0.0058255,0.012047,-0.0013242,0.026148,-0.010206,-0.0022992,-0.024179,0.043092,0.0075025,-0.018902,-0.022842,0.0025666,0.004179,0.0032621,0.0061092,0.01017,-0.013069,-0.059372,0.035654,0.023439,0.0051932,0.01451,0.031413,0.02076,-0.00045867,-0.012965,-0.00097782,0.014954,-0.0086594,-0.044214,-0.003197,-0.022869,-0.00059475,0.0028405,-0.00018882,0.035044,0.016344,0.003823,-0.0087845,0.010527,0.01192,-0.0055298,0.0049281,-0.0098263,0.0072458,-0.011384,-0.044498,-0.0005498,0.016248,-0.0048103,0.0062288,-0.019308,-0.0011681,-0.016986,0.011011,0.0081965,-0.0068352,-0.0017699,-0.0079797,-0.0016631,0.016572,-0.014614,-0.0063617
4,0.003586,-0.026204,0.0055278,-0.2223,0.023228,0.00051099,0.0072352,0.040781,-0.0039772,0.011153,-0.0036601,-0.00029511,0.0041838,0.013046,-0.016459,-0.0044848,0.017315,-0.0020273,-0.014629,-0.002666,0.17383,-0.00049398,-0.0054967,0.16072,-0.0086679,0.039154,0.0059474,0.012636,-0.0064598,0.0060777,0.010242,0.006753,0.0036845,-0.011132,0.013198,-0.0089533,-0.0063667,-0.0018178,-0.022719,0.00297,0.00092384,-0.0031285,0.0039116,0.0068191,0.018455,-0.096569,-0.016507,-0.0067078,-0.0047352,-0.0060572,-0.01555,-0.0026069,-0.0077214,0.0095805,0.012012,0.0052887,-0.070534,0.013404,-0.0015068,0.033446,-0.01951,0.01943,0.023085,-0.024388,0.02151,-0.00030799,-0.0060993,-0.0095905,0.00079238,0.0029842,0.015085,-0.016202,-0.0053481,0.012473,-0.0018548,0.0066085,0.022676,-0.016872,0.00055921,0.012073,-0.013227,0.018286,-0.022393,0.073347,0.00078055,0.00081691,0.016874,0.01138,0.0053768,-0.0070521,0.022034,-0.0042634,-0.003716,-0.022073,-0.038842,-0.011071,-0.054429,0.0017294,0.011877,0.0042297
5,0.0015338,0.0051649,-0.016058,0.015059,-0.023808,0.020502,-0.00059096,0.020939,-0.01019,5.7414e-05,-0.013588,-7.5909e-07,0.0021458,-0.0080332,0.0023441,-0.0081492,0.0026928,-0.0020363,0.014466,-0.0037147,-0.0039655,0.0026448,0.012216,-0.013078,0.0019926,-0.019451,0.031803,0.00014138,-0.0010434,-0.0042148,-0.0055297,0.032177,-0.003552,0.0061249,-0.0067493,0.0064043,-0.01178,0.00033473,0.0041281,-0.0023577,-0.0042619,-0.00032028,0.00291,-0.0041785,0.004495,-0.046368,-0.00070676,0.0012087,-0.0040898,-0.0069811,-2.53e-05,-0.015237,0.0042439,0.0024014,-0.0084274,0.0030003,0.0047682,-0.007354,0.0075109,-0.0064012,-0.00021774,-0.001918,0.0094935,0.012463,0.0033891,-0.0030589,0.013378,-0.0056147,0.039741,-0.0026788,-0.011238,0.0056982,-0.016113,-0.013962,0.0050051,-0.017272,0.00082663,-0.01194,0.0021027,-0.0086944,0.0012662,0.015294,-0.002915,0.019998,0.011056,-0.0036317,-0.0023642,-0.00082395,0.010732,0.0039513,0.010333,-0.0042629,-0.0068535,0.0004399,0.0079164,0.0028902,-0.0020737,-0.00046691,0.0030592,0.0046384
6,0.00035086,0.0075871,-0.0065755,-0.0071141,0.0065931,-0.027718,-0.00016996,0.003387,-0.00043697,0.00070369,0.036321,0.0054607,0.0010516,0.013906,-0.00076819,-0.010101,0.00030299,-0.0041717,0.0042043,0.0042029,0.0027107,0.0038478,-0.0027615,0.0031816,0.039839,-0.0035999,0.0033836,0.01421,0.00067936,0.0022016,0.0084406,0.0034039,0.0011606,0.0036807,0.0015753,-0.0053359,-0.00086099,0.042683,0.0058032,0.0037279,-0.0021255,0.0037035,0.0036327,0.0041793,-0.0040876,0.0076133,0.0028108,-0.00013521,0.00040212,-0.0047489,-0.0021318,0.00074169,-0.0025367,-0.0013962,0.004029,-0.0016384,0.0046373,-0.0031566,0.0033644,0.0037937,0.0057293,0.0029515,0.0051826,0.0066429,0.0045623,6.9738e-05,0.0036032,0.0032281,0.01381,7.7513e-05,-0.00020645,0.0034485,-0.0041983,-0.00023039,0.0016324,0.00043792,0.0091307,0.00048706,-0.005622,-0.0087902,-0.0028123,0.0073179,0.0041788,0.0063638,-0.00073497,-0.0011005,0.0039997,0.0018245,-0.0010072,-0.00026069,0.0037061,-0.00011237,0.0054288,0.0037318,0.0041313,-0.0012553,0.01879,-0.00025861,-0.0046839,-0.0045903
7,-0.00014708,0.00038834,-0.00026585,0.00024843,-0.00034608,0.002094,-0.28815,-0.00051107,9.8664e-06,-7.0246e-05,0.00010214,0.00073328,0.00012147,0.00045197,0.00052016,-0.00070885,-0.0004033,-0.00025294,-0.00057612,0.00049518,0.0005744,-0.00031943,6.7188e-05,-0.00015546,-0.00055165,-0.00030593,0.0010047,0.0001812,-0.00051088,0.00068149,0.00032353,-0.0012582,3.9868e-05,-0.00044997,-0.00010772,0.00016222,-0.00090226,-0.00036486,-0.0023284,0.00059465,8.1463e-05,0.00015256,-0.00080693,-3.8748e-05,0.00038829,0.0015626,-0.00033945,4.3377e-05,0.00055027,-0.00014677,-0.00026426,0.00028799,-0.00028434,-0.00019226,-0.00060681,0.28785,-0.00026329,0.00039467,9.3895e-05,-0.00026425,-0.00088669,0.00017353,-0.00058146,0.0011225,-0.00072384,-5.9741e-05,-0.0011468,-0.00015342,-0.00011178,-0.00046657,0.00011116,0.001301,0.00048499,-0.00027298,-0.00010569,0.00034268,-0.00019913,0.00025857,0.00077892,-0.00040104,-0.00020331,0.00047281,0.00018637,0.0025112,-1.1806e-05,0.00016115,3.4245e-05,-0.00012704,-5.6935e-05,-0.00047821,-0.00022991,-0.00042272,8.968e-05,1.6772e-05,0.00088534,-0.00031944,0.00097552,0.00037755,0.00054965,-0.00042343
8,-0.00056469,0.00013396,0.0004894,0.0027854,2.0637e-06,-0.0013082,0.0023979,-0.064646,0.00017672,0.00058142,-0.0030077,0.0034196,0.00029059,0.0037375,0.0011628,0.00055384,0.00050292,0.0024453,-0.00051672,0.0044481,0.0032963,1.8332e-05,-0.0032565,0.031524,0.00093449,0.00067301,0.0099885,0.0021846,0.001824,-0.00017779,-0.0059936,0.00077015,0.0014218,0.013252,0.0037103,0.0002983,0.0067293,0.0014869,-0.00085978,0.0038648,0.00080796,0.00038996,0.0015327,0.00017379,-0.0074797,0.00027443,0.00022663,-0.0014591,-0.0025459,-0.00033529,-0.0023044,-0.0013948,0.00083842,-0.0031707,-0.0022715,-0.0041822,0.0025979,0.0018792,0.0012163,0.010284,0.0016072,-7.3559e-05,0.0030304,0.002044,-0.0032891,-0.00050744,-0.0016775,-0.00024384,0.0012979,0.00053698,-0.0061957,0.00030726,-0.00063769,0.0013746,-0.0017875,0.0040603,-0.0035542,-0.00011028,0.0053096,0.00038284,-0.002492,-0.0024856,0.00057861,0.013046,-0.00041347,-0.0024645,0.012844,0.0021836,0.00060593,-0.0014008,-0.0023229,-0.0027106,-0.00018528,0.0015176,0.0030325,-0.0014059,0.0017166,-0.0077563,-0.0011083,-0.0016237
9,0.0059985,0.046989,0.031032,-0.011818,-0.03398,0.03789,0.010624,-0.039345,-0.25743,0.011099,-0.038424,0.0085314,0.015879,0.013289,-0.043808,-0.003596,0.015153,-0.0035126,-0.036077,0.0054702,-0.012061,-0.0016767,0.010873,0.011241,-0.012739,-0.012248,0.013479,0.01266,0.0018309,0.0013181,0.043208,0.034371,0.0087672,0.003881,0.025405,-0.036787,0.016808,-0.020505,-0.039296,0.02392,0.0040927,0.0066438,0.0051209,0.00051931,0.016881,0.0073065,0.0078439,-0.0047307,0.0093813,0.015495,0.0011473,0.005835,-0.00075814,0.0035513,-0.030506,0.04705,0.016739,-0.0020247,-0.0026977,-0.0048502,-0.0055752,-0.027017,-0.010669,0.028845,-0.040966,0.013802,-0.037109,-0.027855,-0.00089977,0.005754,0.010816,0.0058753,0.0095013,-0.005495,0.015172,0.031879,0.051013,0.0022687,-0.008398,0.021478,0.0069489,0.059514,-0.015124,0.057057,0.013984,0.014719,-0.0059861,0.013034,-0.0094485,0.0058543,-0.011409,-0.001351,0.015112,0.0060133,-0.0031139,0.063142,-0.012296,-0.013352,-0.0032445,-0.032679
10,0.0029982,-0.022226,-0.0091973,0.0045262,-0.013661,0.0009185,0.00071426,-0.0067026,0.0070583,-0.18023,0.0056083,-0.0016378,0.002545,3.3318e-05,0.00030372,0.0016372,0.00038275,-0.0011338,0.10527,-0.00048211,0.0070287,-0.0014192,0.006309,0.081898,0.0081617,-0.0026657,0.027922,-0.0013516,0.010137,0.0046746,-0.0039648,-0.0019777,-0.00044586,-0.056812,-0.0043796,-0.0016082,-0.0092212,-0.0068699,-0.041306,0.0029938,0.0058906,-0.0041247,-0.0029732,-0.0053271,0.00092363,-0.0066899,0.0019688,0.0016684,-0.0016818,0.012251,-0.0033439,-5.0412e-05,0.0038661,-0.010435,-0.062,-0.0023926,-0.026833,0.0016123,0.006713,-0.021876,-0.00043223,0.00026607,-0.0024335,0.0076638,-0.0027362,0.0026785,-0.00059377,-0.0055719,0.010912,0.013368,0.0132,0.022133,-0.0012181,0.029629,0.0084917,0.0016152,-0.00819,0.0024069,0.0074624,0.0022333,0.0011246,-0.002975,0.013699,0.0040849,-0.0020289,0.009874,0.025946,-0.0041066,-0.0033898,0.0072705,0.0029744,0.012951,0.00050233,0.0025082,-0.0067575,0.0018933,-0.0037081,0.022059,-0.0025429,0.080305
